Date,HNNA,NBN,SGLY,MNSB,FSFG,LTRX,CLWT,CREX,LFMD,FKWL,NAII,SBET,AACG,ANIX,WVVI,AVBH,HROW,GCBC,ARKR,NOTV,IBIO,SHIP,SFBC,NECB,CRVO,LOAN,KRMD,WFCF,MGYR,FIEE,IPM,ZYXI,RCAT,HFBL,DXR,ALRS,INTZ,AMTX,PRPH,BHRB,LDWY,BVFL,BYRN,LINK,TOMZ,SCWO,SLNH,CZFS,LIXT,ISBA
2019-01-03,0.017526703596404847,0.04261373415179848,0.0,-0.0228740609104211,-0.03569327907147268,-0.027210938968575293,-0.06474827131820315,-0.057851248354386375,0.06666668256123853,0.0,0.01016254331755384,-0.054945056480577015,0.0,0.0,-0.022377667428694625,0.0,-0.027777794947839718,-0.03395067396992335,-0.026344142718571772,-0.0298508060193573,-0.012820512820512775,0.07843153495264099,-0.01868881781809606,0.0,-0.05238095238095242,0.0017480319612901418,0.0596026714880904,-0.005025132013411038,0.0,0.0,0.0,-0.02422163171503755,0.0,0.0,0.12952802959886944,0.0,0.0,-0.021909230987214312,0.02461540341713131,0.0006806219341410902,-0.04575161245311654,0.0,0.06666668256123853,-0.028570709666154936,0.0,0.0,-0.060975604484488244,0.0,0.0,0.010989128237645085
2019-01-04,0.025837317798311332,-0.032697514842140674,0.05882352941176472,0.01740726303404605,0.03315034159378394,0.09790217485269115,0.07692313684049279,-0.05701759278107599,0.12499995343387194,0.0,0.011066460261089928,0.017441890552192252,-0.01063828775385156,0.012658215623466695,0.011444978993241817,-0.0023809160505022797,0.026666641235351562,-0.0012778300000694243,0.03092207070826558,0.0,0.03896103896103886,0.05454512571518899,0.024788179692126544,0.03884410747404021,0.12060301507537696,0.01221670117089979,-0.012499987892806708,-0.05050505419072526,0.0,0.0,0.0,0.046099276108573894,0.0,0.022742732909913466,0.09329446469444846,-0.002506324181127617,0.018421072708932895,0.10399999618530265,0.07507488255106098,0.0,0.10958902703479989,0.0,-0.0625000139698384,0.05882312336815909,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,-0.011194275541475118,-0.0016902745287546983,-0.033333333333333326,0.020648900460340958,0.02362213831405935,0.04777065348328402,0.03214283217217351,0.06046517129543716,-0.055555504045367354,0.0,0.023880573787393722,0.02857142857142847,0.010752677834782398,-0.007499992847442627,-0.0070721625913502395,0.0,0.09461971085620235,-0.008317264642478506,0.0042850923616668535,0.0,0.03750000000000009,0.10344862421294065,0.0,0.0,0.013452914798206317,0.017241451604274705,-0.025316506313829312,0.005319155749829996,0.0,0.0,-0.07441864127142972,0.0033898433060393085,0.0,0.020909154169060473,0.07822223239474835,0.0,0.0,-0.02753622299531655,0.019553229386102933,0.005102068668696669,0.0,0.0,0.0,0.055555193374546175,0.0,0.39999998509883894,0.0519480340126659,-0.021145244399525698,0.0,-0.002174051960375345
2019-01-08,0.009434137624143135,0.0,-0.02298850574712641,0.012716468528447322,0.005576688356427439,0.033434691425482166,0.07266446089449508,0.035087685053246886,0.0,0.04166660826674584,0.012633636046924579,0.06666663840964993,0.053191502178454586,-0.010075557069209928,0.017094000838336676,0.0,0.03389827220887209,-0.0012904681183649735,0.0,0.01538469297646361,-0.02409638554216864,-0.03125005988069851,0.0,-0.026087035943672232,0.004424778761061843,0.025423584869522564,-0.025974001846660322,0.0,0.0,0.0,0.0,-0.006756692595256908,0.0,0.006827274450032839,-0.05111293319947818,0.0,0.0025839398488296528,0.04321905230924905,-0.07123293161838062,0.0,-0.043209855778206685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148792262829,0.006536366281053141
2019-01-09,0.0,0.003386272788150624,0.0,0.0017124492167104322,-0.025434938079588076,-0.0029411735831660346,-0.006451813105929238,0.12288134109239901,-0.05882354178643112,-0.020000021144109703,0.03358928780298154,0.0,0.08080812337848275,-0.007633580376634641,-0.005602235658404231,-0.0023866893836888003,-0.01639342724524051,-0.0003229316578328145,0.0,0.0,0.024691358024691468,0.0,-0.009734221195546344,0.0,-0.022026431718061623,-0.008264394076116899,-0.026666641235351562,0.03174607219652148,0.0,0.0,-0.03266334518038039,0.02040823873324471,0.0,-0.008718240365743646,-0.08774980093809737,0.0,-0.007731939251534703,-0.014285700905079524,0.006369441055087854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345690589294467,0.0171015879348988,0.010100984153337045,-0.021645128619169673
2019-01-10,-0.009345966490045488,0.016310126589124563,0.08235294117647052,0.008547141367902578,0.00941933276008644,0.04129789444049381,-0.025973850915919305,0.0,0.0625000139698384,0.0,0.01949852140640118,-0.015624960677490307,-0.009345896432088385,0.0,0.0,-0.0047847073346865,0.08000000317891431,-0.007431327412643407,0.013333259131396824,-0.022727340459820944,-0.02409638554216864,-0.01612911910550674,0.0,0.0,0.03603603603603611,-0.033333333333333326,0.006849308357518069,-0.010256484672144017,0.0,0.0,0.0,0.0,0.0,0.0,0.06857145400274378,0.0,0.010389650022828656,0.10144926534683552,0.006329128047061872,0.0,0.0,-0.03448281417284127,0.0,-0.04385919197482768,-0.09090907243657698,0.0,0.03658533798943764,0.007079573315667664,0.0,0.0008844928364815097
2019-01-11,-0.0009431618349822202,0.02379642504966384,0.010869565217391353,0.002824709196408426,-0.027799682533728443,0.03682722818542583,-0.08000006525671655,-0.12075472467661741,0.0,0.0,0.007286054709987555,-0.015873042570877183,-0.06603767643538117,0.015384600336500354,-0.008450696279642567,0.0,-0.06635799800508402,-0.0013021615937408582,-0.0015788685873507902,-0.007751930820906638,-0.012345679012345734,-0.01639319727100963,0.0008935154668452405,0.004464344327854475,-0.013043478260869601,0.034482758620689724,0.02721085787382216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15864524871732089,-0.02010061655293316,-0.015424222757914219,0.15789474509759627,-0.05031457697617958,-0.0040609759940885,0.02580642609463779,0.053571465815818176,0.0,0.045871059583174834,0.09999997764825852,0.0,0.10588233471865816,0.0,0.0,0.016799592837198896
2019-01-14,-0.006610001269686139,-0.008648606053826668,-0.053763440860215006,0.0,0.002799502473846305,-0.060109296024865366,0.07608700105314514,0.0686695328742053,-0.05882354178643112,-0.0040816174420471585,-0.023508157234848115,0.0,0.04040400148252998,-0.027777811225950688,0.015625019049779976,0.0,-0.016528988151582213,-0.005866989143239798,-0.02477612831155429,0.0,0.0,0.0,-0.00208342037299436,0.0,0.022026431718061623,0.003333403217465447,0.02649004112957365,0.005181416327831423,0.0,0.0,-0.2857142680208842,0.0033333454132338236,0.0,0.01758952993270202,0.11538461538461542,0.0,-0.020887708955524942,-0.03409087676400968,-0.03642382458837845,-0.0008491974636243294,-0.006289280692225341,0.0,0.0,-0.035087130062362526,0.0,0.0,-0.07446804957526387,0.0,-0.009999974568684844,-0.026086999885997386
2019-01-15,-0.023764179970964472,-0.02399128779279036,-0.03409090909090906,0.002817099266907208,0.011565418359992696,0.02616276531170536,-0.016835028697272714,0.012048213536239194,0.0625000139698384,0.061475376742700316,0.007407400212333881,0.026881720797654607,0.009708728874782357,0.031168864142897545,-0.01678320055363791,0.0,-0.008403313529497414,0.006557356406873938,0.004324468981970586,0.01562498544808455,0.1499999999999999,-0.05000009084122836,-0.014912214860266837,0.008888671630255862,0.008620689655172376,-0.003322328556764842,0.03225811165403902,0.0,0.0,-0.08666666666666667,0.09090909090909083,0.02990035212796882,0.0,0.0,0.0282758515456627,0.0,0.00799997965494792,0.005882347166332069,0.03436434081739459,0.0006799758009206069,-0.04430386132023878,0.0,0.0,0.0004540856830239637,0.0,0.0,0.0,-0.023725646990278237,-0.01010104837382797,0.008928785135783546
2019-01-16,-0.011684562766031026,0.05810053933148773,-0.0117647058823529,0.03820227333783999,0.029174139478835404,-0.014164292555673641,-0.0034248218203735137,0.06349206649557293,0.0,0.0,0.0036764670434088487,0.010471244272378444,-0.05769225478877493,0.08312346593109621,0.015647176869749257,-0.001923029309897406,-0.020338963325323256,-0.0022800784844090316,0.006458593474611307,0.10769239233796024,-0.021739130434782594,0.0,-0.0018160488726535196,0.013216100724117164,-0.02991452991452992,-0.005000139768264189,-0.01874998183921006,0.010309291147942545,-0.033469279173105604,0.0,0.1999999682108562,-0.0032258180406645742,0.0,-0.04385364044150397,-0.02749831332045738,-0.025640840650621,-0.0079364879131113,0.011695895017749036,0.0,0.0010194389685074245,0.0066225781002446915,0.0,-0.06666668256123864,0.00772417867537345,0.0,0.28571433133008517,-0.01149426357776695,0.0,0.0,-0.008849767463599334
