Date,DXR,ISBA,BVFL,BYRN,CRVO,CZFS,TOMZ,LDWY,LINK,SCWO
2020-01-02,-0.011702091610770182,0.0,0.0,0.10526312157057616,0.0,0.0,0.09090907243657687,0.0,-0.0021049978197873465,0.0
2020-01-03,0.017222803882573468,0.0032908701987113265,-0.024927570184620218,0.142857240170853,-0.04347826086956519,0.0016258827597961378,0.08333331781129005,-0.013698663372291198,0.0,0.0
2020-01-06,0.01058205116276123,0.0,0.0,0.04166662527455389,0.0,0.0,-0.0769230636971937,0.09722227215556689,-0.139240801439384,0.0
2020-01-07,-0.01989534348302424,-0.005739792916906072,-0.0011890764333366555,-0.039999961853027344,0.15909090909090917,0.0,-0.1666666356225801,-0.07594937800345958,0.05147094207347935,0.0
2020-01-08,0.030982903043820897,0.005360801709347163,0.0059523731931334645,0.0,-0.07843137254901966,0.0,0.19999995529651704,0.041095896802363585,-0.04428932789855777,0.0
2020-01-09,0.01554410136105644,-0.005332216752664931,0.0,0.0,-0.021276595744680882,0.00016254169885421277,0.0,0.013157836948407109,0.04878055641582524,0.0
2020-01-10,0.0,0.0,0.0059171520956198265,0.04166662527455389,0.04347826086956519,-0.0001625152833438781,0.08333331781129005,0.02597409031366782,-0.05813950369524212,0.0
2020-01-13,0.0,0.0,0.0,-0.039999961853027344,0.08333333333333326,0.0,-0.0769230636971937,-0.025316516819373858,0.009876688583074333,0.0
2020-01-14,-0.040816384124437,0.0004123369967161672,0.0,0.0,0.0,0.0032467976025176704,-0.1666666356225801,0.01298704515683391,0.0024447446973423492,0.0
2020-01-15,0.026595745760156664,-0.0004121670449946935,0.0,0.04166662527455389,-0.05769230769230771,0.011326937712016871,0.0,-0.02564100100869393,0.0,0.0
2020-01-16,-0.018652783276366547,-0.009896929425262213,-0.011764690726851046,-0.039999961853027344,0.0,-0.008000184835629032,0.0,0.03947369010730539,0.0902442419834324,0.0
2020-01-17,0.008447721378064488,0.009995857723698487,0.0,0.0,0.04081632653061229,0.0,0.19999995529651704,0.0,0.16331067577193448,0.0
2020-01-21,0.010471144062638604,-0.003711348534473302,0.0023808971351109154,0.0,-0.019607843137254943,0.0,0.0,0.17721518659896218,0.0,0.11111108351636934
2020-01-22,-0.03523307900040695,0.00289721674614718,0.0,-0.041666724615624595,-0.020000000000000018,0.008064703957937125,0.0,-0.07526885264633632,-0.038461538461538436,0.0
2020-01-23,-0.0032224151765122278,0.0008255653654170025,0.0,0.0,0.0,0.0,0.0,-0.034883727377462925,0.1899998658895412,0.0
2020-01-24,0.0398706784704419,-0.009896929425262213,0.009501227805094992,-0.08695654427396826,-0.020408163265306145,0.0,0.0,-0.012048222435590672,-0.08403357783663712,0.0
