Date,ADI,ADX,AIG,ARW,ASB,AVT,AXP,BAC,BK,BRK-A,C,CAT,CMC,CMI,CNA,CVBF,DIS,DLX,DOV,DVN,EMR,FHN,FITB,FRT,GAM,GATX,GE,GL,HBAN,HD,HNI,HST,HXL,ITW,J,JEF,JPM,KWR,L,LEG,LEN,LNC,LOW,LPX,MLKN,ONB,OPY,OXY,PCAR,PFE,PHM,PNC,PPG,PVH,R,RJF,ROK,SEIC,SF,SLM,SPGI,SRCE,STT,TEX,TFC,TGT,TKR,TRMK,TXT,TY,UDR,USB,VFC,VNO,WABC,WFC,WGO,WHR,WY,ZION
2018-01-02,0.014039960501083915,0.004657361057399001,-0.0013428476343079199,0.010073343137720014,0.0,0.009338557834827954,-0.0037255705285642593,0.012872676592241561,-0.0007427813084904811,-0.006199596774193572,-0.0006721474714190823,-0.003426428157122796,0.06801119924191279,0.002377536612589104,-0.011875628355176304,-0.00297120438145948,0.039903265444770186,0.0015617174919817511,0.006931825529362667,0.02004846756206069,0.015066635679518381,0.003501959990102277,0.0029664238796094367,0.007078221593324274,-0.0023255909441377565,0.029922811319201825,0.030372663410001444,-0.0055123487429220575,0.002747198723306088,-0.007914364810827412,0.013482277793809061,0.004534301871684798,-0.0029100917201290155,-0.009469733977631067,0.013795957686194127,0.010947414812990885,0.009444401958093707,0.0051723207567178076,-0.0027983223500754884,0.0027235410103403357,0.025300442323160865,0.01352910084798542,-0.014202608829003815,0.016755603986628342,0.0174781249440219,-0.002865278829073392,-0.0074626621770971235,0.004344218641466391,0.02729353118764477,0.006074210321656226,0.003609047002789856,0.0022867701742494972,0.010101012415727473,0.01282708215231132,0.02649438541543714,-0.002133571962039893,0.006671626910071504,-0.00027825519754820505,0.011585022975330705,0.003539655714860146,-0.007556317914103383,0.0036400822082987006,-0.009117957983200031,0.007673378508892714,0.004022577380744741,0.03647498597326004,0.04374342906200401,-0.001569571159208527,0.012546357582501999,-0.0003712622354830053,-0.011942053918311268,0.008398834355725304,0.005675916077086951,-0.01100047500555923,-0.003190457200644925,0.006922200716662497,-0.002697565942448965,-0.0038543849019428977,0.0011349441599421972,-0.002557383592809326
2018-01-03,0.01240595645571907,0.007946918332203401,0.011092536559125676,0.006648619889329632,-0.003936930600762167,0.012253204053245703,0.00616539166482255,-0.003344779102132933,0.006131810071753563,0.014031884498994174,0.003092636497897594,0.001528041206441344,0.06719379191481001,0.011013378132166185,0.004768799539641044,-0.0008513341719554868,0.0042933087774303935,-0.011954330833474636,0.008063669203565604,0.011603081648030367,0.009188387414110322,-0.007477332388690083,0.0029576502353239054,-0.0037385508964243863,0.004079047196415608,-0.020462244171607913,0.00945489314346104,0.002882131682447442,0.008219111180084226,0.005212139732532206,-0.00869784548545427,-0.0035105863017282912,0.013458621809742555,0.004175585618499511,0.003439497684083914,-0.0033607904490495777,0.0010189843001102705,-0.0007915287758035738,0.011625785648145648,-0.005014452676240788,0.036859924673585676,-0.004620382208904261,0.004365525904821865,0.033708113090178404,-0.009816217102740943,0.005747450233302587,0.013157938063715013,0.013787475859911691,0.012188301032973081,0.007409315285846763,0.026970639846598532,-0.00020749741299630475,0.0016101397362628944,0.0017268133874550617,0.011689576806434232,0.010578554502412851,0.014620949806711803,0.003062012160253147,0.019419190542897757,-0.0035271707447760425,0.016059827196497567,-0.0014105271123224794,0.007340524485105915,-0.0032931764211785453,0.010817162528858004,-0.00680170563241278,-0.020467475079068653,-0.006287309614654291,0.00575918435903966,0.005198518339050606,0.007357073712876527,0.00980904787530279,-0.008600005523124343,-0.002845251721414699,-0.015498573956158168,0.0076940314118392195,0.017132580455434754,0.005059455260266743,0.008781862432677423,-0.0011836355321851455
2018-01-04,-0.0010939365712949733,0.00854175854536754,0.003989546974056513,0.01210858412307747,0.0019761430122022805,0.013586953713032646,0.016633097197675806,0.013087445406189113,0.009972204731866885,0.002037311815408227,0.012334422758626395,0.013733361430778857,0.007407301132679844,0.015306489389636413,0.007025061970847846,-0.004715093071677501,-0.0004451171103546647,0.00618121869781163,0.00575524533455174,0.011938178027784518,0.0014007826087520936,0.0010043114307605183,0.0036041133499009614,-0.03534728231797779,0.007254841788687072,0.013235352138611711,0.020936717465323218,0.0042074277355070855,0.008831582917296021,0.00793613741218846,-0.0010327048741073375,-0.0025166951500357193,0.008800090773983138,0.0011444597874774587,0.010283566079989814,0.005620070991966264,0.014325876492051526,0.0006602030709494944,0.004953332725940562,0.0023098920383777255,-0.004164726673614005,0.01779510446885446,0.007824295993755559,0.00978246563313978,-0.007434650719737257,0.008571203206805489,0.01484207999177567,-0.0005335437301777768,0.012718226660249021,0.0021793857486556156,-0.01283962583890741,6.955716262768696e-05,-0.0060921907900414185,0.015875340548439087,-0.0017159006948820332,0.008240476803719865,-0.004437435010016588,0.013877786636114164,0.023282326010370502,0.012389327106485437,0.014986820261404965,0.004035390189641275,0.010776989863771513,-0.017964189805277808,0.012088787857981842,-0.01965162413921384,0.006965018967250991,0.009806900610753955,-0.0008675319638961065,0.0022165823245807736,-0.02034439648834474,0.007697930816800147,0.022770308879528578,-0.029831142528559562,-0.005304704432361196,0.01250787504776385,-0.014184697496958165,-0.00011799419996127991,-0.00814410887094752,0.004146703477949432
2018-01-05,0.004052240981714972,0.0019542324921979493,0.004138889692413494,0.010634407896289666,0.005917351284950412,0.018766321644143158,0.0022804282153383593,0.004637173385200866,0.0025596218016021854,0.0033575583330005543,-0.001324247404870138,0.015805101135225152,0.017156769588658305,-0.0015955783306711435,0.0001887587184545847,0.009905536494549727,-0.0054353654923406935,0.009540852805225875,-0.006983190402930939,-0.002775525093268616,0.013148782013058469,0.017059789695249794,0.0026118373611809798,-0.001400357496223581,0.002016696374095517,-0.006610071688838537,0.0005397803504973986,0.003969008484449921,0.008754176170287176,0.010445648354842296,-0.008783037346930533,0.00201818633556039,-0.0004758374992853698,-0.0007221084490276475,0.005162768157424447,0.0014903568514705867,-0.0064198564981485795,0.009369818288899712,-0.0019714425362308274,0.0035615961693458154,0.009409970388999378,0.0020269498490086413,0.02156614839725779,0.0035876542385551158,-0.004993952010167058,-0.0028329505629910434,-0.012797035049585959,-0.005469291745202276,0.0033397135819541734,0.001902567820450285,0.020987546620144792,0.0012446614703163217,0.012343840894516456,0.011808604518070975,-0.003552577718880956,0.004528383796161384,0.0015525635941100457,0.007254095031248742,0.026889413738900858,0.016608443733290956,0.013381050364525304,0.012861612866493122,0.000914035477105557,-0.012825684167704132,0.0031330586470443844,0.010630335437379568,0.009881457007702377,0.002819627558759974,0.015977827721254778,0.0022114844289831126,-0.001331194577110173,0.006184149943849526,0.003180735547410718,0.008556302548136552,0.006365082915577247,0.006738615934855696,0.006294904973123128,-0.002014260917912125,-0.0014156374509626257,0.0003933489892862241
2018-01-08,0.001745821347412635,0.002600643679719017,-0.006595083546081737,0.003587266072109685,0.003921287510103566,-0.0004779048260935559,-0.009200666448427985,-0.0069239591699796765,0.004194800729028447,0.008805240029848171,-0.011669693859098551,0.0251297885407451,0.015261145319856562,0.0036371410336233367,-0.005466651820630997,0.0,-0.014334298876059304,0.004660819051775622,0.0005860684941894068,0.0032472607066869053,-0.0031757116999614476,-0.00888024582245539,-0.0003256503258152188,0.012075442896344768,0.006612913933945697,0.007604767908500065,-0.014023979242721585,0.0029653474962156867,-0.002002768865862148,-0.0023896703596173463,0.001563808889390783,0.02668669973263027,0.019200245736911592,0.009275363424674943,-0.0026414341592371215,0.01376495954006085,0.0014768293183238246,0.00019601674822800064,-0.0007902909345397502,0.008768294742020899,-0.0051790911338339685,-0.0018965504439103498,-0.010872141438729055,-0.011440634164123109,0.0025096268095274876,0.005681857642085841,-0.007407298639705906,0.008584586709405206,-0.003195632091657963,-0.011123196352841758,-0.0028947696710668325,0.0018647772140107932,-0.0016818746231277437,-0.002445748119030977,0.006095295076988361,0.008136496079371947,0.010201379131430599,0.007473795701774755,0.0023240288758559213,0.005158968555972976,0.008423454683720522,-0.008928209594003866,0.010956914423828401,0.007241764535869111,0.005270437617032719,0.009466501578317077,0.001956953846242726,0.004686115145982717,-0.002564022116239739,0.0036779994180362596,0.0026661473595017693,0.0014464148973380997,0.021928469467178857,-0.011399940446786938,-0.0025642388855527942,-0.01131462111934367,-0.017872990926927734,0.0033831074737784572,0.006521208589475913,-0.004914441733259833
2018-01-09,-0.0020691812902632334,0.0032423723445038632,0.006307025947903444,0.0007148523576265831,0.011719130352935148,0.004308207169151368,0.0036946044330998795,0.004980332279346911,0.009081235865026294,0.0010520086790715144,0.010465688917416394,0.002409131836430989,-0.009493769845299371,-0.0008783661849957047,0.004359298910960874,0.011087068795158972,-0.0007271525536571843,-0.006829494400990455,0.01571661115046652,-0.016416284076328558,0.0016623252549392564,0.008959811147972285,0.017915333286458335,-0.034408427656761775,0.007426525842513687,0.011949643981358005,0.015317681089970003,0.008102347706617996,0.018729008486517262,0.005519665977586685,-0.020296661078792466,0.002452513670101464,-0.01759303643484522,0.007697884574312752,-0.003678778645489711,0.012844240127658502,0.005069109070500177,-0.011829935179241913,0.01087372687774546,-0.007657329401623336,-0.008329647238815796,0.03905342081826424,0.008963847564020355,0.003254847874112121,-0.02127653667289009,0.011299513059542576,0.0,-0.003989692749023388,-0.00040069547123311455,-0.0010971856691484039,0.006097022559498955,0.019096798214949917,-0.00421169506407737,-0.01106909930906863,0.006630291928279686,0.015922932486132524,0.003663352874615944,0.015646027403383833,0.010820996156068796,0.0008556955893335161,0.00033844244066361107,0.010610532671031958,0.017561427931070517,0.0027488559763158005,0.011456286966207374,0.029175406538936022,-0.0019531316577329205,0.011815978216549894,0.0017137862053360209,0.0025650191336510364,-0.009651967585255217,0.006858807355143659,-0.015899521448494602,-0.011397458553821682,0.003599028399177362,0.003545797041162091,0.007292765963554881,-0.004022523170586156,-0.006760812724939669,0.02350864490224347
2018-01-10,-0.01669557303917313,0.0,0.006102537965428034,-0.01952612729325809,0.015443909385305377,-0.01572954981807051,0.006963753478804513,0.009249912193089793,0.031317383635164786,0.012643678160919603,0.004514398136057363,-0.003364854075060486,0.009185518419811967,-0.007694068969724244,-0.004906576252668771,0.008435828934095113,-0.0042750842753706,-0.007655521548491473,-0.012974689935948858,-0.00846271109203045,0.0037333672981061383,0.0024667915263607565,0.010560013805047896,-0.012755089507393791,-0.002835326454306175,-0.020198898807950894,0.019935300069930273,0.0074943070195070405,0.01641505893683748,-0.006732176320937033,0.004515189788684593,0.010273943159445187,-0.009984094174563363,-0.009178723068103523,0.0014769448112279537,0.0086954167591895,0.01100432397380513,0.008466210931201701,0.0015645846032905641,-0.009801556627148544,0.02384870698905872,0.013589724500306266,-0.004018996075961678,-0.003965197607072923,0.008951029772205077,0.005586216472303063,0.005597082639901219,-0.008545988219421652,-0.0096219036372861,0.001647826524744156,-0.02828297818692782,0.012176943095050019,-0.013618301693162027,-0.0015588743410728245,-0.010107149007614336,0.013419453200765874,-0.0030580667277012585,-0.003983937597178744,0.004740885400440709,0.019657818178590247,-0.00919650308688369,0.00950894976429928,0.028106126513996355,0.0033743419209075753,0.011902335688958487,0.022997091812470227,-0.00782764023471183,0.015672801240527612,-0.0008554270835325894,-0.0010964952672624095,-0.014347331437669641,0.007529564806950884,-0.00013137275141461568,-0.014512501694459279,0.0064891247652409945,0.013813113799381327,0.015384478674693058,-0.012828790157772385,-0.012194798339072666,0.01042257923402512
2018-01-11,0.011985123423811084,0.006464155588319587,0.0024591401253915013,0.011414723240118274,0.009505416998721206,0.011622642613842382,-0.004840706068233613,0.0036007107164370833,0.009249763370260622,0.00518890870763733,-0.0011896504716651934,0.02007628501967096,0.02176478228187717,0.018497682130975912,0.006258413108712668,0.017565386888029,0.013885166275040328,0.014252089845902871,0.007887063728777788,0.021100068861940713,0.017771123963386204,0.014271574835690082,0.008866517188716783,-0.005087178498024092,0.003980900895237838,0.03171573288020291,0.0047540287432108475,0.0010781160772230791,0.009690045008454273,0.015015578166289512,0.036753096304412924,-0.0038741980890928396,0.02529213651425688,0.010101224930110453,0.024922755088546023,0.005028641036381121,0.005351392259985488,0.029055191702670013,0.005858123393117642,0.022957216051872065,0.019191564908358716,0.013407389185856378,0.016671768573705892,0.018820072110419916,0.03675592942305461,0.022222313679129524,-0.0037104772337593905,0.021144850519031255,0.019700461388230117,0.0024678734207017605,0.02524533321621547,0.012498657674291369,0.008232292066500557,0.011636551730184186,0.024435220252425838,0.008156769485875515,0.019838865634316694,0.007733252829344783,0.019939075825363695,0.0008379314639141988,0.0044988792273978895,0.020407797632724378,0.014676504212348673,0.01345091623834338,0.008537285834958164,0.046231993327664034,0.022682343304601282,0.018154399426795864,0.011814961008661085,0.009513713860537454,-0.009063291406351759,0.008541001601514164,0.0140563510817302,0.003028102832995261,0.009162062526546277,-0.0017428297508710333,0.01604261716120181,0.016966504589972953,0.0045937088766052625,0.014517929829453324
2018-01-12,0.009101798878393463,0.006422638652780366,-0.002943775441232366,0.004562339407384153,0.0,-0.0007183683424774046,0.002382606658460018,0.017286435696666658,0.010202051692673741,0.017018874011937468,0.016940215395364167,0.006501419950761145,-0.021011336501401634,0.0015226221744415458,0.012815877573983725,-0.0012331874571913648,0.013334356808462067,0.0012890296030012571,0.006086126027578853,0.022521572295438164,0.0004058642327955386,-0.0014559587957213571,0.015379426226213466,-0.0032464001593748293,0.00792953664134477,0.021826023775104897,-0.013669798036646585,-0.006568809058609237,0.014075308094420702,0.008937627115005897,0.013771866582821257,-0.01020907770437951,0.00858694003446936,0.008993961070006495,0.0008629165555851248,-0.0017870192372582139,0.016510332026636432,-0.008668320098315085,0.02465563527716319,0.004735176825947818,-0.004456282896705077,0.005601913855463936,0.053478510045747774,0.005328495022578039,-0.00855801883248819,0.0,-0.003724639537443175,0.009364413008105421,0.010983786734714007,-0.0005469421299965083,-0.0011591595385433973,0.0023102555388752055,0.005103484822253979,0.00736392053751489,0.005822973012844956,0.017021997554577784,0.008634892377128445,0.014157242637130807,0.007013672524748493,-0.019262605900108642,0.007029248324859294,0.004615317503543714,0.013801972737254475,0.012028049354621206,-0.00037604395032797555,0.03783797927028809,0.006750177493159537,0.003566196853050041,0.017938740787864615,0.0003623231944043237,-0.01053243387768632,0.00529295412005748,0.007902821828954076,-0.01317250036810258,0.011095876380241121,-0.007300403108256637,-0.0210524461616608,0.022007853239527808,0.007716192541782574,0.003200816630690717
2018-01-16,0.011736552359410846,0.0,0.0014762721452439287,-0.004183082129563087,-0.013182515438671438,-0.008143463387708882,-0.006239824309875575,0.0016030351987195157,-0.015063126066540589,0.00011420413990004263,0.0035138102759066925,-0.005813514218225069,-0.022655276523880552,-0.008849822376283512,-0.01618931722078043,-0.010699360647309919,-0.015826438855277125,-0.011458495241866595,-0.007489410053874823,-0.017711395548414166,-0.014612150266101853,-0.013605189288895092,-0.0021636684369626957,-0.006188102749500768,0.0005620874556315769,-0.011582607820030955,-0.02931762942364846,-0.008997565571090882,-0.010725300439725527,-0.0005601831185236827,-0.01610045282385153,-0.001964466844427304,-0.012229007923575397,-0.007623925804466691,-0.002012517342184328,-0.013605505249929428,-0.00355047969273925,-0.011180372337455169,-0.011178732369339639,-0.007377225194467041,-0.006930032537520003,-0.022046258235850047,0.0010902366612584036,-0.02296811997661674,-0.0012327448027369403,-0.008152231897517126,0.003738564342004702,-0.016464233538427075,-0.005628791825519119,0.0016416444988387457,-0.020881392392472775,0.007743952788301645,-0.012947463774135137,-0.01552606341920526,-0.014473266016911235,-0.01229466369700205,-0.013947740746608095,-0.009002156312765797,-0.027267229864477827,-0.02049554911379048,-0.010189230949682826,-0.016079579902867458,-0.011842441427420969,-0.004302915169698496,-0.0011290663888179342,-0.023958729608040685,-0.01149446374886276,-0.019247912950988377,-0.022776212581146593,-0.006521953887744902,0.010364258833744477,0.003334774044722044,-0.01439571990975752,-0.009872167260581599,-0.019288267573560502,-0.000799296117081072,-0.0501793677292498,-0.02199694621275261,-0.014180242490144712,-0.007132305329411559
