Date,FEX,FNX,EVRG,ACWI,ERIC,HBNC,POWI,TBBK,UAL,CVLT,SBUX,MELI,AMSF,FITB,INDY,OCFC,FORM,FAD,SBRA,HBAN,MRVL,CSCO,VRSN,GBLI,MU,CACC,KDP,PLAB,HTBK,QQQ
2019-01-03,-0.020137962208955584,-0.0162601905373857,-0.0037580363252468496,-0.016994120346055963,-0.03939765541606133,-0.0018806491473114528,-0.07855376945457893,-0.015776713355815652,-0.04965550356405468,-0.028899719482935793,-0.0433770659323921,-0.004764985675652866,-0.0009097565576204891,-0.0008267401838847332,-0.016813944068555742,0.003524401961058743,-0.08457708643881867,-0.025349623293223655,0.042314830632694145,-0.008237357664964806,-0.04424245374749858,-0.03636780249655669,-0.03498911023970808,-0.03604102072068993,-0.05343514775292579,0.014901183437195042,-0.003581512007970633,-0.03169728777162284,0.007633395674065069,-0.03267029960146006
2019-01-04,0.0342534939740089,0.03622283438416063,0.003951871438989896,0.03187945068725462,0.04825121152226419,0.03266353812850764,0.03798830754993876,0.04192357176093786,0.03350000381469731,0.04087491294174028,0.03315460782319768,0.06318483585341639,0.024581406369292624,0.023986980680316794,0.024927659469101915,0.015364178991174704,0.045807464856028046,0.04948476450914363,0.03223889741708219,0.028239354249109505,0.029803321277210193,0.04504520983023541,0.04474385343450549,0.028760422354726645,0.05483866107987989,0.0334911551710273,0.02076692432757743,0.022175293793614603,0.036195354110257094,0.042784238332341795
2019-01-07,0.010976325432835221,0.01578156525481189,0.0010735325193864664,0.006148405756187136,0.012658215004035966,-0.006690994599022115,0.010137246761365182,0.009467446806133317,0.006652189764486227,0.006889385148475924,0.0,0.043161184944970454,-0.017593894196219817,0.0056540848753907635,-0.011877888171212492,-0.0012966036765258426,0.0096510847708835,0.014000796619704436,0.0213996754833079,0.004038728194836194,0.02278334200353549,0.006756710480413375,0.01631179095763069,0.004193523540585664,0.039755314767571104,-0.004164042929424294,0.012519489482573087,0.01756199079901344,0.005686673993274605,0.011905680405767338
2019-01-08,0.011231686964521703,0.01520204569773953,0.011796015978837282,0.0073325408865621,0.018181714945696648,0.007348232831398738,0.011396708055544824,0.0035170794354828505,-0.010212736624199747,0.025145419837913963,0.0007867270089401135,-0.0013680677439388278,-0.007055000682638535,0.00522089579580487,0.0025758926012748873,0.007359215191649948,0.0014705517300281912,0.014600764350702233,0.03227612013699388,0.009654230908089367,0.0048163236134934895,0.008099810046982459,0.036459830758050815,-0.00445440289770016,-0.007647074983473723,0.009986219950251396,0.00038654785788416746,-0.0020305032476239937,0.0153471427760421,0.009045815074169461
2019-01-09,0.006293944060079548,0.01151894526718511,-0.009715410181950546,0.00925086093755012,0.024553549315499357,0.003039422896701449,0.030945037672593934,0.01869157004308586,0.01675169857759662,0.009511091138355798,0.004086703880177733,0.03491735383632055,-0.009109240830135201,0.0007990277470077967,0.001427401913451476,-0.00816494331630746,0.0073421719757689186,0.004849077386409384,0.005485538122542488,0.007967727734105923,0.023966544778969867,-0.005509376297770707,-0.008156969279829673,-0.0016779616251326734,0.05038531754309994,-0.0007549499836345674,0.022402384038103573,0.05798572728872631,-0.00477333121866963,0.0081493024965269
2019-01-10,0.004783120968725907,0.005856504037837773,0.014270331909467693,0.004658135505402727,-0.0392156285177071,-0.010302738707117287,0.020881118048995395,-0.021789051403590887,-0.028533898384592304,0.005123989641173887,0.004852840758970078,-0.0010883490013159358,0.004780481051020358,-0.005189434595212372,-0.003705796006413853,-0.004766440588404253,0.01967926376344198,0.009184302325758953,-0.0005455518708795681,-0.007114466387684537,0.0011705517384215103,-0.0018467761713958364,0.01362111188281645,-0.020448032691201212,0.013262082611447346,0.013502007208904931,-0.007177917009328572,-0.001923029309897406,-0.003996908975447799,0.0028603539535787537
2019-01-11,0.0014646057068596896,0.0008086617972491439,-0.006858922155352776,-0.0035894698509932876,-0.032879975542712714,0.0018370390200597164,0.016618466390036613,-0.0058616872567529565,-0.01597644104555984,0.004440066628287553,-0.007166166174057964,0.015783786115440845,0.0027446385052156685,0.0056175832239167,-0.005436554897689572,-0.01175444925114999,0.009292360011992074,0.0001540452314099383,-0.004912739442859637,0.0055731467458515205,0.012857545596523856,0.005781394714939658,0.0010776096520261902,-0.0051471790096441206,0.0027846695274094113,0.01623181411790031,0.02739718679633829,0.00963385613611778,0.001605267137389843,-0.0036586179769778626
2019-01-14,-0.006215853563278917,-0.0037168921035938274,-0.007614835413869203,-0.005704209613504707,-0.008206311692919077,-0.001222702365285544,-0.037409436223400316,-0.015330090540584873,-0.001998201989817039,-0.014407351698339621,-0.005648874944248594,-0.015016735787939162,-0.013686180090632494,0.012370304725464853,-0.012082731672858449,-0.007048137620583872,-0.018413614092712915,-0.010024354045068518,-0.009325163822015758,0.015835350214000288,-0.01673355132354215,-0.0064380233368287465,-0.0058887497804704925,-0.029318966198105367,-0.03721205846251019,-0.003951759118823395,-0.02407391569965267,-0.0028625700650355412,-0.003205060079126687,-0.00883672817605008
2019-01-15,0.005886829288571205,0.007299273012841168,0.005531680623031221,0.00905805767375334,0.0035462796547620634,0.00428400684999275,0.024657021678664348,0.008383196601950083,0.016143076298524628,0.01461795775685415,0.01120396395469947,0.03040297090343702,0.01517119422409241,0.0035477321170427345,0.006988960870769612,0.006211175261679802,-0.021644967135047377,0.01199564568604905,0.008859139272699323,0.003897074356557173,-0.011737190593527735,0.018745536924756667,0.021974557261846828,-0.0005922313364772336,-0.019613054959434106,-0.017984005549467996,0.008348969642449466,-0.007655495231217668,0.009646316387878162,0.019526508194888992
2019-01-16,0.003291976604878677,0.007729387278774702,-0.0010646809366398058,0.0028426533206324933,-0.0011780313969531608,0.015844105355976135,-0.005259030061860459,0.016627119008812974,0.06354684551772105,0.007694783757633994,-0.004837625616783248,-0.014795751458083872,0.004738539197756131,0.03142189628196124,0.0086754902967896,0.013227296518028675,-0.0036873295861060695,0.0033866843995933316,0.024698146527553755,0.03027980791276308,-0.011876588374884589,-0.0013633220369739796,0.0073543519068515195,-0.004740731670270781,-0.012062674581206356,0.007136666130182601,-0.011290907307156761,0.005785961454083832,0.022292844547107116,-0.00018464826662545342
