Date,FEX,FNX,HTBK,ACWI,EVRG,KRNY,MRVL,AMKR,MELI,ERIC
2020-01-02,0.004752159356465002,0.0012418522821502354,-0.0023380758184521344,0.010346914691100606,-0.02534955681636253,-0.016630376699404037,0.030873572983334263,0.01999987247389079,0.0668776442226886,0.026196042264102104
2020-01-03,-0.005034972255459458,-0.004546872308106353,-0.0015626441921039458,-0.008617711382062243,0.0009457646466464187,0.0014705882352941124,-0.025931188285407636,-0.027149157485580555,-0.0039168367866974085,-0.017758149152722003
2020-01-06,0.00015319553160075827,-0.00041525035490275197,-0.002347326028619978,0.0022677278075537988,-0.0028348410908757282,-0.005873621036985299,-0.037120503756393974,-0.0038759868261348807,-0.0020565976062930647,0.006779709076101481
2020-01-07,-0.0001531720663247027,-0.0020768879701529297,-0.014902098746199521,-0.002513797306123,0.000631831838973751,-0.005169819249399521,0.02219609909621023,0.014007814948268749,0.03041795825297866,-0.010101016027768583
2020-01-08,0.0029137524343756382,0.0022197838934068237,0.0023886511839312785,0.004914242337420882,0.0018940701071037402,-0.0014848759184863392,-0.007619044066494163,0.0015351149494482463,0.01350400390624995,0.009070183077153793
2020-01-09,0.004892683499291506,0.0012462094086660436,0.0,0.0056426478720081885,0.009451838672764445,-0.0044609663302370706,0.0019195540416032664,-0.00919570930156599,0.02050705699720412,-0.003370941179073661
2020-01-10,-0.003195029599559862,-0.004286578788712636,-0.011119918698549891,-0.0022442274331800904,0.006710296764303569,-0.005227638120691713,0.015325660723753298,-0.0170145687200145,0.03565736128294028,-0.02705717114250139
2020-01-13,0.0064108560075972765,0.007776456083775418,-0.005622269571629257,0.007498143603416274,0.011161006381255723,0.000750606295933931,0.03849056402989226,0.00550729027550223,0.03229371414818094,0.032444894162099835
2020-01-14,0.0012134948589350714,0.002618360597693492,0.004846335609484775,-0.0008684741891968883,0.0052122411082904385,0.00675154339532158,-0.0003632757984168844,0.010954572603591117,-0.056475140559262615,-0.01346810829614975
2020-01-15,0.00030299039076009393,0.0009622759088885324,-0.004019240670050328,-0.0006204910368367011,0.015708530907903473,0.0,-0.028716834409687197,0.004644238602371953,0.012130558154315407,0.0045507022456130475
2020-01-16,0.008935540400001107,0.010984221480327738,0.012913769761662586,0.007329091738353499,0.008258465062572773,0.0,0.05726003114735323,0.019260408937774587,0.00981854252503811,0.02831268298099765
2020-01-17,0.0022513414490554773,-0.0006788537716121423,0.0031870205764956694,0.0027128277465608974,0.0026801750710367944,-0.008196483369072083,0.008495891599308303,-0.0022677850528383114,0.009828028054228222,-0.007709283370013753
2020-01-21,-0.005241948018183118,-0.007882652233853205,-0.014296918922030666,-0.005411079634161098,0.01990198864328785,-0.020285544834332425,-0.03439792411328013,-0.007575483294266161,-0.02161927398083685,-0.01331843456994486
2020-01-22,0.0006023644669077566,0.00027406403716701,-0.002417310256355054,0.0007417049960456445,0.006407687791500916,-0.0007670184993462392,0.009814502555920868,0.007633309301358526,0.007122683663247642,0.007873786797275573
2020-01-23,0.0018056330012741206,0.0019170272378365993,0.0024231678047423877,0.0001236813884495369,0.015771786722813763,0.004604561780337413,0.008639134369310408,0.014394069486766803,0.0002714207481788744,0.002231985845677853
2020-01-24,-0.012165776436760423,-0.013121725866153122,-0.04029041217333962,-0.008277750106380877,0.01666657957723494,0.003820249072446824,-0.025338903084910713,-0.04480968911022154,-0.004145749369318108,-0.07238297416234174
2020-01-27,-0.018093303702116148,-0.013573408832722178,-0.019311191821376195,-0.01856238417324385,0.00532459872094404,0.0,-0.05272802240157182,-0.0734946899414014,-0.01017292616250498,-0.009603724337128972
2020-01-28,0.012542413557617094,0.010531050832987221,-0.008561870423791418,0.009393362928087123,0.005993175104684889,0.0007607909729483442,0.017781273074141346,0.014345917809624575,0.03190283213362055,0.008484743936828298
2020-01-29,-0.004281832602141211,-0.0025014217268939376,-0.008635468327225837,-0.00012587440772815484,0.00013848518736758741,-0.009885882351909347,-0.047094438709568975,-0.008319420381162401,-0.009055586935118098,-0.02403830747001945
2020-01-30,0.0032252158377357176,0.0018107585423041694,0.044425064950332604,0.0,0.003739986370023596,0.008448687510568265,-0.011558448157450552,0.004194478110408184,0.0036942788657015058,-0.01600994022857405
2020-01-31,-0.020208225020988624,-0.021273467142875035,-0.03252714846867666,-0.017607751716138487,-0.00414016767296066,-0.05940602369822834,-0.03064533144826853,-0.06015051992897191,-0.012040318418186535,-0.016270283419341114
2020-02-03,0.008437279619323945,0.009944081305377939,0.01982771768742775,0.0067852189470536395,-0.0048503323161559475,-0.006477731785296426,0.0070717926539412,-0.007111109008805627,0.022594239017722506,0.0038167467866938587
2020-02-04,0.016733822617119865,0.014911176156741313,-0.0008547266092393535,0.017166772504656036,-0.011279803807055622,-0.011409941162807358,0.022718010833099767,0.025962597690820877,0.047022044604873026,0.02661615769706427
2020-02-05,0.01142995304567962,0.014553113461001299,0.02138588836292521,0.009501330907976335,0.0002816415781554671,0.0008245606454582166,0.04361832437696611,0.03228630868020699,-0.04792488546772378,0.008641867472385156
2020-02-06,0.0007529007662490095,-0.005874490269398569,-0.008375243326379733,0.0019812349989090094,0.0042241137873157975,-0.003294997430714819,-0.0034827319278619706,-0.03296725160677083,-0.007161497785190818,0.018359697085545745
2020-02-07,-0.008130180801906417,-0.010306740418657756,-0.016047340913780683,-0.006550512227678107,-0.006309484719098313,0.0016525744905577788,-0.06718453158676874,-0.03146852020854318,-0.03722798877608047,0.054086575803835135
2020-02-10,0.005313015108201702,0.006526216072436863,0.004291863226312254,0.004976514579707603,-0.0011288371268163289,0.0008253469264285496,0.0054121084737139835,0.04241901088407496,0.018900282604801477,-0.007981658181953066
2020-02-11,0.007247301879533596,0.00758741867784174,0.011111001155387656,0.005075574828298013,0.0007062267751583029,0.004121852420653438,0.05590065133821853,0.14632028096170435,-0.010042060598417724,0.0333331886693371
2020-02-12,0.006595719833575542,0.008625267619949861,-0.0067622329312782,0.006651205540046501,-0.0014117292763831113,-0.0008207550336082337,-0.0007844899087641188,-0.018882338919340547,0.07396951070901836,0.024471788599909727
2020-02-13,-0.0001485853056629738,0.0013574140087211362,0.005106425475594811,-0.0045273102514868935,0.01145076371516307,-0.0041088308959317255,-0.010203916152389692,-0.021554876713356097,0.026735477375381844,-0.014115043943596861
2020-02-14,0.00014860738653688088,-0.002440387594881077,-0.011854715895164958,0.0009833966226471258,0.01104104446928833,-0.0016498479938497068,-0.003964910684099099,-0.006294333586072898,0.02293568785827449,0.0
2020-02-18,-0.0016378180942244747,-0.002989314010350741,-0.009425829698531563,-0.00392941294523208,0.021287959585836846,-0.0024796030855823714,-0.013136889760719472,-0.04513072158626763,-0.008925045198616477,-0.00991209112624103
2020-02-19,0.00581719741337805,0.007360297811526362,0.0034604248999792198,0.0041914906688780285,0.00040641868441460005,-0.004142343035606122,0.016942088304505054,0.026534071406781656,0.019616964497053857,-0.0011124626966064755
2020-02-20,-0.0010380422949455292,0.0032470594843827527,0.00948259503679183,-0.0057699499728239845,-0.004735554456133495,0.006655679945687609,-0.0031733575616035292,0.049272936603404816,-0.0002019056209143777,-0.005567926065269457
2020-02-21,-0.012618798575749435,-0.011732811399887022,-0.005977644104317115,-0.0077785926161280106,-0.008835884198632904,-0.004958782542738516,-0.0278549422101243,-0.05157825559333162,-0.009413069145475794,-0.0022394194148888102
2020-02-24,-0.03202548692700591,-0.029476000674065972,-0.024055035435437744,-0.034345509002729924,-0.012618764727673537,-0.02823930608706482,-0.06017223651189274,-0.09821403281174479,-0.08447519803651982,-0.0359147164104725
2020-02-25,-0.0344824845652999,-0.03965153579244751,-0.030809985468673307,-0.025644236015198385,-0.026253515015254858,-0.013675104147328199,-0.013501578148075954,-0.05670580172837825,-0.06453244521531643,-0.02793959399283208
2020-02-26,-0.011261349771444551,-0.016837478895266655,-0.0018168216940042115,0.0009256873467129445,-0.007418210170549333,-0.011265329963443538,-0.012803770397262992,-0.004770819617768041,0.003253948877728119,0.014371430360285764
2020-02-27,-0.03904982074971519,-0.036783308344744414,-0.029117025766017157,-0.03501576049021604,-0.0370794796524051,-0.022786917889937475,-0.0809478846324464,-0.042186076234154046,-0.050707995272467055,-0.03778048368165088
2020-02-28,-0.00931243322461095,-0.014532883339924862,-0.03842555425306071,-0.010543668611670665,-0.024626836318589973,-0.021524547509609082,0.036496207767890976,0.045044946298308464,0.0267167154947916,-0.013496909602771723
2020-03-02,0.03589122980728687,0.029180910696440465,0.05750490054457402,0.03307507413432731,0.061821092609478656,0.034830542119568486,0.030986166453256025,0.009578589317027264,0.04233552718924227,0.00497513552098372
2020-03-03,-0.025903316217046446,-0.026067114742795994,-0.03225796008533666,-0.02384474866034647,-0.007782150155203449,-0.023193919198234214,-0.03005488091062658,-0.020872807609043198,-0.02706702166186803,-0.01608912679473906
