Date,AAME,AAPL,ABM,AEP,ALX,AROW,ATO,AWR,AXR,BELFA,CASY,CHE,CI,CIA,CMS,COKE,CWT,DRS,DUK,DXC,DXR,EAT,EBF,ED,EDUC,EIX,ELSE,FELE,FRD,FRT,GROW,GTY,HTO,HUBB,HVT,IBCP,IDA,JHS,KEQU,KLAC,LNT,MCS,MCY,MSEX,NEE,NI,NJR,NKE,NNN,NWN,ODC,OSK,PAI,PEBK,PEG,PFE,PNW,PPL,ROK,RRX,SIEB,SIF,SKY,SO,SR,SWX,TAYD,TCI,TGT,TNC,TRC,TRNS,TRST,UMH,UTL,VIRC,VLGEA,VMI,WEYS,WTRG
2015-01-02,0.0,-0.009512615754782239,-0.00802764883317042,0.007082130968086853,0.007502653541925586,-0.017460804352161907,0.0028700520988260703,0.013010838242890621,-0.002604164241347462,-0.07041683481438754,-0.014614768553121937,-0.0067190526808170725,-0.0007774229709799352,0.038157890196321986,0.011223233643291586,0.020902487447523432,0.0008126401476695744,0.003999980699731287,0.006104655738427889,0.003172145856416675,0.025787978344156137,0.0013631269643499255,0.0007423482039981,0.0049986815364309045,0.0,0.00045820391404305383,0.0,-0.005595340908297719,0.00998574145508413,0.017084055656707564,-0.012903436322836637,0.015376394740865607,0.00031154130435950833,0.0065522942579241406,0.0009089301686751039,-0.032183916794068956,0.001812830659755793,0.005598730505837146,-0.024719221618140885,-0.0004265454503473709,0.0012044112276297092,-0.007023335341210468,-0.010234911719471551,-0.008672961360492004,0.003763492229816867,0.0007072529379810177,0.0008173801477329157,-0.011648395590729166,0.013462038952896549,-0.0032065935077456587,-0.003983984962780629,-0.006988395751558185,0.0022305488197404966,-0.0022232554730625687,0.01183345535560032,0.005778380740456335,0.004830899841039127,0.0008258209849081322,-0.0014387413464015397,0.0022608541149415906,-0.04090918337721727,0.002401361774966304,-0.05679011694210623,0.005294359875939847,0.002068087243701777,-0.0046919689808814224,0.024390243902439046,0.0,-0.007640645340909025,-0.019121210221305418,-0.013238301361294336,-0.0029354878533902617,-0.020661130541541284,0.005235954987054203,-0.0046355020109187794,0.004098367762662258,-0.024114018749704536,0.0021261608553269085,-0.03134478209440672,0.005243614801362595
2015-01-05,-0.004962847626997724,-0.028171622290188103,0.0017592052563231153,-0.014718268725433137,-0.003133213554728842,-0.0018512455122255966,-0.0180679221594251,-0.01703769604534444,0.02088777120580798,0.0192738510689896,-0.021910016807834776,-0.003811018087240714,-0.017213069364701017,-0.055766801605339755,-0.008253027331926233,-0.007455677279673778,-0.011774349394800598,-0.007968089196462858,-0.014396211707647044,-0.020237285078851697,0.008379869745860136,-0.006466019789932331,-0.0003757761393362591,-0.009496345875129375,0.008247380859060849,-0.00244254329281679,0.015345253570958395,-0.03804999952242871,-0.0028249583929990107,0.013555232689121288,0.02287577928555984,0.014602195880421664,0.00933688303590885,-0.027434123706473135,0.017249142543955598,-0.0031668710014771673,-0.01055649006445425,-0.0020879805116089667,-0.023617429410655366,-0.022336077393523057,-0.012180335544271115,-0.031555815834444556,-0.02317720385645139,-0.013560743655585905,-0.0105916934803727,-0.0117788079398492,-0.02889808269102201,-0.016099650504255436,0.012781617260655853,-0.017289819428320308,-0.01753840194207268,-0.030635418593536246,-0.001483662696275645,0.010584798814112117,-0.02434388030414525,-0.0054258907622468655,-0.006701698435751968,-0.023102424655144338,-0.03359155882761111,-0.022953404522507603,-0.014217977521764014,-0.014031480391744067,-0.06020948181461394,-0.004253329944370998,-0.01744534962381472,-0.01869315656718895,0.016190483456566263,0.0019416993901946178,-0.01792101802185264,-0.030230369313607452,-0.012383881261362806,0.0,-0.025316489680787813,0.003124957530332262,-0.0052060625591059395,0.024489736623608982,0.004492724036913698,-0.01602909791398721,-0.04975648031584279,-0.019374103830658296
2015-01-06,-0.02244384922828191,9.410012480226548e-05,0.004917426931910107,0.005477374866933005,0.005784947226983528,-0.022255484321081154,-0.006194024519502017,-0.01413381004655323,-0.002557542261826362,-0.04397540630590735,-0.00735215508920517,-0.008607135212310824,0.003958273169049287,-0.03355704783899316,0.0017219624559272617,-0.006838351003927934,-0.010682203794500689,-0.06827314917983551,0.016417351353877896,0.002581612992826665,0.0180055566161208,-0.01644110283462208,-0.04060162805296341,0.005630889681618179,0.063394588050659,0.0038255026647999735,0.005037778534604964,-0.02729773197198382,-0.022662700129401636,0.013083309903527462,0.03194910614718749,-0.007462703433037565,-0.012642427333884987,-0.01883719210000745,-0.01963410494420692,0.0015880824786096426,-0.0019816288331405696,-0.003486859224564154,0.0,-0.029540231092920366,-0.003196765645071986,-0.019663333442261566,-0.01569628296326797,-0.021285568699011326,0.0038843706979398984,-0.011680643579630279,0.0008408306470886195,-0.005882643095224904,0.027468602817030785,-0.00797890267273571,-0.019104295743653688,-0.02519797418876879,0.0037149399595683974,-0.013230469886924334,0.0012233571217921124,0.008344067506244945,0.003373413621476251,-0.0002814561398147841,-0.011462408443404293,-0.021455806865920413,-0.019230747520026514,0.0,-0.01949863616493941,0.012001737076283492,-0.0020999105336130253,-0.01441112527289834,0.027179002790949758,0.0,-0.00013548152180575812,-0.02680274381038772,-0.02473009927813896,-0.0529931289587664,-0.012986686558869809,-0.006230534905638074,-0.0016521339023185533,-0.01195211340788882,0.025717403793545257,-0.01908475710424329,-0.020139009269459218,0.0011398403347555597
2015-01-07,0.0,0.014022273778367511,0.016427782289937687,0.014195865913486427,0.014287951406882327,-0.0011377547426392187,0.014298849343765685,0.0029760343659024358,-0.0025641000560834293,0.0,0.011456866800916954,0.00414782793291768,0.02345758570209977,-0.004166629689710155,0.01632742237906104,0.006095523866040509,0.010382032244938166,0.00862064841834509,0.003206772371625366,0.007243086594366899,-0.02448974184200936,0.04771016196430766,0.001567304723949725,0.014830472766333092,0.05384594398054787,0.016768523269710567,0.0,-0.00286349599125324,0.0014492093463238653,0.020949788779161427,-0.012383906416862711,0.008593187934869295,0.008744469022290202,0.00019478918664628253,0.0,0.000793438602970431,0.008399471909218637,-0.002098868043425295,0.0011799760860757846,0.01664412309075547,0.016492921669344573,0.007449969944667734,0.034860303605129594,0.005890104589399092,0.009153347671731371,0.016884015868112723,0.016461926582269637,0.020656108421278185,0.01830438463637485,0.008249104847159794,-0.01756068884358919,0.01117232833520565,0.005920868983270822,-0.005586517438940453,0.01539196134188403,0.013685367539716164,0.023242549155295222,0.004505610204679877,0.0016970311952444472,-0.00041640058346981146,0.0,0.026726847345968308,-0.01420452660167415,0.01105517562708247,0.008800224744949903,0.021176683497966753,-0.023722648538037294,-0.011627896231359958,0.0378529982791731,0.0023951189377180437,0.0,0.010362734240704219,0.0,0.01567385920864739,0.017103559181771644,-0.004032365304055263,0.003997150474897904,0.011396906958798025,0.0033628513650607594,0.009108146184161559
2015-01-08,0.007653068745343994,0.0384221519880148,0.012379826099773172,0.008626524924638224,0.015448868317766484,0.010634021743177957,0.006687052799106752,0.03613796547111181,-0.0051414444230678535,0.0,0.04725414585431653,0.008262157804338921,0.050943712725567414,0.011157590356317693,0.005355190771138885,0.011780605036445735,0.0028770237279043265,0.01709403912387497,0.004025010618845748,0.011345390101305641,0.005578675315461412,0.007645021097808291,0.01095510167332625,0.006262837481349148,0.0,0.0055470959223347105,0.04761900209216785,0.02297529492690087,-0.03617928426984385,-0.004357176390103357,-0.058085519373772376,-0.0037278003090305267,0.018266365995167844,0.028159504572414562,0.0796540442735112,0.010301168161651386,0.010904380781171286,0.0014019615460560964,0.022981610593072688,0.016666935842272856,0.01577524515773754,0.0102391804457318,0.012542225819618835,0.0,0.006078155584142264,0.018263617516091957,0.02545057150317609,0.023084352087330284,-0.014900281323813713,0.018613093232046962,-0.0032499684422995223,-0.05112665092812241,0.0014718936535740301,0.0,0.008662109194546463,0.02040810285464989,0.0017139708618176819,-0.00392495007113125,0.02945638490082092,-0.0015268228106373183,-0.03431366906396882,0.0030426015152138497,0.008645607439449199,0.0007954953194750924,0.006448248785265953,0.01695179962098292,0.06542054408814169,0.07941180732973518,0.004689591535903315,0.012841208760302703,-0.0007142612072881249,0.024615361140324588,0.005847862435084394,0.00720140127496105,0.0002712105327984382,0.008097079912147809,-0.00036168131498848233,0.008209976236404959,0.046555390481345604,0.0063933798108470885
2015-01-09,0.012658175175766395,0.0010725132066897736,-0.005774617906945778,-0.005324980537767421,0.04689471375067389,-0.008643177551031278,-0.008079094163040312,-0.009109520668148963,-0.007751930820906638,0.01241946498558244,-0.008194096314138255,-0.007908607981300886,-0.010354775484019085,0.034482758620689724,-0.01093353977883127,0.00044343627256004936,-0.011885144654007362,-0.02521006529350245,0.0014149810655899042,0.01580040813426531,-0.0013869483863160337,0.002474147791464265,-0.012384282720792394,-0.005186619618855581,0.0036498574425918306,0.004621812389541624,-0.004784684628674429,-0.025828242431980786,0.007507649590762444,0.0009178637013536051,0.023333895120539294,-0.009620304414005965,-0.020979218591080984,0.010993262625463851,0.010539670532802914,0.0007840768033902101,-0.013333303905037619,0.0,0.0,0.0034816539222168874,-0.014198556621798475,-0.004504580981350759,-0.009378321168995729,-0.004053870221738531,-0.008829972132687769,-0.009783508673344543,0.004351233714358083,-0.01102403497105875,0.010564085794835476,-0.008232837342235011,0.0,-0.01803635586320862,-0.004408533770214884,0.002809109250576647,-0.014074150955176501,0.0046154635634960695,-0.014689117418219988,-0.005066018759666391,-0.017186381366706915,-0.006813278353791308,0.05583747838541653,0.02359288038892693,-0.005714263399561048,-0.012714213143810826,-0.0013197541542571134,-0.00032399894497348036,-0.004385898134529276,-0.018165286567432548,-0.009075437747906645,0.0005898572516702671,-0.011794155006747853,-0.009009024489478712,-0.01598842880362239,0.0,-0.025217155274098513,-0.02008015950736397,-0.015930709328075054,0.004071526464648034,-0.0032029403329658646,-0.006352764176617232
2015-01-12,0.0,-0.024640760489412328,0.0054664197414444615,-0.0012979437300181251,-0.016653166543789566,-0.008718471746188783,0.0016292148817378393,0.010769386055697883,0.0,0.0,0.007490645943609042,-0.011813262970161276,-0.01685177309382213,-0.05333334604899087,-0.0031178853828670583,0.0001111820645811612,0.0008298924154022114,0.0,0.0009417262050388508,-0.01710998724785784,-0.04861108494387445,-0.0006581642609952976,-0.0007835005502038195,-0.003426144450519142,0.03636403973270208,-0.007420321668510699,-0.024038439495322916,-0.007204311522207685,0.005960658020841114,0.005923250897919008,0.029316015164604803,0.0037777138810510813,0.01770186722971756,-0.0070307623726316715,-0.008760919686684021,-0.006269754130935001,0.0003034260297989366,0.0,0.03513838444189221,-0.030071006617280904,-0.002700676891899012,0.016968137904684433,0.006073189221763142,0.00045199739750501067,-0.0025316098783135788,-0.004704465174973915,-0.0043323825055365806,-0.0013544015984934266,0.0071276554500137035,0.0034420979204992097,-0.022497452450505273,-0.007672765905071377,0.0029518165865454193,-0.0022412447431368054,0.0014515933677710091,0.00367560628734398,-0.00014462637899326225,-0.005091909335370515,-0.014045276112191973,-0.010079379955630463,0.14423090524218662,-0.012183102700327075,0.025861931687007456,0.00020150624218806534,0.0018874026806288136,-0.0017808686964139175,-0.02290750838267097,-0.0490287387670888,0.002616630483158966,-0.015912708710075107,0.0014466760165472436,-0.003030276174459612,-0.007385278645005489,-0.008171290051010693,-0.008066536939156266,0.012295001282716322,-0.01876368507040238,-0.0005566176740364748,0.012852474151251903,-0.006769596989029347
2015-01-13,0.0,0.008879037480239438,0.013931346814432422,0.005035676142547185,0.003395492703604841,0.009560201982141026,0.004878881156195947,0.0012989328580299553,-0.002604164241347462,0.0022779772074303928,0.016072623722419133,0.008067260744655913,0.00612157761786758,0.0014084829600224946,0.014785227614238394,0.011858750589909262,0.015333148644662398,0.00862064841834509,0.005411167621240276,-0.0007911669627124196,-0.03941607852761431,0.00806722586354125,0.00784304818174153,-0.0019434053452528355,0.017543484090197126,-0.005681704385578468,0.00985220749181659,0.005514903878758304,-0.03407388909658993,-0.005327921899319521,-0.025316188533301864,-0.004301070979495947,0.0030514362724827215,-0.0012269498470443008,0.007576124392563832,-0.019715797561980497,0.009411100778125903,0.006302990677402809,0.0005564691621464668,-0.01639574575647451,0.006920382831803851,0.0261404968637986,0.02006418186217851,0.0036167388233947495,0.0039483431909708155,-0.0002364461931422257,0.0067687143367762825,-0.008867387694060591,-0.0011801102037274358,0.011703113491113637,0.01534374529465854,-0.013589751111417248,0.0007363956660795257,0.0,0.01256360487831687,-0.010070255775786241,0.0021714263640089104,-0.010520579600805657,-0.014339671811735344,-0.00325311465285405,0.05042004711325121,-0.007999992370605447,0.03081245166944835,-0.0006033479579498069,0.0018829761104277587,0.008271564832450062,-0.021641097188096925,0.03404673059933705,-0.00887354817952557,0.013624686577931255,-0.011917676254624587,-0.008105362171594743,-0.0029765878212356656,0.0030894676736861193,0.0039260919655013105,0.0,0.04536920751406592,-0.054415149524366546,-0.009164567693836334,0.00719451815565586
2015-01-14,0.0,-0.003810631938130471,-0.008043281392050572,0.014384776065305083,0.004958847475765138,0.00037822509881069166,0.02751321142854679,0.028549530277081514,-0.005221927238881263,0.0,-0.005918906297862625,0.0,0.005710355361052466,-0.03375530850189912,0.007845570126405299,0.0032852555670852546,0.008571772053506788,0.051282014271890164,0.0025742894489653168,0.004909605915326853,0.00151981491272557,-0.006042832858039526,0.012451598431371558,0.010783528188420766,-0.027585868126118407,0.015338260347483867,-0.02195114093759909,-0.008371856191358718,-0.00461529826136986,0.008598184442767831,-0.048701544770248795,0.004319650101187733,0.016428723039618287,-0.013610730724963327,0.005012041720210858,-0.0040227541749614515,0.012932514271458695,-0.0020879805116089667,-0.026696150357103487,-0.006667518753357582,0.018377572422427102,0.009755988092601475,-0.02193227635692263,0.0018019609766619649,0.0061804526687883055,0.020803460158449028,0.01872890185086873,-0.013682610003940887,0.008974944364811499,0.0037891631320288166,-0.0065705680544578815,-0.035154338300624755,0.0014699135370306315,-0.0011229814136214378,0.009067137955826032,0.0012326655159116129,0.010688930918460349,0.012069223692670272,0.0037328285335227473,-0.0029796265109731657,-0.14799990142942798,-0.028561840555525575,-0.029891423623711777,0.01026533021816678,0.012218026013931738,0.007559670189115408,0.05069117214040553,-0.0018815105878033922,-0.021330044379387014,-0.002954294646278721,-0.008406431436322581,0.004085797958006898,-0.005970236426918185,0.0030798635524376117,0.015083475528858914,0.004048691105596358,-0.006097733707346675,0.0011775930716337868,-0.022411816909345572,0.006390590191329482
2015-01-15,-0.014999886999729872,-0.027140219079689665,-0.016891564302364825,0.006373725920368001,-0.019420645088833455,-0.014009354715258215,0.0029748850411670524,-0.011607724239949713,0.005249338904693701,0.0,-0.007035977996362464,-0.023621503548633793,-0.005398319430205634,-0.018922869957273436,0.005838130769879379,0.024672922365695404,-0.004856595981094003,0.05691059541728394,0.012486941500538862,-0.01717879250022425,-0.05159330681822438,-0.01478796598052945,0.007686157776510605,0.013039012836648656,-0.1436172519824377,0.004887427003072098,0.0024937036094550002,-0.017758075408634832,-0.032457549455389256,-0.0009078051974871215,0.05460790696192208,0.00913981144811471,-0.02424447872548141,-0.004886843549011588,-0.03990010954867762,-0.004038667806786633,0.001039123390102814,-0.003486859224564154,0.03428560303203354,0.020137322904676624,0.0023471676887791837,0.0005361587696683934,0.011745863290404612,-0.005845298199148696,-0.0038155696027588615,0.009032384801349602,0.0039282961852711296,-0.009603925810995229,0.003745596613419222,-0.0005958949820799031,-0.003307096985777025,-0.03421979178485568,-0.0014677560625252495,-0.005058939267390095,0.008748789508102206,-0.0024624960312995547,0.009003732994686153,0.002839492585450243,-0.0006673241038155364,-0.011669431384301987,-0.018779448980262847,-0.014527847752013767,-0.03361338746795972,0.01215396876839736,0.0016714519570020236,-0.006864520498524707,-0.0421052244121225,0.03581528055957772,0.01802785026289122,-0.012148235669823593,-0.03722818633123348,-0.021363178003749095,0.0,-0.02968245929006641,-0.006879302586258795,-0.004032365304055263,0.0018044479847911798,-0.012100908971852675,-0.0312954604105925,-0.001867481091933354
