Date,FEX,FNX,HTBK,ACWI,EVRG,KRNY,MRVL,AMKR,MELI,ERIC,INDY,MSEX,VCSH,FORM,EEFT,TBBK,TTWO,CVBF,CVLT,LBTYA
2020-01-02,0.004752159356465002,0.0012418522821502354,-0.0023380758184521344,0.010346914691100606,-0.02534955681636253,-0.016630376699404037,0.030873572983334263,0.01999987247389079,0.0668776442226886,0.026196042264102104,0.011652201278293584,-0.021236469334392716,0.0,0.021178327260345853,0.006917976356817901,-0.006168074175713301,-0.0028587639732799985,0.005607586297085243,0.012544833802593525,-0.011433644866964299
2020-01-03,-0.005034972255459458,-0.004546872308106353,-0.0015626441921039458,-0.008617711382062243,0.0009457646466464187,0.0014705882352941124,-0.025931188285407636,-0.027149157485580555,-0.0039168367866974085,-0.017758149152722003,-0.019708303218813894,0.0004822277514451301,0.0013573016690739959,0.001131175670401996,-0.0022060564651198433,-0.018619140294810377,0.0010648529772949722,-0.000929905686720689,-0.0004424879961522077,-0.016459064989604144
2020-01-06,0.00015319553160075827,-0.00041525035490275197,-0.002347326028619978,0.0022677278075537988,-0.0028348410908757282,-0.005873621036985299,-0.037120503756393974,-0.0038759868261348807,-0.0020565976062930647,0.006779709076101481,-0.01148827066796232,-0.014618521228523251,0.0007393733093716826,-0.019962289812688994,0.00037901173365195717,-0.014229198176242908,0.02029296600533792,-0.005580949680849767,0.018592300728507594,0.021257300617102626
2020-01-07,-0.0001531720663247027,-0.0020768879701529297,-0.014902098746199521,-0.002513797306123,0.000631831838973751,-0.005169819249399521,0.02219609909621023,0.014007814948268749,0.03041795825297866,-0.010101016027768583,0.0007925122638765547,-0.006358065064377083,-0.0011085195316589136,0.005380453004821817,-0.005556989640191912,-0.018444305612308254,0.0065763066706936435,-0.008887133151222248,-0.001955674743430058,-0.013286144135825184
2020-01-08,0.0029137524343756382,0.0022197838934068237,0.0023886511839312785,0.004914242337420882,0.0018940701071037402,-0.0014848759184863392,-0.007619044066494163,0.0015351149494482463,0.01350400390624995,0.009070183077153793,0.010556923230096604,0.005742334444959196,-0.0006165400296350709,0.011850132559272586,0.004064004362533291,0.001634024357652919,0.018404888210315162,0.007550919149906132,-0.015676055212696993,-0.041292586931893194
2020-01-09,0.004892683499291506,0.0012462094086660436,0.0,0.0056426478720081885,0.009451838672764445,-0.0044609663302370706,0.0019195540416032664,-0.00919570930156599,0.02050705699720412,-0.003370941179073661,0.0133194004692756,0.0021208538514048136,0.0006169203857480099,-0.0015111072616662558,0.020111358669177237,-0.011419277382470505,0.0015647361767661128,0.0,0.008626396760587074,-0.026217159979402327
2020-01-10,-0.003195029599559862,-0.004286578788712636,-0.011119918698549891,-0.0022442274331800904,0.006710296764303569,-0.005227638120691713,0.015325660723753298,-0.0170145687200145,0.03565736128294028,-0.02705717114250139,0.006700901665849024,-0.0014650801793643087,0.0007398703780163718,-0.002270127326885918,0.004277758390276221,-0.007425755234133691,-0.009842228512575657,-0.006557468669628808,-0.004605243234642509,-0.008173148760313609
2020-01-13,0.0064108560075972765,0.007776456083775418,-0.005622269571629257,0.007498143603416274,0.011161006381255723,0.000750606295933931,0.03849056402989226,0.00550729027550223,0.03229371414818094,0.032444894162099835,0.008704591999222133,0.021519300919902173,-0.0004927334101271219,0.009480469929604496,0.009136339757711331,0.010806327292312456,0.013332240324479105,0.0018858648476329787,-0.0044062737525628615,0.006786283223240375
2020-01-14,0.0012134948589350714,0.002618360597693492,0.004846335609484775,-0.0008684741891968883,0.0052122411082904385,0.00675154339532158,-0.0003632757984168844,0.010954572603591117,-0.056475140559262615,-0.01346810829614975,-0.002030401212738564,-0.007181537953368511,0.0,0.009767029050953724,-0.007585523239153291,-0.0057565539229110785,-0.011833372356395477,0.003764517357687014,-0.007745042813836922,0.012036487611120528
2020-01-15,0.00030299039076009393,0.0009622759088885324,-0.004019240670050328,-0.0006204910368367011,0.015708530907903473,0.0,-0.028716834409687197,0.004644238602371953,0.012130558154315407,0.0045507022456130475,-0.0010173745961541414,0.01719971525057873,0.0008627643954053354,-0.008928563192385108,0.005486034722846034,-0.0033085162405448454,-0.0025210721977062533,-0.007032152422538407,0.01940229547110195,0.017602362762571655
