Date,ADI,ADP,ADX,AFG,AIT,AME,AOS,APD,ARW,ASB,AVT,BBWI,BK,CAT,CBT,CBU,CET,CMI,CNA,CTAS,CW,DCI,DIS,DOV,EFX,EMR,FDX,FLS,FUL,GAM,GATX,GBCI,GGG,GL,GPC,HD,HON,HST,HXL,IAF,IBM,ITW,J,JKHY,JPM,KF,L,LNC,LOW,MOG-A,ONB,PAYX,PCAR,PEO,PFE,PNC,PPG,R,RJF,ROK,RTX,SNA,SOR,SPGI,SRCE,STEW,SWK,TFC,THO,TRMK,TRST,TRV,TXT,TY,UNP,USB,VNO,WFC,WGO,WLY
2016-01-04,-0.015907538941923427,-0.0312795011025756,-0.010911954519927325,-0.020810547094316623,-0.018029160212697737,-0.017540892349222514,-0.018665168713291824,-0.0070708604558406,-0.019195291798992375,-0.025066588574270243,-0.012137922455611183,-0.018993870141859603,-0.03032529976848508,0.0004413438661448055,-0.014187912711451367,-0.0325487708763903,-0.026287963469411757,0.022270016124743996,-0.020483316827098585,-0.030313042594356743,-0.017956346271041812,-0.008024927407746518,-0.019984759502939875,0.005382378503840046,-0.017240218150750053,-0.011081150881598112,-0.03731839472282639,-0.0016637575305153973,-0.0249520824107885,-0.029430395955931887,-0.007755712915551438,-0.031284765485237065,-0.005688587908487919,-0.012362759714752758,-0.021655478378544535,-0.008922188461988223,-0.009655084007232584,-0.011734132920448559,-0.02518828552643715,-0.022018307868369114,-0.012134845126992588,-0.017479571087087087,-0.0007151275310763872,-0.01960066561996776,-0.030034965339683972,-0.03704858100659569,-0.016146251473276085,-0.023080283661794154,-0.00999534988168338,-0.04108903752615445,-0.030973554469763465,-0.025335685911147432,-0.005063150528780369,-0.011273723827905813,-0.010222971790952218,-0.022558014782450675,-0.008702739303667162,0.0012318272036313527,-0.02811777387854497,-0.01062274004606012,-0.005204491931697364,-0.016915917228614963,-0.019015974657273338,-0.03834478528318974,-0.014901143342884948,-0.012919752876478174,-0.01742674945580014,-0.03067966044221171,-0.014425704045237686,-0.01779550095920035,-0.029316057483694147,-0.025606974104651292,-0.012140124905440253,-0.013986224971058503,0.009846558195090616,-0.027888642091338456,-0.015406382945229224,-0.026674057500361892,-0.03266340337516904,-0.021763275247603908
2016-01-05,-0.007347620392019305,0.002437107923419557,0.001576000714542669,0.004109074469515139,-0.0007539902669768672,-0.005128117957657108,-0.0055866594345257425,-0.01788048477680204,-0.013549138670923222,0.0032821704947771924,-0.008743514814538278,0.02648940025184965,-0.003752747507304699,-0.010442450010593185,-0.01042178866497323,0.011128061065736272,0.01349888097455576,-0.009781133509161433,0.004937411939997638,0.001585526035895457,0.05247538123186013,-0.01618024854853295,-0.020198024099348788,-0.018981230673433935,0.006030449332432797,-0.006553592327042335,0.008505803271445567,-0.02118539349117976,-0.0016872587404663797,0.006451861574168216,-0.04358115876321711,0.007003459216597063,-0.012141000411834302,0.012251376961601501,0.0035698855674739516,-0.004883408219794161,0.008189490883850903,0.015171782260049227,0.0026502415870497398,-0.011256968366304188,-0.0007354963557816285,-0.014605493696897898,-0.014074656693312648,0.01463538165131828,0.001728789599803493,0.00521678635324152,0.0029116991040998297,0.0008145753388757448,0.002125209212867629,-0.0013768355764534057,0.0030440450491291404,-0.0007755966096648637,0.00021188458346554917,-0.002280948780033931,0.007198532467097785,0.0013955237129934517,0.0035726595714782317,-0.0050969924229790076,0.0021295626331419015,-0.008963651582780563,0.0015695322468010087,-0.0011277584228589488,0.011538213734944236,0.0033756847464139206,0.006247819932293286,0.0,-0.02059714822345493,0.00027281222456276844,-0.008493309357384904,0.0013260267305368334,0.02516801471591079,0.004546876229887031,0.0024098769613412063,0.004559224684659302,-0.009623770026740752,0.004822011270442239,0.013208757526803172,-0.00037800350157690676,-0.0005197484232557503,0.012939823221576496
2016-01-06,-0.04256068041172356,-0.012276853137747179,-0.01258875015939398,-0.009312727526865738,-0.0005036379651006673,-0.02271859680494137,-0.019796847063802137,-0.02435382899105276,-0.032239578133182234,-0.009269578157311664,-0.03432602344511526,-0.019173070034864237,-0.025113265246949457,-0.015755055475665247,-0.017051390464345673,-0.002815382001547184,-0.019179490327150717,-0.004601803028644991,-0.014161956235730577,-0.004523080876367325,0.03290985042715455,-0.022881472878715337,-0.005351955841626843,-0.021167475853757445,-0.007992095877048078,-0.01149197421525705,-0.026823166255382058,-0.020427915113268802,-0.019718240903555007,-0.014743753595901743,-0.021545847607954527,-0.013137499976746847,-0.021895707930541186,-0.01929469989603061,-0.019802769490092076,-0.010350420320271891,-0.011313974263522097,-0.020792996953596488,-0.01607917462181474,-0.017077881623993707,-0.005005291287284552,-0.024629410035184818,-0.01935590418345212,0.0007722149372340059,-0.014435795176444888,-0.011676869932967238,-0.022169338055963217,-0.045177263931420186,-0.01988311011545474,-0.008788414308743997,-0.008345819484175121,-0.0141724820836171,0.00021166418862184067,-0.03314252323223943,-0.01771280604505243,-0.018115494116165642,-0.018715892366127806,-0.04469146274929414,-0.03896526570571257,-0.02673684725792802,-0.02716261989229507,-0.003267500164978454,-0.014144041467248014,-0.01093340253737951,-0.006209027049334237,-0.015706741575348127,-0.013825435615401283,-0.013911276935704708,-0.0195004068220882,-0.015004687780495907,-0.011456930244986063,-0.012944958963374664,-0.030048298420028874,-0.01059003119069557,-0.04321672965180823,-0.015115149000729855,-0.004713084704520809,-0.01909610696603614,-0.026506947371519707,-0.020618841765367213
2016-01-07,-0.02551209167877888,-0.030519577865069425,-0.02709106367634817,-0.024640177291724408,-0.01510911760000222,-0.023637504353802297,-0.04885380012791585,-0.03352435569340706,-0.03843880899931684,-0.03192048225096633,-0.02468537335916332,0.01986482028056269,-0.025244558763991454,-0.034430726222339,-0.028316176006883298,-0.029773931731240322,-0.01846814961816612,-0.016802101631247957,-0.0052770698536694916,-0.013063795173960946,-0.036647823279297165,-0.032199088826253996,-0.008569155559617014,-0.01436050252457255,-0.03607088745263576,-0.03961261067861188,-0.043901487318776855,-0.024826053246247315,-0.030459949347010573,-0.031880405147427515,-0.044798306995254,-0.03132339120816652,-0.026140903357613765,-0.016812948862614974,-0.021534363973360393,-0.02850933968822178,-0.029440560719358633,-0.03450566516745357,-0.03402746328918893,-0.019304809621418895,-0.017089744627985404,-0.03187875472792945,-0.026894217081834038,-0.010680470049993063,-0.04043931101716647,-0.018378829807376373,-0.0240215564009032,-0.028069347017477986,-0.02529077210566022,-0.02868565867118189,-0.030604189046212427,-0.04627780853241259,-0.03030921436650036,-0.024822824732860016,-0.006643481362582526,-0.02532782248876342,-0.012646421435071997,-0.03772183180317101,-0.041282980224013,-0.04585399423808556,-0.013101287709490483,-0.021157085730991954,0.001542407858586392,-0.031462745683310867,-0.021703570895661217,-0.013297721559252351,-0.028433095405491327,-0.0284926815881148,-0.033829036730131046,-0.02464150695227796,-0.016556190967213613,-0.02384443650214685,-0.02057004288734443,-0.01885825922929829,-0.023386696617803793,-0.019001277022276164,-0.009873892084945712,-0.028527406895225815,-0.01708492127670158,-0.03821483315084884
2016-01-08,-0.008727344294583328,-0.008250686109145255,-0.012285277456129395,-0.01328868099427194,-0.017387506735841995,-0.018207463847616623,-0.03558078083447225,-0.005182157353732286,-0.014965140641745034,-0.01534967904641682,-0.02961255980334132,-0.03408614229410312,-0.01823437309916287,-0.010165848575688807,-0.008926544973747563,-0.010581741401755385,-0.009961363679086288,-0.013419139195097851,-0.01650460505463791,-0.02589804721033384,-0.011780824783954369,0.025330876370019295,-0.002512689895051823,-0.008570430109442473,-0.02896768660449034,-0.011432386155844743,0.0008919817656707352,-0.03182295239707411,-0.020153974105434735,-0.013104772469146653,-0.005564337633965688,-0.020049209228519604,-0.01972405877921868,-0.010005450369276137,-0.028684547634145074,-0.011961518338523325,-0.008062376908155144,-0.0027488699347686385,-0.02108900883831466,-0.019685786107796588,-0.009258169676859551,-0.008379239638761526,-0.017494637468558394,-0.005593155040919284,-0.022399408983058144,0.0,-0.007190474404957237,-0.024691444652099492,-0.016511389088366135,-0.00894923408484849,-0.015785343956616682,-0.017964088616062468,-0.011365896267241382,-0.012121418637981884,-0.012738914127974454,-0.01478484049964468,-0.007979186697366303,-0.028440068744728153,-0.022875925529528773,0.00042806209605616985,-0.016322110222269925,-0.010472498314964107,-0.012784956613126397,-0.028643845423699243,-0.005714068877162304,-0.00943435516272606,-0.020018372650127847,-0.021639777590401033,-0.020777041468410307,-0.016995804338260756,-0.03367001874400699,-0.004227643412344051,-0.011386346626755972,-0.009350706322652447,0.010673012498344958,-0.014154523357578608,-0.021573355264913663,-0.016666701971705722,-0.011406958015517166,-0.007375396999441897
2016-01-11,0.023809561573896243,0.004864102022336114,0.0,0.005624054830780212,-0.0015612133215802126,-0.017729475531018557,-0.02588536915300066,0.003948742578407716,0.004370428466327292,-0.0028863522021641552,0.017475018595749958,-0.0022526206928971115,0.0072674469174420775,-0.02875643398935912,-0.006622405344400062,0.007753818235430421,0.001676902641386313,-0.006975148388496,0.006892281516319709,0.008035264717798585,-0.001149057205811821,-0.012168239314860885,0.006750605069212767,-0.015041557302999942,-0.004009956093378175,-0.00680257156367281,-0.01291689822100539,-0.005521652447974534,-0.0051422925364685845,-0.0020426721207305043,0.011723875113506477,0.009185787359348607,0.0045385911417330504,0.00036746307343649143,0.006491956637918683,0.015173557549246652,-0.0001014827905568838,0.01654006630182936,0.004261077501742427,-0.0060234733000782414,0.012155650577254429,-0.009878756462677107,-0.009032330914730435,0.0036625317189813433,-0.0015273106669208003,0.0013374196920241666,-0.0013929398238409219,-0.023507744487864524,0.025394737297521175,-0.003792687970268327,0.004009284681590453,-0.002944024617688945,0.0,-0.03067439179381759,0.0022580018256832535,0.003638320742296086,-0.00042340686710395925,-0.001977835469223921,0.008656864133240294,-0.0002138400543995056,0.0011062529901322282,0.0032606947682460863,0.005772909063463727,-0.00045178123491118605,0.007099436386928559,-0.013605291225582739,-0.0015555622537194447,0.009312822993223557,0.0003927896548576726,0.004673065698077794,0.0017421495067251325,0.007547949432813228,-0.004607233219464879,-0.004194808956275775,0.012862509465607408,0.004030150348798722,-0.004888078448111566,0.010693990750455518,-0.011602071672583425,-0.01054674914580589
2016-01-12,0.009380693943707996,0.012227637408278813,0.009950237831439557,0.004709016645060071,0.0018246315616523567,0.005601648599011355,0.013897324194493965,0.014394542256785048,0.0012432941437596767,0.012738754448781586,0.0017940093575508076,0.022575614827799573,0.008017093532248554,0.0021147554415399394,0.0074668955122194625,0.0034489454370210115,0.006138466072686644,0.014165470163508775,0.002083638916411612,0.01805190085119701,0.01409254664731785,0.008212197924178488,0.015412548433437978,-0.008776431407670593,0.005793944936961948,0.009589055865227625,0.013085927818767829,0.0052879117063899805,0.02097910850062834,-0.00034130020446010434,-0.0010534447154165738,0.004137432548633635,0.00527068745568271,0.0034901131784355055,0.007209107304644524,0.013595220705770572,0.0076207330213051705,-0.028474735166349463,-0.004242997759449807,0.008080660266626571,-0.0024768368775864857,0.007212499378685511,0.01718740203611402,0.015248307021869412,0.0022097077988298963,-0.010016848001781375,0.001394882811659004,0.00694424657897752,0.008117685518642892,0.011421082180328224,-0.0031946829861027037,0.0008438063350670877,-0.0008847101908326938,0.0,-0.002252914740087042,0.008155651786219575,0.007093826150468052,0.012287190988134133,-0.011117826876232306,0.00930994835418808,0.0,0.010917268976456285,-0.002481982219325163,0.0028257642721101206,-0.0026856614616357355,-0.005517218788143707,0.016824130293175754,0.00634380113342492,0.0005890906570735766,0.002325392499259449,-0.010434618646560923,0.011143329454872397,0.004885987650942614,0.0031592449374779896,0.01951602760115101,0.01906640852070529,-0.01463247675823598,0.025354573163831162,-0.005031072704326345,0.0196223212803337
2016-01-13,-0.030009699158169423,-0.026802618778290377,-0.02380956315302951,-0.017796910185492454,-0.0286162185634965,-0.022281864007287155,-0.04744677110922735,-0.021945337957994693,-0.021109281130085145,-0.02801626642376387,-0.018167275741824973,-0.03017246817744723,-0.03340400310320535,-0.011526080338117195,-0.023028165396088318,-0.043363471667854814,-0.02273991866991565,-0.019969841813085032,-0.012771177155919577,-0.023489025158699994,-0.02112894213064276,-0.015179739265713699,-0.02937122861908581,-0.02036514681173296,-0.013474029372610663,-0.021709714947086733,-0.032811396410251104,-0.01630722661782391,-0.025908266163358062,-0.020136414951255066,-0.04429203444090757,-0.046147481642362154,-0.029512776208401093,-0.020318505813819887,-0.02812664904589024,-0.047768499340976045,-0.02087347745374868,-0.060711798958725804,-0.04758550462554634,-0.004008090628872196,-0.013017443975128051,-0.01563420772992019,-0.020737309804518378,-0.02721461972549899,-0.027476083876285973,0.004721948837401735,-0.020055748787319083,-0.03954038016662598,-0.045994138392166706,-0.03871652798138803,-0.040064223481267924,-0.022755983392512946,-0.01969419464462785,-0.02341798305500964,-0.020322625330518207,-0.029100977172854536,-0.02176213973142227,-0.02173047461489641,-0.04299799236248125,-0.014312839192398119,-0.018453209384547753,-0.020141729270678255,-0.0060653663506252675,-0.04903073739051689,-0.036687900352242564,-0.01941769342018229,-0.01715852289787434,-0.033810907764614595,-0.019627084928267813,-0.03526692230520079,-0.022847357786639044,-0.01778117618765862,-0.02891562280195248,-0.017847684887824955,-0.031729342971980934,-0.03963531252687069,-0.014318895923377983,-0.031736819755247,-0.04101084313059988,-0.009266042461780422
2016-01-14,0.007984028034708324,0.021333795956271828,0.00925148441320478,0.017220877686158653,0.017139735644947418,0.01266094144878327,0.014547579406889,-0.001434389659734081,0.018816055052937486,0.009411702187587467,0.01407321075427026,0.02113842791338394,0.016730770620468682,0.0226642284808114,0.027906000240982776,0.0132671784181988,0.0085129042583445,0.020965682895980775,0.007521329580354896,0.008607540540678027,-0.005505078826016474,0.030827177658642402,0.0063972589107590405,0.007050182599150467,0.023951180881664147,0.013176313178657306,0.01082194788747115,-0.005882406516042327,0.06634041618742503,0.00940436178733739,0.01351705179456375,0.014686372217136867,0.015050048193655519,0.007287075095363749,0.014211350594532712,-0.01466236650433217,0.016889961583336888,0.023774150367137148,0.0014915631256482431,-0.002012159339353059,0.013265287793005065,0.004243419128666881,0.0033987132775668005,0.017683072838170277,0.014998230090971898,0.005706356296698356,0.017055443635487277,-0.006462280811099341,0.0001430363355998665,0.0026103910504398087,0.0025043161781694856,0.02026739932339705,0.03182822915039263,0.040829343927810235,0.024366170965016254,0.011292563936595501,0.005588383319120149,0.008004852878869206,0.017930680084649042,-0.0040876087793484395,0.002026310621059624,0.0097211364412082,0.010170812881703073,0.006282228421749636,0.004192837930323101,0.014144621186021888,0.016523097904646677,0.00889688779584663,0.0006009043095867028,0.00529120300414454,0.001798756139178126,0.008674247296359239,0.00026370404452258356,0.008551430655209913,0.02125935134151269,0.023583711946881802,-0.004196756413228253,0.018298554327005556,-0.012302468037705627,0.03117460145059847
2016-01-15,-0.013465404644528056,-0.013545613256241595,-0.02583350458567879,-0.013101944537720622,-0.008425281620426328,-0.002083646631107272,-0.010130978896966125,-0.0047302660472462454,-0.021166227159806206,-0.019230864998829755,-0.014906013721354583,-0.019744957417748954,-0.03479923761757164,-0.026504224966631518,-0.012651725908926492,-0.011729228458478014,-0.039954908970082914,-0.026880359875118498,-0.014034442162318084,-0.01765266529136289,-0.010196142955581466,-0.011669970559757714,-0.052567988698720036,-0.050439968044861394,-0.005799539664891662,-0.016883680560477954,-0.03629447956409415,-0.03146865718957781,-0.021788830209348742,-0.02933049848789071,-0.009253827426255024,0.0017034224911833817,-0.002903886452945148,-0.017807786348815857,-0.0003819408575246319,-0.0032603220106728337,-0.014988781524172379,-0.04499253068633058,-0.02457194313411548,-0.03830613326967336,-0.021668779678303274,-0.019075459623545066,-0.019280946123179654,-0.03358389183914179,-0.019931369770132656,-0.036047994083711066,-0.00922302634513228,-0.02625881801798524,-0.009191418676470109,-0.021387186013397397,-0.005828843945950735,-0.013102501611026551,-0.008750848977152281,-0.023661102649335297,-0.009643020747693631,-0.006216549052860065,-0.01784762568293108,-0.022235616071212494,-0.023284043547627142,-0.009828065802247044,-0.03797279124028741,-0.035443116638512406,-0.009138772923256377,-0.019787962910146506,-0.022964705530262974,-0.029288528858233298,-0.02167252691233401,-0.02586748840987696,-0.014605907610267699,-0.01148338043852315,-0.03949767602088894,-0.01757312399627664,-0.01606957423126476,-0.02755679066046468,-0.017369340832510405,-0.022038566538399862,-0.018370411131320763,-0.03593946834010586,0.019572979624013165,-0.028836581947468742
