Date,OVLY,ARTW,FKWL,FIEE,CREX,WFCF,CPSH,SHIP,BMRA,IBIO,HFBL,SFBC,PRPH,AACG,INTZ,AMTX,IPM,SLNH,BHRB,LIXT,DXR,ISBA,BVFL,BYRN,CRVO,CZFS,TOMZ,LDWY,LINK,SCWO
2020-01-02,-0.008221888127002974,0.01694913656104502,0.0,-0.025423728813559365,0.04575164077686855,0.10465115465041963,0.03960392300071258,-0.018181670377093173,-0.036423806553163685,0.19999999999999996,-0.005874213965040176,0.0,0.010152225447022989,-0.007352934086817808,0.0,0.08554221807846263,-0.1428572001004964,0.0,-0.0006035550396760181,0.2500000233743709,-0.011702091610770182,0.0,0.0,0.10526312157057616,0.0,0.0,0.09090907243657687,0.0,-0.0021049978197873465,0.0
2020-01-03,-0.006217590792918504,-0.02222220161814692,0.0,0.0,-0.031250018626450715,0.02105265826282432,0.0,-0.018518483471744007,-0.03436430931327672,0.03333333333333344,0.0,0.02527766470757098,-0.07035169669305219,0.08888889085118179,0.003636377507989952,-0.0011099297498747829,0.2254902189944814,0.014925373134328401,0.0,-0.11764705882352944,0.017222803882573468,0.0032908701987113265,-0.024927570184620218,0.142857240170853,-0.04347826086956519,0.0016258827597961378,0.08333331781129005,-0.013698663372291198,0.0,0.0
2020-01-06,-0.0020854234909911673,0.017045438382004896,0.0,0.08695652173913038,0.045161297600011974,-0.030927873443827636,0.00952380087370197,-0.037736077579594185,0.06049824902337475,-0.09677419354838712,-0.0011255216204119067,-0.024654457594939116,-0.016216269016195328,-0.027210938968575293,0.02173914395568488,-0.007777744075397441,0.0,0.4558823529411764,0.04921699300838722,0.0,0.01058205116276123,0.0,0.0,0.04166662527455389,0.0,0.0,-0.0769230636971937,0.09722227215556689,-0.139240801439384,0.0
2020-01-07,-0.021421117792713162,-0.02234634788015244,-0.02092052480662976,0.0,0.024691333798854576,-0.01595740320108785,-0.00943395377648304,0.0,0.023489910333813313,-0.0714285714285714,0.0,0.010555405901858439,0.0,0.0,0.028368766504145215,-0.04703246964668528,-0.3599999904632568,-0.19191919191919193,0.0,0.06666666666666665,-0.01989534348302424,-0.005739792916906072,-0.0011890764333366555,-0.039999961853027344,0.15909090909090917,0.0,-0.1666666356225801,-0.07594937800345958,0.05147094207347935,0.0
2020-01-08,0.003737200393646445,0.005714280264718097,0.0,-0.040000000000000036,0.0481927249395504,0.10810811162632561,-0.028571402621105912,-0.039215619970607296,-0.0196721126942887,0.07692307692307687,0.0,0.0,-0.021977970294350335,0.05594408800680317,0.0,-0.01292601298652818,0.0,0.125,-0.02771861961769051,0.0,0.030982903043820897,0.005360801709347163,0.0059523731931334645,0.0,-0.07843137254901966,0.0,0.19999995529651704,0.041095896802363585,-0.04428932789855777,0.0
2020-01-09,0.002127688308180664,0.005681812794001706,0.04273509012636145,-0.04166666666666663,0.0,-0.08292687281968003,-0.02941173720662238,0.0,0.026755827241100816,-0.0714285714285714,0.0,0.01704217276970521,0.0,-0.03973506169436036,0.0,0.023809572804273094,0.0,0.0,0.01973693189429082,-0.0625,0.01554410136105644,-0.005332216752664931,0.0,0.0,-0.021276595744680882,0.00016254169885421277,0.0,0.013157836948407109,0.04878055641582524,0.0
2020-01-10,-0.02123137171931022,0.039548052658986865,-0.016393381279151686,0.0,-0.13793099983347235,0.047872401748470184,0.010101000370632551,-0.04081638505625207,-0.026058607637020947,0.03846153846153855,0.0,0.0,0.01685383481093905,0.02068963476083585,0.005172400638974839,0.03488368708227374,0.0,0.0,-0.021505417207869693,0.0,0.0,0.0,0.0059171520956198265,0.04166662527455389,0.04347826086956519,-0.0001625152833438781,0.08333331781129005,0.02597409031366782,-0.05813950369524212,0.0
2020-01-13,0.02548800999225631,0.048912995943839244,0.02083325407629788,-0.04347826086956519,0.039999961853027344,-0.010152296674584615,0.029999971389770508,0.02127655960120034,0.026755827241100816,-0.14814814814814814,0.0,0.0,0.005524905425404514,0.02702700090373522,0.02915953319359188,-0.01123594452133514,0.3750000093132255,0.06666666666666665,0.0,-0.07999996609157989,0.0,0.0,0.0,-0.039999961853027344,0.08333333333333326,0.0,-0.0769230636971937,-0.025316516819373858,0.009876688583074333,0.0
2020-01-14,-0.014807068179018446,-0.031088054098535878,0.008163234884094317,0.19090909090909092,0.0,-0.020512845845836236,-0.02912618662434696,0.041666730428537635,-0.026058607637020947,0.0,0.0,0.013513540226605114,0.005494548564231927,0.019736823530408287,0.016666666666666607,-0.02727271495771799,0.0,0.03125,-0.010988947897229817,0.0,-0.040816384124437,0.0004123369967161672,0.0,0.0,0.0,0.0032467976025176704,-0.1666666356225801,0.01298704515683391,0.0024447446973423492,0.0
2020-01-15,-0.017713322014457078,0.01604276540816718,0.008097233337461152,-0.04580152671755722,-0.025641002128344415,0.0,-0.029999971389770508,0.01999996550871108,-0.05351173422085642,-0.04347826086956519,-0.010985879359893813,0.0,0.0,0.03870971860300254,-0.001639319247886739,-0.0070093251326812656,0.09090911061310525,-0.14141414141414144,-0.004444350347984294,0.0,0.026595745760156664,-0.0004121670449946935,0.0,0.04166662527455389,-0.05769230769230771,0.011326937712016871,0.0,-0.02564100100869393,0.0,0.0
2020-01-16,0.016393548761540977,0.02631582744894323,0.0,0.0,-0.006578888892025958,0.0,0.06185560928849254,-0.019607809985303648,0.042402871806623166,0.09090909090909083,0.0,-0.0021332916021692405,0.0,0.012422348291186713,0.0016420110281705202,0.01176469433266436,0.0,0.05882352941176472,0.004464190775812282,-0.05797104921309437,-0.018652783276366547,-0.009896929425262213,-0.011764690726851046,-0.039999961853027344,0.0,-0.008000184835629032,0.0,0.03947369010730539,0.0902442419834324,0.0
2020-01-17,0.013440870000041016,-0.0051282001121667475,-0.00803219478209849,-0.040000000000000036,0.039735059603063005,-0.04188480652191329,-0.009708728874782357,0.0,0.006779654441774419,-0.04166666666666663,0.0,-0.008551294082424055,0.0,-0.1411043065928369,0.0,0.01744184354113676,-0.3333333498901785,-0.05555555555555558,0.02177765818421218,0.07692307692307687,0.008447721378064488,0.009995857723698487,0.0,0.0,0.04081632653061229,0.0,0.19999995529651704,0.0,0.16331067577193448,0.0
2020-01-21,0.007957498052884482,-0.03092786609233189,-0.01619427212108715,0.03333333333333344,0.012738841251293653,-0.01639346311752088,0.0,-0.060000024271647745,0.0067340002470883675,0.3913043478260869,0.0,0.001078029705887884,-0.016393570423860693,0.007142850452539706,-0.009836040559362158,-0.005714280264718208,-0.012499987892806708,-0.0117647058823529,-0.02131350006508559,0.0,0.010471144062638604,-0.003711348534473302,0.0023808971351109154,0.0,-0.019607843137254943,0.0,0.0,0.17721518659896218,0.0,0.11111108351636934
2020-01-22,-0.010526346265780084,-0.00531914387692578,-0.037037095631512695,0.032258064516129004,0.006289352186228392,0.0,0.0,0.0,0.010033435215412778,-0.09375,0.05383084855411013,-0.012924279186579457,0.016666798763124158,0.08510638837525097,-0.006622541651882585,0.0,0.0,-0.023809523809523836,0.0,0.0,-0.03523307900040695,0.00289721674614718,0.0,-0.041666724615624595,-0.020000000000000018,0.008064703957937125,0.0,-0.07526885264633632,-0.038461538461538436,0.0
2020-01-23,-0.021276658001057824,0.1657754337959101,0.05128206707915761,-0.0234375,0.0,0.11111111854388867,0.0,-0.02127655960120023,-0.0033112551411966784,0.06896551724137923,0.0,0.0,0.01092897270299753,-0.05882347441324487,0.008333333333333304,0.0,0.0,-0.024390243902439046,-0.0013335612137123087,0.0,-0.0032224151765122278,0.0008255653654170025,0.0,0.0,0.0,0.0,0.0,-0.034883727377462925,0.1899998658895412,0.0
2020-01-24,0.012499997125327234,-0.16055046473576062,-0.0691057275847815,0.040000000000000036,0.018749931703013978,0.10000006622604674,-0.01960782480441492,0.0,0.0,-0.09677419354838712,3.086061617363356e-07,0.006274244158487541,-0.0054054474865917745,-0.055555583150297405,-0.008264462809917328,-0.03333331506371051,0.037974646297370906,0.1875,0.0,0.0,0.0398706784704419,-0.009896929425262213,0.009501227805094992,-0.08695654427396826,-0.020408163265306145,0.0,0.0,-0.012048222435590672,-0.08403357783663712,0.0
2020-01-27,0.010198799593428953,-0.03278691835069325,0.0,0.0,-0.012269927283794058,-0.004545514750947888,0.0,-0.1086956717945613,0.0033222559783854244,0.0,0.0,-0.00650593183443271,0.07608696133756965,-0.036764758087977634,0.0,-0.04875149534300627,0.0,-0.052631578947368474,-0.00534025660689097,0.0,0.0,0.0074971057716815,0.0,0.09523812226968142,-0.08333333333333337,0.0,0.0,-0.060975595572957286,-0.16880733222534294,0.0
2020-01-28,0.006907693784728108,0.028248628284956778,0.0742358500127902,0.0,-0.0062111249368659305,0.004566270802236261,-0.009999990463256836,0.04878048210534591,0.0033112551411966784,-0.0714285714285714,-0.022801420945772644,0.0,0.0,-0.03816790419867877,-0.0033333460489909372,0.15624999767169356,-0.06097562482568364,-0.0888888888888889,-0.02013431816822364,-0.014285677955264142,0.0,0.0024801579455686618,0.0,-0.08695654427396826,-0.022727272727272707,0.023999865963566958,0.0,0.06493504885015455,0.10154548547456343,-0.09999997764825852
2020-01-29,-0.001055534584053608,0.07142856675002807,0.0,-0.07692307692307687,0.0,-0.06363644026153703,0.030303001111897654,-0.09302317117995784,0.0,-0.07692307692307687,0.005277765127956524,0.005729616970973295,-0.040404081992846064,-0.0793650988878909,0.0,-0.05945946642567057,0.0,-0.012195121951219523,0.0,0.0,-0.041450739310101126,0.0,0.0,0.04761911790117157,0.04651162790697683,0.0,0.0,0.0,-0.010019957998438023,0.0
2020-01-30,0.0010566499145816532,-0.046153862142468416,-0.008130051125615267,-0.04166666666666663,0.012499987582366145,0.08252431951420358,-0.04901956201103741,0.0,0.006600653833452208,0.20833333333333326,0.0,0.0,0.03157905275284634,0.0,-0.025083612360155105,-0.03448279405745802,0.0,0.06172839506172845,0.005479512129233477,0.08695648167719883,0.0,-0.0020618953595994416,-0.011764690726851046,-0.04545460949259217,-0.06666666666666665,0.0,0.0,-0.03658529088563123,-0.05668038791902863,0.5555555003660719
2020-01-31,-0.0164808092893296,-0.04838711434753651,-0.016393381279151686,0.017391304347825987,-0.043209883205314936,0.09417035855045475,0.474226706566957,0.0,0.0,-0.03448275862068961,0.0,-0.005696975483559519,0.010204022214014508,0.0,0.024013748614064134,-0.05952375461590087,0.0,0.011627906976744207,-0.0009082460401187431,0.0,0.0010811058250632666,0.002066155556152749,-0.017857119579400615,0.04761911790117157,0.023809523809523725,0.0,0.25000007761021625,0.0,0.07081561837757655,0.0
