Date,FNX,FEX,EGBN,OSBC,HTBK,EVRG,NRIM,TBBK,VCSH,ACWI,MRVL,HTLD,IBKR,FWRD,AAPL,PLAB,FAD,MSEX,EWBC,VOD,CVBF,EXC,KELYA,JKHY,WTW,COST,IGIB,PAYX,KRNY,QCOM
2024-01-02,-0.00727628622986054,-0.0017745142634348898,-0.00962182018708535,-0.007124452134329329,-0.007056480509755159,0.023563253078395574,-0.006991753151041391,-0.004927449031105535,-0.0024555753895282306,-0.00854864341640793,-0.03548339627757169,-0.02314160182415992,0.01990342402268097,-0.01033875810759699,-0.03578658230770726,-0.016257577788904465,-0.013540162150052937,-0.013867720372693904,0.013064722133952378,0.017241412483143925,-0.005943651211143264,0.015877662628375866,0.018963783810566515,0.0076494189635274434,-0.005182315379449465,-0.014286176401514417,-0.005192542279833456,-0.010410552184107025,-0.004459122405113591,-0.030422513832739972
2024-01-03,-0.025364171904723065,-0.012666920631746348,-0.05092124677550347,-0.016960151550991287,-0.023350149304501744,0.008234941129381168,-0.03362070137259909,-0.034923121967417536,-0.0006478680036384743,-0.007928692077020627,-0.02423923017217422,-0.024407744032847845,0.024600606376242062,-0.004660895368655993,-0.007487710004818182,-0.03532080787523595,-0.018602020673827435,-0.027198198876562385,-0.032240370463596624,0.0011299049644921677,-0.035874515577086874,-0.007951778931060471,-0.03268263840611463,-0.007469784465485074,0.0028338577598843173,-0.009160097984158178,-0.0013529287716125271,-0.00873851176060847,-0.026875796017081233,-0.01875482696438735
2024-01-04,-9.885471297366166e-05,-0.0013503784066044577,0.03318030088515522,0.02654288935982918,0.012473936058678081,-0.004826388335050558,-0.0071039824941407925,0.018903612908861778,-0.000777795642951884,-0.0010988504417982492,0.024162282768883214,-0.004415155832335316,0.006579774882137235,0.03229452591869042,-0.012700175948264336,-0.024521314444452824,-0.0009201605458644124,-0.015726745350851057,0.007088110928890501,0.011286662868204012,0.014621392207649464,-0.004422420681444161,-0.01923984083393382,0.01982498587838366,-0.004737547225908467,0.005677167435373942,-0.004452406348315896,0.008644418018762146,0.004602924969900668,-0.010392452304052169
2024-01-05,0.004453378178655321,0.004733199536019805,-0.0006832040258129002,0.0019390914887444932,0.0,0.0016786710747784817,-0.0029352876071143674,-0.0029154681072398603,-0.0007787226889602872,0.0009001337998677528,0.031858086124717966,0.0073910359197744135,0.00825690971923243,-0.023150313392326205,-0.00401299936097177,-0.008953175643421463,0.00018422989288069402,-0.016785109781899177,0.019988730426299117,0.0022321271184913005,-0.004117294052771614,0.008051121995077626,-0.022487923029179346,0.0002998716594404538,-0.002588841433120659,0.011814601981883444,-0.002722207252944142,0.0011030773608593503,-0.005727246934326136,0.004112339858411085
2024-01-08,0.012216676157120077,0.010767024790651503,0.01094016479313531,-0.0006451761430167346,0.0010267607306337911,0.0040969622911883885,-0.021711120341785906,0.016746440350940084,0.0018181853293783856,0.011990365320404983,0.06992670809624602,0.01320617161894555,-0.003071028191438452,0.02930341063251718,0.024174925453073204,0.02744958267305697,0.01860039779256173,0.010013246805414155,0.009522620160138828,0.0033407638003808415,0.006201421252882255,0.010465318978834848,0.001957760240569595,0.017874170574038395,0.013815010827718854,0.008658169109269087,0.004289674236290564,0.012629318268895462,-0.012672862078151548,0.01682143020027338
2024-01-09,-0.007105374283304489,-0.004327606935474182,-0.019952793604954167,-0.023240703032121113,-0.0143592506370529,0.005378278213461929,-0.010532039597228038,0.0023529451656965072,0.00038874340461481083,-0.004541801952878344,-0.00998299168301442,-0.014482362038888752,0.0007988245050445375,-0.01400120921395398,-0.002263534557064739,0.0064254493073556684,-0.0028928325393368093,0.0238908471657171,-0.0069722045648752395,-0.009988920776208499,-0.013353742186850814,-0.0068138911025557025,-0.02540290137730805,-0.014790575070583567,-0.009497510801281805,0.008297061338919276,0.0011646057703695867,-0.006696215273554906,-0.023337138224082232,0.006185960525326717
2024-01-10,0.003234959395961523,0.0013371982075971456,-0.014370737429817537,0.005948388853292297,0.005203252681254433,-0.0023980205705860236,0.008553399088739422,0.018257714140676784,0.0005182301727715277,0.0046617413800178475,-0.0006302209913695567,-0.015429771661628067,-0.008093947644288613,-0.08772485452178547,0.005671466433895489,-0.009072595957228424,0.003173156429113977,0.00984114657145807,0.00275334520877335,-0.015694957053810965,-0.004685176293121374,0.005488443190911907,0.009022437145886242,0.0025120805169818183,0.02322096526854467,0.008363554327445621,-0.0021330301439603794,0.0018537262350191153,0.003584095227120443,-0.0041463812924081855
2024-01-11,-0.005276417522827148,-0.001558068186718442,-0.014224735892769735,-0.015111720571843956,-0.013457657600445927,-0.013498560507649415,-0.011873355672708419,0.009733535976092389,0.0031080914805403648,-0.0004937076214666103,0.03846772364047357,-0.012686600062323028,0.009539061967849705,-0.023175374604988863,-0.003222454950943421,-0.012885695616002169,-0.0004519237642363061,-0.03458043375777131,-0.006726936320778143,-0.019362325407680125,-0.0067992015308794285,-0.011735657611115835,0.013412838467974142,-0.002028457652640814,0.006641130562626163,0.0012189939231928015,0.0064130923387990535,0.0021028357183634494,-0.02380950366187151,-0.002009882120259543
2024-01-12,-0.0037327725555990066,-0.0017835026958477052,-0.016594557931937315,0.0013343189274019895,-0.010493301977662517,0.009371988389353492,0.0015258679774223793,-0.022323624918664353,0.0023235525608302776,0.0020743026952338983,-0.0028846965832897142,-0.011337949842957773,0.005919845279107161,-0.002478742754658536,0.0017780675566079207,-0.004122323487369739,-0.003254877908057785,0.002116732394101817,-0.0077400888773960785,0.005807191678653956,0.00473934675390475,-0.003866369815839099,-0.005392075294792464,0.0019129124351668914,0.005383060505042669,0.01434112738712634,0.0028960140397618073,0.00486821359978773,-0.009756089103995724,0.008415574619929478
2024-01-16,-0.007197928421344035,-0.006030185295953894,-0.0168745841969713,-0.009993501552769679,-0.019087903427460473,-0.01838432029368542,-0.003618347500827901,-0.019200873401345908,-0.0027045626818450463,-0.008772810301275635,-0.002435827930928225,-0.008409669578889778,-0.013354475794816079,-0.048278331795108875,-0.012317094791747807,0.02069680531931173,-0.0025400320615921457,-0.01998374042759632,-0.02381950546156819,-0.0046188430364660915,-0.020964214219067467,-0.010257744600027263,-0.006900077293325091,-0.014380339507938156,-0.010507267761026284,-0.002561276163503323,-0.007508710276877606,0.0007516885393876738,-0.014778312186491616,0.006561991599398187
