Date,AACG,AEHL,AIFU,ALOT,AMGN,AMSC,AMTX,ANIX,ARTW,ASRT,BHRB,BIIB,BND,BYRN,CLWT,CPB,CPSH,CREX,CRIS,CRVO,CVV,CWST,DLTR,DXR,EDAP,EVO,EVRG,FKWL,FORTY,FTEK,GMAB,GREE,HBIO,HROW,IBIO,ICCC,INCY,INO,INOD,INTZ,IPM,JKHY,KMB,KOSS,LDWY,LFMD,LINK,LIXT,MDLZ,MKTX,MNKD,MSEX,NAII,NOTV,OMEX,ORKA,ORMP,PEP,PETS,PRPH,PSTV,QVCGA,RCAT,RFIL,RIGL,SBET,SCWO,SGLY,SLNH,SSKN,SSYS,TAYD,TCRT,TOMZ,UNB,UONE,VCSH,WFCF,WINA,WVVI
2024-01-02,-0.16379305472271766,-0.15057913806840373,-0.03759398496240607,-0.009840088878222075,0.03253261071955249,-0.02692999833834664,-0.08778617965696112,0.01288658526843589,0.0386474225626221,0.0654204951508004,-0.0022258557424290615,0.03454806515810427,-0.004214835109538573,-0.10328636325545015,-0.018292693139318916,0.03492940992801685,-0.012765945790308875,-0.03813555854656392,-0.023529426724303026,0.04849277588591416,0.07223480452851083,-0.009127062808950925,0.003449420794426006,-0.010416705989173769,0.005681767382406999,-0.028132986921083902,0.023563253078395574,-0.01179943658234306,-0.004287144213803051,0.0,0.008479913833848718,0.01639346242757722,0.007476628517019579,0.0669642868546807,0.007299263086460783,-0.017681758328068398,0.04236336986669875,0.0980392019366445,-0.0429975880476261,0.0,0.004273500354724069,0.0076494189635274434,0.00699532418802673,0.02686571795522541,-0.039045618213151556,0.01688785813835647,-0.030540464426645042,-0.02553189158061786,0.019467048813271548,-0.02185434006860254,0.0769230668462142,-0.013867720372693904,0.0,0.059945510636716604,-0.00645165789098312,-0.011764669068213163,0.06060610752038276,0.018076000332856834,0.002645500142578028,0.026548647359614375,0.057142870766776044,-0.011363636363636354,-0.03409087676400968,0.016447352942006832,0.006896578032394851,0.06666670905219174,0.05633806009374043,0.037037001061669184,0.06500005722045898,-0.05454548922452063,-0.013305292992730866,0.023949421904413182,0.2857142857142858,0.019801961500356402,0.00913553410880974,0.012406876251771504,-0.0024555753895282306,0.0036900509248001256,-0.023015192691839603,-0.001865714297152321
2024-01-03,0.0721648775032413,-0.05909087441184302,0.02499997615814209,0.024223564000489528,0.011096540689953915,0.006457536331999636,-0.052301252934468745,0.012722633961057772,-0.004651158148691992,-0.11403508496746784,-0.04094957842817992,-0.015987445055875127,0.0008193826929050463,0.061082007585954834,0.0,0.003606121783116256,0.0,0.02202641089709445,0.16224903523776857,0.07500004768371582,0.006315833643863122,-0.032829461139325944,-0.04083059028736391,0.05578944557591492,-0.03389827312208993,-0.07807012451138828,0.008234941129381168,-0.020895516179153195,0.0,-0.00952380087370197,-0.02958582201437876,-0.11290322016794596,-0.07792209400698835,-0.029288655513119433,-0.02173910977784832,-0.006000041961669922,0.0009168096376801493,-0.07142857649699375,-0.010269566636432303,-0.039999961853027344,0.012766047245027501,-0.007469784465485074,-0.005067047639935818,0.002906973923522793,0.02708811897205954,-0.07829185057609622,-0.03069469822157833,-0.013100424405900424,-0.007583844274636875,-0.02611268892941565,-0.05612245518582293,-0.027198198876562385,-0.007656996803730665,-0.0051414444230678535,0.006493552067419417,-0.017857130291848544,-0.032653126762290374,0.0002311928280782638,-0.03430075919018705,0.012931022522848945,-0.021621665160441172,-0.05747126436781613,0.04705877733065722,-0.012944971833043106,-0.0068493410175966,-0.17500002483526766,-0.14000002543131507,0.035714337412192876,-0.07276999167661757,0.07692309808448994,-0.020581970100246094,0.017210917576108375,-0.11111111111111116,-0.03883491549912932,0.0,-0.012254832066831978,-0.0006478680036384743,0.0,-0.04074132553999488,0.007476628517019579
2024-01-04,0.048076993614966756,0.009661780107220741,-0.02743901339831034,0.021831450294019783,0.008247749237330071,0.039413410741502286,0.03311249703818886,-0.01256280202931348,-0.004672892510771409,-0.10891090628096045,-0.020767504459545894,-0.011957612967636755,-0.0045019646400575875,0.03289478431117887,-0.012422341463520503,-0.023804244117650253,0.008620681681899223,0.16810349833029914,-0.03386321463372677,0.09302316297384028,-0.018828482978560213,-0.009279635190120539,-0.003949740638534371,0.0,-0.005847993984229971,-0.08658418911461097,-0.004826388335050558,-0.0030487690976606086,0.0,0.0,0.018934536440214034,0.10082638635473362,0.0,-0.07068970875280611,-0.02222220063700142,-0.048289694416447704,0.016485943618415266,0.09615391081371949,-0.005188062471480959,0.04166662527455389,-0.016806806028663912,0.01982498587838366,0.006489288542280258,-0.031884096230160086,0.002197747609997913,-0.32046329179285926,0.03166669795910715,0.013274323679807187,0.0,-0.012832891136814961,0.03243240108448231,-0.015726745350851057,0.020061745996646785,0.028423807950193947,-0.02580642647268594,-0.006060631570576236,0.00843891152356524,-0.008557176035324132,-0.01639349174618998,0.027659599939695356,0.005524922645682384,-0.012195121951219523,0.016853916782002765,-0.00327868544904808,0.02758618058829465,0.08333331326442961,-0.05426351574634625,-0.0862068937167827,0.025316491606066638,0.10714284193759038,0.002898547920302308,-0.04598696316822781,0.625,0.010101000370632551,0.03394760746786707,0.0,-0.000777795642951884,0.004411725313194337,-0.0026831434160276,-0.016697528382206506
2024-01-05,0.018348605792718242,-0.08612436698154957,0.025078406080747184,0.012462853395754037,-0.000560878439717083,0.007936521285438536,-0.0032050997939716552,0.0,-0.03286392859173648,0.13333334216365134,0.021377661948511317,-0.009220815689796602,-0.0030151073278229523,-0.07643312150273551,-0.031446610514529016,0.003220743527300396,-0.004273500354724069,-0.05904062124666698,-0.09871238955318651,0.0,-0.04690837192850539,-0.0013556890704832236,0.0008077589680406394,-0.017946097337346978,0.0,0.014583269175558522,0.0016786710747784817,-0.02140672108761965,0.0,0.0,-0.0044094295952263884,-0.04954953922923644,-0.022132728635991472,-0.022263430154280228,-0.022727340459820944,0.010570864806181746,-0.01997288293742361,0.26315791675148414,-0.011734048460580682,-0.039999961853027344,0.012820501064172207,0.0002998716594404538,-0.0022852883729579387,0.017964126568860372,0.002193032677044293,0.03219689255712321,-0.014135718566849365,-0.01746723254120064,-0.002592920924711195,0.002832360537228462,-0.04712037473409614,-0.016785109781899177,-0.08169439499934172,0.06281407005073292,-0.013245125129748625,-0.0060975867976262865,0.03347276995590853,-0.014754797759044869,-0.006944404891978451,-0.016563131463710468,-0.02197806588435247,0.03703703703703698,-0.04530381245809567,0.009868411765204144,-0.07382546684279134,-0.02797200154455226,-0.1311476082610863,0.07547162342173652,-0.05679018436054262,-0.08064516377126518,0.0072253921020883904,0.009549840564214485,0.0,-0.050000011920928955,-0.01782369747709689,0.007444102086688886,-0.0007787226889602872,-0.021961946858418013,-0.04291918644235526,0.013207489114168025
2024-01-08,-0.05405410920322551,0.015706766024549346,0.003058057241222656,-0.002344607821269995,0.026006665749558344,-0.05599302941688866,-0.019292637368455767,0.07379127697413468,0.019417457749564715,-0.04901956201103741,-0.006478483478376651,0.00038780092144441447,0.004398761059015266,0.04137926952167148,0.00649353755392057,0.007337744407708957,-0.0042918415410722055,0.06666669783249457,0.07142853899067059,-0.01702126105374524,0.011185725521638101,0.02653340192852416,0.009391841669539325,0.0060913161034243934,0.05490200294984571,0.031827559230128255,0.0040969622911883885,-0.0156250164249786,-0.008150048923871278,0.028846242018708557,0.03669724217063863,0.025276437494557324,0.024691333798854576,0.001897576644787291,0.007751930820906638,0.002091998243882731,0.008581022682542239,0.027777750183035854,0.018469639563946982,0.04166662527455389,-0.008438810925003759,0.017874170574038395,0.007852826885021535,-0.02352945878843815,0.026258179661174275,0.06972479408070953,0.015485389970572916,-0.017777760823567745,0.00848284684704037,0.004743348238324563,0.01923075033665156,0.010013246805414155,0.0016474055620891992,-0.026004759578818648,0.03131998879059261,0.006134995464976978,-0.02024289544013369,0.0010061197946580336,0.02937063431412179,0.10736846923828125,0.016853916782002765,0.08333333333333326,-0.05092595882243578,-0.009771977863882841,0.07246376711439373,0.07194237611725107,0.17924534667637726,0.0,0.10994760345946619,0.017543927160695638,-0.0035867459516216726,0.04459458275203598,0.15384615384615374,0.052631592156154205,0.0006366725111659477,0.002463110596742979,0.0018181853293783856,0.029191643214439233,0.025299854756767992,0.005586631368284634
2024-01-09,0.05714291877487354,-0.020618537443073293,-0.015243902793602881,0.009400695834830275,-0.011644432544848149,-0.052826663284466724,-0.02732240551067433,-0.03791465766988655,-0.004761900436850985,-0.051546402521829404,-0.022905933729883365,-0.008295273111492807,-0.00013675059496043307,-0.04635757197675372,0.012903287128304575,0.01980415139693248,-0.008620681681899223,0.040441137477498224,0.015555558381257217,0.02272727741870484,0.04424774559935751,0.002885283275895878,0.0034163403132372316,-0.01109986461866308,0.0055761584262175035,-0.026865716680541607,0.005378278213461929,0.00952385020511759,0.0,0.0,-0.011596004357857903,-0.08474572161702021,-0.022088380139177133,-0.05303034065949652,0.023076993614966845,0.05010443629784023,-0.02187788587181483,0.16216211281816673,-0.02331604057390191,0.0,0.012766047245027501,-0.014790575070583567,0.0034898921877006828,-0.003012045380823114,0.0,0.015437419170784228,-0.03065976895517364,0.0045248824844552615,0.0004069744443957468,-0.018379462764611,-0.037735876944653746,0.0238908471657171,0.006578941176802688,-0.02184458209967144,-0.02386119963743827,0.02439025708814957,0.0,-0.011471543197490552,-0.019021785432482563,-0.030418311271305787,0.07182326991750188,0.01098901098901095,-0.021951227844789756,0.006578941176802688,-0.07432434914145147,0.08053694640083409,0.015999984741210893,-0.017543843505051004,-0.03773581510593205,0.051724086902089406,0.009359259267651021,0.01638633687000235,0.0,-0.050000011920928955,-0.01749919871225114,-0.051597117373051504,0.00038874340461481083,0.010909063165838173,-0.008512246835022719,-0.009259294417005237
2024-01-10,0.036036001204980295,-0.00526317797209086,-0.004643892096738322,-0.002910427445924735,-0.008754758365372761,0.01663405791117145,-0.04044940136038966,0.09113297802309184,-0.014354053886023399,0.010869554654186597,-0.0029088974795808964,-0.006292998098019087,-0.0017794594504836336,-0.03298611973446797,-0.0063695361600959455,-0.024107072538255503,0.026086932184114398,0.007067131259962167,-0.033552154403140744,-0.01798942642594248,-0.010593160194965812,-0.0016782473354279848,-0.003042583232199414,-0.010204120359535218,-0.0018483830548463587,-0.030674866965842207,-0.0023980205705860236,0.009433926623655164,0.0,-0.028037466475174244,-0.0030873255944874334,-0.03198654131147716,-0.022587199027134686,-0.014000034332275368,-0.015037668789816938,0.0,-0.003727832774282902,0.011627896231359847,-0.0013262270683380706,-0.039999961853027344,0.08823520572717469,0.0025120805169818183,-0.002992508707704289,-0.015105726036447331,-0.014925409553803393,-0.0422297291854945,0.00940563559415497,-0.06306310950447058,-0.00895033857470462,-0.001395228624747058,0.005602235658404231,0.00984114657145807,-0.00326797080073582,-0.0173697687387232,0.031111081441243416,0.0,-0.053719053860528665,-0.0014956224608853042,-0.013850402706163223,-0.011764694882648974,0.0721648775032413,-0.010869565217391353,-0.03990025660468899,-0.00326797080073582,-0.007299228407856018,-0.0062111249368659305,0.007874008357040552,0.017857126131349377,-0.034313693407726165,-0.08196721439623,-0.018544951525865216,0.17988968290267882,-0.06666666666666665,-0.01052630588288439,0.00032390236255497307,0.0440415335058717,0.0005182301727715277,-0.003597067513145258,0.02999650917627572,0.0
2024-01-11,-0.11304347645808255,-0.021164001407603106,-0.01866258974623658,0.004086491862368424,-0.004826345465973492,-0.03176130055839055,-0.06440283292642113,0.00902933711129017,0.004854364437391068,-0.0322580975953628,0.0003432050474680981,-0.027612748816608024,0.005210544411860196,0.0017952875649005495,0.02564106873601424,-0.005946963968784913,-0.025423705697709242,-0.03508768701010212,-0.018113190273069013,0.012931022522848945,-0.002141376599242406,0.009005763820765678,-0.01743928194766109,-0.0072164635258401555,-0.02407409484167289,-0.028480961722247344,-0.013498560507649415,-0.003115253138363583,-0.004496167453818534,0.0,-0.012387783045449074,-0.024347802867060175,-0.021008482491862712,0.008113582808481956,-0.06106864671788603,-0.023856929898778745,-0.016058602885847706,0.022988576095677393,0.0026560398896751103,0.0,0.2393822951830149,-0.002028457652640814,0.004461666332536973,-0.05214726281940507,0.01731600123110688,0.06525571086075255,0.0050300870975823475,-0.0096153757981291,-0.004105266873037028,-0.0065442141673134335,-0.033426152765479555,-0.03458043375777131,0.00819675270763387,0.04040400148252998,0.0021552218037907966,-0.029761942457787627,0.013100424405900535,-0.004732881152193613,0.005617972260667514,-0.019841251069335764,-0.0048076878990646055,0.0,-0.016883054755150284,-0.01311474179619243,-0.014705938038939936,0.02499997516473229,0.01562498544808455,-0.08771930118089977,0.002538068608636479,0.017857126131349377,0.010174374078467219,0.00934916338996139,0.0,-0.042553214424603025,0.02007114398592935,-0.0297767041514293,0.0031080914805403648,-0.013718449734616889,-0.05136794596231331,-0.009345741082053105
2024-01-12,0.03921564960882984,0.027027027027026973,0.0,-0.011627950817908794,0.011250469380939876,0.004970102880219596,-0.018773419627930887,-0.017897075494633263,0.009661826846140142,0.011111167036458314,-0.020415103224189268,0.0036810338522161867,0.0020459970277246775,0.057347701798684536,-0.025000040967171677,-0.0009203838381162122,0.0,0.03636360168457031,-0.016141432317639648,-0.0648935831310834,0.008583683082144411,0.01892186112558769,0.003993442399482294,0.01765317489861884,0.013282765069208002,-0.013029303481221888,0.009371988389353492,0.0,0.0,-0.0096153757981291,-0.008780143764686388,-0.18360074604189047,0.051502200818440924,0.0,-0.04878053744586641,0.0407332570911807,-0.005862762292923818,-0.13483150682680778,0.013245020146527287,0.0,-0.04049847753770208,0.0019129124351668914,0.002826799962449389,-0.019417457749564604,-0.014893552694667744,0.01986753084718007,-0.0015590614117555468,-0.05825237324869392,0.004671719450738632,-0.004588780646291868,-0.014409208041508248,0.002116732394101817,0.03902435242219715,-0.01699021766228026,0.004301071078780971,0.0,0.008620681681899223,0.006862091682576343,0.01256985398127064,-0.008097158176053498,0.0,-0.06593406593406592,0.038309092668526556,0.02657804782708406,-0.00746264407777486,-0.024390220263873164,0.0,0.0,-0.11898734757885332,0.0,-0.020143866234206276,0.008550045376823245,0.1428571428571428,0.011111167036458314,0.010155435879805719,-0.007672626785479197,0.0023235525608302776,-0.0036603361122538036,-0.013557590525921315,0.011320743513260512
2024-01-16,-0.00943395377648304,0.11052633586682781,-0.011093454281607906,-0.008235258214614016,-0.00988560560799312,-0.03857560859469056,-0.13775508962835414,0.14350800309824674,-0.01913873851469783,0.010989000192372256,-0.013310029239431698,-0.007778464911180172,-0.007078523234930301,0.02203391734569493,-0.025640988702464118,0.002763789225943336,-0.004347822030685733,0.0,-0.0859375285217534,0.04095559251872327,-0.012765945790308875,-0.023359027515095998,0.0014732779546569041,0.01632651472429325,0.03183521937008926,-0.08360838461212416,-0.01838432029368542,0.006249976535744883,0.0,-0.009708728874782357,-0.05156599293394026,-0.08296945868362127,-0.06530615621087688,-0.02012070600685323,-0.025641002128344415,0.03131112392008295,-0.022314336761635856,-0.025974001846660322,-0.003921596004491157,0.04166662527455389,0.05519483133278458,-0.014380339507938156,-0.008858853821851254,0.006600653833452208,-0.002159876594958421,-0.04220775300082302,-0.030487124822423994,-0.07216500039941254,-0.0036926535278107853,7.447805243865346e-05,-0.0263158335029684,-0.01998374042759632,-0.014084456593303596,-0.04444451770337343,0.004282651092028633,-0.012269900274821,-0.025641002128344415,-0.006576140304569433,-0.026206904444201262,0.020408143405366452,0.0,-0.0117647058823529,-0.031806660735524295,-0.012944971833043106,0.022556404994930057,0.0,0.0076923006385032355,0.03846159489197354,-0.020114923235383997,-0.052631530515153124,-0.03597648863695646,0.03320383439739949,-0.0625,-0.12087913311531129,0.0021993150547463536,-0.007732012609147132,-0.0027045626818450463,0.0,-0.02112135271845439,-0.011194018896451219
