Date,ELTK,CODA,SHIP,AEHL,DYAI,VIRC,NECB,NAII,CRNT,SGLY,HGBL,NOTV,ANIX,TAYD,SBET,IBIO,CLWT,WVVI,AWRE,SFBC,SLNH,FIEE,INOD,CRVO,ICCC,BMRA,FKWL,WFCF,ORKA,SSKN,PRPH,ARTW,CREX,LINK,RCAT,AACG,ISBA,CZFS,LDWY,DXR,LIXT,BHRB,MGYR,BVFL,INTZ,TOMZ,SCWO,IPM,HFBL,BYRN
2021-01-04,0.0,0.03497619528824236,-0.055555746122392,-0.020161290322580627,-0.040892242072316565,-0.04347803143851181,-0.0036231044915531196,0.0009443086626765851,0.050359750483805366,0.0728155326321882,0.07894729058356886,-0.039024429956693085,0.06514659675332912,-0.011461306828900009,0.09677419354838701,0.161904761904762,0.021739058528521538,-0.006279428975141443,-0.02571426119123188,0.0,0.06157112526539277,0.03867403314917128,-0.0018868355701793238,0.050000000000000044,0.02521010086989528,0.016064241646516875,0.01063830918446973,-0.014285697575617595,0.037406419831699456,-0.020000012715657545,0.15250531789874766,0.06944437545758975,0.20155044777105102,0.008888959884643555,-0.09833335876464844,-0.008403453102266312,-0.0061319119802963895,-0.02678572016046632,0.24319724498416795,-0.007200012207031259,0.012618224023807523,0.0,0.059128572440926286,0.0,-0.028944329926547385,-0.02844641346997101,-0.04761900369272076,0.08904109029793172,0.03878112967152392,0.006896578032394851
2021-01-05,-0.01988089229961587,-0.0023042001221758035,0.0980392377875754,0.04938271604938271,0.05038764274619778,0.02892554232633482,0.0,0.0858490391191793,-0.0034246541787590346,0.018099529937821268,0.010453035193241922,0.04737736328892761,0.04587158906494282,-0.009661872249663306,0.023529426724302915,-0.032786885245901676,0.0030394208299604486,0.0,0.01759529069481669,0.0,0.016000000000000014,-0.04255319148936165,0.024574690997801074,0.23809523809523814,-0.01311474179619243,0.005928895286087643,-0.04000004208588326,-0.018115955433275377,0.024038492960992475,-0.006802682251218939,0.02457465559236316,-0.0032467502308325402,0.0,-0.09691647601715381,-0.2569315907005999,0.04237294385434165,0.028277655869316298,0.0,0.09439125343660315,0.0,-0.0031152174104217556,0.0046863809949611035,0.002938465869413154,0.0,0.0385738784879619,0.0,-0.025000050291418274,0.0,0.0,-0.0068493410175966
2021-01-06,0.02028415948982132,-0.019245573857194942,-0.03571411055302287,0.019607843137254832,-0.022140199975999808,-0.056224850660067105,0.01818203531188156,0.054735021886452184,-0.030927886575027097,0.0,-0.044827624195111215,0.0,-0.017543912239656678,0.001951264172065592,-0.07471267181757968,0.0,0.0030302935007706644,0.015797773434098383,0.028818416083016496,-0.0022045454830337263,0.08464566929133865,0.04166666666666674,0.027675293958666858,-0.09615384615384615,-0.00664451195677096,0.009823126208018618,-0.013157909157718306,0.011070062170104977,-0.030516352942082436,-0.0342465744476691,0.08948339279887674,0.026058685297797535,-0.07096772407269791,0.0182927986080772,0.39303480875686536,-0.008130073421291018,0.057499921504185814,0.06422022612899703,-0.05624997615814209,-0.024979812228364207,0.0031249523162841797,0.006414332727709082,-0.018554872993734484,0.0,0.03995501533735868,-0.02477480452630154,0.025641078544558438,0.06918239748170008,-0.03299983840390586,-0.013793090294147325
2021-01-07,0.0,-0.01726839225328991,0.09259229907585609,0.28076923076923066,0.024528232627428537,0.03404250703940215,-0.013571277771308288,0.060955498368266525,0.03546104447461973,0.06222220526801214,-0.03610104885239751,0.08723747283703709,0.10119052476285684,-0.020447909326841485,0.06832296664983084,0.0,0.10876148335040536,0.0,0.11484596456512142,-0.003788061866035086,-0.010889292196007205,-0.040000000000000036,0.12028717752390028,0.0,0.04849497674382253,0.06420232145486171,0.022222246902216858,-0.014598523722513135,0.00968519866331996,0.042553149756217934,0.15241320501439692,-0.006349200101906871,0.04166662527455389,0.05389222903328439,-0.017857126131349377,0.04098356651125812,-0.002363954744432295,-0.030172313503197046,0.07284770554175712,0.009917345601315297,0.03115264945592422,0.010428442053282527,0.008955553604454547,0.0,-0.012987062314069653,0.05311778825082025,0.0,0.02941173583166079,0.0,0.006992966885427165
2021-01-08,0.005964195972820496,0.02555908012174135,0.05084759157459784,-0.13213213213213215,0.012891376404112087,-0.012345875097007797,-0.0007245629823585675,0.013975178849103154,0.16780821805958634,0.037656888405658506,0.0149812586929019,-0.03640414336771591,0.056756766335297026,0.0129223812469339,0.08139536602982411,0.016949152542372836,0.021798293750864506,-0.02021767357299431,0.020100483246901613,0.024081133253224918,-0.01834862385321101,0.01388888888888884,0.03044872823551592,0.03191489361702127,-0.006379579262313917,-0.025594126481802038,-0.021739154053396992,0.0,0.01199038693916421,0.013605429378242606,0.013960352691001265,-0.006389846202502492,-0.02000003390842009,0.04147713151644972,0.03272724151611328,-0.023622025071121988,-0.026066709256581833,0.0008888179981592081,0.007407341125519329,0.0008182712756970023,-0.0030211020764631114,0.0,0.010847898305475834,0.014705949289741227,0.017543927160695638,-0.06578941176802755,0.09999997764825852,0.4000000272478377,0.0,-0.02777775202268362
2021-01-11,0.035573011425438006,-0.034252356481672686,0.32258059531262573,0.06228373702422152,-0.023636384443803227,0.012500201017456858,0.0,-0.10796330442444257,-0.08797659330902396,0.028225838083631327,0.04797043328133288,0.03700844505427958,-0.06649615978410373,-0.01864569069748223,0.053763441595309214,0.050000000000000044,0.034666701234592034,0.00317460005095338,-0.02709357060249551,0.0037129865481280167,-0.06542056074766356,0.013698630136986356,-0.03888024987157657,0.3402061855670102,-0.019261618810866077,-0.03564729079552187,0.013333348141330248,-0.07407406086024759,0.01658767739321254,0.006711435169794333,0.008695641215223704,-0.09646301042947159,-0.03401352011798742,-0.007092153748865404,-0.05281685263456315,0.016129016752173708,0.0,0.0,-0.007352875865728303,-0.001635282488792189,0.012121258359966802,0.0034404813787460853,-0.006829210495379212,0.0,-0.07165949684473572,-0.01173713334470583,-0.09090907243657698,-0.1836734852757067,0.0,0.0
2021-01-12,0.005725271919682751,0.011274017592854069,0.04878048210534591,-0.05211726384364823,-0.007448782626717443,0.012345675312634974,0.021739264389630808,0.057510738045712495,0.006430938913094986,0.01568625955020675,0.04929581307579878,0.10408926335004032,0.04383557348811595,-0.011999988555908225,0.14285710578525457,0.25396825396825395,-0.005154692871524702,0.004746793062713639,0.005063286249386678,-0.019728823592765843,-0.0020000000000000018,-0.013513513513513487,0.02265377786594369,-0.1461538461538462,0.026186553832377557,0.2723735664850635,-0.06578946148193066,0.04399998766991442,0.004662024252942265,0.020000012715657656,0.027298829482364173,0.049822102403921154,0.01408449285348734,-0.05274720714224579,-0.07434945852394259,-0.007936500427734305,-0.04233529767565658,0.003729965974306859,0.014814799988603022,0.03194105995940211,-0.011976093042061042,0.020000155376890705,0.0,0.0,0.1683110823352023,0.016627119008812974,0.0,0.0,-0.00034504984791461357,0.0
2021-01-13,0.018975305905141848,-0.041467265205040404,-0.034883661340990746,0.020618556701030855,-0.013133151186904057,0.239837491833494,0.0035462246562694144,-0.0064935004616650804,-0.03194892632424373,0.057915058768063465,-0.006711402952518042,0.020201968306673868,0.015748016714081325,0.019230726536692222,-0.06249995742525183,-0.08860759493670889,-0.028497389347700963,0.009448810028448884,0.08312346593109621,0.018553590111848317,0.012024048096192397,-0.008219178082191747,0.02215187700679966,0.12612612612612617,-0.0015948567902865918,-0.04128440099409614,-0.010328667731542951,0.007662826481723339,0.05568441339178576,0.019607855359147885,0.0951048035721167,-0.016949136104436047,0.013888875091518038,-0.013921038750516201,-0.0361445437046628,-0.0319999694824219,0.01626000120571658,0.000707701451215792,-0.01581509856664609,0.045238069648195545,-0.015151515151515138,0.0,0.0,0.0,0.1862891178911612,0.01168217557165585,-0.16249999161809692,0.10000002384185791,0.0,0.0
2021-01-14,0.04841723944079357,-0.008319498973491046,0.0,0.01683501683501687,0.06083644123571519,-0.11475418838442186,0.0,0.045751669124871386,0.039604001686713186,0.23722635028625194,0.057432457467253784,0.016501650580520222,0.1317830087760219,0.016881835297504644,0.0809523567320809,0.06944444444444442,0.005333316243572472,0.01872080581167057,0.02093015622293537,0.0021610497824593455,0.00990099009900991,0.005524861878453136,-0.06346746826486338,-0.06399999999999995,0.006389770030435393,-0.033492829152439785,-0.03984818696179426,0.005323209848363097,-0.01538461538461533,0.0512820011216677,0.021072894268834075,0.024137907220975086,0.054794466860145,0.05882349228776573,0.1874999130765631,0.041322273338813664,0.0,0.00088426590658508,0.0964152927391082,0.031131347383217545,0.003076876126802963,0.005602048306807994,-0.05009845290074122,0.0,0.04564486497984621,-0.006928344919118312,0.16417903277677137,-0.21818182212262105,0.017241546203241365,0.007142884390694659
2021-01-15,-0.005328671428526999,-0.02684561181007228,-0.02409641984746569,-0.07615894039735094,-0.04838709401759067,-0.011111018211375057,0.0,-0.007812529685906622,0.5396824627927004,-0.07079650200153442,-0.047923351400332104,0.01298706285023532,0.015981665067411388,-0.002929661488450974,0.008810550478192791,-0.045454545454545414,0.05305044610683085,0.0015313555472260543,0.011389565434062554,0.0,0.01764705882352935,-0.02472527472527475,-0.16363639946184394,-0.03418803418803418,-0.006349200101906871,-0.05940596318706948,-0.0069169466855770745,0.0022692644837483122,-0.0066963908755456325,0.030487805587205763,0.000625327780453544,-0.013468000494176735,0.025974001846660322,0.009999990463256836,-0.038596455711112254,0.0,0.011500295887274747,-0.005300257029997479,0.06200678667767501,0.01620031430521318,-0.03680978256926659,0.0,0.018614630605795268,0.0,-0.07729276446790789,0.009302316297383983,0.01282057748038623,0.04651158277636491,0.0,-0.00709222544427357
