Date,FNX,HTBK,FAD,FEX,AMKR,QCOM,FORM,NRIM,TBBK,VCSH,WTW,FWRD,ACWI,INDY,AVGO,COLB,AMSF,VRSN,HTLD,KELYA,TROW,UAL,COST,HBNC,BANF,EGBN,CHRW,TTWO,ADP,IGIB,LKQ,CVLT,MSEX,ADBE,TER,PLAB,VRSK,MRVL,CPRT,OSBC
2022-01-03,0.0032089630627785137,-0.00418767484367788,-0.00963313590436321,-0.005740362365339036,0.05849136388877807,0.018264401862829516,0.022309720702758717,0.008973797123378091,0.014618761242222833,-0.0014764280459677037,-0.008084605691160207,-0.0035510509679347324,0.005293930520047452,0.017121034180336947,-0.0031408301620504675,0.021087805394638615,-0.008174179420584293,-0.0067371004489439335,-0.004161258046109895,0.06261154567665184,-0.010475740214815565,0.03905899832913118,-0.0017443046502273463,0.008633047988839904,0.01828273677548542,0.01885509639254157,0.00250875224677638,0.005007874091465858,-0.010422683614163541,-0.006073882134037589,-0.023654610506151585,0.0027568549978844725,-0.009725898578394343,-0.004743770417570792,0.015777106857675083,0.022811686815586985,-0.030909685413132548,0.02217412312046596,-0.03080067484064919,0.00873706627087234
2022-01-04,0.0066880470839010275,0.012615756672766931,-0.008761940116135958,0.00468396514317293,-0.015243882186626201,0.0054777109104193755,-0.03851097533415526,0.024857089995380166,0.01129279613444023,0.0006157127888497538,0.013159624787360658,0.03273662625207563,-0.0008461813624817127,0.007481436150636123,0.011457360291755148,0.010476023026322778,0.00842855566743661,-0.006663744699967,0.014925171093680856,0.026374972043592626,0.0027751075168485073,0.016706931050586293,-0.004376063077303871,0.01426518825475509,0.006680309515036509,0.0023555000833943573,0.022984188360916757,0.018419983622922187,0.004671932953456137,0.0006791931161593823,0.015014394605801673,-0.013312084514835232,-0.0015108653032528396,-0.0183744621558668,0.0016253716476943847,-0.004149373488428698,0.0003156473111800562,-0.01185310754350688,-0.00564819223063362,0.007086542200844814
2022-01-05,-0.022145355285927204,-0.006644727037294906,-0.02927595591576404,-0.019082645001475496,-0.030572465132812976,-0.0038989231706797467,-0.04917666114834274,0.0042280011690252195,0.0015402740309959917,-0.0022168732830989413,-0.006955323086854093,-0.04790949026444524,-0.016282476671174773,0.0006186660188374216,-0.04161431239166413,-0.001480968536375027,-0.002971580627824988,-0.027632490282405997,-0.012941091250267323,-0.0021872230662641767,-0.039155472372929045,-0.010162188555743246,-0.025361856358947055,-0.0032814190116778885,-0.006083112254160583,0.0,-0.0065229248477033375,-0.05525007218355371,-0.00852541429028919,-0.005089131365634603,-0.012943295625051254,-0.001466580142764462,-0.005044000039941987,-0.07142600600039484,-0.03684339776187351,-0.010416705989173769,-0.033464088827386385,-0.04809328936090196,-0.03154941667397648,0.0023457691111223866
2022-01-06,0.005514071152122213,0.025919875899097944,0.0035088939967680144,0.002431957267252871,0.005987902827776281,-0.0029495062355134882,0.07020828532971679,0.01927769908715815,0.043060319954980386,-0.0014811991528949076,-0.01126531714437451,-0.025370875268458493,-0.0021047886386430514,0.0006184475522845734,-0.009284757449143477,0.05369328417528574,0.008196723753398638,-0.00694017259980062,-0.01966642938209673,-0.0016437041983993206,0.013548215743407255,-0.00021839934031897545,-0.00021816105827443533,0.02700137681579662,0.0240646089209271,0.02870085425146285,0.011763614812339451,-0.042129794797929554,-0.006870543761024472,-0.0018757192332167216,0.010899189825280597,-0.002056093364342426,-0.015885176054318384,-0.0006026039752878853,0.020155990063584373,0.013684222572728277,-0.007652382725524931,0.017487670539675815,-0.00021199053396492307,0.043681517150523375
2022-01-07,-0.004308731444366276,0.0016301150986497426,-0.021062406815100188,-0.002756741797804496,-0.0591271410920613,-0.02979256664231833,-0.0756614720994474,0.00478268150359118,0.00552899117283534,-0.0003708490895810712,-0.011863127755322278,-0.009945440786020443,-0.0001918045777359323,0.008652750415226729,-0.028067763443617277,0.014921106026130504,0.019955597318503493,-0.01699609301752436,-0.00911874093966114,-0.01536780990846065,0.00820953629347465,0.033646513002516754,-0.024772738122823323,0.005073849503056671,0.008693301590157354,0.02431046500012357,-0.022712872529198735,-6.071627968462501e-05,-0.010563781074285905,-0.002733107243939714,-0.01836258700408311,-0.018690164828613187,-0.03666178619986038,-0.006652110290666147,-0.031869248831819186,-0.036864017828856954,-0.028306721535704682,-0.0282941738182233,-0.03583539877392583,0.016442629554386023
2022-01-10,-0.006097460355428019,0.0032545413412627955,-0.005017394152810883,-0.0028748656361232694,-0.0004216918708698225,-0.004046498382279329,-0.002365798148459497,-0.011899549870247217,-0.018695022582294052,-0.0011133902631327297,0.004577668656075451,-0.016160040893535732,-0.0028766870721785853,0.004289098763453625,0.0032463124735577775,0.018030336035431915,0.017029030993303884,-0.004669504435527383,0.0012271769049227998,-0.006131440046186376,-0.012370725890571976,-0.015430131495376642,-0.032414550827015276,-0.008719651151527286,-0.004039885920501751,0.004778765880390834,-0.005441387801161657,-0.1312879696782101,-0.02491208002357559,-0.0006852066000100354,-0.010125216895807698,0.042141534879021725,-0.023083814878683495,0.0296260123774561,-0.010488370514547318,-0.004312664528105525,0.00014496254767926153,-0.010828882402094231,-0.0023459227008849615,-0.019852960642992912
2022-01-11,0.01108246619837927,0.0,0.015213812048855191,0.008871017185065444,0.026160458290993782,0.031834404447891984,0.0331989942297386,-0.004379228656393952,-0.0007471220553479929,0.0007433387831921046,0.00576055178991175,0.008789914341603478,0.011925280899577784,0.015456606665985362,0.0014329241299924078,0.0008177996756277839,-0.013715738664601518,-0.0015215615597173882,-0.0012256727875848972,0.014021300722480534,0.023624517591492644,0.006869894423466416,0.006226095156570466,-0.00231477982826922,0.004867461275249951,-0.006182856558604177,0.0012981511711691596,0.037974630863559566,0.010262359526678422,0.0011997811086374988,-0.0010402478051886321,0.0031659408183379867,-0.011403942729092842,0.007721121705952516,0.02509387055973411,0.014076894344757562,0.009676912207327693,0.04889902709191074,0.014181850147004127,0.027006627384868143
2022-01-12,-0.0005871666437424761,-0.01135441995875408,0.00016829402123219595,0.0016485960401981803,-0.0008223963151844371,0.005501553344825938,-0.008262580052171287,-0.0032989414757063074,0.10616823000328557,-0.00012395917869301165,-0.0008120979895447356,-0.006513025021063212,0.006082384115702277,0.008612126466317038,-8.028222870604118e-05,0.006261609482143271,-0.007765837995477254,0.00850829331863645,-0.011656231935535666,-0.006637316906539015,-0.06634650939952336,-0.007675918947527505,0.007221745106986699,0.0023201504657659466,-0.005247568248200496,-0.002233018127518749,-0.005834340231510193,0.05147553890245904,-0.0027627114096613337,0.0,0.0013883434950365814,-0.005738079631792736,-0.014765601331199973,0.0046801796602931045,0.014700552607567419,0.01334757106834128,-0.006181832780597807,-0.014960172369996694,0.019272484574549775,-0.008765630336518782
2022-01-13,-0.0026438413698307572,0.02543072190277562,-0.01481470630473869,-0.007900678897847624,-0.013580290883146384,-0.013571620953081842,-0.004628575958737335,0.007060917791515298,0.04596149386070958,0.0004950372515530876,-0.010950848631557597,0.009390500913716293,-0.013413764730576316,-0.007744233679804036,-0.03988754563403407,-0.00351721751359535,0.009282805473548539,-0.03521514794293934,0.0024828143998867347,0.020044767408212705,-0.019465838399985613,0.03502357587780258,-0.016964541127873156,0.04907398310905564,0.026646868500421084,0.002717700916351262,0.010246819355953951,-0.007881556752410201,-0.011507469025882067,0.0017122893465597588,-0.003466119998686068,-0.00634821566166921,-0.01929569272885112,-0.02905868257980937,-0.028545080393255207,-0.012644877603083748,-0.020637333869938046,-0.07405220846533533,-0.01514067198547786,0.014001548873499248
2022-01-14,-0.000687443306323865,0.015200066418338487,-0.008373318492513215,0.0007743140955296379,0.042553031371518335,0.02610266972052755,0.03975826472687394,0.002629108219533549,0.03780284782242416,-0.001978738989526496,-0.009039673668294168,-0.011234034309547725,0.00028716581631571536,-0.00300173066518139,-0.0013730893753853834,0.003258489413590082,-0.0016229510387338886,-0.014704681958360943,-0.012383810623639024,0.0038209528187751474,-0.013197126892157351,-0.029686455155408686,-0.026872747522073026,0.02603705864408723,0.021475678256136055,0.007334284129636881,-0.0014753783403423926,-0.014532067256933345,-0.013711181198599154,-0.0051276306693498475,-0.014260954789454106,0.011761253467264421,-0.024833102883655367,0.007157962849912991,0.039936813830641515,0.05602994435610542,-0.024420357383156177,0.05530842636225408,-0.013280377462014603,0.027616351726448052
2022-01-18,-0.021123965436979475,0.003151862703291819,-0.02834740893633103,-0.01635713316057319,-0.06962779544747644,-0.05209582077440911,-0.04069766648355211,-0.015296719696086813,-0.030510572068030317,-0.002850049911439778,-0.008554356601405577,-0.009675124929199641,-0.01732556326426149,-0.011039802789812425,-0.031155125701875952,-0.017862003443570917,-0.0144510092625465,-0.028170236433903595,-0.006896568204867171,-0.03806408710682729,-0.024061329520712826,-0.024176316378606955,-0.029662647003402154,0.008602313894600755,0.005417166359058534,0.0006370673290552187,0.007479998205539351,0.009568694701516112,-0.010098279120487108,-0.007043191899881784,-0.02258286377294849,-0.022818656146978422,-0.031341681689857515,-0.01394534973286854,-0.05474884302308092,-0.07933307375145293,0.0015141018765569836,-0.06421700097365535,-0.027576651944370978,-0.01131546124213445
2022-01-19,-0.014152263989324898,-0.023566315101408275,-0.01268068802353517,-0.012135048187834063,-0.02967755917253001,-0.03572624386750656,-0.02284390028150507,-0.01886419160336239,-0.03660884431575795,0.0,-0.0026414076467436987,-0.009679948477558376,-0.0060394271619892415,-0.009539421006204751,-0.0239188349959345,-0.03306719768408184,-0.02016124738045555,-0.01299403519580633,-0.0006312529504179931,-0.015262910555999487,-0.01739284606653646,-0.026529249468986826,0.004282344321181686,-0.021748476794518856,-0.020654441179298377,-0.03263275767074647,-0.014573743764380698,0.060503815440361874,-0.007109910980856782,0.001037892353622949,-0.011913272457885982,-0.020854725294721654,-0.010414311431856227,0.006311586988885232,-0.04654166566873441,-0.007134970673205121,0.007105102121738094,-0.010042293210581033,-0.00782314221319702,-0.025035593279642554
2022-01-20,-0.01842809755507091,-0.004827112709020809,-0.01580725138599104,-0.01251127423645726,-0.01728701720454273,-0.03461481156116786,-0.013597321558245667,-0.021261923465097143,-0.023000017801920625,-0.00037321700520642764,0.007415288004280818,-0.02208341930625579,-0.007839961838888576,-0.009835950355744472,-0.028813525722801492,-0.0054145532129467044,-0.011410319293701177,-0.0032682665263983335,-0.0037901570504268456,-0.02066600949323738,-0.01787951239774843,-0.03423424336771086,-0.014975035295130223,-0.03879684871159128,-0.013753922024330123,-0.020075751098711847,-0.022974612496172164,0.006733631852385846,-0.02010425886367695,-0.00034568237176890726,-0.022469874536167223,0.013799282949040759,0.010319785498277056,-0.011092204105393355,-0.019147530771097876,-0.04035376097727106,-0.009156299579711757,-0.040187382912131864,-0.026535255208175457,-0.014673717399210529
2022-01-21,-0.017944075678716476,0.006467464117335675,-0.018981823307180568,-0.015894931406553403,-0.02571047107294311,-0.009429554542992769,-0.013542867696699545,-0.00901320082094692,-0.024223783603191773,0.0014923441404841586,-0.011391259475108328,0.004627524026141305,-0.01698943647158968,-0.013038136235579034,-0.026455112615438536,0.0037247551753722963,0.005108682430162936,0.002817147500784767,-0.003170646092657936,-0.011137072296875106,-0.031009182153884707,-0.02868469010256003,-0.0025059491347816376,-0.002267539423610687,-0.005180176622405441,-0.005037817841405445,-0.000571237994920204,0.0018240774700359896,-0.014434137212939513,0.004322523867414052,0.0044850963015625744,-0.01819789605240052,-0.010113271814231828,-0.02141529276832277,-0.014366161203073546,0.0074884306564531045,-0.009796579895407609,-0.016937621576947448,-0.013317691093168715,-0.0007445858135337602
2022-01-24,0.017004423175366323,0.012851242567156307,0.013209325035470565,0.007490603494099357,0.028240764329656276,0.031164661023671103,0.05932822051063269,0.02565285156536934,0.022727259086031903,0.0004963109210318617,0.023045386498759868,0.04163969282272695,-0.0016078104831297457,-0.02746899625896826,0.01565916305273407,0.012275203758456588,0.025225824081151593,0.01363170425295035,0.02671755654002661,0.038530167689486694,-0.002254465827698504,-0.006242548060146347,0.015136608248342842,0.012272685630643432,0.015086902577407857,0.02548505706169646,0.024766700567697475,0.0013960366229472942,0.0051122072884530745,-0.0006889338128378553,0.028651115299338947,0.017179014152549632,0.009909932837696145,0.0395070499444754,0.028244625878797835,0.02172676232636328,0.006578498690082091,-0.006340468269143695,0.021548627949562693,0.005961275383161269
2022-01-25,-0.011735192000768668,0.0,-0.007436450892183699,-0.009758227740605419,-0.03917141759188525,-0.027165130173259833,-0.042582739911445344,-0.00522977065126784,-0.03726496248163724,-0.0008684639669466199,-0.018151223324389787,-0.042274790133942974,-0.01006434495538866,0.012074041124711998,-0.013737523071692292,0.017202520385798836,-0.011017273243469905,-0.03339395225709041,-0.03159864627316389,-0.019977298723638293,-0.010481997350393568,0.009422551229753662,-0.02368569243856622,0.00449037972106292,-0.004208763317652298,-0.0031269185846203307,-0.02268090417045132,-0.04000246005076402,-0.0062318577476147,-0.0017225247824350642,-0.01193697431825369,0.00829626012731488,0.047445634931827074,-0.03259818496568456,-0.06205931885291682,-0.049244601387102405,-0.03429908362347367,-0.07032873018287034,-0.018003414186523847,0.0007408743841765819
2022-01-26,-0.007986694803404859,-0.021411473186017993,-0.00786233317415641,-0.005748566994897342,0.006091862899082701,0.009368372600016439,0.009668879289494337,-0.00571398894188202,-0.003196028163194864,-0.002731969541050705,-0.004853147330478702,-0.036106696043987085,-0.004981680256641363,-0.012356029836141258,0.04302252120187977,-0.011644023166200834,-0.02580750838919943,-0.020305463873274476,-0.05502227689758821,-0.02620872809946828,-0.0065335890483188,-0.008377177700984673,0.012884421579459682,-0.016540001737084253,0.0038301714173323287,-0.00792457344814812,-0.023682671673069255,-0.0029673667688254746,-0.08954248376025531,-0.005694516573860775,-0.007138957234098409,-0.014545957967706746,-0.031099050990442967,-0.003799338911265715,0.036734429045837125,0.020600375879033406,-0.014952172616790826,0.009549252484483128,-0.030686867643898386,0.003700957608597344
2022-01-27,-0.014724398492333202,-0.020259182519530183,-0.025638769085279844,-0.006725657590108569,-0.05170009947192178,-0.03473053904181844,-0.06368206411924282,0.0006895863751743558,-0.04702528354738855,-0.0009959286704536163,-0.01134987314161251,-0.028070449232772687,-0.00510882466280671,-0.0028041099366955535,-0.026583173981646224,-0.03394109024533376,-0.017915247893632524,-0.004749760459032526,-0.011509777683287314,-0.007176949597783255,-0.0432259214433901,-0.012068549271469275,-0.001964908006248711,-0.04500001906448614,-0.01907875055776187,-0.011982153723702926,0.0016561777592039029,-0.004242642962980159,-0.005266774973581523,0.0015618180424410433,-0.011615177256470655,-0.007753043766698164,-0.008771785576564994,-0.015494917840008005,-0.22410539532559015,-0.026528315327185137,0.0028760130139504625,-0.04093978438424506,-0.013637472780917093,-0.013323735733387854
2022-01-28,0.017417376709562227,0.033085063726749686,0.01004686231249119,0.016274792525955872,0.03241640877613894,0.03480164797609908,0.02812575957439245,-0.005743275434552997,0.029906513534973644,0.00037357455452102784,0.03632439325960757,0.01912272876108978,0.016021460036663715,0.009950169539927334,0.0328042526945036,0.002613289201219837,0.013778578604922043,0.020005778645811212,0.010273862105408815,0.009036099938965148,-0.00026655556014021364,-0.000488650320414119,0.020538017691922317,-0.00047597820751421605,0.0077798660358183724,-0.003873862377727466,0.012448901718000949,0.009475392643332636,0.014509572786235214,0.0008665293973821875,0.010445810611381612,0.013523574082850542,0.005430088328209237,0.05092786933017046,0.007910819179441697,0.0272512449461757,0.026500300132377586,0.022037200754064123,0.03217838831350828,-0.00600125585241551
