Date,ADP,ADX,AFG,AIT,APA,APD,ARW,AVT,BAC,BBWI,BCV,CAT,CBU,CET,CMC,CMCSA,CMI,CNA,COP,CTAS,CVS,CW,DIS,DOV,DTE,DVN,EFX,EMR,FLS,GAM,GATX,GGG,GL,GPC,HON,HST,HUBB,HXL,IAF,ITW,JKHY,JPM,KF,L,LEG,LNC,MMM,MOG-A,MRK,MUR,OII,OMC,OXY,PAYX,PCAR,PEO,PFE,PPG,R,RHI,ROK,RTX,SEIC,SLB,SNA,SOR,SPGI,STEW,SWK,SXT,TRMK,TRST,TRV,TXT,TY,USB,VFC,VLO,VNO,WFC
2015-01-02,-0.0009591870201354213,-0.0007308932238417887,-0.007740183164003711,-0.011625311888878276,0.018509524863454807,0.00831993255503849,-0.007773376536257537,-0.005114163748556111,0.0005588583130005098,-0.005777216192238255,-0.003489326232662182,0.0038241178716349467,-0.011014647242710618,-0.005006784790658081,-0.006752484950759197,-0.011377585523648981,0.015606522301859993,-0.006200108162997098,-0.0020273724679196192,0.00012741794088233505,-0.01256368450201506,-0.007650134139761233,-0.004671399089097639,0.0036248344860623227,0.007410150788865311,-0.0040843225423360385,0.005564243039253736,0.0009718693549933821,-0.00300843263906303,-0.012285649112516506,0.00017397974751642842,0.0021204394617033717,-0.00018460478230963862,-0.0004691894160776533,0.0031026783079695086,0.0016831088272981631,0.0065522942579241406,-0.005061939218350298,-0.005831009201220372,-0.00021099145956493537,0.0011264613178385563,0.004985768439638383,-0.010661034019566196,-0.006663612451082712,-0.010560871649547443,-0.004335111914895218,-0.0015823108553371101,-0.012427563707287814,0.007043707260160348,-0.000594248742438408,0.0006800494088128328,-0.01987869285218491,0.0004959615552322383,0.001515603149597533,0.0020582375815516585,-0.0033559602126297383,0.005778380740456335,-0.007571485494429431,-0.006139088345209265,-0.008564576398485513,-0.0014387413464015397,0.0003479967736326195,-0.010989030118703114,0.0030444847082515825,-0.00329123756500882,-0.0075613968430988665,-0.0035967638124777546,-0.0022094973943966867,-0.0006248384816414099,-0.007788966724348034,-0.01059514033937159,-0.020661130541541284,-0.003873668069515168,0.0014245740871521306,-0.0074732157931788334,-0.002669990902099184,-0.015220170458770554,0.01697006304144666,0.01410253839279374,-0.0021888496961935955
2015-01-05,-0.0007205209433298609,-0.018288436970550936,-0.013112194799603127,-0.025300046734938353,-0.0614131021621086,-0.03197410191772976,-0.01653894448041382,-0.012616635358605577,-0.029050275029292916,-0.014991163448667355,-0.011005580364275125,-0.05278625339125853,-0.025192271480552808,-0.018755709208442828,-0.04449949182806201,-0.020393920457645653,-0.03387485180598404,-0.029373601100650792,-0.04759093008265047,-0.018228042948337353,-0.009884380110837254,-0.020984181841247396,-0.014613436700727789,-0.03487054357576502,-0.009769093339618506,-0.03707353782251732,-0.008361990859363955,-0.020553567710317355,-0.03369651484275271,-0.02516613972639037,-0.03370958345344954,-0.01568149598937585,-0.017909892668488747,-0.00638367394200412,-0.0190563170594632,-0.007980088941137664,-0.027434123706473135,-0.014050197055553215,-0.014662697055269902,-0.02471522990702979,-0.009323225691761472,-0.0310451244693557,-0.0024245888872989063,-0.023957906257592088,-0.011384789923933103,-0.03082545073879739,-0.0225527451528873,-0.009711325228794476,0.01486255408541326,-0.05327758238019087,-0.03211556365215751,-0.01791132925861494,-0.037073776328443664,0.0017304122783874387,-0.033602299027432725,-0.028619446647002555,-0.0054258907622468655,-0.02580609430807934,-0.03207625669609304,-0.02090519255237122,-0.03359155882761111,-0.01668993615941916,-0.016413785273841075,-0.027081059381088846,-0.017976245486600373,-0.01608620285028517,-0.01770813046320152,-0.02104086924451387,-0.02134958341252724,-0.018038934551603658,-0.027183016499482404,-0.025316489680787813,-0.01204465177275138,-0.0192080698313446,-0.01458815564488991,-0.024090836521035386,-0.008405782743589496,-0.04112011788991643,0.002513410675013761,-0.027422693146264443
2015-01-06,-0.00829014546325113,-0.005216014106392386,-0.005718467883610967,-0.014344285999082773,-0.010849703533100108,-0.0003549248521403925,-0.028500629536452493,-0.027449058812018978,-0.02991909536576909,-0.010264450949038273,0.0005056845234570062,-0.006434116640943066,-0.019314248937266965,-0.0065268917408096705,-0.06727043579171088,-0.013044851930932522,0.005584548394420352,-0.01955017523611391,-0.04128586339504847,-0.001947173232423105,0.0007435891892670909,-0.0192480496851426,-0.005304394555386005,-0.004750395645361616,-0.0015087323877126524,-0.020442430688282887,-0.007936486173217294,-0.0016523093480539375,-0.013011755921238377,-0.008308873927338811,-0.020140417457643833,-0.012643732821175813,-0.013536040078500178,-0.04100573246151629,-0.002339033086250053,-0.004233699447230621,-0.01883719210000745,-0.007370702215194425,0.0,-0.013753394980537292,-0.0035697356685747694,-0.0259290032229188,0.0005400591012261202,-0.01767309909911685,0.0031188324811926016,-0.03198548925280742,-0.010663697621405399,-0.017127113610097,0.03928355469482914,-0.02552299273067804,-0.02247198635980563,-0.00657076035129045,-0.008498483294937409,-0.007124326186903951,0.0013666197168469285,-0.01039873985401829,0.008344067506244945,-0.0024607986050299013,-0.01097170375912615,-0.0059993962518948285,-0.011462408443404293,-0.01414402270447268,-0.014634558257726193,-0.019555789187115313,-0.00306342192135034,-0.015058156976014536,-0.014467763198692918,-0.00791863760686018,-0.010003479310586316,-0.023813737384149825,-0.02370863376701904,-0.012986686558869809,-0.008927482057906277,-0.004351783713855806,-0.0052532541072842776,-0.013257595260489863,-0.005879327539014767,-0.01222333707783374,0.008105300199968912,-0.02086416562721416
2015-01-07,0.008723394859235123,0.008989127403532526,0.006597231258967495,-0.010625848870002397,-0.011137664983126294,0.010800672098029818,0.00929297215027769,0.006326057413169606,0.004744785087838821,0.03766836074549329,0.012638952592416208,0.015496427925913991,0.005270250046398139,0.008446775167862963,-0.011095711137765862,-0.0009053772808673699,0.0047805652131347465,0.0060096001395602006,0.006673701558141509,-0.005204039445125042,0.018040691946715537,-0.004757558957226293,0.01022996891336092,0.008244461083103394,0.011856467422180383,0.00469543711481446,0.01687511614585846,-0.002151770304614997,-0.0029883442747165034,0.0050869477011710185,-0.009359788841722394,0.012165233442295476,0.0011431949668070374,0.015271092532008979,0.007237835454474428,0.005527209826587498,0.00019478918664628253,0.010643568650124724,0.014880891052688083,0.010870623679242852,0.008793520688327394,0.001525874268309746,0.00836716819995309,0.0,0.021764773960893047,0.013922306642839555,0.0072488392118919,-0.001826658277363058,0.021385580355057776,-0.0021472836016027674,0.0014367773648669147,0.0033744676712141874,0.00012990744614360672,0.01826486853822007,0.013343268051947188,0.008756478273489687,0.013685367539716164,0.004440665597729154,0.005207988510187445,0.01402398625404544,0.0016970311952444472,0.01085006525458132,0.014590845770082739,-0.00012233615891699134,0.006295621019002162,0.003930801597425537,0.013282136956461521,0.003420682803048747,0.017199069197945782,0.006621245714164559,0.006070978533874838,0.0,0.01704755996558638,0.0065565833795313555,0.0048012683728162475,0.00880264333962244,0.012790376397471714,-0.0077602299832134625,0.021137692593511836,0.00595081831645583
2015-01-08,0.0229399691288652,0.01781697288884998,0.018148296950717846,0.0053702522457268476,0.038737455483301764,0.02312833928807123,0.02419209545682577,0.023694386834741676,0.020660967448644874,-0.004250232348519067,0.003994263774712126,0.010249168762829886,0.014348764417745352,0.011167983803772819,0.007012757025311123,0.02174709845717726,0.02021956191912211,0.02470811900571035,0.02494127640807786,0.016477208829218215,0.021266009408506426,0.018822599273203178,0.010341372240300073,0.02036954163164406,0.004595089749017456,0.03548548099681437,0.021388900040648195,0.026206426277281425,0.01198870377789274,0.017564597080542033,0.01333852616147424,0.016447675082476243,0.015419902845920541,0.0021348486970946823,0.0182186544549916,0.010570885953243625,0.028159504572414562,0.01665398338237556,0.008797895478623863,0.024114542133405248,0.020661442743403757,0.022346381382381875,0.027569540316130237,0.01599210639904558,0.028090259467719925,0.02296927286120165,0.023967620748851948,0.016471637483510104,0.02012645038670846,0.04496609487618208,0.012374619059119851,0.01574068014093344,0.008829855757004568,0.015588410904684435,0.013167828774626633,0.024305661152950853,0.02040810285464989,0.026616513189116064,0.02398591702585029,0.026961004949266565,0.02945638490082092,0.01703165419669994,0.012583653478261736,0.012116023405457144,0.02279012044974471,0.014793727887789432,0.008968572531181662,0.011363654274736845,0.019021391411418342,0.03133151728051198,0.014655068992497133,0.005847862435084394,0.020761593476684936,0.045114640807104145,0.016722158304397272,0.007347953421452225,0.022542617778998686,0.05728195819822157,0.003409190893964409,0.022137896110682398
2015-01-09,-0.0071622809332467785,-0.004376310364635261,-0.010232843267273473,-0.02531432578996784,-0.002957331076615888,-0.01497886931877579,-0.008813678900662425,-0.007086198388651432,-0.01792923585808026,-0.014997552306534212,-0.0014918752090266052,-0.011949119052972246,-0.02529891580270549,-0.005982554557805941,-0.010445965488201314,-0.001596494917976199,-0.015224333900878961,-0.011128790096153196,-0.00015430098358848454,-0.007847451807427186,-0.0005106803508944102,-0.01906127139445324,0.0049044748553648265,-0.020947295337726768,-0.007432903449379746,0.009863118157084516,-0.0042123556221840275,-0.015677647749290813,-0.005400513976193677,-0.0017553817023454599,-0.010968884766748177,-0.012571736185953641,-0.014435909668510494,-0.018398219926232473,-0.016600352505575455,-0.006694433434023761,0.010993262625463851,-0.020236011545339494,0.01889512208567612,-0.007530519132028957,-0.010912151551972782,-0.017387021382625822,0.011461227372362437,-0.01500247816923983,0.0,-0.02353157923593785,-0.012283658458586477,-0.012465494218426243,-0.00461401515107096,-0.0012356189369752135,-0.015057644691566674,-0.008741683191727967,-0.0019306870899067352,-0.0088310195112008,-0.03662698476893678,-0.0012710592859473957,0.0046154635634960695,-0.012658645950703873,-0.01748646969261336,-0.0017044417736891138,-0.017186381366706915,-0.005495080980122635,0.007862102689594641,-0.017895746452111783,-0.01165103781939536,-0.010004300725311555,-0.008547141301831207,-0.004494618695632058,-0.01887389065245726,-0.011917134428537035,-0.03186039379579564,-0.01598842880362239,-0.012595378372814658,-0.017082188222789063,-0.002349903780813345,-0.020743422499046038,-0.0007966855042735865,-0.027389211494049714,-8.093254032437436e-05,-0.016430602633505598
2015-01-12,-0.004849093223381007,-0.005860545821230301,-0.008671074679651447,-0.012389529539434951,-0.03674388082463975,-0.006905492007788894,-0.014049456197024246,-0.005946109262660593,-0.01766796676305038,0.0038649455876773597,-0.006474412375358285,-0.008670498130458282,-0.012839220568544363,-0.008333369450183814,-0.007741142775042786,-0.0021314938521760363,-0.00724236137990053,-0.010450231229639062,-0.02849658913465536,-0.00635400289977317,-0.0073530502458072355,-0.014499322831669326,0.0022281569015747404,-0.012923488652626158,-0.000806329074543144,-0.021188453248506156,-0.0014499755356459643,-0.011986806495263846,-0.017341255854688487,-0.002930883662041195,-0.015342019051389766,-0.0076894361116676135,-0.008940497449626106,-0.037979583615597834,-0.004851988398403839,0.0021058963581219725,-0.0070307623726316715,-0.007130618223121554,-0.0028531982118741306,-0.004595663640426628,0.007354933492764282,-0.008594280642441499,-0.0010300484312140146,-0.009487901397875254,0.010929089378414858,-0.008829583714335065,-0.005445204913959056,-0.018933629201214663,-0.004155869151422631,-0.03648739875461193,-0.034712208161573055,-0.005879281797835034,-0.0334022839546243,-0.0012724878680993035,0.00919804102739663,-0.023759113446534585,0.00367560628734398,-0.003172172274278906,-0.0134316718252534,-0.01571064855121085,-0.014045276112191973,0.00377119723187036,0.0007547437039465699,-0.039029904958121975,-0.012745781524993616,-0.012126149051834512,-0.014252829220625318,-0.010157726928765931,-0.006341912963856888,-0.011890488179552183,-0.0048268040312103855,-0.007385278645005489,-0.0059529871805423795,-0.01033362839167229,-0.006123372847874009,-0.009310460795357356,0.0009300471175015534,-0.02631025788355934,0.006553013285703457,-0.011958944890749224
2015-01-13,-0.002019974685864012,-0.00810641548267288,0.00236469041509646,-0.002894717954097459,0.0,-0.005268149728302585,-0.002164482951970248,-0.0031106869560240114,-0.01378900314409126,-0.02205108444328463,0.004010162842161602,-0.005984813041649439,-0.002827028926818631,-0.005135344087535687,-0.01560264149010726,0.011927768456407861,-0.008557889930034368,0.004332571152138698,-0.009988681176555603,0.011483876788856096,0.00041154090272632615,0.004550167285291895,0.007727990762317338,0.0059646513562727765,0.005649685646409663,-0.004059037814033939,0.00641505634869044,-0.0014957711978530464,0.00730842762139039,-0.00823041149788084,0.0065700399995607395,-0.011687264785935736,-0.005565758851643454,-0.00451214008132661,0.007110311045479545,-0.001681756923246347,-0.0012269498470443008,0.0423478886849864,-0.0028610440069796184,-0.0011812758973869242,0.008095302153864559,0.00016970141482652856,0.0046402917299801505,-0.000504248002745622,0.0038284267856170118,-0.010579245496590617,-0.0007465563025368382,0.014581247843665768,-0.0017655373979001965,-0.002353438888729964,0.001490586092628643,0.000403227433573905,0.00026677886666992556,0.0,-0.00713940387309453,-0.00825717829727668,-0.010070255775786241,0.00327066098768114,0.003971019768931994,-0.00364308558614046,-0.014339671811735344,-0.0009607105464040089,0.0022630711803799386,-0.0034596622266217514,-0.000970420712513409,-0.006284042824147962,0.05981825667656149,-0.0011401443605723038,-0.005743900991306616,0.005329261012381625,0.00044114548033391543,-0.0029765878212356656,0.0015209885572593507,0.006881890596930118,-0.00331763074464253,-0.010808289948470717,-0.003054086152948221,-0.029976857632818876,-0.0020896832955247246,-0.003842461101150385
2015-01-14,-0.0028574736679193302,-0.004457832561683417,-0.012638511782301132,0.001209864744319944,0.01830308696191474,-0.011933182820440758,-0.0014460957483501957,0.0019199266947731441,-0.024923816300942092,-0.02028156583086249,-0.0099850098477694,-0.003473036290630782,-0.018429046506607705,-0.006100465278492839,-0.025936539298724526,-0.01794483090616017,0.007499863233147996,-0.001887272808457574,0.0028824648022163224,0.0007740115813594795,0.0009255588569954121,0.001661071164225092,-0.010084810711642245,-0.0053509564358098505,0.010777084260515268,-0.006622543788179613,-0.002044769518235845,-0.007656714726380964,-0.010617657433110606,-0.005334820272379415,0.007460280941620878,-0.01272483973414995,-0.009650925538119748,-0.018541540780979804,-0.004639229937355327,-0.001262968692817945,-0.013610730724963327,0.002138393307523412,-0.01721679500419171,-0.0020421097331347893,-0.0051957199807538545,-0.03450036228343978,-0.0023093708370907073,-0.009836324558402998,-0.004936111954229716,-0.026448872767147358,-0.004856200700591451,0.0028181976243626394,0.007235800311600649,-0.005789945647949102,-0.014139530001756495,0.003358749727916166,0.0068028266745876476,0.0012741091565435791,-0.00933309292434481,0.006134804755195011,0.0012326655159116129,-8.8105849973652e-05,-0.01050927685506664,-0.01358193193858892,0.0037328285335227473,-0.007172106457146832,-0.00702448904336872,0.007843011307830938,0.0068721687020694144,-0.006029497984565868,-0.021894774134079475,-0.011415624431756366,0.0012835902896792817,0.006840040051496743,-0.018070048617852996,-0.005970236426918185,-0.01509124431386577,-0.0056561440535282115,-0.007132585781153167,-0.018052458791756987,-0.013718651293175954,-0.02372157662662866,0.004269216340051507,-0.011571746976201225
2015-01-15,-0.00047811606632197634,-0.007462377079014204,0.0015355665694365417,-0.01909165720960171,0.00789514792338486,-0.0033588395836301466,-0.0175597608839545,-0.018447085075664615,-0.052369467598353925,-0.018631186346723783,-0.0010087266697286212,-0.012299638058893225,-0.0080876910773926,-0.011331219590727581,-0.02611946551753963,0.0032244476459692972,-0.006180066283090313,-0.006483087625706707,-0.01932279995941466,0.0011602848974876512,-0.001643855910163583,-0.011908550227981984,0.0012733882049449363,-0.002762426084599534,0.009187745824861704,-0.010940317428717816,-0.003494945658150894,-0.004025146257433776,-0.00625974801861795,-0.003575831287185305,-0.017030750496494607,-0.0037901265889060953,-0.006041486125437201,-0.0020983650308403767,-0.016009941588064236,0.0016865305082507387,-0.004886843549011588,-0.00877224976501323,0.010219164769966538,-0.007216670073581843,-0.010446544835832294,-0.03203646594515941,0.006172811950439838,-0.011462171266478416,-0.011724413755016205,-0.031599199863267535,-0.0011261807813157665,-0.005619975160561563,-0.012132854146560734,-0.01898226490663757,-0.039252646849873285,-0.020487274525369137,0.0067572852224393465,-0.0012724878680993035,-0.02146674299036766,-0.010452503323864382,-0.0024624960312995547,-0.0033922919164555143,-0.006966886076501755,0.0014121688868924398,-0.0006673241038155364,0.0,-0.009600934404364492,-0.022451934140993224,-0.011647465945331503,-0.0032545920009895424,-0.006861276966960039,-0.005773722867708941,-0.019873577854411795,-0.0030571480010914698,-0.012118336735823632,0.0,0.004240546611562257,0.003318039991824673,-0.003352586668028068,-0.009675720226661744,-0.0286295263073576,-0.017609933591372307,0.010586970471971213,-0.01034120273904382
