Date,IDN,SLNH,SMID,INOD,ASPS,SAVA,CRNT,AIRT,FTEK,KOSS,SSKN,CVV,CRWS,HGBL,LFMD,CPSH,ANIX,CREX,NAII,IBIO,WVVI,RCAT,WFCF,BMRA,OCC,SGLY,HFBL,ORKA,CLWT,SFBC,BVFL,CRVO,PRPH,DYAI,AACG,ARTW,ICCC,OMEX,AEHL,LDWY,ISBA,LINK,FKWL,TOMZ,INTZ,IPM,MGYR,SCWO,DXR,LIXT
2024-01-02,-0.06315789803903848,0.06500005722045898,-0.003291166281398361,-0.0429975880476261,-0.08146066475119218,-0.003998229750011961,-0.023148235531497363,0.012426094471092775,0.0,0.02686571795522541,-0.05454548922452063,0.07223480452851083,0.0020161031291552334,-0.010791356726084111,0.01688785813835647,-0.012765945790308875,0.01288658526843589,-0.03813555854656392,0.0,0.007299263086460783,-0.001865714297152321,-0.03409087676400968,0.0036900509248001256,0.007999992370605558,0.007407400212333881,0.037037001061669184,0.028591372712389207,-0.011764669068213163,-0.018292693139318916,0.005384608926225054,0.006346978184128771,0.04849277588591416,0.026548647359614375,-0.012422348291186713,-0.16379305472271766,0.0386474225626221,-0.017681758328068398,-0.00645165789098312,-0.15057913806840373,-0.039045618213151556,0.0009301664822354283,-0.030540464426645042,-0.01179943658234306,0.019801961500356402,0.0,0.004273500354724069,0.006233446099561446,0.05633806009374043,-0.010416705989173769,-0.02553189158061786
2024-01-03,-0.04494377808534078,-0.07276999167661757,-0.010159962459579619,-0.010269566636432303,-0.08256880198819228,0.05798390868138825,-0.004739332208735791,0.04266507984778678,-0.00952380087370197,0.002906973923522793,0.07692309808448994,0.006315833643863122,0.004024206741082503,0.0036363601684570312,-0.07829185057609622,0.0,0.012722633961057772,0.02202641089709445,-0.007656996803730665,-0.02173910977784832,0.007476628517019579,0.04705877733065722,0.0,-0.27777775149706996,-0.007352934086817808,0.035714337412192876,0.0,-0.017857130291848544,0.0,-0.005355770198209098,-0.018220057501146192,0.07500004768371582,0.012931022522848945,0.006289302046118772,0.0721648775032413,-0.004651158148691992,-0.006000041961669922,0.006493552067419417,-0.05909087441184302,0.02708811897205954,-0.0009293020765919202,-0.03069469822157833,-0.020895516179153195,-0.03883491549912932,-0.039999961853027344,0.012766047245027501,0.007964532394234114,-0.14000002543131507,0.05578944557591492,-0.013100424405900424
2024-01-04,-0.01176476445577379,0.025316491606066638,0.04105718306395856,-0.005188062471480959,-0.03333330154418945,-0.012225928186070378,0.06666671964857551,-0.05941700991457777,0.0,-0.031884096230160086,0.10714284193759038,-0.018828482978560213,-0.018036065802764845,0.02173910977784832,-0.32046329179285926,0.008620681681899223,-0.01256280202931348,0.16810349833029914,0.020061745996646785,-0.02222220063700142,-0.016697528382206506,0.016853916782002765,0.004411725313194337,0.08791206703858645,0.007407400212333881,-0.0862068937167827,-0.016271282877945104,-0.006060631570576236,-0.012422341463520503,0.0,-0.0014275843994948634,0.09302316297384028,0.027659599939695356,-0.012499987892806708,0.048076993614966756,-0.004672892510771409,-0.048289694416447704,-0.02580642647268594,0.009661780107220741,0.002197747609997913,0.0046511219421427885,0.03166669795910715,-0.0030487690976606086,0.010101000370632551,0.04166662527455389,-0.016806806028663912,-0.0035118704314205385,-0.05426351574634625,0.0,0.013274323679807187
2024-01-05,-0.005952375461590109,-0.05679018436054262,0.021690931100191824,-0.011734048460580682,0.010344817380417926,0.014511316609448821,0.013392844313413477,0.0035756533663395818,0.0,0.017964126568860372,-0.08064516377126518,-0.04690837192850539,-0.006122485150985346,-0.024822671950315622,0.03219689255712321,-0.004273500354724069,0.0,-0.05904062124666698,-0.08169439499934172,-0.022727340459820944,0.013207489114168025,-0.04530381245809567,-0.021961946858418013,0.060606002223795086,0.0,0.07547162342173652,-0.032391394082674996,-0.0060975867976262865,-0.031446610514529016,0.0,-0.0028591824522832265,0.0,-0.016563131463710468,-0.025316506313829312,0.018348605792718242,-0.03286392859173648,0.010570864806181746,-0.013245125129748625,-0.08612436698154957,0.002193032677044293,0.0,-0.014135718566849365,-0.02140672108761965,-0.050000011920928955,-0.039999961853027344,0.012820501064172207,0.022026435559725943,-0.1311476082610863,-0.017946097337346978,-0.01746723254120064
2024-01-08,0.023952144964210387,0.10994760345946619,-0.03980703246100248,0.018469639563946982,0.010238897851962525,0.021455625538924217,0.0044052821794189345,-0.020190032631065113,0.028846242018708557,-0.02352945878843815,0.017543927160695638,0.011185725521638101,0.004106723393118905,0.018181800842285156,0.06972479408070953,-0.0042918415410722055,0.07379127697413468,0.06666669783249457,0.0016474055620891992,0.007751930820906638,0.005586631368284634,-0.05092595882243578,0.029191643214439233,0.04761911790117157,0.0036764670434088487,0.0,0.004985717234517351,0.006134995464976978,0.00649353755392057,0.0,0.0035842431124375462,-0.01702126105374524,0.10736846923828125,0.025974079255291826,-0.05405410920322551,0.019417457749564715,0.002091998243882731,0.03131998879059261,0.015706766024549346,0.026258179661174275,0.0,0.015485389970572916,-0.0156250164249786,0.052631592156154205,0.04166662527455389,-0.008438810925003759,0.0043103455631581244,0.17924534667637726,0.0060913161034243934,-0.017777760823567745
2024-01-09,0.011695895017749036,-0.03773581510593205,-0.0025125245235677607,-0.02331604057390191,0.01351350045186761,-0.01194402418970486,0.017543843138140724,0.015151515151515138,0.0,-0.003012045380823114,0.051724086902089406,0.04424774559935751,0.004090042519604653,0.003571425226269964,0.015437419170784228,-0.008620681681899223,-0.03791465766988655,0.040441137477498224,0.006578941176802688,0.023076993614966845,-0.009259294417005237,-0.021951227844789756,0.010909063165838173,-0.027272700672307915,-0.010989000432297447,-0.017543843505051004,0.031183573957413113,0.02439025708814957,0.012903287128304575,0.0,-0.005714280264718208,0.02272727741870484,-0.030418311271305787,0.0,0.05714291877487354,-0.004761900436850985,0.05010443629784023,-0.02386119963743827,-0.020618537443073293,0.0,0.0,-0.03065976895517364,0.00952385020511759,-0.050000011920928955,0.0,0.012766047245027501,0.01287553866850133,0.015999984741210893,-0.01109986461866308,0.0045248824844552615
2024-01-10,0.034682047467071264,-0.034313693407726165,0.012594458196251601,-0.0013262270683380706,-0.029999971389770508,0.012088408432436859,0.008620681681899223,-0.06626863621953705,-0.028037466475174244,-0.015105726036447331,-0.08196721439623,-0.010593160194965812,0.0061099010351317595,-0.0035587155398179027,-0.0422297291854945,0.026086932184114398,0.09113297802309184,0.007067131259962167,-0.00326797080073582,-0.015037668789816938,0.0,-0.03990025660468899,-0.003597067513145258,-0.037383251496717174,0.0037037001061668295,0.017857126131349377,-0.0378007773600233,0.0,-0.0063695361600959455,0.0,0.009339088629913839,-0.01798942642594248,-0.011764694882648974,-0.01265829088137238,0.036036001204980295,-0.014354053886023399,0.0,0.031111081441243416,-0.00526317797209086,-0.014925409553803393,-0.0013889824173981546,0.00940563559415497,0.009433926623655164,-0.01052630588288439,-0.039999961853027344,0.08823520572717469,-0.0033897639730462448,0.007874008357040552,-0.010204120359535218,-0.06306310950447058
2024-01-11,-0.02234634788015244,0.002538068608636479,-0.009452762709038498,0.0026560398896751103,-0.030927886575027097,0.08772648684224071,0.1196581118205593,-0.001278801619221892,0.0,-0.05214726281940507,0.017857126131349377,-0.002141376599242406,-0.008097062463183757,0.0,0.06525571086075255,-0.025423705697709242,0.00902933711129017,-0.03508768701010212,0.00819675270763387,-0.06106864671788603,-0.009345741082053105,-0.016883054755150284,-0.013718449734616889,-0.03883491549912932,0.0036900333293332643,-0.08771930118089977,0.0007144069458928648,-0.029761942457787627,0.02564106873601424,0.007948799936555284,0.0,0.012931022522848945,-0.019841251069335764,0.0,-0.11304347645808255,0.004854364437391068,-0.023856929898778745,0.0021552218037907966,-0.021164001407603106,0.01731600123110688,0.0013909143730064244,0.0050300870975823475,-0.003115253138363583,-0.042553214424603025,0.0,0.2393822951830149,-0.02721102176669643,0.01562498544808455,-0.0072164635258401555,-0.0096153757981291
2024-01-12,0.02285712105887283,-0.11898734757885332,0.0037669896290430938,0.013245020146527287,-0.028368767943217854,-0.0064369586246174615,0.0,-0.019206158318363253,-0.0096153757981291,-0.019417457749564604,0.0,0.008583683082144411,0.006122485150985346,0.003571425226269964,0.01986753084718007,0.0,-0.017897075494633263,0.03636360168457031,0.03902435242219715,-0.04878053744586641,0.011320743513260512,0.038309092668526556,-0.0036603361122538036,-0.05050506205987393,-0.007352934086817808,0.0,0.0,0.0,-0.025000040967171677,0.011193104536984855,0.0014234522290286211,-0.0648935831310834,-0.008097158176053498,0.006410326948300238,0.03921564960882984,0.009661826846140142,0.0407332570911807,0.004301071078780971,0.027027027027026973,-0.014893552694667744,0.0,-0.0015590614117555468,0.0,0.011111167036458314,0.0,-0.04049847753770208,0.0,0.0,0.01765317489861884,-0.05825237324869392
2024-01-16,0.02234641447752228,-0.020114923235383997,-0.031023308496285873,-0.003921596004491157,-0.06934308633545683,-0.01905487821498919,-0.011450371259603576,-0.001958207152009672,-0.009708728874782357,0.006600653833452208,-0.052631530515153124,-0.012765945790308875,0.0,0.02846980916501396,-0.04220775300082302,-0.004347822030685733,0.14350800309824674,0.0,-0.014084456593303596,-0.025641002128344415,-0.011194018896451219,-0.031806660735524295,0.0,0.02127657550770312,0.0,0.03846159489197354,-0.0014275725482911783,-0.012269900274821,-0.025640988702464118,0.0,-0.00426435445940021,0.04095559251872327,0.020408143405366452,-0.031847178251670494,-0.00943395377648304,-0.01913873851469783,0.03131112392008295,0.004282651092028633,0.11052633586682781,-0.002159876594958421,-0.00046302616030557964,-0.030487124822423994,0.006249976535744883,-0.12087913311531129,0.04166662527455389,0.05519483133278458,0.007867152076932005,0.0076923006385032355,0.01632651472429325,-0.07216500039941254
