Date,ADX,AIG,APA,ARW,ASB,AVT,AXP,BAC,BK,C,CAT,CMC,CMI,CNA,CW,DIS,DLX,DOV,EMR,FHN,FITB,FRT,FUL,GAM,GATX,GE,GL,GRC,HBAN,HD,HNI,HOV,HST,IAF,ITW,J,JEF,JPM,L,LEG,LEN,LNC,LOW,MLKN,MOG-A,NC,ONB,ORI,OXY,PCAR,PGR,PHM,PNC,PPG,R,RJF,ROK,SEIC,SF,SLM,SPGI,SRCE,STT,SWK,TEX,TFC,TGT,TKR,TRMK,TRST,TXT,TY,UDR,USB,VNO,WABC,WFC,WHR,WY,ZION
2017-01-03,0.0055075560026454085,-0.002909099605990839,0.004883762900943278,0.0021037011229227964,0.010121570000015012,-0.007981444825824524,0.01714310574832112,0.01945674989831314,0.01224168282182081,0.019518932625182783,0.01347854080559463,0.01836527620016959,0.02282844760938807,0.0019277552284848731,0.001321516890569363,0.017846734926743046,0.004050050666730254,0.019885599513512986,0.02152467130294622,-0.0004997891504242569,0.002966259755412093,0.009077244515246496,0.013661715811174924,-0.0019240550054199224,-0.008119646791815205,0.002848112618815346,0.0021693646456228954,0.027140627118628302,0.00756375525315689,0.0017154611927348018,-0.016273070108718368,-0.03296703296703296,0.01539242160530585,0.01475970554347672,0.0004900274223005319,0.02017525926142727,0.002150449924288811,0.010893341758226871,0.007900999556354371,0.009615512972716012,-0.00023304295032167133,0.009657658126813962,-0.00239041020058528,-0.03801190905911944,0.025274138184595563,-0.022639403427968108,-0.002755001124840728,0.003684013415899079,0.014600368250998086,0.022221784673296385,0.0008446124359557938,0.009249705167448274,0.008635186265069983,0.005171027019249985,0.012224597105836121,0.0059190941936846375,0.030803755081324047,0.01762554443171571,-0.0004006736386479304,0.029945452444124276,0.00790392895860692,-0.0033586579582896015,0.01968622794537067,0.009242206817595688,0.013003528884922622,-0.0008506468423334912,0.007199055139652133,0.031486245961322545,0.0014022725727951268,0.011428753070147346,0.0142090728929678,0.005896101802794096,-0.014528481704237928,0.0017522180747338023,0.00335321193271354,0.0034957249230556098,0.01614961658190217,0.0063810280303169264,0.008973028523797888,0.003252697374407365
2017-01-04,0.005477633702701823,0.013052667519363181,-0.0029787610969207456,0.02155354767394746,0.014027913063521913,0.0019052400615504617,0.016393588153322813,0.018641757277478188,0.015637852542325525,0.013533598523531198,-0.004468733666433855,0.02975637836772882,-0.0011444614970255174,0.0016834707333659438,0.0004063700321748076,0.012820518733796193,0.021140315909546903,0.00471074966514573,-0.005970138712735884,0.016500433461532182,0.013678451385066515,0.005718294858962025,0.023075322920962815,0.010925204039561764,0.019973898658851574,0.00031533738781841514,0.011791448140574534,0.010695177473337258,0.012012473700778958,0.008860104392665491,0.016360568342523862,0.05303030303030298,0.010977731043026795,0.009091046573709516,0.0038360478884642557,0.010834166109621401,0.015021668879627859,0.0018445957324724205,-0.006355780910105691,0.012765976201455143,0.024697156863929814,0.012703202891686471,0.012121050384971799,0.004559254812369629,0.009503784729123499,0.003954874937499353,0.013812357631239669,0.005768606949296595,-0.01093115494326613,0.01377851669067165,0.0090067431939298,0.023719563919337272,0.00847678316202738,0.021207155923331333,0.010218733921130818,0.037743756880732615,-0.004186315372750382,0.011547070150184746,0.023433198925452148,0.013215596802597096,0.030906838284743943,0.008088351853991815,0.03810667856244532,0.006306825135582672,0.017845730715974506,0.007662576709670743,0.014570206880941017,0.012210027375463506,0.01064440404489897,0.01129936365270856,0.02131985387670965,0.005409887576370842,0.010013849533034413,0.0073844273532721605,0.027693011277744706,0.01456824788933564,0.0008928565145893685,0.013612438364633439,0.00889331915854652,0.014358414910974782
2017-01-05,0.0023346292137274016,-0.005608500817265383,-0.005346690455922953,-0.003699090984635167,-0.0138338529766322,-0.004015080507155266,-0.012326180125093678,-0.011764731194605527,-0.01272855229467329,-0.017423977630199206,-0.006091782508184429,0.004378288162867783,-0.013464427031684822,-0.011284703956927489,-0.004364238316394431,-0.0005585452412537606,-0.010215118907380139,-0.003256021603526449,-0.008302479951328157,-0.010821768975829982,-0.028446444814294147,0.007419244552012483,-0.003992068733069232,-0.0054037162305056174,-0.03370760432625397,-0.005678036500054828,-0.00616206849325196,-0.03579244931406789,-0.016320649343397053,-0.01180843726015468,-0.050259397695677444,0.0,-0.04343334160429879,0.014414300887222176,-0.011220363153572888,-0.003742465421432861,-0.008456775900984925,-0.009204875183777661,-0.007676061297638648,-0.01900751836508574,0.010004447787480109,-0.013872311979898466,-0.010304698515582356,-0.018154395309211147,-0.01853472700782144,-0.012380278614827156,-0.024523100112936125,-0.0031284203770099994,-0.012031303357879275,-0.01630914611725831,-0.00027909308505469355,-0.003159806608638571,-0.013364857035973787,-0.016963139513481607,-0.009327249864951703,0.017701579096874198,-0.0015947329785137576,-0.009840501583156303,-0.015068959175291496,-0.012173769703864967,0.0076071402902375684,-0.018052588038700912,-0.007171181091739087,0.016054157957065884,-0.027068577955334905,-0.012885590899451072,-0.016935244210676825,0.0012062851524559104,-0.024667546993616618,-0.02793294026642479,-0.0013918021799704805,-0.00044816453476470564,0.0033049051707310095,-0.016782314459921732,-0.0011153387483967547,-0.017480823698299064,-0.01552198518025616,0.003020289528065767,0.010447355050506202,-0.016210086359806475
2017-01-06,0.005434456200662741,0.018445170100582775,-0.0020553594559498123,0.004400435773550537,0.0020039875805031304,0.009548021549228736,0.0019913212891642385,0.0,0.0016638240890258782,0.003480048517021661,0.00043029277294137636,-0.014821069616772542,0.00704207164560211,-0.004613833230737052,0.0009174397569946535,0.014900433545447012,-0.028209729990248178,0.015549543560269274,0.004631677381089938,0.007458968505289931,0.008633860528902249,-0.005506062500980846,-0.002404307261178573,0.007030967637096097,0.0021592948054638406,0.0028550083366820633,0.005391427616763922,-0.006132552722827089,0.0022623566895398906,-0.002762838661895861,-0.02090395237781284,-0.021582733812949617,-0.013513291694143947,0.010657555627044513,0.01044294739045415,-0.009904493993877495,0.0034114213276645877,0.00011642719811821856,0.004512182842431711,-0.010198165315058905,-0.016434107846394097,0.012325343444805847,-0.0016885919338627264,-0.01232668948173321,-0.007194338115198984,-0.03133932386228144,0.002793123143584042,0.0020922258468409893,0.006513721661785432,0.011359880455675375,0.00530151064792328,-0.024828505916357102,0.01422758246757172,-0.00031369968919181535,0.008221187426770804,0.014540186810944045,0.005589987862510526,0.008348062930063405,0.007947748002613775,-0.0070422108251820825,0.01785235571924293,-0.007716471480074594,0.009304323895386712,-0.0011828304863038541,-0.006639044631560509,0.006634053088997227,-0.015435200857090603,0.015662813162963918,-0.007956749887104597,-0.0057471853776379644,-0.007365834552899186,0.0022430740530468007,0.008163708886657517,0.006474122789361436,-0.001766994045655057,-0.006830817175675352,-0.0025368104868044306,0.0006448111389114608,-0.003231103188301998,0.0064981962045913555
2017-01-09,-0.0007720396385598738,-0.006436435776965621,-0.012040553222191663,-0.010131405455831799,-0.013999963532651427,-0.015552872594648548,0.005167673147596252,-0.005731620015934746,-0.011002827451095265,-0.0054498625164929315,-0.0072013992190569365,-0.07920338208133348,-0.009371451220327787,-0.014881434247803305,-0.020572299267329175,-0.00568917716933226,0.00863800350054178,-0.012866844340116868,-0.003723661068313233,-0.010365085952398267,-0.004094007586664561,-0.012526933738281065,0.0008030793606013109,0.008885981732609904,-0.02221111532416109,-0.004745132857189138,-0.009116453918114664,-0.01916209751411957,0.0022571437163998453,0.005841283126998942,-0.011348400384259993,0.0,-0.0027400684457487,0.005272317074981325,-0.004882675949746562,-0.02138708867893535,-0.013174575817657797,0.0006961037666834979,-0.009839565372647074,-0.012775407396783844,-0.003204021930200973,-0.01232359344266798,0.0016914480994800751,-0.028081030292283704,-0.01132251069539425,-0.02999991333533447,-0.019498608427072517,-0.017745081670953122,-0.008441127165565554,-0.012294728496742846,-0.008603912703126548,0.003792264010869628,-0.007140044105273802,0.007950500882124567,-0.009469547262682454,-0.01352831245264785,-0.0014436445037500079,0.009264703259246554,-0.013206975222655126,-0.0017731115078281068,-0.01151847152258223,-0.021729244673912573,-0.012978808399498054,-0.004652863472607516,-0.0047743119379923815,-0.006590332473493832,-0.0001402716251795999,-0.013048660455224126,-0.017759848689839042,-0.017341219335107128,-0.0064179515815177,0.003133337699357641,-0.010430705062205448,-0.004483146650460124,-0.011648747017911298,-0.020473647459750888,-0.014535317911362311,-0.02412667260036816,0.0038897863800189114,-0.010837078237148301
2017-01-10,0.0007726361442894625,0.012353101253655518,0.008178028894026967,0.011064943134104555,0.026369006539381123,0.002775759084725049,0.010413686474659567,0.01729471248643155,0.0016794375928410599,0.00016622379736919157,0.015806241346516314,0.023065695250785945,0.015572645776730454,0.010153463126685747,0.017677258437174492,0.00018460103749839973,0.01586401436954743,0.003910381667499241,0.008898489306218726,0.017954868946796543,0.01158487966124011,-0.010443120007142093,0.00160573299501654,0.006291437135414579,0.005763601974524413,-0.0028607873604848955,0.0013532976221486415,0.010596063342660944,0.0007510049183772072,0.013327529004120375,0.01945530270750684,0.011029411764705843,-0.009340348502330675,0.010489635603549985,0.0023717971223695677,0.00969347669064513,0.01679579249592411,0.002901300447552657,0.0038886941164439914,0.002087177985549804,0.0041328143464149925,0.009621408538382337,0.0019698638181697703,0.016051387102679282,0.014811708167522974,0.0066706357509613845,0.01704563117816016,0.009032777991123897,-0.016033018582009673,0.018134378186589473,0.01679751092043924,0.008634794920477695,0.003976285307299099,0.0004153795232855195,0.004249132737207395,0.010590895891823715,0.008820599103594118,0.0035158366038823274,0.008589620065143855,0.007993028940093128,-0.017037292454514685,0.017067964494234644,-0.000859906513200448,0.0007650820385114443,0.017588885870493565,-0.0014978408403122367,0.0,0.018028700393041275,0.012539841250758688,0.011765088562470272,0.008074084277976068,-0.00044646065079589903,-0.008876811958155595,0.0029370592402280238,-0.009994274262811298,0.0024493526976820945,0.007006023532916128,0.012169204010117118,-0.007749517201828704,0.0153844052550145
2017-01-11,0.0030890441054411966,-0.003720160376676329,0.014315814632328783,0.006839945423213756,0.0019761599582330813,-0.00042564074349282777,0.0033921549110409455,0.005666965143777514,0.006496461948439336,-0.0044831586190449135,0.008739314421862376,-0.016909488408280438,0.008240241216417532,-0.000980844336321951,0.00040829325121682913,0.009780318660547849,0.0029021291008202166,0.027784987200095257,0.015522870227558272,0.008328997967398166,0.0007384817885798256,-0.010057053167116914,-0.002204300195009057,0.001875532855199591,0.00016891513217776044,0.003187549083939256,-0.0035131952143693246,0.014744318382944543,0.008251994025287646,-0.002938971742722063,0.0034351942859429663,-0.010909090909090868,0.008319223630767203,0.0017299484277819577,0.004813580499380965,0.0003489221253245578,0.007623739788879869,0.007520453061908405,-0.000860806833629324,-0.011456022144375577,0.006860451278845048,0.006998042925757453,0.0007019250976507685,-0.009478640491351609,0.007824034746257702,-0.002409363823060784,0.0,0.01579779327327624,0.0,0.00830186483350559,0.004129726799490863,0.008025691459092377,0.022415021902104204,0.002489643569900446,0.01123869241475517,0.006314711340698498,0.015265499715036102,0.004476220034339118,0.0017823009988118255,0.0,0.005568159643177584,0.007126450120343852,0.019064720992458595,0.0020379107436498956,0.00722830320108292,0.002357835104620065,0.0025201828650760483,0.023612887952524808,0.011808911564310742,0.0058137561466835574,0.0008008719574637002,0.001786144047716487,-0.005877209011525331,0.011128330858953595,-0.009047558833712444,0.0006519061483074573,0.003295620445526115,-0.004189221053651715,0.00748467094020655,0.008264957845702803
2017-01-12,-0.0015397255203505322,-0.010455214998882467,-0.011761165270350538,-0.006385886283250208,-0.0236681948869214,-0.0034079872672773126,-0.00038982838103573947,-0.006502077158593855,-0.01186794837758054,-0.012174486638959592,-0.006973129748521045,-0.02498799777952121,-0.015279768443264619,-0.013251604164992936,-0.00418724244022306,-0.01745240789222202,-0.0077167965557631835,-0.009979772573070256,-0.0017370371162039877,-0.015062877233175342,-0.006644568757438685,0.006080994279230145,0.0,0.0,-0.03909705305805833,-0.002541892245427446,-0.004745755668650098,-0.012915732003754732,-0.00892875532295423,-0.004642756807825998,-0.011221059310469239,-0.09926470588235292,-0.008800679108347476,0.013816965613690169,-0.004465769924045571,0.0013963347194125841,-0.018915432497969675,-0.009646641835257541,-0.006030496795174978,-0.009902750641857638,0.009084505319454816,-0.01611709598174249,0.00449071524551492,-0.00956942178151543,-0.015377815307886178,-0.015097132720022888,-0.019553283695029067,-0.01762579142697074,-0.004614385917558916,-0.007036226894486908,-0.007403198339557271,0.009023185052014604,-0.02359650550958392,0.002483648260245497,-0.0035301355707451076,-0.014419231011705058,-0.006353221477869542,-0.006006453296304559,-0.014630263945688782,-0.014978061656603314,0.005537104632516332,-0.0009130774890500071,-0.00917329157695701,0.006526206176970195,-0.020905099615103895,-0.009194195309121689,-0.00502734447163522,-0.011534249335164226,-0.025334404421580525,-0.017341219335107128,-0.004201522231757626,-0.0004456779394249599,0.01154275475722244,-0.006950988907714728,0.004997369665813656,-0.012697450911731578,-0.0054744486182378704,0.004424955740305103,-0.012596933284458656,-0.02163033085646615
2017-01-13,0.0015420999309692096,0.0015091543649010664,-0.0038085242871795932,0.009298514025911642,0.016161341213460023,0.008334756245099051,-0.0033815554344883703,0.003926983688947727,0.005899656162833944,0.006753129115562473,0.005213239237323863,0.004435549528128302,0.010248100077032918,0.015419072576274173,-0.001025668585554973,0.0049288149382535895,0.017497488520759052,0.01633283223460591,-0.006090167167369542,-0.018746756460630398,0.014121000346910995,-0.0031289569460107858,0.008234814548048641,0.004368181158334483,0.012276406777465887,-0.000955833790814542,0.006539749919047155,0.02486116144931616,0.01126157481161516,-0.0002221956262574709,0.009617357682550454,-0.06938775510204087,0.013318417036740193,-0.008517939634325677,0.006361477889371248,0.013416879967685702,0.005141600670653723,0.005334235603585702,-0.0010835555608379455,0.0002126884514568328,0.0006754259872792101,0.010068875581125125,0.007962886365883604,0.022544206385586296,0.005913766165846157,0.022686172954550887,0.014244860358679778,0.0015829414067916048,0.0007244357720181949,0.017940556153957843,0.0013813474919308621,0.00946900278850693,0.007292686243959956,-0.005677791640936403,0.010759799709874951,0.007585703749150907,0.00873806986391612,0.007017549406483248,0.017455952941695996,0.016100154226039942,-0.0015101038348369622,0.007310749616409318,0.01023288158722635,0.004799236712141219,0.01912058299552255,0.0038843829781836092,-0.01487751139963056,0.031505153298630795,0.0005838457736848657,0.005882673874103572,-0.005625795333536243,0.0026748882737659407,-0.00834959603304597,0.005055239648281251,-0.002677439778392521,0.0036271401564671457,0.014862266121191237,0.004949622329569969,0.002289512627872803,0.02047919837027945
2017-01-17,-0.003849193415769281,-0.004370744710842311,0.0050971102552670455,-0.021677259545374472,-0.03976123993039182,-0.013988644722010779,-0.0002615841000219721,-0.04172118352366716,-0.027440539566594424,-0.020962492055461746,-0.009631760233384523,-0.014719985396712154,-0.00757239053834835,-0.001224500023402575,-0.018377810842681086,-0.0008328222524430773,-0.007779408555934064,-0.018455941712954504,-0.014180302136786005,-0.024132624399242464,-0.04617063163607937,0.007918732408497275,-0.005179469779973411,-0.009319497519803321,-0.01819140738678171,-0.002869686978739572,-0.011911307825202222,-0.010533047047175947,-0.03860415252304705,0.006590253485801556,-0.036578648395726554,-0.052631578947368474,-0.0060239256701147825,-0.017182086871936897,-0.004619480920355246,-0.019772950138382872,-0.02600225001438583,-0.03633242066494802,-0.009110584442435732,0.0046805804905509785,-0.0013494416890642569,-0.025442466093944738,0.003187786374343915,-0.01102373709555382,-0.036327946834156855,-0.032973923755541534,-0.03651675092351803,0.0010537278500137859,0.009409212567993652,-0.008885882751690555,-0.007448611949934403,-0.0015631613072327744,-0.040912817728876005,-0.0036333270371726734,-0.026353522753705394,-0.03024989712493853,-0.01655030596084639,-0.0226481220562047,-0.04279217273008107,-0.0352109578906068,0.013520641217549922,-0.026082646965006173,-0.03291942597370423,-0.008631215769564715,-0.016260217560186696,-0.02063608986005694,0.0106858449284295,-0.009049454774807564,-0.031523655581292664,-0.03508781874980471,-0.014952721120552792,-0.005335690006462057,0.008419898786552915,-0.026697598361043573,0.010739238693788122,-0.03893512666767496,-0.027662197036737668,0.0036262024673028304,-0.0013049483624100189,-0.04743425384329425
