Date,FEX,FNX,HTBK,ACWI,EVRG,KRNY,MRVL,AMKR,MELI,ERIC,INDY,MSEX,VCSH,FORM,EEFT,TBBK,TTWO,CVBF,CVLT,LBTYA,VRSN,BANR,UFPI,NICE,POWI,NTRS,CNOB,IGIB,KALU,CPB,TLT,ACGL,PLAB,FITB,CACC,XRAY,GBLI,KDP,UAL,CAC
2020-01-02,0.004752159356465002,0.0012418522821502354,-0.0023380758184521344,0.010346914691100606,-0.02534955681636253,-0.016630376699404037,0.030873572983334263,0.01999987247389079,0.0668776442226886,0.026196042264102104,0.011652201278293584,-0.021236469334392716,0.0,0.021178327260345853,0.006917976356817901,-0.006168074175713301,-0.0028587639732799985,0.005607586297085243,0.012544833802593525,-0.011433644866964299,0.021019295013843697,0.002827358514035039,-0.00545058968780332,0.022365461535359676,0.01010988383507283,0.012613023681473656,0.009331375755444737,0.0024145073254904226,0.0029758967396043,-0.018818301044152386,0.011292951319103128,0.011890893251338852,-0.011421338995028174,0.0091087007283992,0.0009947379892010222,0.006008124925618308,0.006074961343138563,-0.002083515388999091,0.018730861556060407,-0.00021713444749127397
2020-01-03,-0.005034972255459458,-0.004546872308106353,-0.0015626441921039458,-0.008617711382062243,0.0009457646466464187,0.0014705882352941124,-0.025931188285407636,-0.027149157485580555,-0.0039168367866974085,-0.017758149152722003,-0.019708303218813894,0.0004822277514451301,0.0013573016690739959,0.001131175670401996,-0.0022060564651198433,-0.018619140294810377,0.0010648529772949722,-0.000929905686720689,-0.0004424879961522077,-0.016459064989604144,0.021094975231557456,0.000704635830432343,0.0,-0.003908681983815776,-0.0036030139880859346,-0.020542933004975894,-0.007319035241992733,0.003441414982239044,9.000974092088221e-05,-0.001237059059813972,0.015400262996348113,-0.0011521090880184381,-0.011553293071709048,-0.018697395991541188,-0.015606305381045127,-0.01106628274686694,-0.006373921920902137,0.0024357033458282107,-0.020503636970036987,-0.004994224366378974
2020-01-06,0.00015319553160075827,-0.00041525035490275197,-0.002347326028619978,0.0022677278075537988,-0.0028348410908757282,-0.005873621036985299,-0.037120503756393974,-0.0038759868261348807,-0.0020565976062930647,0.006779709076101481,-0.01148827066796232,-0.014618521228523251,0.0007393733093716826,-0.019962289812688994,0.00037901173365195717,-0.014229198176242908,0.02029296600533792,-0.005580949680849767,0.018592300728507594,0.021257300617102626,0.009259284800070544,-0.007923784617073548,-0.0031620657981943356,0.010696217983583889,-0.003817300711103644,-0.0012338758723489107,-0.005820815615551811,-0.0018857190481539332,-0.014834171336233215,0.0016518399817069263,-0.005678781348343431,0.003921633587995466,-0.03701296811321719,-0.00821320289202665,0.0026614135297915453,0.005506224719253439,0.02295751651817457,0.0065951418743155354,-0.002275364893797316,-0.00371040620980867
2020-01-07,-0.0001531720663247027,-0.0020768879701529297,-0.014902098746199521,-0.002513797306123,0.000631831838973751,-0.005169819249399521,0.02219609909621023,0.014007814948268749,0.03041795825297866,-0.010101016027768583,0.0007925122638765547,-0.006358065064377083,-0.0011085195316589136,0.005380453004821817,-0.005556989640191912,-0.018444305612308254,0.0065763066706936435,-0.008887133151222248,-0.001955674743430058,-0.013286144135825184,0.0023182770591620994,-0.007632233113216813,-0.006766546515427296,-0.00025053882090431134,0.004335978697653342,0.005511221180654724,0.0011710836913749745,-0.0013746464655999269,-0.005931588588582892,0.000622982261435201,-0.004915669758537522,-0.008272146513201628,0.0033715570459940114,-0.011261890603820768,-0.013729349116368028,0.00529945372546381,-0.0023100830800222294,-0.027586223044358538,-0.01060433680202566,-0.004600135913591874
2020-01-08,0.0029137524343756382,0.0022197838934068237,0.0023886511839312785,0.004914242337420882,0.0018940701071037402,-0.0014848759184863392,-0.007619044066494163,0.0015351149494482463,0.01350400390624995,0.009070183077153793,0.010556923230096604,0.005742334444959196,-0.0006165400296350709,0.011850132559272586,0.004064004362533291,0.001634024357652919,0.018404888210315162,0.007550919149906132,-0.015676055212696993,-0.041292586931893194,0.004625602930742767,-0.002018227337786449,0.010219097087411422,0.024679001516034527,0.007530232016627725,0.009166640391639502,0.006237777964716917,0.000343670151625286,-0.010006733939606494,-0.01743139483133349,-0.006611044854104353,-0.009962918946472055,0.018817186210869252,0.00234501039885604,0.005080976514378666,0.010542886173366961,-0.005954386426777258,-0.015602982199111604,0.006108175973218222,0.012324041668709151
2020-01-09,0.004892683499291506,0.0012462094086660436,0.0,0.0056426478720081885,0.009451838672764445,-0.0044609663302370706,0.0019195540416032664,-0.00919570930156599,0.02050705699720412,-0.003370941179073661,0.0133194004692756,0.0021208538514048136,0.0006169203857480099,-0.0015111072616662558,0.020111358669177237,-0.011419277382470505,0.0015647361767661128,0.0,0.008626396760587074,-0.026217159979402327,0.023169376066087155,0.007538195805320447,0.013066529535769922,-0.003851027801982543,0.016143479554344697,0.012547890766404501,-0.010073552608179437,0.001376146566716141,-0.005192877617515634,0.00570226794903439,0.003510596629927587,0.020360408723467227,-0.005277039875413392,0.011029494950661967,-0.0008079363597779388,0.0006956392286283641,0.0049916448708797745,0.003962790499497215,0.007445519745274298,-0.008695750757200305
2020-01-10,-0.003195029599559862,-0.004286578788712636,-0.011119918698549891,-0.0022442274331800904,0.006710296764303569,-0.005227638120691713,0.015325660723753298,-0.0170145687200145,0.03565736128294028,-0.02705717114250139,0.006700901665849024,-0.0014650801793643087,0.0007398703780163718,-0.002270127326885918,0.004277758390276221,-0.007425755234133691,-0.009842228512575657,-0.006557468669628808,-0.004605243234642509,-0.008173148760313609,0.0011488669538233243,-0.009124335348433044,-0.017058349073286405,-0.0049091986916918184,0.017161791601404852,-0.010542875462432377,-0.009819302614148984,0.001373690848346154,-0.012024644875120227,0.0023100100988242556,0.008891119056045005,-0.0016054987204039417,0.0039788076870197475,-0.016198568950360648,0.006399343032367,0.004170271081981536,0.005629072630440879,0.0003586173638394641,-0.007276855166067464,0.0004384358379292408
2020-01-13,0.0064108560075972765,0.007776456083775418,-0.005622269571629257,0.007498143603416274,0.011161006381255723,0.000750606295933931,0.03849056402989226,0.00550729027550223,0.03229371414818094,0.032444894162099835,0.008704591999222133,0.021519300919902173,-0.0004927334101271219,0.009480469929604496,0.009136339757711331,0.010806327292312456,0.013332240324479105,0.0018858648476329787,-0.0044062737525628615,0.006786283223240375,0.012576590642095153,0.0023941741418704865,0.04380936750989828,0.0131968385626553,0.01812566550172079,0.01579579257095598,0.007139965443244689,-0.0013718064104345506,0.025379968450955914,-0.00020940235984823197,-0.0030340987879632353,0.0036755730555049215,0.02245701395003774,0.0033602042113591857,0.013291115120684704,0.005537342868976003,0.003292726171035598,-0.0028694817138106288,-0.004810424701517713,0.022578097280912646
2020-01-14,0.0012134948589350714,0.002618360597693492,0.004846335609484775,-0.0008684741891968883,0.0052122411082904385,0.00675154339532158,-0.0003632757984168844,0.010954572603591117,-0.056475140559262615,-0.01346810829614975,-0.002030401212738564,-0.007181537953368511,0.0,0.009767029050953724,-0.007585523239153291,-0.0057565539229110785,-0.011833372356395477,0.003764517357687014,-0.007745042813836922,0.012036487611120528,-0.011239695685677287,0.0005511491163219251,-0.030616286147137184,-0.00803412842179263,-0.021685591921611236,-0.0062567711914506274,-0.01024028573175062,0.0010303689472477284,-0.017390498789160325,-0.003771777316004865,0.005144780812092131,-0.00045772965357260276,0.01162792703479476,-0.004018821659653504,0.009469422655585147,0.011185612652603316,-0.026911788752712607,-0.007194190754785668,0.011048441606814174,-0.002374777749847401
2020-01-15,0.00030299039076009393,0.0009622759088885324,-0.004019240670050328,-0.0006204910368367011,0.015708530907903473,0.0,-0.028716834409687197,0.004644238602371953,0.012130558154315407,0.0045507022456130475,-0.0010173745961541414,0.01719971525057873,0.0008627643954053354,-0.008928563192385108,0.005486034722846034,-0.0033085162405448454,-0.0025210721977062533,-0.007032152422538407,0.01940229547110195,0.017602362762571655,0.011319677508616843,-0.0025704695720203397,0.014641226631128657,0.01527798231954014,-0.016358337135022216,-0.00907429014954031,-0.005173028581945127,0.0017151648480553394,-0.0035583335146959216,0.005048173975268799,0.006630894899048112,0.008701672824120266,-0.026181344278867535,-0.023873374708069828,-0.002131984277420673,0.005786101426173751,0.004384724266654816,0.009420266449237769,0.005008565157071265,-0.0010820330156213753
