Date,FNX,HTBK,FAD,FEX,AMKR,QCOM,FORM,NRIM,TBBK,VCSH
2022-01-03,0.0032089630627785137,-0.00418767484367788,-0.00963313590436321,-0.005740362365339036,0.05849136388877807,0.018264401862829516,0.022309720702758717,0.008973797123378091,0.014618761242222833,-0.0014764280459677037
2022-01-04,0.0066880470839010275,0.012615756672766931,-0.008761940116135958,0.00468396514317293,-0.015243882186626201,0.0054777109104193755,-0.03851097533415526,0.024857089995380166,0.01129279613444023,0.0006157127888497538
2022-01-05,-0.022145355285927204,-0.006644727037294906,-0.02927595591576404,-0.019082645001475496,-0.030572465132812976,-0.0038989231706797467,-0.04917666114834274,0.0042280011690252195,0.0015402740309959917,-0.0022168732830989413
2022-01-06,0.005514071152122213,0.025919875899097944,0.0035088939967680144,0.002431957267252871,0.005987902827776281,-0.0029495062355134882,0.07020828532971679,0.01927769908715815,0.043060319954980386,-0.0014811991528949076
2022-01-07,-0.004308731444366276,0.0016301150986497426,-0.021062406815100188,-0.002756741797804496,-0.0591271410920613,-0.02979256664231833,-0.0756614720994474,0.00478268150359118,0.00552899117283534,-0.0003708490895810712
2022-01-10,-0.006097460355428019,0.0032545413412627955,-0.005017394152810883,-0.0028748656361232694,-0.0004216918708698225,-0.004046498382279329,-0.002365798148459497,-0.011899549870247217,-0.018695022582294052,-0.0011133902631327297
2022-01-11,0.01108246619837927,0.0,0.015213812048855191,0.008871017185065444,0.026160458290993782,0.031834404447891984,0.0331989942297386,-0.004379228656393952,-0.0007471220553479929,0.0007433387831921046
2022-01-12,-0.0005871666437424761,-0.01135441995875408,0.00016829402123219595,0.0016485960401981803,-0.0008223963151844371,0.005501553344825938,-0.008262580052171287,-0.0032989414757063074,0.10616823000328557,-0.00012395917869301165
2022-01-13,-0.0026438413698307572,0.02543072190277562,-0.01481470630473869,-0.007900678897847624,-0.013580290883146384,-0.013571620953081842,-0.004628575958737335,0.007060917791515298,0.04596149386070958,0.0004950372515530876
2022-01-14,-0.000687443306323865,0.015200066418338487,-0.008373318492513215,0.0007743140955296379,0.042553031371518335,0.02610266972052755,0.03975826472687394,0.002629108219533549,0.03780284782242416,-0.001978738989526496
2022-01-18,-0.021123965436979475,0.003151862703291819,-0.02834740893633103,-0.01635713316057319,-0.06962779544747644,-0.05209582077440911,-0.04069766648355211,-0.015296719696086813,-0.030510572068030317,-0.002850049911439778
2022-01-19,-0.014152263989324898,-0.023566315101408275,-0.01268068802353517,-0.012135048187834063,-0.02967755917253001,-0.03572624386750656,-0.02284390028150507,-0.01886419160336239,-0.03660884431575795,0.0
2022-01-20,-0.01842809755507091,-0.004827112709020809,-0.01580725138599104,-0.01251127423645726,-0.01728701720454273,-0.03461481156116786,-0.013597321558245667,-0.021261923465097143,-0.023000017801920625,-0.00037321700520642764
2022-01-21,-0.017944075678716476,0.006467464117335675,-0.018981823307180568,-0.015894931406553403,-0.02571047107294311,-0.009429554542992769,-0.013542867696699545,-0.00901320082094692,-0.024223783603191773,0.0014923441404841586
