Date,ISBA,LINK,FKWL,TOMZ,INTZ,IPM,MGYR,SCWO,DXR,LIXT
2024-01-02,0.0009301664822354283,-0.030540464426645042,-0.01179943658234306,0.019801961500356402,0.0,0.004273500354724069,0.006233446099561446,0.05633806009374043,-0.010416705989173769,-0.02553189158061786
2024-01-03,-0.0009293020765919202,-0.03069469822157833,-0.020895516179153195,-0.03883491549912932,-0.039999961853027344,0.012766047245027501,0.007964532394234114,-0.14000002543131507,0.05578944557591492,-0.013100424405900424
2024-01-04,0.0046511219421427885,0.03166669795910715,-0.0030487690976606086,0.010101000370632551,0.04166662527455389,-0.016806806028663912,-0.0035118704314205385,-0.05426351574634625,0.0,0.013274323679807187
2024-01-05,0.0,-0.014135718566849365,-0.02140672108761965,-0.050000011920928955,-0.039999961853027344,0.012820501064172207,0.022026435559725943,-0.1311476082610863,-0.017946097337346978,-0.01746723254120064
2024-01-08,0.0,0.015485389970572916,-0.0156250164249786,0.052631592156154205,0.04166662527455389,-0.008438810925003759,0.0043103455631581244,0.17924534667637726,0.0060913161034243934,-0.017777760823567745
2024-01-09,0.0,-0.03065976895517364,0.00952385020511759,-0.050000011920928955,0.0,0.012766047245027501,0.01287553866850133,0.015999984741210893,-0.01109986461866308,0.0045248824844552615
2024-01-10,-0.0013889824173981546,0.00940563559415497,0.009433926623655164,-0.01052630588288439,-0.039999961853027344,0.08823520572717469,-0.0033897639730462448,0.007874008357040552,-0.010204120359535218,-0.06306310950447058
2024-01-11,0.0013909143730064244,0.0050300870975823475,-0.003115253138363583,-0.042553214424603025,0.0,0.2393822951830149,-0.02721102176669643,0.01562498544808455,-0.0072164635258401555,-0.0096153757981291
2024-01-12,0.0,-0.0015590614117555468,0.0,0.011111167036458314,0.0,-0.04049847753770208,0.0,0.0,0.01765317489861884,-0.05825237324869392
2024-01-16,-0.00046302616030557964,-0.030487124822423994,0.006249976535744883,-0.12087913311531129,0.04166662527455389,0.05519483133278458,0.007867152076932005,0.0076923006385032355,0.01632651472429325,-0.07216500039941254
2024-01-17,-0.002315722724135716,-0.0176301914766962,-0.018633545470880253,-0.012499987892806708,0.0,-0.021538440997783903,0.023417229326464284,0.04580157603787627,0.007028081782742834,-0.011111100809073515
2024-01-18,-0.0018570708565298633,-0.015961990112993485,0.0316455277522909,-0.06329115261120022,0.0,0.01572325511529682,-0.010169459679406745,-0.07299271787868722,0.0,-0.028089861303337904
2024-01-19,0.0,0.1280140572674291,-0.015337366791658313,0.12162158461362504,0.0,-0.0371517409501696,-0.01455484733913781,-0.007874008357040663,-0.007976064390418092,0.2427746078979116
2024-01-22,0.0,0.010493576459108978,-0.028037427948683802,0.07228916095257998,0.0,0.009646370038679741,-0.0199826619832294,-0.007936500427734305,0.0,-0.004651158148691992
2024-01-23,-0.003255872218789646,-0.03461543191113814,0.0032051933681915834,-0.02247188904267039,0.0,0.03503181255440824,-0.0017728394572078532,-0.015999984741210893,-0.08643212795606692,0.00467289251077152
2024-01-24,0.0013998073171086478,-0.07195227540229288,0.0031948761614137844,-0.022988483697581663,0.0,0.18153843512901902,0.0017759879988077376,-0.040650464024575284,-0.019802013438309563,-0.1348837526506046
2024-01-25,0.0,0.05778326588852578,0.0,-0.03529415312110251,0.0,0.07031255869272601,0.006205727822812923,0.0,0.010101027399459506,0.11290318135623134
2024-01-26,0.0,-0.015827993081642844,-0.022293063083778764,0.024390220854836775,0.0,0.029197051498991433,0.02995605700816162,0.04237294385434165,-0.04444440205891931,-0.03864730738456079
2024-01-29,0.0,0.022680361469311627,-0.0032573170082679237,0.023809572804273094,0.0,-0.026004759578818648,-0.024807715754607718,0.03252029368516429,-0.02558142526398477,0.08040205279593704
2024-01-30,0.005125838944831207,-0.004032139095560772,-0.019607849295757762,-0.05813954777818142,0.039999961853027344,0.026699062274240237,0.019298215911325522,-0.015748016714081325,0.04415273037066858,-0.013953585338433494
2024-01-31,-0.001390625781601762,-0.0242914733557843,-0.049999975972601085,-0.11111107840623069,-0.11538460127700667,0.0070922481496633605,-0.0077452008809263395,-0.039999961853027344,-0.006857190813337022,-0.00943395377648304
2024-02-01,-0.00046431587968009946,-0.002489713005885741,0.00350875891405944,0.06944437545758975,0.0,0.07276993570981793,-0.017345971799951343,0.02499997516473229,-0.039125341234893085,0.00952380087370197
2024-02-02,0.0032512391042289757,0.022878484238607832,-0.01748253686987522,-0.012987000923330161,-0.04347822030685711,0.08752726553724788,0.0044129759226145815,0.0,-0.016766507416387855,-0.03301883821769058
2024-02-05,-0.046296179774805934,0.02318022089448557,-0.003558705776545823,0.06578949019519276,-0.04545460949259217,-0.04225343464284459,0.023725892348722244,-0.06504068428844845,0.03897682013853476,-0.014634132725648952
2024-02-06,0.017475694123377794,-0.03187598557321236,0.067857149905997,-0.012345667202249944,-0.04761900436850974,0.04411755277565299,0.0,0.008695644061371466,-0.0058616872567529565,0.03465343262562359
2024-02-07,-0.026240473790512198,-0.01502583192524154,-0.026755834298380243,-0.025000050291418274,-0.050000011920928955,-0.11670019078284288,-0.01896548120656305,-0.02586204504569778,0.002358544674920804,0.009569369257348859
2024-02-08,0.0,-0.02717572170781668,0.0,-0.012820501064172207,0.052631592156154205,-0.02505687016462399,0.010544732059363016,0.008849549119871458,0.0,-0.023696661043679068
2024-02-09,0.0004900227504753829,0.05389874571915332,0.024054976008106133,0.07792208294861247,0.10000002384185791,0.13084110171214602,0.0,0.061403555553045885,0.04470589581657869,0.12135922667195653
2024-02-12,0.0,8.147600322350179e-05,-0.013422769007687796,-0.0361445445698767,0.09090911061310525,-0.049586826526647365,-0.012173960587750665,0.1404958278720374,0.0,0.12554111213703356
2024-02-13,0.0,-0.005691080029084694,-0.034013641023495245,0.024999975785613415,-0.041666724615624595,-0.0695651524909715,-0.009682994347993579,-0.14492757128607558,0.0,0.0500000458497285
2024-02-14,0.0,0.0580538770001755,0.04225353304274848,0.012195110427418276,0.08695654427396815,0.10046724468685886,0.026666631625331005,0.18644071049952027,0.0,-0.021978000864594893
2024-02-15,0.006366159548456984,-0.054868545224531995,0.0,0.012048181523292234,0.0,-0.008492560834195695,-0.0103896994852678,0.057142888769811995,-0.020270304375678894,0.018726573366127264
2024-02-16,0.0,0.03254275940907014,-0.02364864151853152,-0.011904750923180218,-0.039999961853027344,-0.02141325546014272,-0.013997997884068747,-0.060810832580220575,0.0,0.025735269303862385
2024-02-20,-0.002433018287621991,-0.017659166222888656,-0.013840861807046578,-0.0361445445698767,0.04166662527455389,0.019693582575515345,0.03371762297465275,-0.16546764132411507,0.021839142324494576,-0.039426486236496916
2024-02-21,-0.012195065170311659,-0.024586723555016787,-0.014035119962898301,0.03749996367842012,-0.1600000381469726,0.04721035927736872,-0.008583652138544728,0.17241383917124886,-0.046119323425490744,-0.13432840468172236
2024-02-22,-0.012345825756270856,0.057603295188924264,0.014234908612941854,0.0,-0.04761900436850974,-0.028688594270410817,0.012986911036758197,-0.029411736347271344,-0.027122588991988716,0.021551704204748168
2024-02-23,0.02500009337374265,-0.045948374321923224,0.014035119962898301,-0.09638552399916434,-0.10000002384185791,0.016877722448569,-0.02136746809132173,0.045454500299513256,-0.030303030303030276,-0.0632910819375283
2024-02-26,-0.06097562950597857,0.05987392188767071,-0.006920472473415207,0.06666668256123853,0.05555557027275215,-0.060165965046650394,0.0034934512099475956,0.02173910977784832,-0.02875000238418579,-0.004504500150622537
2024-02-27,0.005194867349470833,-0.06336936530891335,0.0,-0.0625000139698384,0.0,0.06622509933843856,-0.0034812894949493023,-0.0567375358864356,-0.019305031626209224,0.20814481004836116
2024-02-28,0.0010335182470981863,-0.019801960916054906,0.003484391441658241,0.013333320617675781,-0.052631592156154094,-0.028985480061493263,-0.02183391943414814,-0.02255645836920439,-0.022309721633476443,0.011235944019676314
2024-02-29,0.004130019005757379,-0.06481481063379335,0.0,0.013157882353605599,0.05555557027275215,0.004264388205224678,0.0071426830396124075,0.023076993614966845,0.05906041187722666,-0.037037089364844955
2024-03-01,0.009768584602320107,0.11818174531598458,0.010416627559574732,-0.025974001846660322,0.0,0.0,0.005319194945030414,0.007518789579387564,0.0,-0.0692307057465299
2024-03-04,-0.003054984544943462,0.03887953053244764,-0.006872826697065015,-0.039999961853027344,0.0,-0.019108312496595836,-0.007054676480327093,-0.0074626792643007756,-0.08871987593289199,0.020661136669406943
2024-03-05,0.0020429680326052857,-0.07019997233413444,-0.013840861807046578,0.027777750183035854,0.0,-0.015151449471464185,-0.0008880341727732777,0.0,0.07649509172748559,-0.004048579088026694
2024-03-06,-0.001529049238706337,0.003333360155425069,0.0,-0.04054058190241916,0.052631592156154205,0.0329669477455663,0.003555556723600084,0.04511273747632516,-0.031007723283626443,-0.016260146842582146
2024-03-07,-0.030117387916290594,-0.019933625572342017,0.01754387887695774,0.042253566057856906,0.0,0.019148969412822625,0.023029193298658823,0.007194237817389482,0.034666697184244866,0.049586728006576486
2024-03-08,-0.0026316105605154183,0.008474690309386856,-0.017241397880866316,-0.01351350045186761,0.0,0.012526084187343134,-0.004329027230873139,-0.02142855135761923,0.01804121937581038,-0.04330704596372359
2024-03-11,0.002638554207632815,0.001680730758148341,0.00701751782811888,-0.01369861671503625,0.0,-0.012371122465843931,0.004347849188405473,0.007299263086460783,0.04430378486170006,0.03292177839847277
2024-03-12,0.01052633303300854,-0.04781892318135894,0.003484391441658241,-0.013888957875743513,0.0,0.02087680697890515,-0.0337663100072938,0.007246369925949514,0.030303030303030276,-0.059760994397353384
2024-03-13,-0.010416683552831874,-0.030836945690155382,-0.010416710988037425,-0.014084494035883521,0.0,0.008179951522529372,-0.0008960798207805487,0.028776951269557483,0.0,0.008474669590729178
2024-03-14,0.0,0.015363693403804168,0.0,0.0,0.0,-0.036511122638168914,-0.01345289894367152,-0.05594400464366045,-0.008235258214614016,-0.04621854127105551
2024-03-15,0.0,0.017996087130555782,0.014035119962898301,0.04285718786473258,-0.1499999761581421,-0.14315785859760488,0.0,0.01481480042466754,0.0083036408410615,0.017621128717675738
2024-03-18,-0.021052666066016856,-0.02638510750587375,0.0,-0.027397315080268658,0.17647055523618382,0.08353800034655623,0.0018182274298430556,-0.007299263086460783,-0.03647063760196456,0.06060610752038276
2024-03-19,-0.0026880928730732556,0.014453399247992937,0.0,0.014084577986089863,0.0,-0.002267517548905529,-0.0018149274789177605,-0.04411769217479555,0.024420118826195658,-0.06122452752980356
2024-03-20,-0.016172588446377367,-0.0008903119273137028,0.02768164047430921,0.027777750183035854,-0.050000011920928955,-0.3681818383784329,0.02818198759656032,-0.053846104469523204,0.0,0.004347822030685622
2024-03-21,0.035616526510355184,0.013458089986238875,0.0033669908369859947,0.02702700090373522,0.10526312157057616,-0.15467628459803096,-0.023872664021197032,0.08943090455232161,-0.03456495232253787,0.0
2024-03-22,0.010052744907892652,0.02629494002995325,-0.026845618644229075,-0.013157882353605488,0.09523812226968142,0.09361703725031734,0.029891156131011787,-0.08208956086946273,0.02592592941444627,-0.04761900338554392
2024-03-25,0.012572223219189604,0.06413866987630756,-0.027586269750624615,-0.08000000317891443,-0.18695650280986664,-0.04280151671328203,-0.06156559199434852,-0.03252029368516418,0.0673886206576404,0.027272700672307915
2024-03-26,0.022572001147728837,-0.08020281851734101,-0.028368690390003004,0.0724637856430379,-0.18449199343877176,0.13008127165877692,0.05623273173044452,0.0252100587791928,-0.027057471726566584,0.0
2024-03-27,-0.019507005253480814,-0.011162215863141256,0.03284667916383599,-0.09459458370988971,-0.08852458529432616,0.13669069005455747,-0.01242240641657455,0.01639342660450316,-0.006952539840213712,0.5575221220266382
2024-03-28,0.015706662783825598,0.007304157421614166,0.05653706107229617,0.014925358528601551,0.07913670175336285,-0.025316506313829312,-0.0008987605958561407,0.016129016752173708,0.0373396335931957,-0.039772689558011276
2024-04-01,0.006185658943491212,-0.01384305054816315,0.0,-0.05882356034843117,-0.029999971389770508,-0.0064935004616650804,0.0017986950487363096,-0.03174600171093711,-0.010123751306206574,0.05621296223929484
2024-04-02,-0.021516344604707527,-0.037433211328693594,-0.023411284696789103,0.01562498544808455,0.30240544675830616,0.026143844320456466,0.01615795142644183,0.0,-0.005681839733083893,0.036414598563544676
2024-04-03,0.0,-0.010000069538749434,0.020547867428675204,-0.04615380383101986,-0.09762530060242525,-0.00636949639391915,-0.015017696147244242,0.00819671330225158,0.01714281354631697,-0.16216219873477056
