Date,FNX,FEX,FAD,EVRG,QCOM,FORM,TBBK,VCSH,IBKR,AVGO
2023-01-03,-0.003985150653059044,-0.005994638487082371,-0.013710040718482142,0.0,-0.024922718209353434,-0.013945095471252444,0.03347430553319963,0.0010636390472451573,-0.01340697911461719,-0.010104907112855832
2023-01-04,0.015203242824195495,0.011056599427398117,0.00759196025497233,0.015254977530794855,0.04039190112651947,0.020073016994806903,0.004773248892349313,0.0017273841594522832,0.010367107884451165,0.012213609962960392
2023-01-05,-0.011597642583415113,-0.00695902933070236,-0.00902041524513364,-0.014086739061297093,-0.01909806088178745,0.024150223320151376,-0.027146225167980376,-0.001989376721521663,-0.0038824107375086125,-0.009317436173991389
2023-01-06,0.023126128134796975,0.025028313503544064,0.021096557166654817,0.028417350375701034,0.054296121286509846,0.052401780913936546,0.03243809915245732,0.006245866089691576,0.025194782681344785,0.06019604676359824
2023-01-09,0.008128193790388094,-0.0004885006785376733,0.005768103372447264,-0.007718535176604591,-0.006329186075040072,0.012863048175747682,-0.020945974028484526,0.001188514048880096,0.016021755136579774,-0.019611505530271134
2023-01-10,0.008504495052473082,0.008427994715492826,0.010948929503949989,-0.0015557418812019996,0.020068125080966448,0.027038093057672796,0.02449968954576809,-0.0005277513764615493,0.014299140061934335,-0.003397647097804324
2023-01-11,0.015441936649453814,0.00823634555327346,0.012687039173076453,0.0035839237679986535,0.012659318127425934,-0.002393277489938339,0.014146179479254561,0.001979887592171714,-0.016996146044500393,0.00558334993931453
2023-01-12,0.011647984218222884,0.00444505285555663,0.005194455000308018,-0.007607767953475952,0.027029312768846125,0.018792455379977646,0.004649597702110597,0.0035561491830526926,0.0032166468672796267,0.006572931770575385
2023-01-13,-0.00309166571696895,0.0014351359248796491,0.008410320731416343,-0.016113854445389708,-0.011102763006274219,-0.01295133161831652,0.0006611721574767415,-0.0015750220506444146,0.03152968585517946,-0.0050521411347753675
2023-01-17,-0.0034220003272475985,-0.0038218288125643207,-0.0023111371715240914,-0.005088158097671713,0.00033254148702965836,0.001988117104078979,0.0006607352976943925,0.0006575466537532826,-0.0002589185800495608,0.00041444930100720256
2023-01-18,-0.008691927479417272,-0.014866344080072036,-0.014603879822797983,-0.03276337793888995,0.014632461134402863,-0.004761937920647941,-0.0409376573452378,0.004072295597153053,0.04845181239715424,-0.008545627116332222
2023-01-19,-0.01114987855002525,-0.00888389130999323,-0.009505113365475437,-0.020984793828238923,-0.03654522244504854,-0.006778312472531467,-0.02581755661608376,-0.0005232471805176608,-0.02570109576755475,-0.019275874165369355
2023-01-20,0.02145610168073553,0.01719064879648524,0.013827245065523464,0.0065822106864092955,0.04524574004218995,0.03653150754662282,0.011660775003622614,-0.0009163293825162899,0.0008879565787365262,0.013422691620016192
2023-01-23,0.011038328495464267,0.011830077709578557,0.013231565123660083,0.008383821772293354,0.0661513081344931,0.08171962181605008,0.011177143260673539,-0.0013103383551053005,0.01343114036221138,0.01900894668352615
2023-01-24,-0.002331754728492008,-0.0020281099175407657,-0.004922196205002893,0.02011959617348813,-0.002518546921586262,-0.011099157270146431,-0.008290213200064511,0.0011806057123728841,-0.013253135637228297,0.0058458211652370196
2023-01-25,0.0021246474963274586,0.0033470486998998794,0.0015141813585735076,0.009454074872011553,0.0035960290341696677,0.008689346988623337,0.017415535212274458,0.00039344364877913485,-0.0034214315184578625,0.001111073219949743
2023-01-26,0.00986018390141119,0.009174340530500702,0.010281208657376473,-0.008558109405188752,0.02127005299815443,0.032304364637948835,-0.0013693601312015913,-0.0003932889117547189,0.0031787041022832696,0.022025665230938962
2023-01-27,0.00010510057743973178,0.0,-0.002593959468583873,0.005537615795797146,-0.004180287447267839,-0.007649489276900678,0.15975323080468073,-0.0007859933614066117,-0.017617357813046408,-0.012679999896217709
2023-01-30,-0.007558407154309776,-0.010507698096327567,-0.011203467339649276,-0.0008100483104827028,-0.013268280319351122,-0.03083395374512632,-0.03310678941654421,-0.0013113176013243022,0.002967339457030871,-0.01614245204525777
2023-01-31,0.02506893072838623,0.015392031730022238,0.017804858612106456,0.015561751606847807,0.012003121300443453,0.01735356272177402,0.03729750091256512,0.004333388388570558,0.028299537981790968,0.006122674008478768
2023-02-01,0.009080565733510015,0.006933100357058519,0.012921347365874247,0.0038307023520027794,0.03941162041586033,0.0369581001451591,0.00530504873435933,0.0026475272278541073,0.029146695563512237,0.03032428885786853
2023-02-02,0.017690832309962934,0.008752337534850163,0.0037286202256088252,0.005565341123757506,-0.018850179456704752,0.04078137496957268,0.025212565082469496,0.0007836208018130453,-0.016166066031363724,0.005010377780819697
2023-02-03,-0.011354423201838215,-0.010411586781050586,-0.006256791258385852,-0.0253004678030605,-0.0061098214449424315,-0.017451454461628768,0.021446953783804235,-0.004701265578338165,0.04002946594836798,-0.013454029977080006
2023-02-06,-0.011688239366617337,-0.007598721501433925,-0.007771633957719626,0.0077870112559315086,-0.015479232349499217,-0.03619302674877467,-0.0005599232105311103,-0.0038051461517731866,0.004395414693074917,0.006157778993625795
2023-02-07,0.009461224697246307,0.009541378808824108,0.01378152171632574,-0.0022536186584926066,0.027834494432511292,0.023296247251803015,-0.0005602369001749263,0.0002632368994257561,0.016558403264465893,0.021869272057172262
