Date,FEX,FNX,EVRG,ACWI,ERIC,HBNC,POWI,TBBK,UAL,CVLT
2019-01-03,-0.020137962208955584,-0.0162601905373857,-0.0037580363252468496,-0.016994120346055963,-0.03939765541606133,-0.0018806491473114528,-0.07855376945457893,-0.015776713355815652,-0.04965550356405468,-0.028899719482935793
2019-01-04,0.0342534939740089,0.03622283438416063,0.003951871438989896,0.03187945068725462,0.04825121152226419,0.03266353812850764,0.03798830754993876,0.04192357176093786,0.03350000381469731,0.04087491294174028
2019-01-07,0.010976325432835221,0.01578156525481189,0.0010735325193864664,0.006148405756187136,0.012658215004035966,-0.006690994599022115,0.010137246761365182,0.009467446806133317,0.006652189764486227,0.006889385148475924
2019-01-08,0.011231686964521703,0.01520204569773953,0.011796015978837282,0.0073325408865621,0.018181714945696648,0.007348232831398738,0.011396708055544824,0.0035170794354828505,-0.010212736624199747,0.025145419837913963
2019-01-09,0.006293944060079548,0.01151894526718511,-0.009715410181950546,0.00925086093755012,0.024553549315499357,0.003039422896701449,0.030945037672593934,0.01869157004308586,0.01675169857759662,0.009511091138355798
2019-01-10,0.004783120968725907,0.005856504037837773,0.014270331909467693,0.004658135505402727,-0.0392156285177071,-0.010302738707117287,0.020881118048995395,-0.021789051403590887,-0.028533898384592304,0.005123989641173887
2019-01-11,0.0014646057068596896,0.0008086617972491439,-0.006858922155352776,-0.0035894698509932876,-0.032879975542712714,0.0018370390200597164,0.016618466390036613,-0.0058616872567529565,-0.01597644104555984,0.004440066628287553
2019-01-14,-0.006215853563278917,-0.0037168921035938274,-0.007614835413869203,-0.005704209613504707,-0.008206311692919077,-0.001222702365285544,-0.037409436223400316,-0.015330090540584873,-0.001998201989817039,-0.014407351698339621
2019-01-15,0.005886829288571205,0.007299273012841168,0.005531680623031221,0.00905805767375334,0.0035462796547620634,0.00428400684999275,0.024657021678664348,0.008383196601950083,0.016143076298524628,0.01461795775685415
2019-01-16,0.003291976604878677,0.007729387278774702,-0.0010646809366398058,0.0028426533206324933,-0.0011780313969531608,0.015844105355976135,-0.005259030061860459,0.016627119008812974,0.06354684551772105,0.007694783757633994
2019-01-17,0.008567334649037583,0.009907311636723426,0.005507201316196975,0.007309989157558094,-0.003537638489573336,0.0017994959697049673,0.005447104350306153,-0.002336501960658488,0.00440015343599276,0.007798530433568374
2019-01-18,0.014096965278134865,0.01534830809844645,0.0010601542678099207,0.010515614231823678,0.011834340520130882,0.0017966388541257317,0.0033460153022379924,0.0011709869937359674,-0.013258030368931473,0.008060615989676334
2019-01-22,-0.011406004985820006,-0.017453689584479792,0.002647270995095541,-0.013190613505213111,-0.019883041418150116,-0.005977331584092083,-0.03128480783620502,0.014035074021298666,-0.026288118895548163,0.0033584344037993485
2019-01-23,-0.000721232208631073,-0.001268678616316521,0.0019363292078953265,0.00252465412200209,0.00954641582557092,0.005411623353607231,0.010000002013112574,-0.00807378249229962,-0.005519547692414695,0.0007969275696992906
2019-01-24,0.004690864459738986,0.007304842310252413,0.0038652617165391145,0.0017779094134358076,0.0070922813715847965,-0.010765365437204855,0.039928657420080116,0.038372082449798395,0.013875501496007692,0.00015923429506958797
2019-01-25,0.008978133355616258,0.013400415988141567,-0.006300461602435803,0.011091306846031213,0.04225352792909942,0.005441449311295754,0.03636686214593787,-0.021276654822452112,0.0013090635719330557,-0.008280262166895036
2019-01-28,-0.004093126580008377,-0.0024889985696675554,-0.0012326769178812036,-0.00687443384601738,-0.015765793944665707,0.007215598293609737,-0.012048436386124961,-0.02173908299301852,0.005467067837051198,-0.011400113975414405
