Date,ADP,AFG,AIG,AIT,ALK,AME,ASB,AXP,BA,BAC,BK,C,CBT,CCK,CNA,COP,CSL,CTAS,CW,CXT,DIS,DOV,DVN,DXC,EAT,EMR,FFBC,FHN,FITB,FLS,FRT,FUL,GAM,GATX,GE,GL,GLW,HBAN,HON,HST,HXL,JEF,JPM,KEX,L,LCII,LEG,LNC,LPX,MOG-A,NNN,NSC,OMC,ORI,PAYX,PEO,PNC,PVH,R,RHI,RJF,RTX,SEIC,SF,SLB,SNA,STEW,STT,SYY,TFC,THO,TKR,TRMK,TXT,TY,USB,VFC,VLO,VNO,WY
2021-01-04,-0.04108973756679968,-0.028075846872426924,-0.019281750697177746,-0.019104453605760185,-0.05307689079871547,-0.02116742618891554,0.008797488545355003,-0.023736776039870344,-0.052975784673577664,-0.009237833730560863,-0.01767186009858568,-0.02465126016807795,-0.010695071560783531,-0.02924146327423993,-0.024127355800692696,-0.01050261546776865,-0.014406407178449654,-0.02789548454465074,-0.04323170050848191,-0.01944374182305575,-0.019317667739252697,-0.023049591792601354,0.020240107355534054,0.006601944710444396,-0.052854832595007006,-0.029364253275261487,0.005134029831309839,0.0062699263732834964,-0.012332317397245163,-0.05644567206426254,-0.033482325926998846,0.011950969758838692,-0.010217651904692704,-0.011060087152679476,-0.03055541720942312,-0.026958765753758107,-0.030000095617543465,-0.005542273067017045,-0.022331793249579568,-0.03280920634761231,-0.0393892829652166,0.008942959267893125,-0.009443751040077775,-0.005981118316404799,-0.013771779156367625,-0.009793402329757561,-0.021670097336622174,-0.029616350230634025,-0.00645715467255592,-0.03039086126173285,-0.03836749533192785,-0.017549674324799147,-0.023889608680986996,-0.02244786973366597,-0.0302638475624476,0.0026389619147857424,0.0010065109631596236,0.02779874730206,-0.005505213458929958,-0.02128675264307822,-0.01311922412474198,-0.043071011315435115,-0.009396185823870695,-0.029726577127077602,0.0054969601026930714,-0.024658094546677667,-0.014362710712929827,-0.007282254755377249,-0.02625918923101278,-0.015647999489390108,0.008710681231545614,-0.02352646861102181,-0.009886383766631313,-0.040347639200859375,-0.01289444734862899,-0.010087953408553285,-0.0033954649172998064,-0.014848789853177724,-0.018211145307269194,-0.02147318668005871
2021-01-05,-0.0027817372655314365,0.011860225914954281,0.016698468751064066,0.024051943612690696,0.01259136699330976,0.006926906241291109,0.027907136833303925,0.005337285710888873,0.043952267208251294,0.007659075844152152,0.01127357392961903,0.025939300509236318,0.03130608258012679,0.0017477267709440358,0.006049348358606155,0.05736645844824673,-0.016760797356140222,0.015395925037874791,0.02964431147648172,0.03348653380449451,0.0042773159154809726,0.005837493006605188,0.07625570923953773,0.03703700160674983,0.028368730704025902,0.01730560724025909,0.022701708578484636,0.02336447515621698,0.013955259181617663,0.03911477373695127,0.0041327995956443875,0.023999948973515872,0.003259792534734851,0.01057601981080225,0.028653120457702297,-0.0007574010920481378,0.02147775298687904,0.022292835680792544,0.0024524358616024866,-0.014134283771812362,0.05560317420658856,0.0040291729380135255,0.005441257945198785,0.03804346015251836,0.0072072013677049185,0.02515396630376232,-0.009229675881201715,0.00594009003375251,0.0243709823291669,0.02848194112763558,-0.00635313448589736,0.009724201348597639,0.01642562354153676,-0.0021870929091065694,-0.003762808387360095,0.04736800535485908,-0.005296336912878785,0.0012433550144492767,0.01839786492367912,0.015208669257070762,0.0039350114150071835,0.014467617967766078,0.004566999217331391,-0.0038807621646365087,0.05375860070178584,-0.001198439580188282,0.0027322241117311297,0.005951694732424961,0.006361869529766695,0.006782375961629894,0.021215650266201758,0.03005036707364317,0.008135980156170008,0.014014478998008562,0.0030939278751147548,0.00325224598790963,0.0024673495298863646,0.028530366575818977,-0.027823382881239977,0.009448130182048597
2021-01-06,-0.0035016097498072885,0.06742477730418295,0.0651653824762406,0.07148352931950686,0.033293217550973475,0.04236590662977924,0.06900435301077734,0.036993305472356575,-0.0028351655704391687,0.06245876114159965,0.06759981280158867,0.05753653722017549,0.050884723018087774,0.028838269945201,0.055163325724664425,0.039914215733459324,0.024644560589219378,0.006018827179983477,0.04187739400632706,0.05997465935726698,0.0038106156327579743,0.02821213153404556,0.0552992212844714,-0.015996964704327987,0.06860258981258416,0.03364404446770042,0.11209761261053064,0.09132389837365928,0.0959798535805112,0.04594513095135877,0.04127827830590003,0.05394362493271743,0.011102227500132233,0.04486956697345912,0.05478180184069603,0.05566972014635385,0.03448286035807335,0.09813081661293221,0.01822891368417423,0.05734770380651244,0.03620103263838681,0.056581097863326546,0.04695604782635643,0.038519098558781995,0.04807693060280571,0.05233964668900648,0.04378191782576768,0.07045436192219467,0.05498273877025861,0.039580095297004236,0.016623762663193986,0.03241266872061499,0.08225609042944337,0.0547945974141113,0.012552827307435788,0.021775537714581628,0.05493369441560936,0.06365141323681667,0.042685857347873,0.03286056458774955,0.05921607199452894,0.01238804849728159,0.07169085078266679,0.06438402106523622,0.05533918973874452,0.04138687157538867,0.015440700374820704,0.06810681384070638,0.04438642771572754,0.05263185962212047,0.03100522742421785,0.0700424176393426,0.08877483125091645,0.01212012797732731,0.01267978800913272,0.059217533019716884,0.0251960059085099,0.022330756825998277,0.03170586944422937,0.005133164253013467
2021-01-07,0.0056581661349068835,-0.0036963951665265338,0.016911091286523128,-0.0015490057720342065,-0.003882002351754954,0.0012072553243034356,0.02751351960684234,-0.007910011256350491,0.007960991064248413,0.02208372424178129,0.005998264122859309,0.011800784695590538,0.0018700539032778796,0.005186880697645835,-0.002229823136232101,0.02734983061067431,0.012058566519166147,0.011595865992256593,-0.016161466043256745,-0.005514266627086761,-0.0030146332744049875,0.014816515312760181,0.013646420123567093,0.09300563378128501,0.028362740126539387,0.0004875818890519579,0.009480962327861775,0.04253850368626355,0.03899552528313022,-0.0015877383516811339,-0.01592657735104419,-0.0001765796182002788,0.01205149598801536,0.00932525750590596,-0.007922543474527699,-0.0032069975147778207,0.002168142833851139,0.024113564457835857,0.001648981166117558,-0.0047457969604320915,-0.0005890737921753209,-0.006456535863499702,0.03283940490286841,0.027187581862481602,-0.002560322878156107,0.024615611434362306,0.0031234441885443776,0.0011410774010118807,0.01152586346152451,-0.006081831286411488,-0.0005032260602294558,0.026710390719137278,-0.04479602408851724,-0.004155675313677887,0.004168922382062679,0.022950856899581984,0.015909645017735397,0.026564174966014154,0.0268323201181353,0.014816051004678421,0.017401474994025223,-0.00711445681690237,0.001957863734652454,0.015218481576243725,0.019254706971562507,0.012959191844082563,0.010733491397928452,0.0012883559049838844,0.0005292731010966278,0.02980013538386239,0.030275202640892562,0.019336932473460022,0.014487916778609167,0.025210058975121186,0.012521339562572953,0.01999613397943678,0.009144993980145344,0.0182594248650918,-0.02556415149755009,0.00961256564489732
2021-01-08,0.013029149030260978,-0.006329164213763505,-0.0066029329727628205,-0.01658501221938402,-0.006625100440563303,-0.006913373822376556,-0.012873444415874458,0.0009863092285942177,-0.013210534195331913,-0.010042466483725865,-0.010600086305791234,-0.009845424563754146,-0.0014517419262979336,-0.011114581334035978,-0.013657729250481476,0.0,-0.012361012593235188,-0.013828836425718305,-0.004255410776434099,-0.022540788000847578,0.000616049237061933,0.0,-0.024771260088397362,0.023867192587321506,0.009909203903855968,-0.0030459275640966066,-0.02422157327556218,-0.009364433274366757,-0.008269874738278227,-0.019878009697265053,-0.0014174858941471413,-0.027537517000592038,0.005292242223419397,-0.002167378450588231,0.0062112639584026574,-0.005465603560414589,-0.0008116651158665,-0.0006924742910070503,-0.012134934026041488,0.002724701922677486,-0.04497238731288,0.008792021893005098,0.0011037611066682107,-0.01191937448325231,-0.003636212685249496,-0.02071300802851206,-0.018460763949957215,-0.01532267626992223,-0.04805549367088613,-0.01639952234705422,0.009061283605248605,0.01676996811113529,-0.00594053297280972,-0.005738204447488737,0.005353418220572337,0.0,-0.005094293989193033,-0.014502305310516328,0.001045376870200121,-0.0107576041291495,0.0026543517123565064,0.001146666451769196,0.006513614848166593,-0.006641590670540043,-0.0016077272550117927,-0.016944094666470733,0.004424509476729899,-0.007719262313123476,0.025929579759667032,-0.016313874873096323,-0.054152036329484066,-0.005773284967019454,-0.01062797988749331,-0.007786727023699647,0.00969241152134126,-0.013403069246214039,-0.004870892573594632,-0.03284742795427198,0.00697753798539269,-0.006843609227147218
2021-01-11,-0.014849295910686289,-0.010103361130528898,-0.008370357759502345,-0.003275927368032616,-0.016280855704397967,0.00493773846070189,0.021909187522394902,-0.005912224586417714,-0.014816582662147693,0.016599890697570174,0.01696400965625311,0.016368340394830927,0.007893598059091289,0.003914049513021434,-0.007552818355916924,0.014765309374393354,0.006193397336497375,-0.030415405843585708,0.005042895988032869,0.001479596141488848,0.0022384899479468423,-0.005175616552196116,0.012148118393634944,-0.04087841135903425,-0.019950959775312804,0.00977739135455824,0.01621064484471635,0.008777892755739591,0.006414317666463276,0.007301033523076317,-0.02306872480582045,-0.009802300941817332,-0.010528983480192156,0.006630250615585975,0.009700178074108612,-0.01119877143232828,0.015967842157704526,0.020789874385706453,-0.007951230463015047,-0.023777031677808425,-0.007402704280108141,0.014399199898077475,0.014924102299094688,0.0,-0.0006439822062865863,0.0017266050813244949,-0.005664963541975765,0.001361678107997033,0.003382603304607157,0.009083194963359631,-0.024195503709917965,0.0012991120692511515,0.001729914016705969,-0.008394425545654838,-0.011084498342669447,0.00480793217433062,0.007522591062033568,0.0058671221984272215,0.0001490812088609239,-0.020040275992369017,0.012843111637835358,-0.0008589533893511581,-0.010192492024998834,0.005348821003614335,0.006038427812726566,-0.008676107444449133,0.004405432306785695,0.01309468243559242,0.0,0.005725369059328411,0.028886060148732184,-0.001066833101589948,0.012085065359068503,0.003510700939081346,-0.005627174609052599,0.0004056656484361376,-0.008764878856358793,0.01611513696274436,-0.022450270398384098,-0.008388143608278664
2021-01-12,0.003263682184628136,0.004104922257183619,0.01787465098706953,0.02738925000959247,0.03070781762659358,-0.00024137850782557368,0.016845491133570034,0.004625812509318816,0.007834084958525889,0.01784126709038447,0.02194879365859359,0.003461777858766446,0.023701725277779362,-0.01259475111609376,0.010908061541335057,0.04541415990445463,0.0005771606389701756,-8.819029182405291e-05,0.007994610015245263,0.0066495847188912105,-0.017309615249442634,0.006367303620769427,0.07528665618119579,-0.003170135770439897,0.041047873718435435,0.016339994310513806,0.0034898000715783972,0.01874162940659807,0.014021633951833978,0.015838886624667925,0.026882832266851953,0.020164969988919035,-0.001330174108120974,0.022711733251662425,0.028820760282594948,0.0030411368074152456,-0.0021309456338450827,0.011540952203053845,0.002495600856049718,0.01530963244125938,0.01346568992624908,-0.004482620790902669,0.015719197338304625,0.04026965585907938,0.007948400770436015,0.040290491068139644,0.01663610294397011,0.01573422842585237,-0.02385888838824246,0.02959320647445951,-0.012014076908214988,0.008138014043521213,0.003610479713835879,-0.006349285663973414,-0.0030768291316078944,0.03189765079665463,0.014744551710035747,0.040256138242323436,0.018940980198347557,0.02092567704370052,0.002129415557137415,0.024641957019959637,0.000980725261020332,0.011590395977803869,0.046018368339592275,0.016745321280114966,0.0026318712933750543,0.029178465586680247,0.010573888198707193,0.025716753754119415,0.04312234182919861,0.013406041720765094,0.020563722438573073,0.023873190659060795,-0.00033299299566458274,0.006283138710523772,0.0053974383576285145,0.014836269522094492,0.01814562530009689,-0.011782502881901413
2021-01-13,-0.02602623794007064,-0.014032018429890769,-0.006828886684725144,-0.02227509445833631,0.0030953734119356646,-0.021592246342862387,-0.0005022922074344738,0.006413385698853968,-0.005757866355531216,-0.005941953921548726,-0.005154623431980698,0.0028499028040605,-0.016911752874005814,-0.0039485200857992675,-0.0012546845888213864,-0.008224358065324844,-0.016340104744128503,-0.010781483008571069,-0.00734049568853834,-0.012966469838405659,0.0007384419327813863,-0.019135463854396018,-0.029426794465845174,-0.0014133925532524572,-0.04391726062789714,-0.015838879992309263,-0.019374239647138025,-0.021025102566105014,-0.0037711108894585843,-0.020348849925395096,0.017571138154468313,-0.035040500296791066,0.005061305171967012,-0.02409502790670237,-0.0178268014521884,0.002718402077865667,-0.007741539750981685,-0.0020130459777860654,-0.008904645843301084,0.010966437648081806,-0.012264702329112032,-0.0018758550939148577,0.0009269956893800391,-0.02472716197189151,0.0046888120921750875,-0.022368101405707663,-0.016587897126174256,-0.012048196191768001,0.010095678309393952,-0.017724705291564558,0.005174359638980164,-0.0076432043101895,-0.015485564379827954,-0.009584557831186946,-0.012786595904214937,-0.008500782658078965,-0.016261634839048744,-0.0363084325455405,-0.029420221331151852,-0.0119564540588738,-0.015937246452085496,-0.014261725228387312,-0.020084936873050796,-0.03305791302421135,-0.026013617332671934,-0.015321773684024875,-0.002624962729321667,-0.02188513300390793,-0.028454712450482256,-0.0032537649510033795,-0.003388292190508846,-0.015101721477939867,-0.012024690901618063,-0.016281364256227726,-0.000998923698713905,-0.0028197267580037932,-0.0226158265712052,-0.03041515436714648,0.018936350960636172,-0.016814276702192044
2021-01-14,-0.016701310768058364,0.0036063399663508466,0.01424342460670891,0.025811901532581283,0.06885245515688965,-0.005928795557345934,0.02009026764027433,0.011274513223016092,0.013030244007329994,0.015839921819178926,0.004533940660148339,0.032156670494866146,0.002047858943167835,-0.026831748422935675,0.00829139354044206,0.017861220111696774,0.015178350325919299,-0.025818160908864574,0.0,0.01660672952236819,-0.015273608515159798,-0.001416169907030973,0.0601149064479225,0.025123817364553158,0.023805500965984994,0.008470160157457274,0.03140853294799206,0.03825510528753373,0.02649843281058617,0.04019433455733168,0.005678307121048665,0.005586726427744493,0.00344544276676495,0.01160542103316864,0.007778814730188044,0.006985718974491073,0.02313695886245104,0.008742250552900899,0.00768042885288156,0.017627065154129484,0.026903921867564184,-0.007894871876964027,0.0058422893946903365,0.014862778619151529,0.005515372413452235,0.037144099871335934,0.0027351512996638405,0.02109966394841134,0.010257672986271116,0.007559118467360015,0.00566267279414423,-0.00793783010947946,0.007149635139216404,0.007526746134982831,-0.016637026187197645,0.022603329764562474,0.015084648169525927,-0.03443356060826208,0.03272508135915264,0.02703121259121799,0.008048854445319442,0.006241159417960329,0.00783209483983982,0.0038849961747251527,0.01963869182767719,-0.008683517865976209,0.005262817680790066,0.011695907102199365,-0.008274214147974912,0.020353496578848107,0.021371705196135737,0.0185427952323991,0.013157802058479051,0.02554149243229853,0.0023333597731571842,-0.00464589997952447,-0.00210356757300012,0.044540900724363786,0.03634868763739085,0.015857931666145353
2021-01-15,-0.004879145075453506,-0.015270308605966787,0.0012106342125894898,-0.014766724453204816,-0.03193786902826401,-0.0142479126468249,-0.009846953312228734,-0.013168575874678679,-0.026630442762931916,-0.02883219403653392,-0.020632068215110433,-0.06926527993329501,-0.030451578007743008,-0.005744200757452411,0.006229651507167144,-0.057447459880630825,-0.018223715420264686,-0.003271015961876622,-0.013939682332579917,-0.015847855850739,-0.01147436431989246,-0.012289251068114515,-0.0350097856672118,-0.016223656351204485,-0.030948082513395203,-0.007079168888932896,-0.0014738537877120317,-0.028442174101844797,-0.020590200684863946,-0.03449182975278042,0.005646464904061288,-0.018148153301756897,-0.006867371940349032,0.007422862613220671,-0.028301827158634163,-0.005177095853442948,-0.006048265748724635,-0.016000048743972872,-0.01265512960304005,-0.02131916457923344,-0.029222183592810813,-0.008715395941084836,-0.017921437465387546,-0.033425265520408476,-0.004430137703159809,-0.035064997247344465,-0.0063649683924911216,-0.025592728469447823,-0.011715429780753794,-0.043199405389193424,0.004863299465873938,0.0019408912593679162,-0.004259299480184775,0.006403344037702707,0.003406277428117832,-0.036585270910664436,-0.03473651694328583,-0.009384568815598793,-0.014895009222430144,-0.023871459912433224,0.0023365777466357596,-0.024527816775124722,-0.01339292754332655,0.009094615449876109,-0.04044693630961771,-0.008994706713050915,-0.0174516685357593,-0.03015835262397626,0.0007944459959308148,-0.022017395596080847,-0.00047583585768951053,-0.016921646064554485,-0.00811691720954455,-0.02490537206029686,-0.0003325832706041476,-0.017856800259991812,-0.01733210591429346,-0.03268623285622829,0.016877719149564818,-0.00459141208487146
