Date,FNX,HTBK,FAD,FEX,AMKR,QCOM,FORM,NRIM,TBBK,VCSH,WTW,FWRD,ACWI,INDY,AVGO,COLB,AMSF,VRSN,HTLD,KELYA
2022-01-03,0.0032089630627785137,-0.00418767484367788,-0.00963313590436321,-0.005740362365339036,0.05849136388877807,0.018264401862829516,0.022309720702758717,0.008973797123378091,0.014618761242222833,-0.0014764280459677037,-0.008084605691160207,-0.0035510509679347324,0.005293930520047452,0.017121034180336947,-0.0031408301620504675,0.021087805394638615,-0.008174179420584293,-0.0067371004489439335,-0.004161258046109895,0.06261154567665184
2022-01-04,0.0066880470839010275,0.012615756672766931,-0.008761940116135958,0.00468396514317293,-0.015243882186626201,0.0054777109104193755,-0.03851097533415526,0.024857089995380166,0.01129279613444023,0.0006157127888497538,0.013159624787360658,0.03273662625207563,-0.0008461813624817127,0.007481436150636123,0.011457360291755148,0.010476023026322778,0.00842855566743661,-0.006663744699967,0.014925171093680856,0.026374972043592626
2022-01-05,-0.022145355285927204,-0.006644727037294906,-0.02927595591576404,-0.019082645001475496,-0.030572465132812976,-0.0038989231706797467,-0.04917666114834274,0.0042280011690252195,0.0015402740309959917,-0.0022168732830989413,-0.006955323086854093,-0.04790949026444524,-0.016282476671174773,0.0006186660188374216,-0.04161431239166413,-0.001480968536375027,-0.002971580627824988,-0.027632490282405997,-0.012941091250267323,-0.0021872230662641767
2022-01-06,0.005514071152122213,0.025919875899097944,0.0035088939967680144,0.002431957267252871,0.005987902827776281,-0.0029495062355134882,0.07020828532971679,0.01927769908715815,0.043060319954980386,-0.0014811991528949076,-0.01126531714437451,-0.025370875268458493,-0.0021047886386430514,0.0006184475522845734,-0.009284757449143477,0.05369328417528574,0.008196723753398638,-0.00694017259980062,-0.01966642938209673,-0.0016437041983993206
2022-01-07,-0.004308731444366276,0.0016301150986497426,-0.021062406815100188,-0.002756741797804496,-0.0591271410920613,-0.02979256664231833,-0.0756614720994474,0.00478268150359118,0.00552899117283534,-0.0003708490895810712,-0.011863127755322278,-0.009945440786020443,-0.0001918045777359323,0.008652750415226729,-0.028067763443617277,0.014921106026130504,0.019955597318503493,-0.01699609301752436,-0.00911874093966114,-0.01536780990846065
2022-01-10,-0.006097460355428019,0.0032545413412627955,-0.005017394152810883,-0.0028748656361232694,-0.0004216918708698225,-0.004046498382279329,-0.002365798148459497,-0.011899549870247217,-0.018695022582294052,-0.0011133902631327297,0.004577668656075451,-0.016160040893535732,-0.0028766870721785853,0.004289098763453625,0.0032463124735577775,0.018030336035431915,0.017029030993303884,-0.004669504435527383,0.0012271769049227998,-0.006131440046186376
2022-01-11,0.01108246619837927,0.0,0.015213812048855191,0.008871017185065444,0.026160458290993782,0.031834404447891984,0.0331989942297386,-0.004379228656393952,-0.0007471220553479929,0.0007433387831921046,0.00576055178991175,0.008789914341603478,0.011925280899577784,0.015456606665985362,0.0014329241299924078,0.0008177996756277839,-0.013715738664601518,-0.0015215615597173882,-0.0012256727875848972,0.014021300722480534
2022-01-12,-0.0005871666437424761,-0.01135441995875408,0.00016829402123219595,0.0016485960401981803,-0.0008223963151844371,0.005501553344825938,-0.008262580052171287,-0.0032989414757063074,0.10616823000328557,-0.00012395917869301165,-0.0008120979895447356,-0.006513025021063212,0.006082384115702277,0.008612126466317038,-8.028222870604118e-05,0.006261609482143271,-0.007765837995477254,0.00850829331863645,-0.011656231935535666,-0.006637316906539015
2022-01-13,-0.0026438413698307572,0.02543072190277562,-0.01481470630473869,-0.007900678897847624,-0.013580290883146384,-0.013571620953081842,-0.004628575958737335,0.007060917791515298,0.04596149386070958,0.0004950372515530876,-0.010950848631557597,0.009390500913716293,-0.013413764730576316,-0.007744233679804036,-0.03988754563403407,-0.00351721751359535,0.009282805473548539,-0.03521514794293934,0.0024828143998867347,0.020044767408212705
2022-01-14,-0.000687443306323865,0.015200066418338487,-0.008373318492513215,0.0007743140955296379,0.042553031371518335,0.02610266972052755,0.03975826472687394,0.002629108219533549,0.03780284782242416,-0.001978738989526496,-0.009039673668294168,-0.011234034309547725,0.00028716581631571536,-0.00300173066518139,-0.0013730893753853834,0.003258489413590082,-0.0016229510387338886,-0.014704681958360943,-0.012383810623639024,0.0038209528187751474
