Date,FNX,FEX,FAD,AAPL,INDY,OCFC,EXC,AMKR,KRNY,IBKR,VRSK,EVRG,HTLD,QCOM,NDSN,VCSH,TBBK,FITB,HTBK,WTW,CVBF,IGIB,CHRW,CME,ACWI,LKQ,JKHY,FWRD,CAC,GLRE
2021-01-04,-0.013607892179131942,-0.014980015465112961,-0.01426376597836776,-0.024719102981850316,0.004476883513744978,-0.006441099730485456,-0.024869834441279437,-0.011273139124886256,-0.011363580425035713,0.005088795043087124,-0.022688916321245145,-0.03170613174715786,-0.006629801549362435,-0.025206662460387608,-0.021846241518023612,-0.00012008461444856788,-0.007325965610992302,-0.012332017324708122,-0.007891781448119195,-0.03313075348748229,0.001025421181292785,-0.0008090673459917319,-0.015979815432372146,-0.015105873938056624,-0.005511434112230762,-0.014755840266860942,-0.0205570174823283,-0.005726031194336234,0.00503053164512135,0.02188780419487535
2021-01-05,0.013307187660145825,0.010645525239221687,0.016425502318228036,0.012363698380169375,0.012901719445973514,0.015667194745756285,-0.0014573382750715513,0.0375585649214476,0.01053629660821942,0.03152054158740203,-0.004485354127953034,-0.0020465150635819995,0.009454687491040392,0.02646452777357533,0.013888827520069702,-0.0004807152753953936,0.005166029065599709,0.013954881298940736,0.025000206604595565,-0.008345751561656845,0.01024595050110122,-0.0022676221470627755,-0.009418420530356242,-0.001003768710210684,0.010308154787401547,0.013536766267669975,0.002836380355915047,0.0058900601040616785,0.007230554795853772,0.009370839843033218
2021-01-06,0.03493985448045356,0.01792043270941579,0.01000392108227266,-0.03366148053777873,-0.001852683661693444,0.06595752598757554,0.03259570655089927,0.03619911502556317,0.0815166397192304,0.059373225545462205,-0.009456916649070335,0.020134246262826228,0.044077410220056734,-0.008134745618345929,0.028401020488538098,-0.0009612543816256425,0.09691627796735736,0.09597975604881137,0.07871355073746633,0.008415989317647421,0.09533448129725142,-0.003084561033233846,0.04087407759860473,0.07961145454330154,0.005595118785547415,0.054276814986565336,0.014957966904038056,0.0378661381840526,0.09000545391005432,0.07427061305701566
2021-01-07,0.01606519886263591,0.018814716349246252,0.02933323893104811,0.0341230410759088,-0.0020882490446166857,0.014470869421758792,-0.00989413827745722,0.04741109762548135,-0.016651968521019467,0.03392568261310669,0.004548893697083223,-0.027229623939579617,0.011609778807406324,0.02982991682539593,0.0016588919756761467,-0.00024033176009774504,0.017402960922651145,0.03899551320927541,0.0020554927947538104,0.0076093147842755116,0.0027782501120623415,-0.0009767102184775611,0.009660009552041826,0.028079517318469804,0.010473526203946149,0.028302193662538944,0.02136370467054305,-0.007773311354903889,-0.015451068930399159,-0.008642054963191703
2021-01-08,-0.0032080298171331956,0.0026382106489608592,0.004996341350225197,0.008631445140728555,0.019297903248138182,-0.024593943966955578,0.004282631990225827,-0.007147024042996386,-0.03208584169724282,0.010118425396672848,-0.0003486077678152011,-0.0043206246114081415,-0.013041185744491202,0.0060371570079940096,-0.009839719297629834,-0.0003612236338713659,0.007236882350782015,-0.008269805088327642,-0.01948690466302394,-0.00784396295008516,-0.01846730260449414,-0.001630185894018532,0.012479037375559887,0.004376033880911123,0.008853302832017684,0.006290835322551924,0.012186262111318236,-0.0008845138910421602,-0.005402478196022575,-0.008717272372600449
2021-01-11,0.0016092699289265155,0.0011840923523589453,0.0008286075355605771,-0.023249035378076544,-0.006386917738024134,0.025214057073808416,-0.008291883745741968,0.02519483461712735,0.023941163847065905,-0.014739238699654988,-0.01508201452163227,-0.010566237541765555,-0.016913693098129734,-0.003383055559985526,0.004722754199348866,-0.0006022569392257759,-0.01698237895204091,0.006414451503465424,0.01046041275494991,-0.021655939830325432,0.011759035632705528,-0.002122553010726058,-0.00852487673843172,-0.003705870231085595,-0.008775609701792031,-0.011201112186007833,-0.011799870371483112,0.0018971217305188137,-0.006983729719814424,0.015075362435176265
2021-01-12,0.014459418397674506,0.009329828554532904,0.01168232020604898,-0.0013954669473035253,0.014233312137052812,0.011313348634398368,0.005255441545394701,0.032767599795428426,0.025179808871683917,0.007988514935745705,-0.006216239198374773,0.008581436201561043,0.004838658839717347,-0.010633966687509488,0.015227740013526558,0.0006026198712250075,0.03588039568168666,0.014021546116542272,0.01863348093130468,0.0036137168527461405,0.01115767447236471,0.001145349958334041,0.014192381943511911,0.012817748133358453,0.003562785197746221,0.04899922357606368,-0.027821652466223257,0.015021252564981769,0.021620005569844114,-0.029702942250534492
2021-01-13,-0.007239919600660838,-0.003254829037075413,-0.00463709705930182,0.01622664917111538,-0.00339533477721099,-0.014591358773525243,0.017110404318916972,-0.014164423903565537,0.0,0.0030255533884344654,0.0012206758583228616,0.025902632105740953,-0.010700785671800439,0.019229715494395228,-0.01798969067766598,0.0009627583495730452,-0.02373315471056381,-0.003771076186213418,-0.016260236946871065,0.02160569265449852,-0.024827668182166862,0.0034318205045382744,-0.02236984349278892,-0.01756918023765175,0.0006455440187211892,-0.011552038221800953,-0.015586926854624594,-0.017286361911726278,-0.013258608441450881,0.006377514403644646
2021-01-14,0.011394585057842521,0.002612366034484781,0.00813002874553237,-0.015127098440237852,0.0043155064594151415,0.014807419138687772,-0.005140167643151838,0.0770118632128709,0.009649357181794382,-0.013072573913282648,-0.015237924833193861,-0.017508205951673572,0.00919412246161766,0.021788652606606673,-0.007759611220830909,-0.00048027721899257525,0.04664914754864036,0.026498390859542198,0.020660966545212434,0.0060214520594790155,0.011315491780491627,-0.0017915961583611084,0.01734413262597423,-0.019247546036878282,0.0015053272287057773,-0.007367911824728179,-0.024890602029909004,0.020248207234049298,0.014594985587531362,0.020278875406437136
2021-01-15,-0.009463526561354185,-0.007946723067502881,-0.011235951097562369,-0.013730483256006454,-0.015830175157992343,-0.021886980873224382,0.018318410777615535,-0.037353339937615915,-0.02519547247331,0.004658007184701329,-0.019909201863742676,0.018570392216732623,0.013933894307595507,-0.023375663737991048,-0.04345906110143283,0.0,0.03013179742880312,-0.02059003973435425,-0.015182298619411116,0.005595663487338864,-0.01585064157307592,0.0009793673733626829,-0.02218343434571568,-0.011949881635521797,-0.01052074333764541,-0.031226215364295484,0.0038319197523632997,-0.007318494916438212,-0.010274786792840107,-0.0012422644279369566
2021-01-19,0.0073929552982541225,0.007091598217989548,0.013837993447835206,0.005427044234127765,0.005974206098503521,0.004972387663268352,-0.012453734500744829,0.04157461998990164,-0.007130346380907149,0.009851776042240301,0.007104642583631859,-0.016942800391168578,0.01744163496362061,0.04252333622785831,-0.01940502810104139,0.00024057362639706703,0.007922063944183044,0.00627543239900108,0.005138826999031787,0.008952538803313814,0.01800047022384965,0.0008146465245828516,0.012918897381465122,0.001981119938524234,0.009330592320500264,-0.01849388433879018,0.008152813525213354,0.005748006988378185,-0.002595650333744981,0.003731310088747497
2021-01-20,0.007338973877188071,0.0075626340921230994,0.008948800294211745,0.03285590401252514,0.016674451186484474,0.0,0.005371246847601707,-0.01330538002652426,-0.006283511980569534,-0.023242381766941045,0.017453053201747393,0.009554124836106404,0.0015584599433262625,0.005068190520464366,0.023060656079425312,0.00011961877931754294,0.010278002390297525,-0.023074703311096068,-0.008179746850758729,0.008489351848856463,-0.00884093047911716,-0.0003256974467729101,0.024471229501085157,-0.01233112831647376,0.012469192642228455,0.012113039017368266,-0.006738964716075158,0.01379036603305206,-0.011709400964267314,0.01858743220285297
2021-01-21,-0.004595465896201301,-0.004141652097226167,-0.0035837204898662156,0.03665864656869533,-0.0004492591007769775,-0.027708833514348497,-0.0006969221385447755,-0.004315272669495607,-0.02890662638108532,0.015569982578242714,0.000821661439076804,-0.005752366510542339,0.012966573245153823,0.0009113329889121058,-0.009129879380497918,0.00012024349894312891,0.00658292138709804,-0.02074688856983864,-0.016495049204249157,-0.008084828320875759,-0.015023498353319509,-0.00032595229495180345,-0.00860338988238285,-0.01912228988673259,0.00021211473128035507,0.00026603243810141564,-0.010726442057923613,-0.017769609260600117,-0.0007896960077745652,0.002433029615531268
