Date,ADI,ADX,AIG,APA,ARW,ASB,AVT,AXP,BAC,BK,C,CAT,CBT,CMC,CMI,CNA,CW,DIS,DLX,DOV,EMR,FHN,FITB,FRT,FUL,GAM,GATX,GE,GL,HBAN,HD,HNI,HOV,HST,ITW,J,JEF,JPM,L,LEG,LEN,LNC,LOW,MLKN,MOG-A,NC,NYT,ONB,ORI,OXY,PCAR,PFE,PGR,PHM,PNC,PPG,R,RHI,RJF,ROK,SEIC,SF,SLM,SPGI,SRCE,STT,SWK,TEX,TFC,TKR,TXT,TY,UDR,USB,VFC,VNO,WABC,WFC,WHR,ZION
2016-01-04,-0.015907538941923427,-0.010911954519927325,-0.02485067923408013,-0.0008996497441090545,-0.019195291798992375,-0.025066588574270243,-0.012137922455611183,-0.0281814360156446,-0.023767001946120248,-0.03032529976848508,-0.011980330010859075,0.0004413438661448055,-0.014187912711451367,-0.006573973376389097,0.022270016124743996,-0.020483316827098585,-0.017956346271041812,-0.019984759502939875,-0.030436183674485306,0.005382378503840046,-0.011081150881598112,-0.024793357137527172,-0.027363182222317595,-0.008487678492357431,-0.0249520824107885,-0.029430395955931887,-0.007755712915551438,-0.014125404726902047,-0.012362759714752758,-0.032549688150179557,-0.008922188461988223,-0.03272301024713031,-0.027624309392265234,-0.011734132920448559,-0.017479571087087087,-0.0007151275310763872,-0.02127622969015297,-0.030034965339683972,-0.016146251473276085,-0.023797995926738702,-0.04498051372880252,-0.023080283661794154,-0.00999534988168338,-0.041812043863994064,-0.04108903752615445,0.006161274741703471,-0.030551304196284046,-0.030973554469763465,-0.01610324792644735,-0.0029581779546338227,-0.005063150528780369,-0.010222971790952218,-0.021383714699404033,-0.03703705722843287,-0.022558014782450675,-0.008702739303667162,0.0012318272036313527,-0.021213724243135057,-0.02811777387854497,-0.01062274004606012,-0.027099352821659872,-0.021718256069835795,0.0030675080648994157,-0.03834478528318974,-0.014901143342884948,-0.018384468270924326,-0.01742674945580014,0.004870138540718605,-0.03067966044221171,-0.009094089911722558,-0.012140124905440253,-0.013986224971058503,-0.015970635113325415,-0.027888642091338456,-0.022168762481620474,-0.015406382945229224,-0.032085581296408705,-0.026674057500361892,0.008306857221511699,-0.02161188174001738
2016-01-05,-0.007347620392019305,0.001576000714542669,0.003475050185470785,-0.020256769656202267,-0.013549138670923222,0.0032821704947771924,-0.008743514814538278,-0.015386521269269537,0.0,-0.003752747507304699,-0.005281035420286129,-0.010442450010593185,-0.01042178866497323,0.03455867084901931,-0.009781133509161433,0.004937411939997638,0.05247538123186013,-0.020198024099348788,0.020423714249583114,-0.018981230673433935,-0.006553592327042335,0.0021189648777026893,0.003068718527037495,0.011597421163401567,-0.0016872587404663797,0.006451861574168216,-0.04358115876321711,0.0009768841297217445,0.012251376961601501,0.001868817164752068,-0.004883408219794161,0.014621371359749835,0.022727272727272707,0.015171782260049227,-0.014605493696897898,-0.014074656693312648,0.0023502383279525585,0.001728789599803493,0.0029116991040998297,0.011214086568456905,0.0017122910936766544,0.0008145753388757448,0.002125209212867629,0.0036363815328228632,-0.0013768355764534057,0.03650461300337482,0.007686383845470823,0.0030440450491291404,0.018548799674188432,0.0166146727890919,0.00021188458346554917,0.007198532467097785,0.009318842368519098,0.009324443493336387,0.0013955237129934517,0.0035726595714782317,-0.0050969924229790076,0.003251227631173803,0.0021295626331419015,-0.008963651582780563,0.010984772126910958,-0.009652868299163564,-0.0229359124718167,0.0033756847464139206,0.006247819932293286,0.0015351284597315829,-0.02059714822345493,-0.032309984597483576,0.00027281222456276844,-0.018001751162903812,0.0024098769613412063,0.004559224684659302,0.012713076919417032,0.004822011270442239,0.005749959445055852,0.013208757526803172,0.0006632597233273696,-0.00037800350157690676,-0.021541295581116837,-0.010857361971759905
2016-01-06,-0.04256068041172356,-0.01258875015939398,-0.014676622719202892,-0.11486311040610986,-0.032239578133182234,-0.009269578157311664,-0.03432602344511526,-0.027769274186127513,-0.021302539491898087,-0.025113265246949457,-0.014549281922667578,-0.015755055475665247,-0.017051390464345673,0.012082487351866567,-0.004601803028644991,-0.014161956235730577,0.03290985042715455,-0.005351955841626843,-0.01871803155402796,-0.021167475853757445,-0.01149197421525705,-0.011275769451276396,-0.014788154560255506,0.006141816356030505,-0.019718240903555007,-0.014743753595901743,-0.021545847607954527,-0.015939811107979596,-0.01929469989603061,-0.015857719778064938,-0.010350420320271891,-0.031082376513863696,-0.061111111111111116,-0.020792996953596488,-0.024629410035184818,-0.01935590418345212,-0.015240445614359,-0.014435795176444888,-0.022169338055963217,-0.027483387810241178,-0.02970726211641872,-0.045177263931420186,-0.01988311011545474,-0.026449191082087542,-0.008788414308743997,-0.0047716012199680025,-0.008390537414494359,-0.008345819484175121,0.0005354568073610011,-0.04508950865506245,0.00021166418862184067,-0.01771280604505243,-0.011142990162682165,-0.02194038172240631,-0.018115494116165642,-0.018715892366127806,-0.04469146274929414,-0.02657168237752172,-0.03896526570571257,-0.02673684725792802,-0.025610995602100672,-0.0372804660104229,-0.04538337797939196,-0.01093340253737951,-0.006209027049334237,-0.033261486035640275,-0.013825435615401283,0.02893685113045308,-0.013911276935704708,-0.01294085655138777,-0.030048298420028874,-0.01059003119069557,-0.007211377302890787,-0.015115149000729855,-0.016824747156162334,-0.004713084704520809,-0.009497023564748908,-0.01909610696603614,-0.025534684877801972,-0.02914426143246185
2016-01-07,-0.02551209167877888,-0.02709106367634817,-0.023933409831272234,-0.0513887927577763,-0.03843880899931684,-0.03192048225096633,-0.02468537335916332,-0.0090037554827338,-0.036069598541696224,-0.025244558763991454,-0.05107728644266041,-0.034430726222339,-0.028316176006883298,-0.03651677709686929,-0.016802101631247957,-0.0052770698536694916,-0.036647823279297165,-0.008569155559617014,-0.026628321348532435,-0.01436050252457255,-0.03961261067861188,-0.04490397810325719,-0.03157323196319961,-0.016345468307116695,-0.030459949347010573,-0.031880405147427515,-0.044798306995254,-0.04231429200233083,-0.016812948862614974,-0.03033184736605521,-0.02850933968822178,-0.05132655341750847,-0.08875739644970415,-0.03450566516745357,-0.03187875472792945,-0.026894217081834038,-0.01488087214139433,-0.04043931101716647,-0.0240215564009032,-0.0027265669569149775,-0.04339181918053436,-0.028069347017477986,-0.02529077210566022,-0.032006310249539816,-0.02868565867118189,-0.019862891011062866,-0.005384664124847061,-0.030604189046212427,-0.01284805650676657,-0.018032085951859567,-0.03030921436650036,-0.006643481362582526,-0.01706369120495288,-0.04250273267081439,-0.02532782248876342,-0.012646421435071997,-0.03772183180317101,-0.0035509016786753334,-0.041282980224013,-0.04585399423808556,-0.030067597606743157,-0.05517609421270697,-0.04590172425272365,-0.031462745683310867,-0.021703570895661217,-0.0451878605790772,-0.028433095405491327,-0.0659812425134726,-0.0284926815881148,-0.027676555430158678,-0.02057004288734443,-0.01885825922929829,-0.011439062724877491,-0.019001277022276164,-0.012294404411822835,-0.009873892084945712,-0.009809814820185725,-0.028527406895225815,-0.025141735708511415,-0.03001964039033056
2016-01-08,-0.008727344294583328,-0.012285277456129395,-0.014917373321721494,0.0027363511594946655,-0.014965140641745034,-0.01534967904641682,-0.02961255980334132,-0.0032890050467965226,-0.01935502160910796,-0.01823437309916287,-0.03006746769010349,-0.010165848575688807,-0.008926544973747563,-0.017492831038256496,-0.013419139195097851,-0.01650460505463791,-0.011780824783954369,-0.002512689895051823,0.004074169649094017,-0.008570430109442473,-0.011432386155844743,-0.021641634892239137,-0.017103324405998266,0.0016543888174263,-0.020153974105434735,-0.013104772469146653,-0.005564337633965688,-0.01794925306004269,-0.010005450369276137,-0.017595071253533434,-0.011961518338523325,-0.027359738576048565,0.03896103896103886,-0.0027488699347686385,-0.008379239638761526,-0.017494637468558394,-0.03564962956038109,-0.022399408983058144,-0.007190474404957237,0.004474118478985822,-0.030393842150297612,-0.024691444652099492,-0.016511389088366135,-0.01268745584745501,-0.00894923408484849,-0.014442681247598066,-0.013147675624795796,-0.015785343956616682,-0.008133991317350486,-0.01696219295806578,-0.011365896267241382,-0.012738914127974454,-0.014739728523693318,-0.019728646017176166,-0.01478484049964468,-0.007979186697366303,-0.028440068744728153,-0.02472144878151572,-0.022875925529528773,0.00042806209605616985,-0.02484089758456265,-0.023305583171793876,0.0017185551739049565,-0.028643845423699243,-0.005714068877162304,-0.026071487418696693,-0.020018372650127847,-0.021424597344921636,-0.021639777590401033,-0.03595502973282494,-0.011386346626755972,-0.009350706322652447,-0.01316110809620108,-0.014154523357578608,-0.020689936629468608,-0.021573355264913663,-0.021391843714058778,-0.016666701971705722,-0.015183400822177395,-0.011254057704216502
2016-01-11,0.023809561573896243,0.0,0.004177699696954473,-0.04338341504131471,0.004370428466327292,-0.0028863522021641552,0.017475018595749958,0.0066003401638627945,0.007236820192018323,0.0072674469174420775,0.01560754956174848,-0.02875643398935912,-0.006622405344400062,-0.0022254912660999437,-0.006975148388496,0.006892281516319709,-0.001149057205811821,0.006750605069212767,0.025893825705892493,-0.015041557302999942,-0.00680257156367281,0.0030510905782159536,-0.011962978160248161,0.006677376333422025,-0.0051422925364685845,-0.0020426721207305043,0.011723875113506477,0.004569139064490191,0.00036746307343649143,0.004974682971793376,0.015173557549246652,0.0012645110978115603,-0.03125,0.01654006630182936,-0.009878756462677107,-0.009032330914730435,-0.0037594546143794316,-0.0015273106669208003,-0.0013929398238409219,-0.0180649291389251,0.006887082755395069,-0.023507744487864524,0.025394737297521175,0.024143562189481882,-0.003792687970268327,-0.0014173939429549254,-0.0055026579973187495,0.004009284681590453,-0.0005472391330890725,-0.030868989699815885,0.0,0.0022580018256832535,0.01861699036085751,0.01635203268872254,0.003638320742296086,-0.00042340686710395925,-0.001977835469223921,0.0002281802492392071,0.008656864133240294,-0.0002138400543995056,-0.009473872847101994,-0.0054855351356722926,0.0,-0.00045178123491118605,0.007099436386928559,-0.0035805794769081523,-0.0015555622537194447,-0.02662719808698133,0.009312822993223557,-0.016316906342387694,-0.004607233219464879,-0.004194808956275775,0.011391888590332577,0.004030150348798722,-0.030401471562438775,-0.004888078448111566,0.0016107642232328079,0.010693990750455518,-0.008483479791894788,-0.019918305232012656
2016-01-12,0.009380693943707996,0.009950237831439557,0.004679857004036947,0.010268035530320851,0.0012432941437596767,0.012738754448781586,0.0017940093575508076,0.005464435739140239,0.0,0.008017093532248554,0.0006405581336639266,0.0021147554415399394,0.0074668955122194625,0.0037173670545815884,0.014165470163508775,0.002083638916411612,0.01409254664731785,0.015412548433437978,0.0005649856191352054,-0.008776431407670593,0.009589055865227625,0.015209150677366168,0.005503651831682443,0.0011625699385511279,0.02097910850062834,-0.00034130020446010434,-0.0010534447154165738,0.002099567038079009,0.0034901131784355055,0.00792107053649338,0.013595220705770572,0.017045526935350663,0.058064516129032295,-0.028474735166349463,0.007212499378685511,0.01718740203611402,-0.014465335168320714,0.0022097077988298963,0.001394882811659004,-0.0012600844074871498,0.01603741216440957,0.00694424657897752,0.008117685518642892,0.0,0.011421082180328224,0.01775153175295041,0.0,-0.0031946829861027037,0.015317487497791715,-0.004083828239431986,-0.0008847101908326938,-0.002252914740087042,0.0029374980716065924,0.004331888435370246,0.008155651786219575,0.007093826150468052,0.012287190988134133,0.005022974367022037,-0.011117826876232306,0.00930994835418808,0.008926822630303644,0.02426914997844909,-0.037735849056603765,0.0028257642721101206,-0.0026856614616357355,0.015571599750424436,0.016824130293175754,-0.001823732827543112,0.00634380113342492,0.007108876050165414,0.004885987650942614,0.0031592449374779896,-0.010439305317191616,0.01906640852070529,0.022497497422400814,-0.01463247675823598,0.002297219057579847,0.025354573163831162,-0.0007438902074584641,-0.004148133848606461
2016-01-13,-0.030009699158169423,-0.02380956315302951,-0.02225681959774528,0.0050819774873698265,-0.021109281130085145,-0.02801626642376387,-0.018167275741824973,-0.024068340414532208,-0.026779738110550677,-0.03340400310320535,-0.036049776057673344,-0.011526080338117195,-0.023028165396088318,-0.022221857215709462,-0.019969841813085032,-0.012771177155919577,-0.02112894213064276,-0.02937122861908581,-0.03350889500515386,-0.02036514681173296,-0.021709714947086733,-0.02396991586724262,-0.05145051576192061,0.002732119563180424,-0.025908266163358062,-0.020136414951255066,-0.04429203444090757,-0.013966737356042591,-0.020318505813819887,-0.04223962540146464,-0.047768499340976045,-0.038795905915943396,-0.07926829268292679,-0.060711798958725804,-0.01563420772992019,-0.020737309804518378,-0.01723027982995562,-0.027476083876285973,-0.020055748787319083,-0.03860670947832234,-0.03667623764952854,-0.03954038016662598,-0.045994138392166706,-0.03193920960472374,-0.03871652798138803,-0.017209439212100608,-0.029249391601891328,-0.040064223481267924,-0.02532329430936564,-0.009348650281575055,-0.01969419464462785,-0.020322625330518207,-0.02017574209546169,0.004312805065813441,-0.029100977172854536,-0.02176213973142227,-0.02173047461489641,-0.03634724921954924,-0.04299799236248125,-0.014312839192398119,-0.03855100870242201,-0.053042501418960386,0.005347487288975383,-0.04903073739051689,-0.036687900352242564,-0.042796796440865204,-0.01715852289787434,-0.02436060405589724,-0.033810907764614595,-0.027842683114506217,-0.02891562280195248,-0.017847684887824955,-0.0008329654601297865,-0.03963531252687069,-0.018883992018749685,-0.014318895923377983,-0.03483854137238329,-0.031736819755247,-0.03238781374757049,-0.04664718424833947
2016-01-14,0.007984028034708324,0.00925148441320478,0.011116938364658768,0.04016853434933254,0.018816055052937486,0.009411702187587467,0.01407321075427026,0.007000996695242234,0.006039885135758372,0.016730770620468682,0.0042047945676984,0.0226642284808114,0.027906000240982776,0.008409515822893177,0.020965682895980775,0.007521329580354896,-0.005505078826016474,0.0063972589107590405,0.02220483294886555,0.007050182599150467,0.013176313178657306,0.006139542848521806,0.018465039879803635,0.0016347899352762152,0.06634041618742503,0.00940436178733739,0.01351705179456375,0.029037209165041045,0.007287075095363749,0.010256171561515925,-0.01466236650433217,0.0332580951756265,-0.0066225165562914245,0.023774150367137148,0.004243419128666881,0.0033987132775668005,0.0467531297102155,0.014998230090971898,0.017055443635487277,0.01811012136021839,-0.010842723056030401,-0.006462280811099341,0.0001430363355998665,0.005106228911108346,0.0026103910504398087,0.05158539376296001,0.04234570721057351,0.0025043161781694856,0.010502859585809654,0.05960268328756446,0.03182822915039263,0.024366170965016254,0.003653194203026233,-0.014110227610463655,0.011292563936595501,0.005588383319120149,0.008004852878869206,0.014144415150666001,0.017930680084649042,-0.0040876087793484395,0.013365719379541563,0.019619094733689613,-0.0301417326192428,0.006282228421749636,0.004192837930323101,0.01108973642755351,0.016523097904646677,-0.004369530510869968,0.00889688779584663,0.0,0.00026370404452258356,0.008551430655209913,-0.015282301317031677,0.023583711946881802,-0.01907097254549206,-0.004196756413228253,0.00546214797778144,0.018298554327005556,0.0313174160600429,0.004368893039530697
2016-01-15,-0.013465404644528056,-0.02583350458567879,-0.021116799639078754,-0.04590879784401636,-0.021166227159806206,-0.019230864998829755,-0.014906013721354583,-0.006004282553817464,-0.03535652411777168,-0.03479923761757164,-0.06412517967918996,-0.026504224966631518,-0.012651725908926492,-0.01667912381583636,-0.026880359875118498,-0.014034442162318084,-0.010196142955581466,-0.052567988698720036,-0.015815391082884434,-0.050439968044861394,-0.016883680560477954,-0.02288317933661943,-0.03002821807487277,-0.0021080011437011326,-0.021788830209348742,-0.02933049848789071,-0.009253827426255024,-0.01961477840262238,-0.017807786348815857,-0.027411133161430734,-0.0032603220106728337,-0.029374850062481084,-0.026666666666666616,-0.04499253068633058,-0.019075459623545066,-0.019280946123179654,-0.023573352269119385,-0.019931369770132656,-0.00922302634513228,-0.0020627241010888753,-0.003410590930667534,-0.02625881801798524,-0.009191418676470109,-0.022665174502611407,-0.021387186013397397,0.001349752472679544,-0.016406754564407433,-0.005828843945950735,-0.010940905839452175,-0.018906471600569907,-0.008750848977152281,-0.009643020747693631,-0.010258117367028308,-0.008089893617878818,-0.006216549052860065,-0.01784762568293108,-0.022235616071212494,-0.01301714362514761,-0.023284043547627142,-0.009828065802247044,-0.03286495427574254,-0.02147238326588885,-0.009140985770284993,-0.019787962910146506,-0.022964705530262974,-0.04300146425400164,-0.02167252691233401,-0.027586043607387256,-0.02586748840987696,-0.010891907133063095,-0.01606957423126476,-0.02755679066046468,0.00959383712433537,-0.022038566538399862,-0.010261221834194423,-0.018370411131320763,-0.01771375214274762,-0.03593946834010586,-0.04021506765443772,-0.02827345226587008
