Date,SMID,SAVA,CRNT,ELTK,NAII,SLNH,QMCO,IBIO,SBET,WVVI,INOD,SSKN,NOTV,DXR,TAYD,CPSH,CREX,AEHL,ANIX,SGLY,GREE,HGBL,OCC,BVFL,FTEK,WFCF,ORKA,STRR,ICCC,AACG,CRVO,FIEE,OMEX,RCAT,BHRB,MGYR,FKWL,INTZ,LDWY,ARTW,PRPH,LIXT,ISBA,LINK,IPM,BYRN,SFBC,SCWO,TOMZ,HFBL
2023-01-03,-0.003414619259717977,-0.06025729964381521,0.036649242761983114,0.03406314468059746,-0.022646069878749286,0.15384615384615374,0.08256886272496433,0.49999994581396057,0.09677415054538385,0.0,0.030303001111897654,0.012658215623466695,0.02226723324701685,-0.01746723254120064,-0.06412965992402997,-0.0037174684946251757,0.01724136277318622,0.2542372881355932,-0.014117633595186141,-0.04761900436850974,-0.0344828068146934,0.025531993035336376,-0.05429869769517204,0.0,0.0,-0.02290627361359343,0.02109707219507162,0.039328384003657346,0.0622951017019413,-0.007874008357040663,0.055335977318886176,-0.052631578947368474,-0.0644329877902654,-0.019148943320611567,0.004243220158519856,0.0,-0.03363232178351816,0.00949364662781682,0.07938545031225508,-0.01036268469951196,-0.006230573094877179,0.0,-0.04255320931814921,-0.02818646399686975,0.060606000399351156,0.007653053777012531,0.0,0.013986084524057807,0.12244898207432908,0.0
2023-01-04,0.0058736627553728216,0.0734869953659536,0.020202000741265103,-0.0070588128362348845,0.09146341676161729,0.19999999999999996,0.04237288067101819,-0.04545450276251273,0.14705882627933775,0.018425483648278895,-0.0163398540036791,-0.012499988079071045,0.01980196056547401,0.005555576748318192,0.015060226904115348,0.014925358528601551,0.01694913656104502,0.054054054054053946,0.014319795217220932,0.1499999761581421,0.32142861096226505,0.07468872279171723,0.014354053886023399,0.0,0.03937013565078695,-0.018315018826859042,0.02066105962982312,-0.0008503595822452192,-0.02777775120506243,0.007936500427734305,0.0037452849081103246,0.0,0.0,-0.0021691694907222114,0.014084664097163913,0.0039002777513450493,-0.00696047509802733,0.03448277099134356,-0.02253861532376955,0.015706853991273695,-0.0146289858007157,0.1176470423239735,0.0,-0.02585122092948533,0.0642857392223517,0.008860720756860063,0.0033105555443402324,-0.017241444513996895,-0.03636370926848953,0.0029224524929987172
2023-01-05,-0.009732304769634048,-0.017449616232484533,-0.009900980750178201,0.014218105143775306,0.008938539152060887,0.02777777777777768,-0.03252037121966023,-0.04761907645273733,-0.07692304557283591,-0.011513107845822268,-0.01328902391354203,0.0,0.011650474110381559,0.026519311166851578,0.04896148542279044,-0.0036764670434089597,0.0,-0.02564102564102566,-0.03294114505543433,0.04347832396711104,0.08108106714865881,0.06177609696253805,-0.04481122420749439,0.0,0.1212120911087664,-0.0037312864540238744,0.008097140560202831,-0.008510670763380968,0.006349200101906982,0.03937013565078695,-0.005597024441225673,0.11111111111111116,-0.03581270257368574,-0.010869554654186486,0.02361118156054376,0.0,0.12149531241228306,-0.06363637519605236,-0.02063107779320683,0.03092780464424627,-0.0572640450029086,-0.08771930118089977,-0.011111091662324712,-0.033268492730986976,0.0,-0.0037640820277198284,0.0,-0.09122806988191001,0.01886802001456611,0.0
2023-01-06,0.0,-0.024248667184803674,0.02499997615814209,0.002336329101767065,0.044296853159814686,0.0,0.02521010086989528,-0.0999999841054281,0.05555550159250355,-0.014975066416034966,0.030303001111897654,0.037974646870400086,-0.019193839520226796,0.007534951034623649,0.0021216217993487163,0.06273065457600024,0.0,0.026315789473684292,-0.0048661752498319055,0.08333325054910778,-0.02499997615814209,-0.03272724151611328,0.02222214111412235,0.0,0.13513508506549265,0.018726591225196376,0.024096488501345492,0.009442112785703172,0.009463713144399533,0.06818175044926988,0.007504743023833527,0.0,0.008571420397077256,-0.009890113273056667,0.07191320801400258,-0.0015540028332856615,0.03124983105737167,0.012944971633281233,0.0,-0.004999995231628418,0.04049489794987915,0.03846159489197354,0.004943673802688453,0.03950181307704037,0.046979820667626404,0.0352645097972919,0.01522819049618973,0.1389961951523333,0.0,0.028554539815189628
2023-01-09,-0.02211305918938533,0.008750437615345552,0.03902447023681255,0.013985992996613739,-0.029692542691841295,0.054054054054053946,-0.01639342724524051,0.037037001061669184,0.0,0.011824272621976162,-0.01307188320294328,-0.012195052453833122,-0.05088066968464455,0.006410301476228897,0.00564572500178695,0.010416656318638529,-0.04999995364083065,0.012820512820512775,0.024449853521226528,0.019230843295715117,0.38461537521031275,-0.02255645836920439,-0.024154567115350467,0.0,-0.023809501846360326,-0.03750001577769968,-0.02352950993573666,0.06760204598818587,0.023437514551915006,-0.0070921919858044635,0.04283045316991618,0.0,0.002832858511134795,0.01775801599759519,0.0,0.0038910145298989285,0.010101118948735666,-0.02236418123493089,0.02230487137331938,0.040200966493803225,-0.019459492451435856,0.037037001061669184,-0.0022360344719779546,0.025763235871325785,0.05128208067290285,0.04987832531546954,0.012249940517420566,-0.03728818024961533,0.01851850012202405,0.007932162747071203
2023-01-10,-0.030150773516147478,0.08396946918526704,0.004694830951162521,-0.004597694344633307,0.041530068883429694,0.02564102564102555,0.16666666666666674,0.10714284193759038,0.026315807085398824,0.013355660033402383,0.006622510282393357,-0.012345725525951368,0.1525773737126257,-0.035031838750885114,0.018947400544819137,0.03092780464424627,0.035087685053246886,0.012658227848101333,0.031026279872453433,0.07547162342173652,0.09259259095734862,-0.015384601277006582,0.0049504903750889895,0.0,0.018292665641127526,0.040488901970441304,-0.012048125561621714,0.05973715505931243,0.08549617198052517,-0.007142850452539706,0.032142913098240466,0.050000000000000044,0.00847456828052251,0.10141766105782835,-0.025316515714496446,-0.0031008560812619823,0.010000010572054796,0.022875779309294186,-0.01575758962920215,0.014492740269210325,0.017640557088818065,-0.05357137839404824,0.015239815702912107,0.004646692455127166,0.024390220854836775,0.042873682578514316,0.0,0.03873244254888619,0.018181800448205276,0.0
2023-01-11,0.010362734240704219,0.13924457148976566,0.0,0.016166372093166848,0.026232949318462984,-0.025000000000000022,0.057142870766776044,0.1935484391965694,0.0,-0.008237263479545898,0.09539472549080497,0.02499997615814209,0.31305902544382525,0.03300332075896106,-0.018595072262501566,-0.026666641235351562,0.03389834047197171,0.10000000000000009,0.03240737521354187,-0.08771930118089977,0.11864403355090847,0.03125006402842834,0.0,0.0,0.023952144964210387,-0.012481650346722217,-0.03658533948223819,-0.03682831368307937,0.06329111122571884,-0.007194237817389371,-0.005190320172774543,-0.04761904761904767,-0.01960782480441492,0.029702942250534603,-0.012337731042239453,0.005443279193207751,0.0,-0.06709260464245015,0.016009866536096373,0.04761911790117157,0.007584035966438973,0.07547162342173652,0.02649021336413715,0.03249985264616306,0.07142857649699375,0.025555504692925446,-0.02025195077386921,0.0033898272208872093,0.0,0.0
2023-01-12,-0.0056410569411057265,-0.042989569337937295,0.014018677532314339,0.013636342148466651,0.014314963920783352,0.46153846153846145,-0.00675678244466027,0.0,-0.025641042361154165,0.006644511956771071,0.006006000415836432,0.036585389964996606,0.04087189477672326,0.060702840679824455,-0.0014035408956962758,0.023972579251313464,0.0491802798135097,0.0,0.03139010432469913,0.0,0.6060606870660015,0.030303000199675578,0.029556622475449545,0.0,-0.011695895017748925,0.014869874505675895,-0.008438853817750891,0.015216594216439505,0.037037065069791986,-0.02173910977784832,0.029565230659816644,-0.050000000000000044,-0.07428571156093056,0.048076993614966756,-0.0006574246617420121,-0.0023201486780553005,-0.003960381153499615,0.010273946206238005,-0.039999990752249026,0.013636350336153846,0.009677435563663073,-0.052631530515153124,-0.01161299429711471,0.0,0.15555554378179814,0.03900331833216297,0.0,-0.07094595791912128,0.14285711244661004,0.0
2023-01-13,0.022692137591944217,-0.0017616374301754334,-0.018433161496169914,-0.02242148980761627,-0.01713710433331528,-0.19298245614035092,0.07482995889404132,0.14864863384545002,0.0,-0.006600653833452097,-0.023880574920442932,0.07058828017290897,0.06282722872536994,-0.0622489842554691,0.004919230551678089,0.0066889568102752595,0.046875018432426474,0.011363636363636465,0.08695654427396815,-0.03846150319251662,0.0,0.011029401130226768,-0.03827747702939566,0.0,0.005917153919925866,0.02051287138978375,0.0,-0.023443528040736572,-0.05357143726015212,0.01481480042466754,0.04054050135560283,0.05263157894736836,0.018518500803375026,0.059632968826334176,0.0,-0.0031008560812619823,0.0059641444364681995,-0.013559309102721184,-0.0075757502779744135,0.00896860123562826,-0.003194961187284906,0.05555550159250355,0.0008703395038160977,-0.006053219702922941,0.05769236941309597,0.03649629011746791,0.0,0.10181817141446192,0.07812502037268176,0.0
2023-01-17,0.030761503413942348,0.0170588773839615,-0.009389773835924098,-0.0022936879225909923,-0.03384614602113378,0.08695652173913038,0.0,-0.14117644814883956,0.07894742125619669,0.009966767935156495,0.036697285834130344,-0.04395610499304026,0.06403946614438505,-0.029978557644199877,0.0,-0.01993353587031299,0.0,0.022471910112359605,-0.035999965667724565,0.10000000000000009,-0.07547171339100844,-0.0036363601684570312,0.02487559828533148,0.0,-0.08235300057486927,0.012203881735076472,-0.004255337076408461,-0.012987010062483817,0.012129400493597231,0.007299263086460783,0.03084414009434777,-0.050000000000000044,-0.027272701657507614,0.0216450015388836,0.006052554643140695,-0.001555211417657465,-0.011857663590969736,-0.006872878361431578,0.0292620884435848,0.06666670905219174,0.016025702746429227,-0.017543843505051004,0.0,0.061144888284856425,0.07727265190487231,0.001006059286116301,0.0,-0.023102288417082395,0.08695652549493671,-0.026981678518544272
