Date,LIXT,BHRB,MGYR,BVFL,INTZ,TOMZ,SCWO,IPM,HFBL,BYRN
2021-01-04,0.012618224023807523,0.0,0.059128572440926286,0.0,-0.028944329926547385,-0.02844641346997101,-0.04761900369272076,0.08904109029793172,0.03878112967152392,0.006896578032394851
2021-01-05,-0.0031152174104217556,0.0046863809949611035,0.002938465869413154,0.0,0.0385738784879619,0.0,-0.025000050291418274,0.0,0.0,-0.0068493410175966
2021-01-06,0.0031249523162841797,0.006414332727709082,-0.018554872993734484,0.0,0.03995501533735868,-0.02477480452630154,0.025641078544558438,0.06918239748170008,-0.03299983840390586,-0.013793090294147325
2021-01-07,0.03115264945592422,0.010428442053282527,0.008955553604454547,0.0,-0.012987062314069653,0.05311778825082025,0.0,0.02941173583166079,0.0,0.006992966885427165
2021-01-08,-0.0030211020764631114,0.0,0.010847898305475834,0.014705949289741227,0.017543927160695638,-0.06578941176802755,0.09999997764825852,0.4000000272478377,0.0,-0.02777775202268362
2021-01-11,0.012121258359966802,0.0034404813787460853,-0.006829210495379212,0.0,-0.07165949684473572,-0.01173713334470583,-0.09090907243657698,-0.1836734852757067,0.0,0.0
2021-01-12,-0.011976093042061042,0.020000155376890705,0.0,0.0,0.1683110823352023,0.016627119008812974,0.0,0.0,-0.00034504984791461357,0.0
2021-01-13,-0.015151515151515138,0.0,0.0,0.0,0.1862891178911612,0.01168217557165585,-0.16249999161809692,0.10000002384185791,0.0,0.0
2021-01-14,0.003076876126802963,0.005602048306807994,-0.05009845290074122,0.0,0.04564486497984621,-0.006928344919118312,0.16417903277677137,-0.21818182212262105,0.017241546203241365,0.007142884390694659
2021-01-15,-0.03680978256926659,0.0,0.018614630605795268,0.0,-0.07729276446790789,0.009302316297383983,0.01282057748038623,0.04651158277636491,0.0,-0.00709222544427357
2021-01-19,0.1464968292150901,-0.01671292998272289,0.02335014375864386,0.0,0.08550352746919865,0.06451606523659481,0.0,0.16111109418633496,0.0,-0.00714288439069477
2021-01-20,-0.04166666666666663,0.005665631851865971,-0.0069445106820476,0.0,-0.030387868524761275,-0.03463200246221376,0.0,-0.1961722408894725,-0.01694931382580067,0.028777020372816597
2021-01-21,0.011594247126924806,0.0,0.0029969234568423264,0.0,0.012371134020618513,0.09641251674008466,-0.05063293717874329,0.3095238787922481,0.0,-0.020979034037302835
2021-01-22,-0.04871062145022764,0.0,0.0,0.0,0.009368647868667201,-0.002044939124275391,-0.05333336194356286,0.022727250560256484,0.02793110510759389,-0.00714288439069477
2021-01-25,0.0030120021633468497,0.0,0.020916411216875153,0.0,0.016949140018230446,0.02868849655788064,-0.014084494035883521,-0.15555556615193689,-0.019120820711626574,0.0
2021-01-26,-0.01801797260864013,0.0253521756541899,0.06731726161402385,0.0,-0.048015897236173166,-0.01593623984263237,0.08571429057997104,0.005263152941442195,0.0,0.0071942722456204145
2021-01-27,-0.01223246227970265,-0.019230714874953536,0.035648678257961475,0.0,-0.13588991944198758,-0.030364391423070236,-0.10526313725600922,-0.02094238877070942,0.05711337475801059,-0.021428585052490234
2021-01-28,-0.02476777882219383,0.005602048306807994,-0.055604516954210204,0.0,0.046792073349947394,-0.018789176055248658,-0.04411769217479555,-0.005347588469389097,0.0,-0.01459852642697701
2021-01-29,-0.031746031746031744,0.0,0.028037586490201827,0.0,-0.04608294930875578,-0.05319149152031322,0.0,-0.04838711434753651,0.005366678460798635,0.007407435664424256
2021-02-01,0.04590162683705823,-0.005570840190948778,-0.05454555177798459,0.0,0.033816425120772875,0.06741577608840488,0.046153895530476774,0.10734466625304862,-0.05888065093895878,-0.014705938038939936
2021-02-02,-0.012539173144626603,0.0,0.004808051090765764,-0.054492798321082336,0.03691585932936614,-0.027368445145456444,0.04411760452090707,0.09693880281762102,0.0,0.03731343389805564
2021-02-03,0.02539680117652532,0.008403278311917228,0.04880354219062588,0.0,0.05002256155398421,0.015151552682972858,0.05633806009374043,-0.05581400867666164,0.0,0.050359768500013
2021-02-04,0.04334370151540323,0.0022222276658565576,-0.03193432078695568,0.0,0.04935622317596566,0.0,-0.11999996503194177,0.3546798220481284,0.0,0.00684927569743965
2021-02-05,0.002967313704961727,0.0060973721956325555,0.0,0.0,0.031083869544031195,-0.008528776410449246,0.045454500299513256,-0.23272731087424536,0.0,0.04081635301053255
2021-02-08,0.09467458092220205,-0.00275482818688777,-0.0009426608025995264,0.0,0.029353406256744874,0.04731178186659091,0.014492739851898806,0.02369677403827186,0.031282244381493296,0.058823566077443434
2021-02-09,-0.04864862802866343,0.002652204611460096,-0.008490341081600294,0.0,0.06743737957610785,0.2135523585815513,0.04285718786473258,0.06481475042708373,-0.008333322253359365,0.006172745025411208
2021-02-10,0.002840865680502347,0.0028652755591680457,0.0,0.0,-0.09494585939262745,-0.05922164359882809,-0.04109593179530491,0.01739128812274293,0.0,0.0
2021-02-11,0.03399435662535666,0.0,0.0,0.0,-0.059832469814895095,-0.03597118908694685,0.0,-0.05982900496613697,0.0,0.012269986030718272
2021-02-12,0.005479472957245379,0.011111081948784518,0.0,0.05702023007709167,-0.01781924905652188,-0.05783580877940808,0.0,0.0,0.04201689936225539,0.006060629179983401
2021-02-16,0.021798343880919058,-0.0109889824640923,0.008563044247962281,0.0,0.0012959095108329155,0.07128705803570679,0.0,-0.004545450112051319,0.0,-0.018072357681633844
2021-02-17,-0.032000020345052116,0.0027776443040525844,0.0,0.0,-0.018550487468275367,-0.016635800053448113,-0.04285710271523857,0.0,0.0,0.006134993015359136
2021-02-18,-0.01377410497269449,0.0027702523678867497,0.0,0.0,-0.03824174482743814,-0.03195490052791783,0.029850717057203102,0.0,0.0,0.0
2021-02-19,0.011173227217972093,0.0033149384250263925,0.0,0.0,-0.00594151295075751,-0.025242740200695613,-0.20289853069367103,-0.0867580147288245,-0.04838717056381481,-0.08536583238382645
2021-02-22,0.022099425972376352,-0.0005507143477496701,0.01415122487287257,0.044083520001598764,-0.02160918137122847,-0.023904359763948557,-0.12727276569555535,-0.06999999284744263,0.008135555177292364,-0.04000002543131509
2021-02-23,-0.06216214154217692,0.0055095773381115265,0.01581382431320022,0.0,-0.023496240264545,-0.04693877848919503,-0.1041666317420693,-0.016129016752173708,0.0,0.0
2021-02-24,0.08933712985482045,0.00273989323984436,-0.01831534124873846,0.0,-0.03464868547883926,0.025695906552171355,0.09302323486045516,0.0,0.0,0.03472222314204698
2021-02-25,-0.002645462331730686,0.038251112736625625,0.0261197777113511,0.0,-0.06430712244652992,-0.07515660467252638,0.0,-0.01639349174618998,0.0,-0.026845612669198826
