Date,PRPH,ARTW,CREX,LINK,RCAT,AACG,ISBA,CZFS,LDWY,DXR,LIXT,BHRB,MGYR,BVFL,INTZ,TOMZ,SCWO,IPM,HFBL,BYRN
2021-01-04,0.15250531789874766,0.06944437545758975,0.20155044777105102,0.008888959884643555,-0.09833335876464844,-0.008403453102266312,-0.0061319119802963895,-0.02678572016046632,0.24319724498416795,-0.007200012207031259,0.012618224023807523,0.0,0.059128572440926286,0.0,-0.028944329926547385,-0.02844641346997101,-0.04761900369272076,0.08904109029793172,0.03878112967152392,0.006896578032394851
2021-01-05,0.02457465559236316,-0.0032467502308325402,0.0,-0.09691647601715381,-0.2569315907005999,0.04237294385434165,0.028277655869316298,0.0,0.09439125343660315,0.0,-0.0031152174104217556,0.0046863809949611035,0.002938465869413154,0.0,0.0385738784879619,0.0,-0.025000050291418274,0.0,0.0,-0.0068493410175966
2021-01-06,0.08948339279887674,0.026058685297797535,-0.07096772407269791,0.0182927986080772,0.39303480875686536,-0.008130073421291018,0.057499921504185814,0.06422022612899703,-0.05624997615814209,-0.024979812228364207,0.0031249523162841797,0.006414332727709082,-0.018554872993734484,0.0,0.03995501533735868,-0.02477480452630154,0.025641078544558438,0.06918239748170008,-0.03299983840390586,-0.013793090294147325
2021-01-07,0.15241320501439692,-0.006349200101906871,0.04166662527455389,0.05389222903328439,-0.017857126131349377,0.04098356651125812,-0.002363954744432295,-0.030172313503197046,0.07284770554175712,0.009917345601315297,0.03115264945592422,0.010428442053282527,0.008955553604454547,0.0,-0.012987062314069653,0.05311778825082025,0.0,0.02941173583166079,0.0,0.006992966885427165
2021-01-08,0.013960352691001265,-0.006389846202502492,-0.02000003390842009,0.04147713151644972,0.03272724151611328,-0.023622025071121988,-0.026066709256581833,0.0008888179981592081,0.007407341125519329,0.0008182712756970023,-0.0030211020764631114,0.0,0.010847898305475834,0.014705949289741227,0.017543927160695638,-0.06578941176802755,0.09999997764825852,0.4000000272478377,0.0,-0.02777775202268362
2021-01-11,0.008695641215223704,-0.09646301042947159,-0.03401352011798742,-0.007092153748865404,-0.05281685263456315,0.016129016752173708,0.0,0.0,-0.007352875865728303,-0.001635282488792189,0.012121258359966802,0.0034404813787460853,-0.006829210495379212,0.0,-0.07165949684473572,-0.01173713334470583,-0.09090907243657698,-0.1836734852757067,0.0,0.0
2021-01-12,0.027298829482364173,0.049822102403921154,0.01408449285348734,-0.05274720714224579,-0.07434945852394259,-0.007936500427734305,-0.04233529767565658,0.003729965974306859,0.014814799988603022,0.03194105995940211,-0.011976093042061042,0.020000155376890705,0.0,0.0,0.1683110823352023,0.016627119008812974,0.0,0.0,-0.00034504984791461357,0.0
2021-01-13,0.0951048035721167,-0.016949136104436047,0.013888875091518038,-0.013921038750516201,-0.0361445437046628,-0.0319999694824219,0.01626000120571658,0.000707701451215792,-0.01581509856664609,0.045238069648195545,-0.015151515151515138,0.0,0.0,0.0,0.1862891178911612,0.01168217557165585,-0.16249999161809692,0.10000002384185791,0.0,0.0
2021-01-14,0.021072894268834075,0.024137907220975086,0.054794466860145,0.05882349228776573,0.1874999130765631,0.041322273338813664,0.0,0.00088426590658508,0.0964152927391082,0.031131347383217545,0.003076876126802963,0.005602048306807994,-0.05009845290074122,0.0,0.04564486497984621,-0.006928344919118312,0.16417903277677137,-0.21818182212262105,0.017241546203241365,0.007142884390694659
2021-01-15,0.000625327780453544,-0.013468000494176735,0.025974001846660322,0.009999990463256836,-0.038596455711112254,0.0,0.011500295887274747,-0.005300257029997479,0.06200678667767501,0.01620031430521318,-0.03680978256926659,0.0,0.018614630605795268,0.0,-0.07729276446790789,0.009302316297383983,0.01282057748038623,0.04651158277636491,0.0,-0.00709222544427357
2021-01-19,-0.25437489860653795,0.003412965950654101,0.03797474976107851,0.008800950463936585,0.20437954044906048,0.03174600171093722,0.015817458906062898,0.0035523602338538574,-0.007430965420093583,-0.0398550857342832,0.1464968292150901,-0.01671292998272289,0.02335014375864386,0.0,0.08550352746919865,0.06451606523659481,0.0,0.16111109418633496,0.0,-0.00714288439069477
2021-01-20,-0.008382294589365458,-0.006802714468455484,-0.018292713656964943,-0.004362084740249905,0.439393960192622,0.06153849680748347,0.017031764682006845,-0.003539785640109483,-0.11550800851799425,0.002264130790278651,-0.04166666666666663,0.005665631851865971,-0.0069445106820476,0.0,-0.030387868524761275,-0.03463200246221376,0.0,-0.1961722408894725,-0.01694931382580067,0.028777020372816597
2021-01-21,-0.06762475174610405,0.023972579251313464,0.09316776256944737,-0.034611306500746175,-0.1515789031982422,0.014492739851898806,0.004306361662819169,-0.014209522743679037,0.03506649888764901,-0.016566213688113618,0.011594247126924806,0.0,0.0029969234568423264,0.0,0.012371134020618513,0.09641251674008466,-0.05063293717874329,0.3095238787922481,0.0,-0.020979034037302835
2021-01-22,0.10698101605121257,0.013377913620550297,0.05113635799198457,-0.009530150814172522,0.36476419693823225,-0.035714252262698754,0.0,0.0,-0.0841121766044316,-0.01607963486980779,-0.04871062145022764,0.0,0.0,0.0,0.009368647868667201,-0.002044939124275391,-0.05333336194356286,0.022727250560256484,0.02793110510759389,-0.00714288439069477
