Date,FNX,FEX,FAD,AAPL,INDY,OCFC,EXC,AMKR,KRNY,IBKR
2021-01-04,-0.013607892179131942,-0.014980015465112961,-0.01426376597836776,-0.024719102981850316,0.004476883513744978,-0.006441099730485456,-0.024869834441279437,-0.011273139124886256,-0.011363580425035713,0.005088795043087124
2021-01-05,0.013307187660145825,0.010645525239221687,0.016425502318228036,0.012363698380169375,0.012901719445973514,0.015667194745756285,-0.0014573382750715513,0.0375585649214476,0.01053629660821942,0.03152054158740203
2021-01-06,0.03493985448045356,0.01792043270941579,0.01000392108227266,-0.03366148053777873,-0.001852683661693444,0.06595752598757554,0.03259570655089927,0.03619911502556317,0.0815166397192304,0.059373225545462205
2021-01-07,0.01606519886263591,0.018814716349246252,0.02933323893104811,0.0341230410759088,-0.0020882490446166857,0.014470869421758792,-0.00989413827745722,0.04741109762548135,-0.016651968521019467,0.03392568261310669
2021-01-08,-0.0032080298171331956,0.0026382106489608592,0.004996341350225197,0.008631445140728555,0.019297903248138182,-0.024593943966955578,0.004282631990225827,-0.007147024042996386,-0.03208584169724282,0.010118425396672848
2021-01-11,0.0016092699289265155,0.0011840923523589453,0.0008286075355605771,-0.023249035378076544,-0.006386917738024134,0.025214057073808416,-0.008291883745741968,0.02519483461712735,0.023941163847065905,-0.014739238699654988
2021-01-12,0.014459418397674506,0.009329828554532904,0.01168232020604898,-0.0013954669473035253,0.014233312137052812,0.011313348634398368,0.005255441545394701,0.032767599795428426,0.025179808871683917,0.007988514935745705
2021-01-13,-0.007239919600660838,-0.003254829037075413,-0.00463709705930182,0.01622664917111538,-0.00339533477721099,-0.014591358773525243,0.017110404318916972,-0.014164423903565537,0.0,0.0030255533884344654
2021-01-14,0.011394585057842521,0.002612366034484781,0.00813002874553237,-0.015127098440237852,0.0043155064594151415,0.014807419138687772,-0.005140167643151838,0.0770118632128709,0.009649357181794382,-0.013072573913282648
2021-01-15,-0.009463526561354185,-0.007946723067502881,-0.011235951097562369,-0.013730483256006454,-0.015830175157992343,-0.021886980873224382,0.018318410777615535,-0.037353339937615915,-0.02519547247331,0.004658007184701329
2021-01-19,0.0073929552982541225,0.007091598217989548,0.013837993447835206,0.005427044234127765,0.005974206098503521,0.004972387663268352,-0.012453734500744829,0.04157461998990164,-0.007130346380907149,0.009851776042240301
2021-01-20,0.007338973877188071,0.0075626340921230994,0.008948800294211745,0.03285590401252514,0.016674451186484474,0.0,0.005371246847601707,-0.01330538002652426,-0.006283511980569534,-0.023242381766941045
2021-01-21,-0.004595465896201301,-0.004141652097226167,-0.0035837204898662156,0.03665864656869533,-0.0004492591007769775,-0.027708833514348497,-0.0006969221385447755,-0.004315272669495607,-0.02890662638108532,0.015569982578242714
2021-01-22,0.002252064225663153,-0.002468979822861317,0.0037763003834752062,0.016073809446914833,-0.01438533977136025,0.010687069937682647,-0.011157566240606376,0.0005420924503176661,0.0018600906926615757,-0.004194193425170578
2021-01-25,-0.004269135062595408,-0.0009114798166577343,-0.0034037160373709963,0.027683640972550494,-0.014823357220890565,-0.013595360924095523,0.01904106291503238,-0.03410955785155023,0.012999103399153888,-0.019607820792702402
2021-01-26,-0.009026277800286642,-0.00899771991055176,-0.012852766831500939,0.0016795814054084701,0.0009260610552990212,-0.025523204897623275,-0.011534247894727345,-0.03531387754863846,-0.03299731397029271,-0.02340732939989487
2021-01-27,-0.021519012456722275,-0.025789377533854574,-0.027861286475442726,-0.007683950902774961,-0.019888983375503932,-0.042954224370587046,-0.04270717664897217,-0.06101089862664022,-0.04265379102445077,-0.042324170952760864
2021-01-28,0.007796096685229736,0.012695924816515713,0.013861651508982886,-0.034985331380165574,0.01297782589707186,0.03338779765060984,0.024866125769172687,0.0037129523510555096,0.009900653409915972,0.0060191262082045505
2021-01-29,-0.02043653774804899,-0.01480401759990202,-0.014688193584796783,-0.03742063633627779,-0.02911721725674643,-0.038135669879434175,-0.011417812373481717,-0.043156633573782854,0.014706024215241476,-0.036529653570327114
2021-02-01,0.022395420174563974,0.014349815854190595,0.02287625968160034,0.016520319076628764,0.044625631433999446,0.018722572747543298,0.012511921391513692,0.06829892279776617,-0.01159408591542388,0.0707634978270073
2021-02-02,0.011759147173731721,0.015747850401062413,0.01897355730713679,0.006336692484206097,0.023886140722191085,0.013513629661047633,0.018298564679830154,0.005428345300285242,0.01759534002693508,0.04288738289895777
2021-02-03,0.0038741589196664705,0.0002627383790068105,-0.0015292464358737101,-0.007778355534922454,0.008075305001684407,0.009066841549661753,-0.008634598316749065,-0.018596358025447235,0.012487859487861463,0.007317648693383694
