Date,LDWY,BVFL,BYRN,LINK,TOMZ,SCWO,SLNH,CZFS,LIXT,ISBA
2019-01-03,-0.04575161245311654,0.0,0.06666668256123853,-0.028570709666154936,0.0,0.0,-0.060975604484488244,0.0,0.0,0.010989128237645085
2019-01-04,0.10958902703479989,0.0,-0.0625000139698384,0.05882312336815909,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,0.0,0.0,0.0,0.055555193374546175,0.0,0.39999998509883894,0.0519480340126659,-0.021145244399525698,0.0,-0.002174051960375345
2019-01-08,-0.043209855778206685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148792262829,0.006536366281053141
2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.012345690589294467,0.0171015879348988,0.010100984153337045,-0.021645128619169673
2019-01-10,0.0,-0.03448281417284127,0.0,-0.04385919197482768,-0.09090907243657698,0.0,0.03658533798943764,0.007079573315667664,0.0,0.0008844928364815097
2019-01-11,0.02580642609463779,0.053571465815818176,0.0,0.045871059583174834,0.09999997764825852,0.0,0.10588233471865816,0.0,0.0,0.016799592837198896
2019-01-14,-0.006289280692225341,0.0,0.0,-0.035087130062362526,0.0,0.0,-0.07446804957526387,0.0,-0.009999974568684844,-0.026086999885997386
2019-01-15,-0.04430386132023878,0.0,0.0,0.0004540856830239637,0.0,0.0,0.0,-0.023725646990278237,-0.01010104837382797,0.008928785135783546
2019-01-16,0.0066225781002446915,0.0,-0.06666668256123864,0.00772417867537345,0.0,0.28571433133008517,-0.01149426357776695,0.0,0.0,-0.008849767463599334
2019-01-17,-0.006579008105245476,0.0,0.0,-0.062218832175134464,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-18,0.013245065975858727,0.013559304586277188,0.0,0.0384619922748477,-0.09090907243657698,0.0,0.0,0.0,-0.010204055814730828,0.0004461951414862497
2019-01-22,-0.24183007874536,0.0,0.0,-0.055555193374546175,0.0,0.0,-0.011627917931330223,0.008100892237092872,-0.1649484907727259,0.0
2019-01-23,-0.0086206521934451,-0.030100296234345292,0.07142858967489163,0.0,0.19999995529651704,0.0,0.0,0.0,0.0,-0.004908219064924557
2019-01-24,-0.008695673292274386,0.01724135674228333,0.0,0.0,-0.08333331781129005,0.0,0.0,0.0,0.1111111459963181,-0.0022421162601483635
2019-01-25,0.07017543125827697,0.01694913073284665,0.0,-0.029412120477422476,-0.09090907243657698,0.0,0.011764717096210298,0.0,0.0,0.0
2019-01-28,0.0,-0.003333329115613237,-0.06666668256123864,0.00505000355595886,0.09999997764825852,0.0,0.023255835862660446,0.0017854096195664138,0.0,0.0
2019-01-29,-0.02459016851112561,0.0,0.07142858967489163,-0.015075033150233175,0.0,0.0,0.06818176587027569,0.0008915090569414641,0.0,0.0
