Date,AAME,ADM,ALX,AMGN,ARTW,ASRV,ATO,AVA,AWR,AXR,BDL,BKH,CACI,CAH,CASY,CHE,CL,CNP,CPK,CTO,CWT,DINO,DTE,DUK,DXR,ED,EIX,ESP,ETR,FRD,FSTR,GIS,GTY,HCSG,HRB,HSY,HTO,IDA,JNJ,KEQU,LGL,MGEE,MRK,MSB,MSEX,MTR,MZTI,NC,NFG,NJR,NRT,NWN,OGE,OLP,PBT,PEG,PFE,PGR,PNRG,PNW,PPL,REX,RLI,SIF,SIGI,SO,SR,SRCE,SWX,TAYD,TDW,TR,TRMK,UDR,UG,UTL,VIRC,VLGEA,VZ,WABC
2022-01-03,0.09795907443763197,0.004438740561772958,0.024471811467380755,0.007645792061626633,0.0028248560935075773,0.002590704349612505,0.002290610502487578,-0.00494250935750129,-0.006187228793339994,0.0,-0.005183128885056565,-0.009494246911631365,0.014338308352811469,0.010098981585261457,-0.0003546920091054284,-0.003761469061012268,-0.008788431720335721,-0.010390412599591059,-0.02167176170361751,0.02572469707694891,0.0001394823004301493,0.033252075417162574,-0.0030115586784247306,-0.013441477847622951,-0.025686444892195515,-0.002226851474669278,-0.010842197594824188,0.0,-0.011096459786003487,-0.0031983244236297725,0.03563634699041196,-0.0017808756165220707,-0.005609141566801812,0.001686205062266577,0.036927045919660895,-0.0013438703378089167,-0.006010648254254791,-0.012708375677360939,0.002747312017662873,0.0,-0.021052682955832736,-0.013982095051249033,0.0030010810016261047,0.03520061681621067,-0.009725756228203153,-0.0032522316032160825,0.007548298827863231,0.04023132443401045,0.0003125161207140348,-0.004627182892253057,0.020979027639928427,-0.00020517685662369,-0.010422373420251652,0.001984242445330686,0.01584143898807544,-0.008541756222669061,-0.0406434275607942,-0.006332034894527938,0.012838823758479334,-0.011333026383751332,0.0026611603633983627,0.05541670322418213,-0.0016949897018034843,0.00923076042762161,-0.018550358315360116,-0.005978684706264392,0.0001534570466352747,0.007863032312864782,-0.01741607884323737,-0.023809544603050514,0.050420164325831074,0.005796088209677919,0.01910062770859433,-0.0015004791532641226,0.0030393633625886984,-0.007175423376314716,0.01661134915389817,0.006840502553011163,0.009237858790395181,0.012818298404569939
2022-01-04,0.040892151777373265,0.018559309266902302,0.01518726274451443,0.0050729343002602345,0.039436649798495926,-0.005167947198941647,0.01190355932826992,0.011116566864014521,-0.022567994118688817,-0.04605261960848528,0.029632076609847458,0.007868362977575316,0.019701925288428956,0.01134383800506411,-0.011557241885673308,-0.028251527713254454,0.003310145311181456,-0.006154978843823544,-0.008622742297882069,-0.015555656047618771,-0.027828255872032526,-0.016238698550107733,0.0016779453732531646,-0.000772877128195959,0.017272689125754637,-0.001879685206419901,-0.012442810765084578,-0.0640394088669951,-0.0010770264626678294,0.032085653300982564,-0.016853916782002765,0.009366596402295757,-0.0025071602185995356,0.01571270423272164,0.012279762889679136,0.008539891160968649,-0.02556345340954247,0.0041119237258697705,-0.0026814724240455945,0.0,0.0116485668183548,-0.012330452535072478,0.001821156238017041,0.04826315223287847,-0.001510922583407237,0.027732396896801292,0.004195287568029338,-0.05377478178761841,0.015791235237698542,-0.005138316344284188,-0.009784805493385673,0.011892668189503519,-0.0026327466387152665,0.025176843599577392,0.027290752215996417,-0.002569595396569757,-0.03742287794902788,0.0015685820291568842,0.01394363188407799,-0.0020058835468802494,-0.0049766059449649624,0.11162653949403145,0.0037530041072331155,0.0,-0.008331248284266346,0.0,0.002606052217809296,0.014202836035601463,0.0024696885192780904,-0.028142607413610188,0.03377778795030384,-0.006586009718173691,0.02297432534065824,0.014857990683737388,-0.0181817779655431,0.009636344327442536,-0.0032680161886343706,0.0038219093767921652,0.019641700674355222,0.003933652307003044
2022-01-05,0.06428574026284828,-0.007808987653101118,0.0012557540455684357,-0.011850451673286022,0.0,0.025974114222914846,0.0031997621985850877,-0.0030412225918391433,-0.003682289256501048,0.05379308503249591,-0.020872899214106844,-0.0007095864261292828,-0.009947995725676062,0.013688600180386423,-0.007435654869537789,-0.011422426489756665,0.004123880361126986,-0.0021859493491985793,-0.005020345176491081,-0.011770280250127385,-0.007871685840133646,-0.006002416740292449,-0.0010887381185159528,0.002224219272654926,0.009830260453664419,0.006826158169908947,-0.022049098593108662,0.0037596273859172857,0.0023362743080563853,0.08290147619980504,0.007857118334088975,0.013404015471677688,-0.014451804335657736,0.003867352883384134,-0.03517973328948554,0.010982305116336466,0.006346836118038546,0.0004451850896587395,0.006663487816704672,0.023622062617355555,-0.04605832041505753,0.006117331592801811,0.024282828565584946,0.027206345559942946,-0.005044192610556886,0.009523888625594168,-0.0074008317166806,0.00167942853962888,-0.005233243570830326,-0.02975918863547755,-0.009881572503100844,0.004457978342322422,-0.0029040810234515213,-0.033664295869629934,0.012333797387020784,-0.002424543796191947,0.020172520955805684,0.007145467821247475,-0.0033337667855427577,0.002871411297694415,0.002000437189895843,-0.06348224301344474,-0.0137985064515872,-0.009146332820563763,-0.02670837749147692,0.0011736210426827043,0.0033638914766265238,0.007100403762447138,-0.010000051989667025,0.0,-0.027515020780341737,-0.016298272785857937,0.0,-0.025990917918258583,0.03456796870361423,0.0008674718175991636,0.016393495228471444,0.002992487856398718,0.010285976859690127,0.001362803619478603
2022-01-06,-0.023489826048270213,0.008891049731093226,0.0016602237677683096,0.00013342639604929651,0.013550122368818363,-0.012658234158423931,-0.007786078289819143,0.0007042486227082367,-0.0014983914658599495,-0.0019633333439436074,-0.00032294138533850436,-0.012216084985549491,-0.013385093367098144,-0.015191487487222322,0.018547850206474426,-0.006161958204630391,-0.006571149978159996,0.00949265555156975,-0.005685523461892439,0.015989594669247875,-0.00995373381888609,0.022041033385842734,0.002683475518950207,-0.0016403774527369297,0.017699097866309854,-0.0021038899146674783,-0.008895500865982897,0.0022469282615895647,-0.016944221141958593,-0.014354107815526262,-0.003543532124530291,-0.004505865647830398,0.0003188193495078373,-0.03687393318919341,-0.004610335453219094,-0.0021829808399815853,-0.005606018159354131,0.005694907195320065,-0.003425854435735398,-0.006153840285081147,0.00928491795252051,0.002481883796347173,-0.0006339729962546725,-0.01426158127166377,-0.01588478347796196,0.029874342566004186,0.01328852371514877,-0.02459433984789916,-0.007891094309454894,0.0055768948337606705,-0.000997789289707729,-0.0006050628637473965,-0.0007941173967667137,-0.0014278381910302063,0.11996257764456453,0.0009115055379389503,-0.014201129520870714,0.02393227745470905,0.020905923344947785,0.0038655007926282625,-0.0013309134817656165,-0.0610542517003666,0.015526298903699942,0.0076923370361328125,0.01945370354821918,-0.0011722452709654885,0.007162373328527094,0.026831184966583876,-0.007173070297631923,0.0,0.03094601368788208,0.008424410304580743,0.0325059165993542,0.0003376175570410922,-0.003580014213285132,0.00693546546823165,0.0,-0.02685412338370763,-0.004812948990195687,0.01701250085477768
2022-01-07,-0.0034365076533647843,0.008523477920992839,-0.004566964887172786,0.00941483519080144,-0.05080215420747913,0.020512845295787674,-0.00453814866956781,0.007737443411785838,-0.015406135749483352,-0.011803298700051257,0.0,0.012223375806115655,0.004375169984677907,0.03294626469391382,-0.0030941010611612585,-0.01391145953477968,-0.0025986061565432816,0.00036149743276858715,-0.005932416675901164,0.00738692227408988,-0.011656722791605678,-0.005908237250789261,0.0010035274843513964,0.009954586002757226,0.0,0.00351394497330193,0.005880415784783821,-0.01718976790580251,0.022617126634633333,0.0485437332160501,-0.009246096056977349,0.008678951463648943,0.0006372780419066082,0.009714274450213223,-0.020631384876416803,-0.003662506337792082,-0.006342423443977063,0.005397178571387551,0.013517397167496448,0.0023219607425728483,0.016559497949694357,-0.0012377660100933996,0.018647741048782196,0.04030323116804979,-0.03666188971223083,0.022900510505545757,0.01311405704729407,-0.021203735211797414,0.010917146594634941,0.009326636756388229,0.018981059025760416,0.005248056197974416,0.005357184652843072,0.0,-0.008368407133141909,0.016846194424437133,0.016046809426580877,0.037339838091478894,0.017201394351269217,0.00969760999312741,0.007997149310297713,-0.0002019817553161607,0.0007999178118667238,0.0366411853632691,0.004928492437034748,0.006894794760502698,0.006052419370209394,-0.004005187780079855,0.006045614810228139,0.010617819883870894,0.031732409125305505,0.012531402665924007,0.0028620948812858593,-0.011160660610158635,0.01676642924235816,0.012914453696511119,0.0032257692783697056,0.0013140927281540815,0.021084191486230308,-0.003680132896646704
2022-01-10,-0.013793174916467366,0.0017189719659085334,-0.013948974527643765,0.01355106108277404,-0.05915494111766195,-0.002512592293538951,-0.0013297581280610205,-0.000698240703405073,-0.01717131943981831,-0.01791635763483701,0.0019386077103356048,-0.013922369529504541,0.0006223494849277866,-0.05918168788160871,0.0012719629396469312,0.008686326488579033,-0.008645186109675351,0.0010846383757399103,-0.005176679046854926,-0.000478162726843423,-0.02432515727653295,0.017533283475025696,0.0038432190393324905,0.0005742276465841023,0.0,-0.010388832196121522,0.009846179234674679,0.02281378002095158,-0.00383467767894341,0.0583333340978609,0.09332370485142949,0.002916643628536608,0.0035033476301802313,0.027730712617333175,-0.016337214406138112,-0.006178503213746245,-0.016454193911100146,-0.008536409228540598,-0.004943913132278599,0.006949818835016552,-0.0009049987102509593,-0.00954270318687811,0.025778106184125793,-0.027152705453730053,-0.02308387191680661,0.0029845915946844492,-0.004509892333621868,0.004391176887901471,-0.03178032809541875,-0.011238543904652731,0.10294104931479642,-0.008433535976347106,0.0002668158592713521,-0.011724409349931242,-0.0008439218859805919,-0.011044843929070458,0.009332212487536351,0.007510502657248841,-0.04576571687482556,-0.0021186922836139432,-0.0006609842913508635,0.00605940549660855,-0.0036412810941940377,0.042709862073973426,0.0020123156627984695,-0.001602646321193446,0.0010527170032705868,-0.0013405671773379924,-0.005862525500353488,0.021967481983799164,-0.008312504573157797,-0.001925121890598902,0.0,-0.0034356484851024716,-0.012367394391841202,-0.010412402379372465,-0.019292618921269655,-0.005249569975508961,-0.006821467029467954,0.017797328373916343
2022-01-11,-0.0034965001564449816,0.007864561875217113,-0.0019512529901070108,0.008725031232493574,0.008982027593025244,-0.005037771773923838,-0.004850148829056433,-0.010710025458819827,-0.00868409196875819,-0.0337837833483956,0.045146680434996256,-0.022763392627857426,0.01068221271248282,0.03292200582062921,-0.0010165003567532693,-0.00031980726645186586,-0.00645090320661712,-0.010473119433605071,-0.02189947105102874,0.012280828935726129,-0.017226031299248823,0.021028014510756643,-0.01140236529092975,-0.012719958393464181,0.0,-0.020169839878116713,-0.01950035448396048,0.0,-0.026499538650309074,-0.03237094164787224,-0.044648678393959806,-0.003489741674430058,-0.004125765815540139,-0.006608065069767632,-0.00961532685789901,-0.003133807135748734,-0.007931835442687163,-0.018995184140579657,-0.01063043808584363,0.008435556518331166,-0.019927548267364426,-0.02352379745058375,-0.008498299865143721,0.0857728895460248,-0.011404012741820568,0.034226413600089156,-0.00882565301986149,0.0029148168624484327,0.011153649007989541,-0.023238472454591985,0.0,-0.022883926343874816,-0.007458554346153168,-0.016203725322711082,0.13175710136626817,-0.006187813256594343,0.008001589662585573,-0.00981826317813339,0.0478199943578963,-0.005095553354288129,-0.009262302192114769,0.014454915652375222,-0.005348688233851484,-0.04661015921781464,0.005898353895917419,-0.012840970796437867,-0.00991566130823418,-0.007286830288430801,-0.013858266996782387,0.0,-0.008382261434338956,-0.02728015844807885,-0.01084483477491216,0.003964640326329372,0.007751849822994483,-0.02168763181557465,0.0,-0.016270671343439513,-0.005197639279972743,-0.017156048018814984
2022-01-12,-0.03859645422914548,-0.0008509792381630188,-0.01729452508840179,-0.0026678139262469314,0.017804208675266997,0.012658234158424042,-0.004204899713805776,0.004471537239997714,0.0006255766394176465,0.020979034037302835,-0.006788060828443077,0.001621670141259024,-0.004524559487849911,-0.019541010785037005,-0.00880021818643828,-0.015109799194981899,-0.003607092846177662,0.0007301347261883251,-0.006650631329247703,-0.010556462274028622,-0.003997735627128796,-0.004290341624252458,0.003619964330757064,0.0037779190283202535,0.001739170240319332,0.0014447505200378963,0.0010877596658716016,-0.028252761953333816,0.004597919756782698,0.05605791737678967,0.013058390233169126,-0.002918083943002525,-0.003824061827305103,0.010532125981152607,-0.006619812032072958,0.009328471355513512,-0.0027616937676494535,-0.0018095898056424975,-0.008525331119074941,-0.015209111411935483,-0.0009242362370261992,-0.007047661167222774,-0.005754893069361056,0.034796379448113424,-0.01476565736543245,0.0,-0.03021495723150802,0.0026154773278388443,-0.002836597483706682,-0.0010342660859840036,0.009777509207444579,-0.008911888237765675,0.00026819669124233947,-0.00735290112544662,0.06716406218412652,0.0028854800078934595,-0.0007055859009870158,0.00853839480117169,-0.00442955477925755,-0.00199161490109645,0.00033398615004176513,0.015535361238000256,-0.02312242754398497,-0.017777760823567745,-0.007236201109777851,0.0019212988343848547,-0.015022692759169232,-0.00560159647514713,-0.006129536496259247,0.0,0.018596810519664553,0.003965859543401784,0.004039290409831642,0.011504173790622074,0.0011834989772128157,-0.01646167035564372,0.022950797051757288,-0.014305157322307305,-0.00261225731170478,-0.004531815331178524
2022-01-13,-0.0072992627949434175,0.00681632743070093,-0.0010329426008038878,-0.003926542064980554,-0.011661796231637989,0.01499989486219322,0.01717838272259642,0.012183857088231553,-0.0041686008516746975,0.0,0.0018639943301741457,0.006476044484874599,0.0019635247127256505,0.010835923167131334,0.006415130829283022,-0.007488215857355374,-0.003982207176870589,0.004740901352705773,0.007662063729843016,0.02579633829656447,-0.014664912924857831,0.012927190038430458,0.005200993231824436,0.0051147117429057865,-0.013020882486467267,0.00901538985538508,-0.005587482160474777,0.013772018146279486,0.01281580863691012,0.014579758407699206,-0.008141104981169156,0.008341765079353358,0.009596893038177123,0.012068195479602695,0.0026655897703378173,0.004595456854367352,0.00043706788959352316,0.004441438020725608,-0.006066573136310094,0.004633237104279431,-0.024051728837368058,0.012130904155829736,0.0014779348691680294,-0.03362630575367043,-0.01929563141417545,-0.007194138256474192,0.01420095875553562,0.007535915353058309,-0.011061720377110285,0.002330027192880335,-0.008802462999817684,0.01254693566705356,0.008049389456123324,0.005037094058365943,-0.11398603589918577,0.003937008660500174,-0.01959402308256797,-0.005370908452959622,-0.002561612736984964,0.01867404116194238,0.0013349845699544005,-0.01636941168022199,0.010458599102776578,0.039215648198612785,0.008545967245970454,0.0084096058295271,0.017408569444415933,0.013014818174275966,-0.007972281147485716,0.00467291510524781,0.019087098638651767,-0.002539466076426189,0.0014366177046396533,0.0011882425260247853,-0.0005911543520294993,0.03459037998082404,0.0,0.016326835059390143,0.0013094085374376618,0.008598882752871129
2022-01-14,0.0,0.009167814742535363,0.005285035227235335,0.01953637467255942,0.020648947220246905,-0.012315208987243809,0.0005662011261831079,0.010416591076992221,-0.01653589852791537,-0.0068493410175966,-0.0003100237183505383,0.001608893032386094,0.009689408663776211,0.01627116952423946,-0.025191236753718593,-0.00729915033154982,0.011025111186629521,0.0021779379805424437,0.0033218795000140577,-0.004035843618446333,-0.02068008221946105,0.06834918937081769,-0.003755430029918738,-0.0010561877534952524,-0.001758971353619465,-0.005003375042155089,-0.0049944767914770205,-0.007547306362853057,0.0038866432242945503,-0.019442069860916344,0.049247624669271683,0.014513561926074336,0.0006337216460046147,0.01463406366976705,-0.020824281969722302,0.014181283563533098,-0.006556825928435095,-0.0038803269560409026,-0.00545128989095478,0.005380453004821817,-0.0028438486692057285,-0.006375161765085791,0.0007376631161708502,0.003134836910539951,-0.024832841691248775,0.027536635718462543,0.0009657081662275413,0.009206152327673411,0.02221145639582689,0.012654833051830794,0.0017758869732300564,0.02891379346680001,0.011445155777363603,-0.010023619811127316,0.03551695670297139,-0.01583710722372267,-0.010622992809536602,0.004484543011165076,0.0,0.011335491296531552,-0.0009999952335785212,0.04943042547986387,-0.000363091707601515,-0.034833058892435265,-0.014579630665057075,0.00453577235989755,0.010448321560744267,0.008437150374303037,-0.0033358988066821693,-0.013953452886537043,-0.004885950101553127,-0.01131540311037793,0.011477884501607027,-0.006781898751067161,-0.0035480494326372014,0.004314071497522498,0.006410339860942527,-0.0071397125106748005,-0.004484280937459562,0.008525646275862053
