Date,AAME,AAPL,ABEO,ABT,ACU,AEP,ARTW,ATO,AVA,AWR,AXR,BALL,BCV,BDL,BDX,BF-A,BF-B,BIO,CHD,CL,CLX,CMS,CNP,COKE,DTE,DUK,DXR,ED,EDUC,EIX,ELSE,ES,ETR,FEIM,GAM,GIS,HD,HSY,IDA,JHS,JKHY,JNJ,KF,LGL,LLY,MKC,MRK,MSEX,MZTI,NEE,NEM,NI,NRT,NVR,NYT,OGE,PAI,PEBK,PEG,PGR,PNW,PPL,RGLD,RVTY,SEB,SHW,SIEB,SO,SOR,SPGI,SWX,TWIN,TYL,UG,UNH,VLGEA,VZ,WDC,WMT,WTRG
2021-01-04,0.03883506441565365,-0.02471917419476899,0.07643312101910826,-0.0034706838099446413,0.015930916224009994,-0.020775496239630042,0.06944437545758975,-0.014670269292447635,-0.016691665630440222,-0.01660176015802095,-0.03161586713060949,-0.03670329061302047,-0.017916342480753356,0.0,0.0019182466819440691,-0.011297270657854797,-0.01762566508694885,-0.013174585109302361,-0.00722255399227989,-0.013799856808030309,-0.007329452535731251,-0.02294702796202741,-0.013863244601521774,0.0032672055928550936,-0.016637800300425387,-0.02020553112715806,-0.007200012207031259,-0.0222772092907213,-0.007161409803559393,-0.03709001913368448,-0.09979210494462298,-0.023118647916607338,-0.01832917993318106,-0.04640579597464045,-0.010217651904692704,0.00391156309770091,-0.006400007002324459,-0.009387605843660274,-0.04415286545793795,0.005721631163756236,-0.020556916133707914,-0.005591480816682037,0.02230485307204577,-0.06299858073465792,-0.019782032859145593,-0.016840793616751948,-0.010268943181045764,-0.01987006731315144,-0.03363607597067275,-0.037977961879475663,0.05443312073634199,-0.01569291682538465,0.010309142471777832,-0.009610673906881195,-0.04964250646616919,0.002510782059969685,0.0,-0.059947757868257234,-0.044082361549345195,-0.01769804947180098,-0.010756339578649188,-0.02198587436650301,0.03685607347564779,0.014006711538059768,0.029214712059891346,-0.015566677662009809,-0.023809502184254927,-0.0336968522659673,-0.0017538845927257407,0.013749929433072516,-0.021563757182593624,-0.0254776541846089,-0.011248061453505653,0.011822135793791322,-0.003364968118625411,0.0013600981047467986,0.0017019667342044187,-0.057050120310157215,0.01651058103567249,-0.023260879558882785
2021-01-05,0.21495317289838045,0.012363749667349433,0.029585798816567976,0.012372952763959777,0.033975811999161554,-0.0013491917250932906,-0.0032467502308325402,-0.015101614661848783,-0.01646824867564911,0.0038370576418671476,-0.06045954645235485,0.009581178486224307,-0.004729776080795278,-0.058704504823518855,0.0013164319673100167,0.007296219006565741,-0.0016660338556949705,0.015419106085266199,-0.009006456960783726,0.0022532526576357625,-0.0021453306588423704,-0.017782294154566336,0.01077784970715201,0.006251483234675614,0.0015913309975612577,0.00044604531528258384,0.0,-0.011180671109763507,0.029508239719039153,0.005290264024670366,-0.009237866641529036,0.007218001385221662,-0.013366239880085784,0.030534271373588107,0.003259792534734851,0.0010165559047925488,0.008070225517040841,-0.0011264759919373812,-0.025166031373057174,-0.0012641958073162929,0.0028365246289074886,0.01175718153923877,0.02060602269977263,-0.04936147708073002,0.004954615133686557,0.0025533426666501935,0.001729403556920639,0.00028167834255432567,0.002590843434206125,0.007409874634419555,0.004433809652101717,-0.002657151317977835,0.00680270481822931,-0.007855169589417899,-0.021367596571002512,0.0006261234554532091,-0.0056603219638599045,-0.02033264445557781,0.00017940685108985832,-0.0018532594464534258,-0.017195760922817493,0.0010876686986651674,0.0032643341233458134,0.04391459249362484,0.012004923038460458,-0.00498968019305801,-0.002438963970067154,0.006570281770643227,-0.000250942346180838,-0.014403630617403018,-0.008748266829155416,0.15686260478449543,0.0014596624364455746,-0.0034364926612312496,-0.013447845563720362,-0.00905374356759836,-0.004587827553103496,0.01589121555008499,-0.005323196782795581,0.013423142420365908
2021-01-06,-0.11538465970361078,-0.03366159995487494,-0.017241379310344862,-0.002082320430541462,-0.03665074600915652,0.007982360261915122,0.026058685297797535,0.011877527432101243,0.061308547079967024,0.041788628963804086,0.025740001255609712,0.011586821115668444,0.005431074821676374,0.02204307142850004,0.01039727439815552,-0.0038270211074246108,-0.004492961190788791,0.04805438359539527,0.0015145133927891852,-0.026857347404659504,-0.012999266064981474,0.020153651613132206,0.017617043845918,0.00617566894462418,0.017896187238753303,0.012924958150401622,-0.024979812228364207,0.021325392600137327,-0.019108392223042614,0.029764606611385025,-0.009324000514850717,0.04710971458519975,0.015822230262324766,-0.009259214892301415,0.011102227500132233,-0.00253865066558967,0.005713519535468281,0.003516029928777309,0.014751877250395395,0.0018988137101705327,0.014958067034994471,0.009410254466135637,-0.0011876337985371466,-0.033124541210556524,-0.012024983285857216,-0.0031835496401850794,0.015782795653864312,0.039830841308512666,0.02241451425684149,0.048950473383226,0.028535322546534125,0.022202158778218184,0.03716203788787942,-0.010581410609119879,0.005406345750702313,0.03003747625765185,-0.006957690692249052,0.022169834488547036,0.02099042552011321,0.018979039328264946,0.035378788638017244,0.018109578500096202,0.0037058401172633815,0.02942734079801923,-0.0006304561911715245,0.0034589183235915755,0.046454779983379435,0.02443475850831045,0.014562155066421445,0.001248084938121341,0.03462324248008519,0.0,0.0034472070738877925,-0.015172465721292827,0.04196644669975602,0.011420790608266174,0.012120193690091652,0.006596287290989489,0.006243576188665667,0.026276435279165344
2021-01-07,0.0260868158794354,0.03412349504331025,0.040935672514619936,0.009707151221536314,0.017786538056219436,-0.02668131529369544,-0.006349200101906871,-0.04204457635967873,-0.009951288812161785,-0.02054566578555439,-0.0363864453559859,-0.010799772067701885,0.006414469827334512,0.035770738070467045,-0.0005520229905768836,-0.00013706704268412473,0.000129059057752956,0.02763799832208158,-0.012216260942855883,-0.005471500427523646,-0.00496463213931142,-0.02980070782268951,-0.04874714333368302,-0.0015901931826659554,-0.024318212525315852,-0.011219947543530284,0.009917345601315297,-0.02031946602511847,0.044155900149891014,-0.009102473279937184,0.04000001795151653,-0.006506970249854582,-0.03451088787938572,0.0317757946985493,0.01205149598801536,-0.008214754350262643,-0.004895862891457603,-0.0005947215942381234,-0.03887659548357236,-0.011371051396410148,0.021363471785353028,0.003378354085890267,0.014744269194776338,0.05833342505384387,0.009189498125295348,0.009155503802608767,0.019907739951988246,-0.022739566823458013,0.0010440688482125093,0.01096521761874003,-0.0015328634619469206,-0.03866213892920145,0.08469064033555407,0.01498552663755448,-0.015097978179451466,-0.02187098693595002,-0.0025478668795207993,0.04337788197162773,-0.014233277564651647,0.005838885853485909,-0.031560767233396625,-0.013162620703074945,-0.012009255301341226,0.026603549149578853,-0.004757363184341057,0.01769228797601463,-0.035046749536058686,-0.0011433414438278833,0.014599743164882995,0.0006387783238506195,-0.02854327800287959,-0.05988704154162938,0.00908399774423363,0.008403454608713945,0.016032503735082138,0.0004515179340720543,-0.0022502644403622485,0.02490176623852358,-6.837446038987505e-05,-0.01165708360895501
2021-01-08,0.021186717255307075,0.008631009929607192,-0.011235955056179803,0.002785192775480727,0.01165040302495779,-0.00888735432992227,-0.006389846202502492,-0.005681267461362993,-0.016425321090392853,0.011112837767407902,0.016927098612844693,-0.0012128260985948547,0.011070242413828701,0.0,0.00615376476259355,0.009742069975090306,0.011217174975265864,-0.012318794602222738,0.005889174820171705,0.006723991932314322,0.007178343392017172,-0.004659099000171585,-0.00814218379517384,0.008813315502742114,-0.00479967683461513,0.0017799832789449077,0.0008182712756970023,0.0002859417645975082,-0.022388105181490037,0.004029063922571519,0.006787269785828887,0.020101423931260687,0.006853634891702098,-0.0009058798469749885,0.005292242223419397,-0.026747175292628933,0.010628570534904958,0.00568857845275117,0.022229766001978568,-0.01214044115556312,0.012186504546060739,-0.0020577393003951006,0.047574566088888215,-0.0008750218921427244,0.0034974197181434352,0.004430999255301771,-0.011782910930802415,0.002354883541005215,-0.01180109348267766,0.023205553523762967,-0.03607601294963769,-0.01445999211096305,0.039039043842954424,-0.02382801818946023,0.008819685647828646,0.008585641001424005,0.0019156642639381882,0.0809376065782148,0.021568787798059486,-0.0025330739432918303,-0.0021809086187628557,0.002523311257544014,-0.03491126243472975,-0.004796568721839312,0.0030318408297353994,-0.008651576539661643,0.002421247401352966,0.007032996254397128,-0.0036584289928108804,-0.006746495284652876,-0.011989363083758309,0.03125015189687641,-0.0029245749994892822,0.0027776045359884094,-0.004492633589122441,0.0,-0.012472249646617639,-0.05334301749556747,-0.0001361724038044798,0.026116509772412977
2021-01-11,-0.024896542386310117,-0.023248810745770565,0.045454545454545414,-0.006899035256489272,0.059501088353203446,-0.005051916972497961,-0.09646301042947159,-0.01781292495454967,-0.003739320587633932,-0.0034577353088240947,0.05633803590834141,-0.0001105297929504534,0.0023227630583588788,-0.002031659547489517,0.008037451783967642,-0.018072785708843297,-0.015172619790471464,-0.008980184324464124,-0.0056205913516300665,-0.0025502102314391983,-0.020774383238680305,-0.009535565182763661,0.003863137914624115,-0.018463929453428563,-0.0017766452172699454,-0.008439845726156081,-0.001635282488792189,-0.017160086547312714,-0.0006360470556504572,-0.01011224943412703,0.1123595553777268,-0.01239896735739665,-0.011519575859774811,0.015412502133093753,-0.010528983480192156,-0.014716322169480045,0.007952958492950968,-0.012628901641493218,0.013227165306888056,-0.006468494861016527,-0.011800114134843054,-0.00418649582764552,-0.009843598794922026,-0.05341499826924134,0.11736080274312122,-0.016595189493774476,0.02372617070317684,-0.02708315962218466,-0.03238164401113941,-0.017748974061269185,-0.013377906156125108,0.0032096840272388683,-0.04913298695632973,0.01447076773218825,0.006244938389107224,-0.013720028457707145,-0.008922751602972845,-0.03518806039669298,-0.005757918009964058,0.0062431950060224395,-0.013886881947251295,-0.0014382868955979955,0.004545326379419068,-0.003192228599864677,0.03228430678968963,0.008466114873945774,-0.03864730738456079,-0.0058472225900171315,-0.004406076048311558,-0.023404840454534392,-0.006836224225209131,0.04195804517373736,-0.01544494723918688,-0.002077498444489345,-0.0072650021150527655,0.004063399941921508,-0.005882477644665207,-0.0050173753618073524,0.004501081575448929,-0.011083935670887612
2021-01-12,-0.05531889441253646,-0.0013953127684711575,-0.010869565217391353,-0.018044059681413316,0.006340602804230988,-0.011931863804976128,0.049822102403921154,-0.0005700834987723002,0.0,0.00012388516519390436,-0.007272778135357427,-0.0035333867904545624,-0.0023173803329294973,0.0,0.023219716641518673,-0.013977453183441346,-0.015277237111069986,-0.009337599189937928,-0.012364432028566519,0.0014608377020948193,0.0026325896237742175,-0.013303002081855753,-0.004328741210328002,0.0014584000710240463,0.010849204801525403,-0.0040318222639487145,0.03194105995940211,-0.011784955464854363,-0.05410572879244857,0.013620761921839808,-0.028282802400022677,0.003138474799838198,-0.017904365838104064,-0.016071393840914383,-0.001330174108120974,-0.021594220632616512,0.018803149148945097,-0.0048627930583355905,0.003540281418787483,0.0006511511480704613,-0.02782126607868418,-0.0077804737069248064,-0.006551963065638322,0.01572608315105639,-0.03839965892763164,-0.012602572933763656,-0.022470578579164235,-0.0022728503693374424,-0.006888276623571388,0.0007530772928958651,0.008716709121143529,-0.000456835005220424,0.030395066893693423,-0.005939540312377867,-0.02813424421668198,-0.014859350556349793,-0.004501424062594905,0.025444962115323433,0.006493227726185324,-0.0002103724202655588,-0.00352109673422607,0.006481865114155383,0.014045944962840284,-0.045651481694308216,0.005782465005926607,0.005742103693717748,0.020100483246901613,-0.039045800895275984,0.0049174348393168366,-0.010463921253820452,0.028910374911471415,0.011185548299400772,-0.011590784451284808,0.005551616433329354,-0.009369249947603797,0.0022479605996093,-0.003480648764374261,-0.03219562469967685,0.011405860919045496,-0.031963670877222405
2021-01-13,0.013513439046023867,0.016226661893199434,-0.016483516483516536,0.03041178396783195,-0.012901262351315834,0.0039826476622677465,-0.016949136104436047,0.00958661954704354,-0.0010005940150453752,0.0014868591606471693,-0.02197794392231711,0.009419279098800803,0.02488394520216941,0.0585241075445444,-0.0002662724382784809,-0.007298277887339388,-0.005521870698322551,-0.009376386645382428,0.0072731409649724466,0.00279583703467412,-0.0025740641515558105,0.024835796991093062,0.005797028717032138,-0.02117377403259091,0.021549479393436544,0.02957383607317965,0.045238069648195545,0.024882060529744177,-0.010767197294627828,0.011038065428244037,-0.024948001452519408,0.007487092874131296,0.010248238447856828,-0.0009075239633832277,0.005061305171967012,0.018760118433089,-0.008251163062878542,0.003614742330470655,0.008267868872048556,0.0045545178601056335,-0.015587507444231652,-0.0015177571096645082,-0.004548635005419799,0.018214907717322815,0.037472045315886326,0.008761588351686278,-0.009026053780019305,-0.0027042172280268284,-0.005259679408524565,0.026206523495186707,-0.006721100852900008,0.006401335552133514,0.011799383700593413,0.0020715537379938365,0.023840191457114912,-0.0003208465175105202,0.008397735258394157,-0.01406082399757802,0.023191057920919134,-0.0014724675785801056,0.019759400222145507,0.005008871961127204,-0.018499391866319548,-0.0030265653770967793,0.0030397167612321585,-0.01490885184728774,-0.02709357060249551,0.015131189332914685,0.0034255910367990694,-0.01206229557944316,-0.0031777031519913956,0.06747804761858522,-0.0063108369054069025,-0.012422238935324459,-0.0065201078673857715,0.009870196164223799,-0.0034927141518065197,-0.008617178286762561,-0.010203090406964321,0.0051462382293943065
2021-01-14,-0.013333260838399474,-0.015127283554666526,0.1061452513966481,-0.01486151306393646,0.0,0.008701307724921614,0.024137907220975086,-0.009269847764867167,0.005509816741464002,-0.003835104797520028,0.001248467989523716,-0.012734760056635874,-0.011330590652379957,0.0,-0.019923027759611744,-0.02276254772088049,-0.02882097440937703,-0.01850012003620982,0.0003550764298652087,-0.006667116786933436,0.00934238617292471,0.000865766085885733,0.001440694569082579,-0.013505903081468595,-0.0010668011431785862,0.0010923262572537507,0.031131347383217545,-0.01652063913618873,0.01972796843644775,-0.024841709686863278,0.021321941026122948,-0.006543854022450835,0.003737167089927329,0.017257087603581578,0.00344544276676495,0.006499477860996583,-0.02083561516346555,-0.01667560952812852,-0.020883258121752513,0.0,-0.024890485536991802,0.017480290341892468,0.00959559019418843,0.005366853773594471,0.006415139193655994,-0.01758542343878655,-0.0020647862959368712,0.0032828867895158265,0.012260218309078308,0.008431648884343224,0.020299811265839907,-0.006815276014725091,0.040816360761441794,0.0009191082676465179,0.0209975873386663,-0.01380406233658471,-0.0057656352637995845,0.006711151236008739,-0.015337361991093923,-0.015590197038719111,-0.011291962523723775,0.004272016096855902,-0.0017049451323805087,-0.022373507814856364,-0.008518410362437723,-0.012854589956636464,0.02278478812224005,-0.011221032352402571,0.007315430770175491,-0.01881117571304325,0.0048659598144762395,0.0062174805772725605,-0.006564110708250248,-0.007686958750531048,-0.012702893834771634,0.011994724487548458,-0.00035050481264398137,0.01819276262841263,-0.0032554830403809243,-0.029010560786757456
2021-01-15,0.04954935147615891,-0.013730671446447129,-0.03535353535353536,0.01145061537999359,-0.04012171557745192,0.020804397985443757,-0.013468000494176735,0.02727091852599628,0.004482788762009804,0.010556417205740631,-0.003740733782186534,0.005448707004265474,-0.011132939391953922,0.023557974597676168,0.015401112269813222,0.006510150920235658,0.0059900296643808915,0.013504416440985878,0.008637959052522737,-0.0007323076290103314,0.010073946647122689,0.013835935900708085,0.029256864463578003,-0.013110646199881781,0.014954579273746216,0.00490913459717035,0.01620031430521318,0.016652156344898472,-0.035356900108341915,0.0038943654269558703,-0.060542790013058734,-0.01116447183051239,0.013297937754817246,0.005357095462463324,-0.006867371940349032,0.008789154167793578,0.027018091978711967,0.007054999068838663,0.00893342590108226,-0.0032382324028987775,0.0038320922648116262,-0.0021785204748897558,-0.03009724614539422,-0.0017794014703688132,0.02185426709913929,0.019755469341808274,0.01472571274749801,0.019205842607687318,0.0003444235579099786,-0.005937558172987467,-0.023211939196348674,0.048947967120103186,-0.016806804444442824,0.008779739101407946,-0.0018324988740880954,0.018880237766237817,0.0032217321292369316,-0.027916770503392918,0.0276912176398858,0.014445956950046579,0.019467706568651044,0.012761448245797391,-0.011859548838496381,0.002633006419439976,0.021531226075591103,0.00941886387327684,-0.027227697062989997,0.010501324309898585,-0.006476440278144757,-0.0007511846806230738,0.003673297050625024,-0.06179194434252333,0.007394699905750812,-0.002112610932004211,0.0021968373499854366,0.0171200760031478,0.005960855454164804,0.016676768035572387,-0.015853635519546216,0.013840265071777269
