Date,PRPH,LIXT,ISBA,LINK,IPM,BYRN,SFBC,SCWO,TOMZ,HFBL
2023-01-03,-0.006230573094877179,0.0,-0.04255320931814921,-0.02818646399686975,0.060606000399351156,0.007653053777012531,0.0,0.013986084524057807,0.12244898207432908,0.0
2023-01-04,-0.0146289858007157,0.1176470423239735,0.0,-0.02585122092948533,0.0642857392223517,0.008860720756860063,0.0033105555443402324,-0.017241444513996895,-0.03636370926848953,0.0029224524929987172
2023-01-05,-0.0572640450029086,-0.08771930118089977,-0.011111091662324712,-0.033268492730986976,0.0,-0.0037640820277198284,0.0,-0.09122806988191001,0.01886802001456611,0.0
2023-01-06,0.04049489794987915,0.03846159489197354,0.004943673802688453,0.03950181307704037,0.046979820667626404,0.0352645097972919,0.01522819049618973,0.1389961951523333,0.0,0.028554539815189628
2023-01-09,-0.019459492451435856,0.037037001061669184,-0.0022360344719779546,0.025763235871325785,0.05128208067290285,0.04987832531546954,0.012249940517420566,-0.03728818024961533,0.01851850012202405,0.007932162747071203
2023-01-10,0.017640557088818065,-0.05357137839404824,0.015239815702912107,0.004646692455127166,0.024390220854836775,0.042873682578514316,0.0,0.03873244254888619,0.018181800448205276,0.0
2023-01-11,0.007584035966438973,0.07547162342173652,0.02649021336413715,0.03249985264616306,0.07142857649699375,0.025555504692925446,-0.02025195077386921,0.0033898272208872093,0.0,0.0
2023-01-12,0.009677435563663073,-0.052631530515153124,-0.01161299429711471,0.0,0.15555554378179814,0.03900331833216297,0.0,-0.07094595791912128,0.14285711244661004,0.0
2023-01-13,-0.003194961187284906,0.05555550159250355,0.0008703395038160977,-0.006053219702922941,0.05769236941309597,0.03649629011746791,0.0,0.10181817141446192,0.07812502037268176,0.0
2023-01-17,0.016025702746429227,-0.017543843505051004,0.0,0.061144888284856425,0.07727265190487231,0.001006059286116301,0.0,-0.023102288417082395,0.08695652549493671,-0.026981678518544272
2023-01-18,-0.06203997249085891,0.07142858967489163,0.0,0.006772208349022035,-0.021097027312509398,0.0010050481480938789,0.0,0.02702700090373522,0.039999961853027344,0.0
2023-01-19,-0.02914800747287216,0.0,-0.015217458929318362,-0.04343851695207579,0.017241363363798445,-0.031124540002951062,0.0133603776876976,0.0032894705884014552,-0.08974358386541947,0.010976405852546334
