Date,AAPL,ABT,ADX,AEP,AJG,AMGN,APD,ATO,BDL,BF-A,BF-B,BKH,CAH,CCK,CL,CLX,CMS,CNP,COP,CTAS,CTO,DUK,ECL,ED,EFX,EIX,ELSE,ES,ETR,FEIM,FRT,GAM,GIS,GTY,HD,HSY,IAF,IDA,JHI,JHS,JKHY,JNJ,KF,LGL,LLY,LNT,LOW,MAT,MCD,MCS,MKC,MNST,MO,MRK,MRSH,MSB,MTR,NEE,NFG,NI,NNN,OGE,OKE,PAI,PEG,PFE,PNW,PPL,ROL,SIEB,SO,SYY,TSN,TYL,UDR,UG,VZ,WMT,WTRG,XOM
2024-01-02,-0.03578667856083262,-0.0019986584297624344,-0.014680794890455817,0.02413217019041114,0.0005336277983509774,0.03253263494811076,-0.00120519229230176,0.00888700615883864,-0.004665641455369629,-0.006544781790308596,-0.004378273608332206,0.023169632455413147,0.018055549794840697,-0.0036920568951400723,0.012671113383156074,0.014727737748521763,0.01963127959646771,0.015400634507443334,0.013095460023528682,-0.017837493544428873,0.0051934681927874315,0.007934861466798893,-0.0007562971515193695,0.015829415282980985,-0.030005156007978817,0.01188979403622814,0.031578980390385425,0.03272841345001942,0.014329514491919326,-0.027397255104697704,0.013779659257944221,-0.007450597954971272,0.024716159365651302,0.006502545277260241,-0.004241627656078828,0.029982680557833596,0.002309414884505312,0.008848503159948118,-0.0015455048902364155,0.0018380483568192219,0.00764951836383676,0.020607142552402813,-0.009401682988496418,-0.02280128168239337,0.0159198076209901,0.011306025165099376,-0.017524125146057168,-0.005826202748542064,0.0017875035946959272,-0.006172981068942263,0.016369595470100196,0.01701092747532873,0.030738834593082798,0.03870856669903744,0.003694452484087618,-0.028334143926933675,0.008333352232660962,0.013664870854086741,0.012756738528971301,0.017325860469957766,0.010208835495817858,0.013741873071977384,0.011392818337025767,-0.0024916481007030145,0.006377684436658093,0.03265023801972,0.01907004645282706,0.015129257668528462,-0.00915941957091948,-0.011904750923180218,0.010410584836790138,0.01763984529761342,0.03311627469538547,-0.023725205744766997,0.009140837363253329,0.06388895929734595,0.03130000668294475,0.010402780178637938,0.012583658164758704,0.023804913963028973
2024-01-03,-0.007487575381940448,-0.0030041011006204377,-0.012034570321761029,0.002404303771455396,8.889053193295027e-05,0.011096267529172366,-0.009543929035217724,0.009321782941892787,0.016796891198992192,-0.01739865914206118,-0.018997337350830867,-0.0010869475630792547,0.020561253861509643,-0.017874699417063655,-0.010282471230635304,-0.02190897734101016,0.0013512151535182149,0.00413656379931604,0.01989965262014759,-0.01964816986398299,-0.01664765855437378,0.009917125672665117,-0.010494192280150916,0.006384507150321905,-0.02851543810420243,-0.010505903884225232,0.0,0.008628845565608945,0.004189438885340735,-0.021596220542584033,-0.02737626489535372,-0.014543812459419936,-0.0002995794009944541,-0.019721215527199965,-0.01976359703149677,-0.000989428916627677,-0.016129126214504463,-0.0021170270604154995,0.0015478971728866142,0.000917583016768031,-0.007470108777110518,0.006251158481018981,-0.019413323873820998,0.006666660308837891,0.043059853787193125,-0.0023130650911422634,-0.02917918331994729,-0.02290891287634056,-0.008921354064642228,-0.006901256838039216,-0.008340501187517058,-0.01894522286159328,-0.0043290969045762795,0.013511000938623674,0.00604732576378697,0.00804424228472933,0.012020993344765252,0.006821489034287254,-0.0041331830542544745,-0.004442794221134805,-0.02090042371494405,0.004800811264686455,0.01013805375505461,0.0033306149865168777,0.004387395270529781,0.0,0.01106431369438754,0.0054524566252507345,-0.02380415321053042,-0.024096363046584468,0.01961888375124099,0.007525036594987933,-0.016567683957313672,-0.0031847581373601885,-0.02536231165271685,0.05744124664604833,0.00720124667749622,6.273994535366256e-05,0.0023796357852488015,0.00840183908977954
2024-01-04,-0.012699927101456177,0.013330992186275203,-0.002900072160756273,0.00011998644391564284,0.003910628099080826,0.008247936195058703,-0.0022521631676500897,-0.0035587280881878014,0.000768371440643012,-0.00034368582377608536,0.0012552333401805171,-0.0030831759225481425,0.007925316625885914,0.0025526187043733994,0.005632601221002398,0.006571410511273745,0.0015180399267282763,-0.0017163812494853659,-0.02876665831617209,0.003618901086656079,-0.0011673846171620372,-0.0029357913771052013,-0.0032124699703893755,0.002688207748746896,0.004548773747020229,0.009919010452196675,0.012755089628354144,-0.021776296986128152,-0.00029106889057939345,-0.010556579923483578,0.001968263356566302,-0.0014281627813431674,-0.014836019762195174,0.004162430252286242,0.0009757933256002715,-0.006985033566408894,-0.004683732057599088,-0.005658015499934832,0.0007728412366205806,-0.0009167418300339847,0.01982510378907798,-0.0021120808185774997,-0.008358871972751869,-0.006622510282393357,-0.005180604558426172,0.0034776416482094064,-0.004946407321850255,-0.006543120950654124,-0.009001879588961925,-0.00833908584986054,-0.013196100974662617,0.004001383856437224,0.0028986493212153075,0.019517500028552792,0.0008885399771560998,-0.015461214690093206,0.017817384909527556,-0.0030650664350865275,0.000592928338129628,-0.0011157317642683795,0.003753204604323157,0.004215931724003141,-0.012127112712760457,0.0,-0.00032357014610973067,-0.02152717644398916,0.0040528860078341555,-0.0014460838162831946,0.013020869384084532,0.04938274239498086,-0.007336472484977707,0.00859282104232273,-0.008240297213043535,-0.013541359869001623,0.005310665988024432,-0.03333325343721649,0.0053627496876573755,-0.009667155683930284,-0.017145748485959622,-0.008719352482703724
2024-01-05,-0.004013109156552064,-0.0016219162022969025,0.007562373507342235,0.008154325369758242,-0.0027445593900642384,-0.000560775455092255,-0.0003700198525621312,0.0032313237498804437,0.003838755715862785,-0.012209941015412284,-0.013431199578165742,0.004366058939994755,0.001515670774367095,0.009851553652912237,-0.004480781798556155,-0.00814314339564548,-0.0006737077187921603,0.005502002285447061,0.0004292360132525097,-0.00879139907821036,-0.0005846434854919202,0.0005076322615846784,-0.0012278106048249082,0.0028952475691013113,0.012516517845900577,0.0038732480665431,0.002518889267302482,-0.013038646131262488,0.008734368533789283,-0.002909875712577392,0.001571550558011836,0.0011918377894917231,-0.01140860918782749,0.0024177843896873163,0.012847298209737623,-0.015012914800712207,0.0023528863178743364,0.0050804830645028165,0.002316555797010178,0.001835068053502198,0.00030001851418881564,0.0031127364797871593,0.0057673805456412985,0.008333365122477288,0.00659064229076356,0.001732794784793379,0.006107316638394478,-0.002195335328547099,-0.00942609173857567,-0.006307082577160283,-0.011903095635879879,-0.0029457316174356096,-0.0007227037469058617,0.0017945683762339293,-0.003394415947191032,-0.002533059371131907,-0.02479938402673998,0.004530712747852217,-0.0009874671901579646,0.006701561400171752,0.0028045573878212604,0.005607077957391571,0.010159269498307921,0.0,-0.0009710246329115435,0.013062851341157478,0.0001345772242951071,0.004706801581098707,-0.0021032108633978197,0.08235293045175962,-0.0013947025431175764,0.00705523909163186,0.014032587471373592,-0.0014200834684888752,-0.0010564548695123355,0.007662753276474588,0.021081966221992987,-0.006655741727425668,0.011540504564322429,0.003029787532638828
2024-01-08,0.024174823621713637,0.014440309363858539,0.01039285302446058,0.0052338077441322906,0.015802712452101852,0.02600659628785129,0.009957332223082593,0.007374116039792655,0.0019121514111235527,0.010445691662274159,0.010891212758516788,0.015033525379632096,-0.005202578516224965,0.00844017556183152,0.005251427945837328,0.006653009617477723,0.0038761205768989004,0.005813949871849022,-0.017420389268061665,0.011901152515545244,0.009356874592204134,0.008626043623445323,0.0037388818208452523,0.003100957999212506,0.039448154023948856,0.008267878313815258,0.0,0.012888598124286332,0.007119551453313999,0.031128419136381424,0.003530481716412126,0.003571478379755133,-0.005385305160842568,0.0192969154903031,0.01455059564543193,0.02030479820849429,-0.004694822198936577,-0.0050548022273920745,0.003081661370789579,0.0054943378363971895,0.01787417522011414,0.0024823809559959553,0.00705783115235703,-0.004958712208686045,0.012092916689509847,0.0057659913362611,0.021787099281954214,0.017601743094201927,0.010069399498945364,0.0007052973091328241,-0.0002973024473595931,0.007299238134561348,0.010122994183510148,0.001364884156426882,0.003982424641139959,0.007618079235830244,-0.031413711199883454,0.013530899576474908,0.006919586537528888,0.00924555156835849,0.015613955180021621,-0.001126468693179672,-0.0044699666838674545,0.0008299787284009597,0.007289862853082862,0.0037327372415514315,0.002152494310587727,0.00864836189489826,0.0039810128251753785,0.021739109308372973,0.007680714591677962,-0.0005286716357794097,-0.0003640599043069903,0.033930457200243236,0.020359502463652257,0.0,-0.0024874968816914755,0.0098271516145636,0.01034764993039694,-0.01666191320295607
2024-01-09,-0.0022633261730437004,0.0029360190144902543,-0.0017144414939267438,-0.004496559128762789,-0.011798718108327999,-0.01164425973208838,-0.017409248940426503,-0.0041227981202983655,0.01946554396572142,-0.0015506421482778254,-0.0023343510794341382,-0.01034964031989305,-0.017115168422180083,-0.0023911498686842725,0.005223592274815392,-0.006327896606272976,-0.00335751948389873,-0.006120420026777373,-0.015196562438289152,0.0006504423295223827,-0.007531980602851762,-0.003018463448230313,-0.0002551742472161056,-0.0011724651870629321,-0.0125827040617017,-0.0020499032834949693,-0.037688465992105846,-0.07746140707720861,-0.002961505402314324,-0.009433960425391685,0.0006840081282348809,-0.00023712622427440877,0.0051521257027664635,-0.010479926973393283,-0.005000931335148895,0.00856614742455264,-0.0023587241923779256,-0.0027430688217412458,-0.0007678278625414814,0.0,-0.014790886996545072,0.0006191594718323312,-0.02146294684369454,0.009966767935156495,-0.0008786830192352157,-0.00210210269731792,-0.000598563477144376,-0.01081085205078125,-0.0035285495492785035,-0.01479919154856879,0.006099126641936792,0.01345760190329437,-0.0011929745355886423,0.008945327803068004,-0.0026617243883669817,-0.01209664129544874,-0.05173755872021324,-0.0144627585231204,-0.0015706570228181116,-0.005496588109950462,-0.00504789498140612,-0.0011276211532484925,-0.012347152061854882,0.0033165390827245567,-0.005789671098655691,-0.00608531890144659,-0.007786426734708862,-0.006073398064492808,0.004432193012777974,-0.00531914387692578,-0.004018946216066022,-0.0003967671477230761,0.007832425563988554,-0.00422276903454899,-0.0010478368707254049,0.00887208315519783,-0.010016350276478625,0.00669813717129264,0.005252261976972816,-0.01238607345684406
2024-01-10,0.005671276007956028,0.014814250989335864,0.009158554173301248,-0.018899304937222694,0.0177323623309924,-0.008754992138113926,-0.004215111076018352,-0.00270371366706168,0.0,0.0029335008517019645,0.0005399176758322799,-0.002704819432224892,0.007932746185470796,-0.003268815589709595,-0.003340752448092843,0.000283051911222687,0.0021895398319418113,0.0006844111616475246,-0.0140119599628864,0.004294213454032025,-0.00291886455255419,0.0019174897390390466,0.0074517311586896895,0.006616964435046668,0.006412590535060048,-0.009449346467284903,0.005221927238881152,0.006206896803495621,0.0016287935551864141,0.021904737918201356,0.008300851129131148,0.0042713804273277756,-0.019105197041104582,-0.0037580972346858976,0.030647841483506744,-0.01786719766607392,-0.004727927053903236,-0.008965855441270043,0.004611743643574195,-0.0009105084305921496,0.0025122800379888677,0.0014847806951465703,-0.005371656001611935,0.0032894705884014552,0.007530333939460343,-0.005936326899518507,0.014745917737082559,0.008743161425279311,0.011070324927472397,-0.0021458773791880326,-0.02010924393789204,0.002894078380791587,-0.019111361221774592,0.003630912814719167,0.007064652513911529,0.011734690758057997,-0.04315949370493699,0.004354136620402738,-0.005113046558264389,0.007369264806553533,-0.010378401775479107,0.0002821054937625078,0.006676954626333886,0.00165318696181882,0.003073452193369075,-0.01394554396958847,-0.00514116870937098,-0.007548498059132713,0.005341352197130833,-0.03208559456461735,-0.0005565702980385723,-0.007277094859723943,-0.015001104844127644,0.013885138930147756,0.002360244055753302,-0.007537747098222414,0.0010243831471268283,0.012428598145646008,0.00992668387524498,-0.009832470556202066
2024-01-11,-0.003222489210411905,-0.0030743758087603545,-0.0045376490293084215,-0.025926873928208805,0.008038317317024424,-0.004826517026858657,-0.008877829650206337,-0.02245001931294488,0.0,-0.006710246928937624,-0.0014391247189794454,-0.024769495358604288,0.014780743074143565,-0.0036073695313715293,0.0001241611843030288,0.009549587788984182,-0.03058816925614627,-0.030769354072121224,-0.0016191035537090892,0.0020952956519040278,-0.005854818527369465,-0.021454392875979056,0.0031917224602642236,-0.032548829749290964,-0.00816889919201258,-0.016037935009735493,-0.005194800369332064,-0.021247487041095914,-0.019800951960636803,-0.013979494315577545,-0.012300319918086888,0.0033080792269322146,-0.00142522975040682,-0.01337444595792936,-0.000756652808109548,0.004060284025305005,-0.002375241696315644,-0.024776447810481494,0.0,0.003646229039999893,-0.002028515512858764,-0.004448141208784895,-0.0008999130163312996,0.00655737089809616,0.008775063159303986,-0.0350608339148486,-0.00022710223867994372,-0.009209002024724078,0.00020397661432736136,-0.011469457498319846,-0.008299357377480887,-0.0047529923616045355,0.0131514379222053,-0.0036177769819146777,0.00218241108780437,0.01664131659648449,0.003404287245972082,-0.02504809793431828,-0.014034522243275838,-0.030724178893260956,0.005593223300845773,-0.0330134954718907,-0.010443173947666584,-0.0008252734780523907,-0.02741482071826873,-0.02035178732967613,-0.0339997286384669,-0.021369105682832346,0.012935947870740039,-0.016574570352582918,-0.01740219210085736,0.005597896146755543,-0.0040365783900713215,0.016419682641982014,0.007326144183075867,-0.03164563050384628,-0.030194311569131105,-0.0011158965573625501,-0.015778661538272898,-0.0002026518610390715
2024-01-12,0.001778236039027714,0.0037005155886715713,0.0005697829637949514,0.013557403290900938,0.012068919792199928,0.01125067053012807,-0.0017384162466502762,0.0034665605730062055,0.048296563298552364,0.005369867294435782,0.00486407320308202,-0.008342574181184337,0.0005674813772322818,-0.0032911513978609586,0.004344700516143218,0.0040638096284422165,0.007281569932448884,0.007760215949585092,0.0063063485180474554,0.008074589305399504,0.002944852937937892,0.013484265310618193,0.0045449504434795784,0.004054772504871851,0.003829840815872565,0.002669804439034751,0.03655355292245166,-0.004201433958974099,0.0064409305205817,0.0,0.009021393604681682,0.0011776317842335793,0.005233211764491541,0.0013903447835639238,-0.002300087964498654,0.0012079288218058704,0.0,0.009276901977326446,-0.001530308243533507,0.0027246640148503865,0.0019130054296423449,0.007694893217909504,-0.0022523579715638675,-0.008143276056180704,0.011325611551525006,0.0057895283072550985,-0.005677682245681659,-0.002187037371517264,-0.002311846710850718,-0.0007252439598002258,0.009586019070993546,0.00716353677799475,-0.006250086122593257,0.0016887950492634474,0.015970155119652052,0.038690729641475796,0.022900824180658974,0.005270064722095125,0.010024211570366814,0.009056515507154472,0.005793715438136227,0.002334211978004763,0.007558590963586687,0.001651644482484338,0.00016570697259465916,0.010563444303838265,0.0030970069472089357,0.0022205039298905938,-0.002280410477465855,0.03932587279618516,0.01190124877195986,0.003976084951987202,0.010869543784490787,0.008770924548377135,0.0023374517006153894,0.0431373058016733,0.017414284425776527,0.0013033821833190462,0.008409747250372135,0.012972514871102625
2024-01-16,-0.012317174520518726,-0.001404539445708175,-0.00455573736374304,-0.00625859092777703,-0.005664367391516545,-0.009885743975899808,-0.013932467868582599,-0.014768048544729795,-0.028571380156558135,-0.02205379384411077,-0.021871695666235924,-0.03570746222673671,0.005576969237002016,-0.0006604727202270677,-0.0059326193538691285,0.0018144273687799028,-0.0005162365482090925,-0.0014000898355019942,-0.027394722001718552,-0.007470375527623863,-0.014092830573353088,-0.00436722000968548,0.0006031627163052278,-0.0006549846244449098,0.011035328528843591,-0.016676106254980727,0.007556667801907446,-0.011251913586947548,-0.001648377487818209,-0.009451794180063922,-0.009718187435236225,-0.0021171563921337233,-0.008834246483332975,-0.019784943633301744,0.007646757684597327,0.0046683860619698425,-0.019047757745220828,-0.016502963595238618,-0.004597784942135474,-0.009963771796174026,-0.014380270746155888,-0.011515417399606598,-0.0347630194302746,0.01642034517685098,-0.012987408714676074,-0.0019847526264969995,0.006943547106772474,-0.02027401858813138,-0.008109665047773329,-0.02467344668541782,-0.017633675461374843,-0.01490264317502199,-0.008950083465181224,-0.0011802256337273276,-0.0014801247972846543,-0.0004776791523872781,-0.04809301604977956,-0.011304048043105586,-0.02441451511433146,-0.017202674047925304,-0.008986419937202172,-0.021833858844001575,-0.01486205944860075,-0.011541828293946454,-0.015749336059199592,-0.013240512904657997,-0.01950847949246115,-0.009970356493370414,-0.0016001152499199867,-0.05405406624492348,-0.015401834330666775,-0.011221101454221172,-0.004373900194799885,-0.02748253740075024,-0.006478277157482726,-0.018796931592701682,0.018931404098417648,0.0031614335608722843,-0.015376514396015395,-0.022611227749795626
