Date,IPM,ZYXI,RCAT,HFBL,DXR,ALRS,INTZ,AMTX,PRPH,BHRB,LDWY,BVFL,BYRN,LINK,TOMZ,SCWO,SLNH,CZFS,LIXT,ISBA
2019-01-03,0.0,-0.02422163171503755,0.0,0.0,0.12952802959886944,0.0,0.0,-0.021909230987214312,0.02461540341713131,0.0006806219341410902,-0.04575161245311654,0.0,0.06666668256123853,-0.028570709666154936,0.0,0.0,-0.060975604484488244,0.0,0.0,0.010989128237645085
2019-01-04,0.0,0.046099276108573894,0.0,0.022742732909913466,0.09329446469444846,-0.002506324181127617,0.018421072708932895,0.10399999618530265,0.07507488255106098,0.0,0.10958902703479989,0.0,-0.0625000139698384,0.05882312336815909,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,-0.07441864127142972,0.0033898433060393085,0.0,0.020909154169060473,0.07822223239474835,0.0,0.0,-0.02753622299531655,0.019553229386102933,0.005102068668696669,0.0,0.0,0.0,0.055555193374546175,0.0,0.39999998509883894,0.0519480340126659,-0.021145244399525698,0.0,-0.002174051960375345
2019-01-08,0.0,-0.006756692595256908,0.0,0.006827274450032839,-0.05111293319947818,0.0,0.0025839398488296528,0.04321905230924905,-0.07123293161838062,0.0,-0.043209855778206685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148792262829,0.006536366281053141
2019-01-09,-0.03266334518038039,0.02040823873324471,0.0,-0.008718240365743646,-0.08774980093809737,0.0,-0.007731939251534703,-0.014285700905079524,0.006369441055087854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345690589294467,0.0171015879348988,0.010100984153337045,-0.021645128619169673
2019-01-10,0.0,0.0,0.0,0.0,0.06857145400274378,0.0,0.010389650022828656,0.10144926534683552,0.006329128047061872,0.0,0.0,-0.03448281417284127,0.0,-0.04385919197482768,-0.09090907243657698,0.0,0.03658533798943764,0.007079573315667664,0.0,0.0008844928364815097
2019-01-11,0.0,0.0,0.0,0.0,0.15864524871732089,-0.02010061655293316,-0.015424222757914219,0.15789474509759627,-0.05031457697617958,-0.0040609759940885,0.02580642609463779,0.053571465815818176,0.0,0.045871059583174834,0.09999997764825852,0.0,0.10588233471865816,0.0,0.0,0.016799592837198896
2019-01-14,-0.2857142680208842,0.0033333454132338236,0.0,0.01758952993270202,0.11538461538461542,0.0,-0.020887708955524942,-0.03409087676400968,-0.03642382458837845,-0.0008491974636243294,-0.006289280692225341,0.0,0.0,-0.035087130062362526,0.0,0.0,-0.07446804957526387,0.0,-0.009999974568684844,-0.026086999885997386
2019-01-15,0.09090909090909083,0.02990035212796882,0.0,0.0,0.0282758515456627,0.0,0.00799997965494792,0.005882347166332069,0.03436434081739459,0.0006799758009206069,-0.04430386132023878,0.0,0.0,0.0004540856830239637,0.0,0.0,0.0,-0.023725646990278237,-0.01010104837382797,0.008928785135783546
2019-01-16,0.1999999682108562,-0.0032258180406645742,0.0,-0.04385364044150397,-0.02749831332045738,-0.025640840650621,-0.0079364879131113,0.011695895017749036,0.0,0.0010194389685074245,0.0066225781002446915,0.0,-0.06666668256123864,0.00772417867537345,0.0,0.28571433133008517,-0.01149426357776695,0.0,0.0,-0.008849767463599334
2019-01-17,0.0,0.019417288268068322,0.0,0.004708917315946026,0.02758618058829465,0.0,0.0,0.20231208137212242,0.0,0.0,-0.006579008105245476,0.0,0.0,-0.062218832175134464,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-18,-0.030555527224952028,0.05714307360701265,0.0,-0.011717622352148349,-0.026845612669198826,0.019999943999708725,0.00266662597656242,0.03846161781683777,0.0,-0.001867213832006831,0.013245065975858727,0.013559304586277188,0.0,0.0384619922748477,-0.09090907243657698,0.0,0.0,0.0,-0.010204055814730828,0.0004461951414862497
2019-01-22,0.0,0.003003093394030598,0.0,0.0,0.006206907075027024,0.0036116529658103413,-0.005319067988256432,-0.07407411086706317,0.0033221647268952825,0.008843549747949542,-0.24183007874536,0.0,0.0,-0.055555193374546175,0.0,0.0,-0.011627917931330223,0.008100892237092872,-0.1649484907727259,0.0
2019-01-23,0.0,0.029940065564899365,0.0,0.03319794031042855,0.11172029771894709,0.02827794059509925,0.005347511766912616,-0.04000002145767212,0.016556431564208163,0.0,-0.0086206521934451,-0.030100296234345292,0.07142858967489163,0.0,0.19999995529651704,0.0,0.0,0.0,0.0,-0.004908219064924557
2019-01-24,-0.11174788075600683,0.0058138970199528295,0.0,0.0,-0.083230547777145,0.0,-0.002659533994128216,-0.010416656965389626,-0.013029344586179104,0.00809169663152165,-0.008695673292274386,0.01724135674228333,0.0,0.0,-0.08333331781129005,0.0,0.0,0.0,0.1111111459963181,-0.0022421162601483635
2019-01-25,0.0,-0.0028901071825038205,0.0,0.0,0.0416946799146376,0.0,0.032000020345052116,0.01052630588288439,0.023102159293640012,-0.007023370169308318,0.07017543125827697,0.01694913073284665,0.0,-0.029412120477422476,-0.09090907243657698,0.0,0.011764717096210298,0.0,0.0,0.0
2019-01-28,0.0,0.02898545600608249,0.0,0.005573654817948359,0.04260812505902756,0.0,0.020671814503596897,0.031250032984341924,-0.016128971643929013,0.0,0.0,-0.003333329115613237,-0.06666668256123864,0.00505000355595886,0.09999997764825852,0.0,0.023255835862660446,0.0017854096195664138,0.0,0.0
2019-01-29,0.0,0.04225329914476794,-0.5,-0.005542761379282002,-0.04334364246436062,0.0,0.0,0.020202000741265103,0.01311478441854419,0.0,-0.02459016851112561,0.0,0.07142858967489163,-0.015075033150233175,0.0,0.0,0.06818176587027569,0.0008915090569414641,0.0,0.0
2019-01-30,0.0,0.04054069452814568,1.0,0.0,-0.007766982979968695,-0.004999998817771578,0.0,0.009900980750178201,-0.02912628005785134,-0.006399397867040912,0.00840332478575534,-0.056856212766846714,0.0,0.010204233142296681,0.0,0.0,0.010638308187826517,0.010685508286720768,0.0,0.0
2019-01-31,0.1129032754253041,0.03896111230838728,-0.5,0.0,-0.04370515848847911,0.005025124434000716,0.0,0.01960782480441492,0.01666670584076635,0.0,0.00833341091398565,0.05886525792049557,0.0,-0.0030306930055981063,0.09090907243657687,0.0,0.0,0.006167522133383452,-0.044444472701461235,0.033707799165311636
2019-02-01,0.0,-0.01750019523033397,1.0,0.024590055630235863,0.08458388704124431,0.0,-0.005063310454163417,-0.03846150319251662,-0.016393480523180126,-0.0033899382039855874,0.008264426519171142,0.0,0.06666668256123853,0.20060804914395858,0.0,0.0,0.0,0.0,0.0,0.015217088006657775
2019-02-04,-0.005797095840604838,-0.025445253819642133,0.0,0.0,0.06289308326992504,0.0,-0.00763356852123398,0.1499999761581421,0.013333364672613035,0.0,-0.02459016851112561,0.004688560239628492,-0.0625000139698384,-0.03375476092230889,0.0,0.0,-0.05263152283925199,0.015761636231949927,-0.04651158492543972,-0.014988999088398014
2019-02-05,0.0,-0.04699728780317314,0.0,0.0,-0.0775147630480425,0.0,0.0,0.0,-0.009868343093970111,0.0,-0.016806764058224233,0.0,-0.06666668256123864,-0.04366869409601437,0.0,0.0,0.0,-0.00689631150343839,0.09756095858998859,0.013043383968819544
2019-02-06,0.0,0.030136950474506374,0.0,-0.008000113840533452,-0.11096860031931877,0.0,0.028205089080028056,-0.05565218418892948,0.00664453316134983,0.0,0.0,-0.04999993673419789,0.07142858967489163,-0.009132557386738793,0.0,0.0,0.0,0.0329860448723267,0.0,-0.012875444601118002
2019-02-07,-0.008746347173728575,0.050531888634847366,0.0,-0.006451585910271951,0.06421359057494525,0.0,0.004987550387776762,-0.033149184612824456,0.0033002361980372097,0.0,-0.0256409733906221,0.0,-0.06666668256123864,0.013825619867144034,0.0,0.0,0.0,0.0,0.0,0.015217088006657775
2019-02-08,0.0,0.12658241019428806,0.0,-0.0058438454823878105,-0.0054237236410884515,0.0,0.004962798181780803,0.01904771528006588,-0.013157925256828684,0.0,-0.026315794191107633,0.0,0.07142858967489163,-0.0409091028238594,-0.08333331781129005,2.5555553347976208,0.04444437192644002,0.0,0.0,0.0
2019-02-11,0.0,0.21797747318818383,-0.5,0.0,0.09747786623986432,0.0,0.07160497594762738,-0.018691681453631315,-0.01333326247930966,0.0,0.0180180008789268,0.0,0.0,-0.0995267745414441,0.0,-0.5,0.0,0.0,-0.0777777919062862,-0.014988999088398014
2019-02-12,0.0,-0.10516604100914728,0.0,0.0,0.055900596099744515,-0.012500292601543395,-0.04377883546261996,0.04761911790117157,0.013513440731582449,0.0034014689736088233,0.16814158651863775,0.0,0.0,-0.04210463458446456,0.0,0.0,-0.021276616375653257,0.0,0.0,-0.002174051960375345
2019-02-13,0.0,0.0020617537624136872,0.0,0.0,0.11705881006577434,-0.0025314661421043105,-0.0024096017860504304,-0.027272700672307915,0.010000125697763096,-0.0033899382039855874,0.030303105365945715,0.0,0.0,0.07142883985997983,0.09090907243657687,0.0,0.0,0.00369732884015872,0.024096401231396447,0.002178788760351047
2019-02-14,-0.24705886147838874,0.018518587225509586,0.0,-0.0022862889753989535,-0.04686674040944616,0.0,-0.033816460731378783,-0.04672903651825999,0.0033002361980372097,0.006849441089516128,0.007352908766630639,0.0,-0.06666668256123864,-0.05128264909173896,0.0,0.0,0.05434787993126067,0.0,0.0,0.0
2019-02-15,0.0,0.0,1.0,0.0,-0.01381215440503214,0.007614272295691116,0.060000038146972745,-0.03921564960882995,-0.013157925256828684,0.0,-0.029197051982906674,0.049122741590310603,0.0,0.0,0.0,0.0,-0.030927864113391434,0.0,0.0,-0.010869679930981424
2019-02-19,0.7500000465661298,0.0282828241704296,-0.5,0.0,-0.03137251842995614,0.002518950795708186,-0.04009435617359247,-0.08061223943647577,0.0,-0.0034015565751009946,0.05263155199066438,0.0,0.0,0.08648640380624406,0.0,0.0,0.0,0.0,0.0,-0.010989128237645196
2019-02-20,0.0,0.025540263995351475,1.0,0.03698855032002624,0.007518748055695967,-0.007537983693326811,0.03931200108423627,0.03218644120719705,-0.02666652495861943,0.006826131811624059,-0.02857140076751319,-0.030100296234345292,0.0,-0.004974632098540432,0.0,0.12500006984919465,-0.04255312501178399,0.0,0.0,0.022222461959519713
