Date,AAME,AAPL,ABEO,ACNT,AEP,AMD,ATO,AVA,AWR,AXR,BDX,BF-A,BF-B,BKTI,CHD,CHE,CL,CLX,CPK,CRD-B,CTS,CWT,DRS,DXR,ED,EIX,EQT,FELE,FSS,GFF,GHM,GIS,GROW,HSY,HTO,HWKN,KR,LLY,MATX,MGEE,MGRC,MKC,MRK,MSEX,MZTI,NC,NEE,NEM,NEU,NI,NPK,NRT,ODC,OGE,PBT,PEG,PFE,PKE,PKOH,PNRG,SBR,SGC,SIF,SKY,SMP,SWX,TAYD,TR,UG,USLM,UTL,UVV,VIRC,VLGEA,VZ,WDC,WMK,WMT,WSO,WTRG
2020-01-02,0.010152377866134543,0.02281657988422059,-0.01834862385321101,-0.014717241102166767,-0.011109732027172692,0.0706497562287034,-0.013230907686817228,-0.012892205858269001,-0.009349092025395023,-0.005016757477033895,0.002095829617688949,0.0019119662367734769,-0.007988061847809425,0.009740385830148357,-0.004548539418514297,0.0033920042806649953,-0.01045904712001633,-0.006057335671357134,-0.013983393581383674,-0.025615587060954792,0.01366205212731586,-0.01803680219449999,0.005780319413896562,-0.011702091610770182,-0.017795937256816274,-0.013659122663183254,-0.049541450393167374,0.01901598250837111,0.013023282316027673,0.02459407127433577,-0.00959773730772906,-0.026699202111395426,0.03472216653901605,-0.020547021815016442,-0.020124153807399847,0.0004364076806318007,-0.01138321390670638,0.0059345786331668204,-0.012009782504777688,-0.01446308578453459,0.0006533131062582687,-0.01296182595571338,0.011984341020815137,-0.021236649424090648,-0.02304791684836971,-0.01259863759475166,-0.014618318271275355,-0.00529324200011283,-0.011777385262654816,-0.023706901496333033,0.007919334543310397,0.0033839602439724725,0.0002757967422215568,-0.009219198229422965,0.012952976595105747,-0.005757915127454383,-0.0010214864193588413,0.0036875803795133333,-0.00029678836558233446,0.010511778754612067,0.009925780054794942,0.015510166957732885,0.11392406132946675,0.012933748818436674,0.012401474658128908,-0.0030274990935305057,0.05137963369107168,-0.012594918926824406,0.03307858764239091,-0.010963112472387126,-0.016176098568387642,-0.0031545841707554256,0.014151127952580778,-0.006896795450910931,-0.0057001600349272374,0.042083552729167195,-0.0027168476256127505,0.0008414068347477599,-0.0046627245894759195,-0.022582080571335483
2020-01-03,0.025125512453512577,-0.00972224359045959,-0.09657320872274144,-0.030660403705624395,-0.001070014958372334,-0.010183299705468052,0.0066136382146764205,0.003791658778290241,0.007922741370566477,-0.0436974387192105,-0.010824098116237635,0.0025440138218697506,0.004175490419250583,-0.02250810183244978,0.003427285685239534,0.0013613196756498969,-0.0014679684747518351,0.001966130441659608,-0.00031722431545766483,0.002022150345126539,-0.007232017987135131,0.00730766403328964,0.06896556186480929,0.017222803882573468,-0.002588246456571186,0.005377925291476737,-0.001930574626894388,0.0008559663342622148,0.0036732069970701886,-0.026884232151725973,0.00092294608662713,-0.003644820235550461,-0.03355699497108122,0.009030361614133176,0.0030160716926994624,-0.027929201042942053,0.001395815805206757,-0.0033281680847283557,-0.014388480225880573,-0.004763339473707218,0.004177790973384887,0.015937609649054885,-0.008583170483866587,0.00048235617061331837,0.003068637875050406,0.001729894469365556,0.007124317123510693,-0.009023713295281177,-0.011564470182037212,0.008093869494198547,-0.0038163414269507534,-0.01349081332146218,-0.04054002710189619,0.00022664072106182154,0.028133110108605086,-0.00017014934840986484,-0.005365096260811164,-0.0012246503651556218,-0.004459292554016336,-0.021916951061466627,0.025798454265286708,-0.008727435699349528,-0.059090959828746126,-0.0015571235163548414,0.0009280428053777268,0.007393841252343325,0.020814437852152867,-0.0014833322181273534,-0.01724130653250011,-0.004255150889752812,0.006576934349085128,0.007208086320267704,-0.00465122260464601,0.00043395793253364623,-0.010647192688589047,-0.015391613695913131,0.0014856318043128258,-0.008827711586261278,-0.00011165279571578868,0.00719236022205183
2020-01-06,-0.08823525272300181,0.007968037188075261,-0.04482758620689653,0.035685363891337696,0.0033206403226682113,-0.004320968951973869,-0.0013499261590150802,0.0008395145874047216,-0.01861065251215155,0.0017574256492296492,0.014058480583691413,-0.003806405458385731,0.0020786824660357084,0.00657891688757406,0.0038421177247787153,0.011397006528034881,0.006909784525072293,0.0030080877450058274,-0.011115843922366198,-0.010090924479844277,-0.006622390623371444,-0.010196088281860138,0.16308243991039895,0.01058205116276123,-0.0032721769829382463,0.004680632901364445,0.011605655672606296,0.002394739353962283,-0.008234316217521909,-0.023187409488574007,-0.014292285971136298,0.012514549527261387,0.013888629033926625,-0.004750302179672761,-0.005441066578886544,-0.00561164092321087,0.0034839545935412275,0.0037184934219902654,-0.01082316526013305,-0.0009055983428103431,0.0020805449322656155,0.005992834689570126,0.004274087253248071,-0.01461873323515328,-0.009178299827391156,0.03454210705682881,0.004993220282683897,0.010039859706596488,-0.004082216774514147,-0.00036478055406241605,0.004394300321877598,-0.0034186682924550738,0.022132471118827324,-0.003403577962803328,0.03980089184027502,-0.009710362790590121,-0.0012843606579581168,0.014101720821577013,0.003881409653385237,-0.010033444816053505,0.0079044564547337,0.00660302866615492,0.06763290310104253,-0.0003119817779796419,-0.014463324922227905,-0.008125573563974253,0.011524833113331523,0.010398172017523022,-0.0025059339416174664,-0.00011207010470393186,-0.0035935831292496223,-0.008029460735312077,-0.03037388119711404,-0.0013015189389158355,-0.002152134637234293,-0.019192083685715566,0.002968035574818506,-0.002035945219376445,-0.004405927382077013,-0.00346243685025871
2020-01-07,-0.03225809266066593,-0.004702659333002512,-0.07220216606498198,0.01722782345091778,0.00021340101349198726,-0.0028931471670650133,0.006669311716442028,-0.007129515921383112,-0.008127349055087163,0.017543927160695638,-0.002377627373584601,-0.004935638116825736,-0.007557637394754124,0.0032678557664314045,-0.009640047359277704,-0.009162664800203113,-0.013724604215595959,-0.012061939481571637,-0.008885346544444728,0.0061161569752621325,0.001999785314954927,-0.01089534715640883,-0.03081664304812226,-0.01989534348302424,-0.007584399451602386,0.00971627311300427,-0.016252460996051488,-0.02269595085242182,0.005535040018889603,-0.008080372830745919,-0.017305817192558748,-0.006845385096379553,-0.02054805421042527,0.0019371527894951335,-0.014540617308939852,-0.013092399335472571,-0.007291296727310992,0.0018902760436532162,-0.009414790151226149,-0.009580499525889574,0.0018165839623365265,-0.0171711177092444,-0.026626115484350787,-0.0063579396315617265,0.004631827029367264,0.0018784529250535087,-0.0008693706424954817,-0.0006935466359565545,-0.012085495948777614,0.008762419264470411,-0.005272402995812442,-0.005145831001359791,0.003374717365308255,0.002959663840993665,-0.026315595879124687,-0.009117703922945086,-0.0033437019753121966,-0.0006044708129521181,0.019036464091289007,0.001418964282886348,-0.0185364295348599,0.010204069061188648,0.03393667257426891,-0.010296409721110567,0.0028221980423839277,-0.0109676753382143,0.014022773843279213,-0.0005883137830908769,0.010049977618945993,0.013832170328585303,-0.00327880125347646,-0.0005278753531233749,-0.012048231130198261,0.00043444005404924546,-0.01111681910886686,0.06769756108628822,0.0027116233814834523,-0.00926476788493813,-0.01282919362760293,0.005863465056156647
2020-01-08,0.0555556518764273,0.01608622625428846,0.01945525291828787,-0.01693605213478422,-0.0029886054328286393,-0.008704625263115329,-0.00859457587475343,-0.010770744856487102,-0.00736243505566625,-0.017241444513996895,0.0024564387364098828,0.009440165329987815,0.002538439384862423,-0.029315863664382324,-0.009017989758747569,0.013204215244621453,0.025462467004267353,0.002969391528420129,-0.014150227776201008,-0.006078976997695107,0.0063208298601946655,-0.010214274396461498,-0.04451504504380799,0.030982903043820897,-0.007984186456584164,-0.0015818335160687758,-0.11273086192332227,0.009079859621454522,0.011009082770283118,0.0056007697902302755,-0.008091578624542795,0.014359530801513642,-0.006992779042776065,0.008214800491469942,-0.005113224744734857,-0.00617591328053424,-0.005946226542447475,0.009056206279758117,-0.0023116400167986217,0.00026122130886019335,0.010231757136363706,-0.00534848574670288,-0.00672657957125089,0.005742617442171749,0.006851629384140301,-0.006873751601085609,-0.00045581251035142767,-0.026601736165886347,-0.011442201888403947,0.0010859167057450936,0.006202786223240775,-0.015517024341950014,0.0148542937088465,-0.004086241096316723,-0.009827963897250047,0.006250128904918828,0.008000166484743332,-0.0024199057834651816,0.022183453443153534,0.00047224925618416513,-0.012106344688057824,-0.004328999049527993,0.026258179661174275,0.010403528715308585,0.0050658464368522615,0.0036076044374380167,-0.006050103428743681,0.006472683966482373,-0.01741299063131163,0.0005548347938324483,-0.0036184844098015034,0.004225532911735774,0.03902465923336407,0.00911843920700961,0.0018457382101133568,0.014484169840449868,0.000983678822306766,-0.0034315683518889584,-0.006299340590613323,0.004102031513556037
2020-01-09,-0.021052692438791043,0.021240969696261214,-0.003816793893129722,0.015661691628487295,0.005031435624863523,0.023834399874688383,0.003250855876525849,0.0010677840263799698,0.0038282409994740974,0.019298269683378333,0.0005122068456480111,0.0020604330632163492,0.003574417581413636,-0.006711449165111016,0.007511398655161594,0.017093124567384654,0.00851737444349765,0.005461860854368394,0.002081789417261115,0.008155147956818487,-0.0029752438382699697,0.006272639985651862,-0.006655622267083161,0.01554410136105644,-0.0010351551573160034,0.0052814249546737635,-0.01314352896474047,0.011247574036468144,0.009074688729851177,-0.01113897240834838,0.010076898131917256,-0.002095572268021373,-0.03521141677169615,0.003629726831540836,0.00719517531492353,-0.01288812855967092,0.0007037632057145249,0.016528001555044636,-0.009526184237040325,0.002875306926156229,0.0005130911461148635,-0.030708257378929238,0.008803739739725591,0.0021206257381802818,6.347828784925014e-05,-0.0008388718700022002,0.007835601590818975,-0.009981170482964763,-0.0032020925197209227,0.0032536176204749356,-0.01647614717687662,-0.014010596208480997,0.006904069544094726,0.0045538409394154655,-0.007444369591258604,0.00793660734721402,-0.004352361673386151,0.013947710303495953,0.006567882468797359,0.001483687769856079,0.008088342427539086,0.0014490111168425912,-0.008528776410449246,0.024649015111795736,-0.012880528425887716,0.003993431929098845,-0.019999960194463262,0.0037999409506601634,-0.004050644098134493,-0.00033267277288140384,0.000495330293703633,0.019284696926198608,0.02582146599980084,-0.0086057171009436,-0.004145887059279985,-0.00029123909704953377,0.0,0.010330261111959782,0.003997684088591802,0.004729761729806103
2020-01-10,0.0752689052461859,0.0022604776830728035,-0.026819923371647514,0.0,0.004899886742054882,-0.01633659448265634,0.0026100435642852915,0.007037519911664125,0.0014301284161017946,-0.013769350171074612,0.003363460903254678,-0.009807190921249376,-0.00148417382378363,-0.027026975201972392,0.0050177370650177355,0.006472147474978707,0.004151287313533869,0.0056937259577409804,0.00317097587043369,-0.07482297368140511,-0.007957616221813457,0.00020120824156610873,0.03350083941625903,0.0,0.007021219124553557,-0.008405777372814227,-0.018867783007369354,-0.002053583869036535,-0.01408884760356266,-0.006656558036068128,0.011876531291755699,-0.0024818444036106557,0.0168251579719203,0.010643030763135775,0.008310533662009734,-0.011424937593047746,-0.002813073085525808,0.015303167859455513,-0.002079687520272211,0.0005211498364341427,-0.0065350378291666456,0.01226574648925971,0.0016784489745300668,-0.0014652599019816526,0.010428963205539876,0.004197974862173659,0.0018925078415310548,0.014642375375291339,-0.004188995207720536,-0.003963936684086566,-0.017891734479738908,0.019538067281875238,-0.004936967832733008,0.012133860126500196,0.005000056666621955,-0.0020541060656287247,0.015428180173608474,0.0041869303664940904,-0.005389949326115917,0.0013467807962437295,0.004376403108439675,-0.0028942658608023253,-0.051612955490995094,0.01979298181664846,-0.0030255387728916894,0.0039777359647334976,0.038154333099893245,0.004950593267669223,-0.02033525763857269,0.009205015185218102,0.011219179336394935,-0.022830243626699276,-0.03203668989180264,0.007812397487410916,0.0023787278881213236,-0.009909728491025005,-0.008843024490784668,-0.008350156421223609,-0.0038681999692665725,0.00192620924566822
2020-01-13,-0.009999966295404339,0.021364401557490753,-0.07086614173228345,0.0015419817793063118,0.0030740583301784863,0.012040727695701081,0.010324297794805704,0.008470948817410395,0.009639375371683245,0.013961592223343589,0.006339510861808506,0.012140838000824328,0.011890911635073165,-0.038194451287470677,0.010271121893153268,0.01037626702282024,-0.00014259321452847473,0.016463451446955935,0.011989102452210743,-0.005464787848767361,-0.0006681810356596873,0.009650049008539607,0.050243106761616474,0.0,0.00342899010974973,-0.0017218465952653084,-0.05316767868275052,0.031378552178231045,0.008209158973084385,0.011855485480840144,-0.007981316502631342,0.015502302204485341,-0.03597130252877767,0.010531546190786889,0.01098899827598343,0.015094478907749842,0.0021157565920690846,0.006811832907826831,0.01484773913970705,0.010419386086353066,0.015348276258401183,0.0065155665757752335,-0.00022389689167356952,0.021519711594241597,0.025300807567458117,0.01484123165902207,0.011701888486741474,0.004258417495626388,0.015278684942979348,0.00795925284326282,0.0134601483279424,-0.013937453401451805,0.013230239253329223,0.010856808717686572,0.0024877085307126734,-0.0008577807171897822,-0.002025766974848464,0.005955883685187846,0.026810876455861665,0.004035010866371813,0.0021787070037604384,0.014513948073023863,0.01587305534771266,0.038220325922524,0.007587015077052728,0.012546237368468383,0.04102568407997209,0.012170372666852947,0.019719701017885338,0.038461310431413764,0.011094858267848062,0.00445869720109715,0.021276524362344507,-0.0038759706071187505,0.002712533612315271,0.01751546742857113,-0.01610904837927174,-0.004296603880486027,0.006909644107102153,0.016659326759104198
2020-01-14,0.015151432044923752,-0.01350334715332202,0.09322033898305082,-0.007698185493255183,0.0036987490304905,-0.011076941856971168,0.0023990862070220054,-0.0012600118136764094,-0.005893209104865571,-0.037865712970455045,-0.0008689397978887126,0.009627419163013684,0.011897579986341444,-0.043321328406294324,0.004941925960094684,0.0028696426944971876,0.002138505721980266,0.00032044645999462773,0.0024770162717921984,0.012087979130582127,-0.003679026142298203,-0.014336680339771424,-0.024691314818973575,-0.040816384124437,-0.00011356790168215447,-0.004511089773673094,0.028673879192486318,-0.01113886596489655,-0.009348667126613641,0.052980297757606376,-0.015617794359078396,-0.001130932721834066,0.02238819594981467,-0.005745232990553628,-0.006865228302057824,-0.009293800569952881,0.01477810766864307,0.01230765519693544,0.004619826487098466,-0.0029647001920638516,0.009781850576733087,0.00961866592429228,0.004692549996066164,-0.007181665618075539,-0.007550368328071544,-0.011946366003815156,0.005397544247533137,0.008951513965190339,-0.0029193420702140482,0.011486441849765994,-0.0010304033577633875,0.0,-0.004080645884906753,0.008279418107452141,0.007444054935176192,0.0022317560859581587,0.016747139340107076,0.010657118077648242,-0.008055532782153207,0.0,-0.0018734020522679362,0.003576576768755002,-0.022321407189022646,0.039976973579189945,-0.018260482566794023,0.013042721492442233,0.002463032201932114,0.009161266233517429,-0.0005091335772889893,-0.006137389924030234,-0.011941326780586015,-0.017223167978312914,0.011574224849778547,0.0,-0.0018597466084803171,0.001157144673836541,-0.0025189004926706726,0.002589129682843083,0.0012474680480598632,0.00777325517046612
2020-01-15,-0.04975120268648059,-0.00428534511371359,0.023255813953488413,-0.024825495731216285,0.01705601177599303,0.007052482037847474,0.00833248053065283,0.009672099925151167,0.012331012534933405,0.057245024345137896,0.0048556936682468965,0.015163176921428434,0.011757629732276786,0.04150952227019333,0.009413871514691863,0.006819551597591733,0.007255935256328172,0.0026877874909094768,0.011925352703283876,0.0043433379368091884,-0.0010072373182445915,0.016363361667757426,0.02531641027516396,0.026595745760156664,0.013442500127955448,0.025323463148608782,-0.017421428128856498,0.003362545997912747,0.006392615599108087,0.020803011269411753,-0.0019229053731844026,0.006981302972161263,-0.036496117711514287,-0.002150061539766157,0.0172812015667132,-0.0070354742690723615,-0.01907055026661375,0.0032704913236023536,0.006132156853079662,0.013187057912765088,0.004025594002720512,0.004314259316125835,0.017902810806174063,0.017199828159250474,-0.00581376069794981,0.002918628488335351,0.015541297077187766,0.016110554180216896,0.007212675496522047,0.018097843465264107,0.017535703366848177,0.00883430748484626,0.005190373579595953,0.005770068472659151,0.014778100875596722,0.012161729490183237,0.014973840501426583,0.022261120991202032,-0.01624196433151981,-0.005157429716823203,-0.0007318270382098424,0.005701801716676336,-0.0022831572193035,-0.008573046863914802,-0.015723814920755363,-0.0033473028543157257,0.006552000283056136,-0.009645510757588793,-0.007128144841841211,0.004152406054907187,0.014045399403338932,0.010840255637600604,-0.038901878839594284,-0.004755695625441758,0.0010161873899021678,-0.03669981049153637,-0.0017676501084398222,-0.007746363521630939,0.0026293308946065963,0.019178672825009402
