Date,BVFL,CRVO,PRPH,DYAI,AACG,ARTW,ICCC,OMEX,AEHL,LDWY,ISBA,LINK,FKWL,TOMZ,INTZ,IPM,MGYR,SCWO,DXR,LIXT
2024-01-02,0.006346978184128771,0.04849277588591416,0.026548647359614375,-0.012422348291186713,-0.16379305472271766,0.0386474225626221,-0.017681758328068398,-0.00645165789098312,-0.15057913806840373,-0.039045618213151556,0.0009301664822354283,-0.030540464426645042,-0.01179943658234306,0.019801961500356402,0.0,0.004273500354724069,0.006233446099561446,0.05633806009374043,-0.010416705989173769,-0.02553189158061786
2024-01-03,-0.018220057501146192,0.07500004768371582,0.012931022522848945,0.006289302046118772,0.0721648775032413,-0.004651158148691992,-0.006000041961669922,0.006493552067419417,-0.05909087441184302,0.02708811897205954,-0.0009293020765919202,-0.03069469822157833,-0.020895516179153195,-0.03883491549912932,-0.039999961853027344,0.012766047245027501,0.007964532394234114,-0.14000002543131507,0.05578944557591492,-0.013100424405900424
2024-01-04,-0.0014275843994948634,0.09302316297384028,0.027659599939695356,-0.012499987892806708,0.048076993614966756,-0.004672892510771409,-0.048289694416447704,-0.02580642647268594,0.009661780107220741,0.002197747609997913,0.0046511219421427885,0.03166669795910715,-0.0030487690976606086,0.010101000370632551,0.04166662527455389,-0.016806806028663912,-0.0035118704314205385,-0.05426351574634625,0.0,0.013274323679807187
2024-01-05,-0.0028591824522832265,0.0,-0.016563131463710468,-0.025316506313829312,0.018348605792718242,-0.03286392859173648,0.010570864806181746,-0.013245125129748625,-0.08612436698154957,0.002193032677044293,0.0,-0.014135718566849365,-0.02140672108761965,-0.050000011920928955,-0.039999961853027344,0.012820501064172207,0.022026435559725943,-0.1311476082610863,-0.017946097337346978,-0.01746723254120064
2024-01-08,0.0035842431124375462,-0.01702126105374524,0.10736846923828125,0.025974079255291826,-0.05405410920322551,0.019417457749564715,0.002091998243882731,0.03131998879059261,0.015706766024549346,0.026258179661174275,0.0,0.015485389970572916,-0.0156250164249786,0.052631592156154205,0.04166662527455389,-0.008438810925003759,0.0043103455631581244,0.17924534667637726,0.0060913161034243934,-0.017777760823567745
2024-01-09,-0.005714280264718208,0.02272727741870484,-0.030418311271305787,0.0,0.05714291877487354,-0.004761900436850985,0.05010443629784023,-0.02386119963743827,-0.020618537443073293,0.0,0.0,-0.03065976895517364,0.00952385020511759,-0.050000011920928955,0.0,0.012766047245027501,0.01287553866850133,0.015999984741210893,-0.01109986461866308,0.0045248824844552615
2024-01-10,0.009339088629913839,-0.01798942642594248,-0.011764694882648974,-0.01265829088137238,0.036036001204980295,-0.014354053886023399,0.0,0.031111081441243416,-0.00526317797209086,-0.014925409553803393,-0.0013889824173981546,0.00940563559415497,0.009433926623655164,-0.01052630588288439,-0.039999961853027344,0.08823520572717469,-0.0033897639730462448,0.007874008357040552,-0.010204120359535218,-0.06306310950447058
2024-01-11,0.0,0.012931022522848945,-0.019841251069335764,0.0,-0.11304347645808255,0.004854364437391068,-0.023856929898778745,0.0021552218037907966,-0.021164001407603106,0.01731600123110688,0.0013909143730064244,0.0050300870975823475,-0.003115253138363583,-0.042553214424603025,0.0,0.2393822951830149,-0.02721102176669643,0.01562498544808455,-0.0072164635258401555,-0.0096153757981291
2024-01-12,0.0014234522290286211,-0.0648935831310834,-0.008097158176053498,0.006410326948300238,0.03921564960882984,0.009661826846140142,0.0407332570911807,0.004301071078780971,0.027027027027026973,-0.014893552694667744,0.0,-0.0015590614117555468,0.0,0.011111167036458314,0.0,-0.04049847753770208,0.0,0.0,0.01765317489861884,-0.05825237324869392
2024-01-16,-0.00426435445940021,0.04095559251872327,0.020408143405366452,-0.031847178251670494,-0.00943395377648304,-0.01913873851469783,0.03131112392008295,0.004282651092028633,0.11052633586682781,-0.002159876594958421,-0.00046302616030557964,-0.030487124822423994,0.006249976535744883,-0.12087913311531129,0.04166662527455389,0.05519483133278458,0.007867152076932005,0.0076923006385032355,0.01632651472429325,-0.07216500039941254
2024-01-17,-0.0014275843994948634,-0.009835978433410109,0.006000041961669922,-0.032894705884013775,0.0,-0.014634132725648952,0.017077827877348017,0.004264388205224678,-0.018957327549697922,0.02813855360630302,-0.002315722724135716,-0.0176301914766962,-0.018633545470880253,-0.012499987892806708,0.0,-0.021538440997783903,0.023417229326464284,0.04580157603787627,0.007028081782742834,-0.011111100809073515
2024-01-18,0.0007148126551423939,0.004415006622562556,0.0,0.054421715747644095,0.02857151615376763,0.01485147112526719,-0.001865714297152321,-0.012738841251293542,-0.0869565738196415,0.0,-0.0018570708565298633,-0.015961990112993485,0.0316455277522909,-0.06329115261120022,0.0,0.01572325511529682,-0.010169459679406745,-0.07299271787868722,0.0,-0.028089861303337904
2024-01-19,0.0,0.021978000096834593,-0.01590465153206444,0.0064516069489635175,0.009259250061012025,-0.004878044241882984,-0.05233639961913639,0.0021504842665789337,-0.10052908237455427,0.0,0.0,0.1280140572674291,-0.015337366791658313,0.12162158461362504,0.0,-0.0371517409501696,-0.01455484733913781,-0.007874008357040663,-0.007976064390418092,0.2427746078979116
