Date,AACG,ACIC,AEHL,AIRT,ALOT,ARTW,ASRV,AVBH,BHRB,BMRA,BVFL,BYRN,CALM,CFFI,CLWT,CODA,CRAI,CREX,CRVO,CRWS,CVV,CZFS,DXR,DYAI,ELTK,FIEE,FKWL,FRAF,FSFG,GBLI,GCBC,GIFI,GREE,HFBL,HGBL,HNNA,HROW,IBIO,ICCC,IDN,INTZ,IPM,ISBA,KINS,KOSS,LDWY,LFMD,LINK,LIXT,LOAN,MGYR,MNSB,NAII,NECB,NOTV,OCC,OMEX,ORKA,OVBC,OVLY,PEBK,PRPH,RCAT,RGLD,SAVA,SBET,SCWO,SFBC,SGLY,SLNH,SMID,SSKN,STRR,TAYD,TOMZ,UNB,UONE,VIRC,WFCF,WVVI
2023-01-03,-0.007874008357040663,-0.05660374824142411,0.2542372881355932,0.0,-0.028081097133144883,-0.01036268469951196,-0.0025381253525126324,0.0,0.004243220158519856,0.023880646090170154,0.0,0.007653053777012531,0.01910022249339849,0.02093711513962937,-0.0629370159243482,-0.030612249862944085,0.005799222492849587,0.01724136277318622,0.055335977318886176,0.01685382531889079,0.023593399673985216,0.0036496272586261647,-0.01746723254120064,0.1219511982374859,0.03406314468059746,-0.052631578947368474,-0.03363232178351816,-0.011357522052963143,-0.0025001269497761935,-0.008580116294775064,0.015325370873767952,-0.02923978401972782,-0.0344828068146934,0.0,0.025531993035336376,-0.013095344688362154,0.001354979930841882,0.49999994581396057,0.0622951017019413,0.04499995708465576,0.00949364662781682,0.060606000399351156,-0.04255320931814921,0.051851810366752904,-0.002020152006058873,0.07938545031225508,-0.025773231984957512,-0.02818646399686975,0.0,0.022514329884148365,0.0,-0.009093943044353514,-0.022646069878749286,0.0020105387243374295,0.02226723324701685,-0.05429869769517204,-0.0644329877902654,0.02109707219507162,0.01816794456345261,0.00353210507363233,-0.006142429622562728,-0.006230573094877179,-0.019148943320611567,0.03646209989309512,-0.06025729964381521,0.09677415054538385,0.013986084524057807,0.0,-0.04761900436850974,0.15384615384615374,-0.003414619259717977,0.012658215623466695,0.039328384003657346,-0.06412965992402997,0.12244898207432908,0.04081618217727945,0.028571347726199514,0.02876112634310113,-0.02290627361359343,0.0
2023-01-04,0.007936500427734305,0.0100000055713787,0.054054054054053946,0.00323624295826086,0.024879648368187457,0.015706853991273695,0.00508902975132508,0.0,0.014084664097163913,0.0379008377528236,0.0,0.008860720756860063,0.03135689633735983,-0.03597253414950918,0.0671641255645492,0.01654137322359328,0.00657786877873856,0.01694913656104502,0.0037452849081103246,-0.003683230471572152,-0.02127657595741339,-0.012986969445245022,0.005555576748318192,0.007246369925949514,-0.0070588128362348845,0.0,-0.00696047509802733,-0.007845315270655018,-0.009022617664206534,0.04370418696200895,-0.03876484357580634,-0.014056259315918695,0.32142861096226505,0.0029224524929987172,0.07468872279171723,0.014475460698170517,-0.01962110738108447,-0.04545450276251273,-0.02777775120506243,0.02392353721925211,0.03448277099134356,0.0642857392223517,0.0,0.031690116740606955,0.05263152814434768,-0.02253861532376955,0.005291000285156278,-0.02585122092948533,0.1176470423239735,-0.005504454840860484,0.0039002777513450493,0.00036706327241975423,0.09146341676161729,-0.02274234955999721,0.01980196056547401,0.014354053886023399,0.0,0.02066105962982312,0.0,0.03387589404143165,-0.0030903266905595306,-0.0146289858007157,-0.0021691694907222114,0.02045699567116399,0.0734869953659536,0.14705882627933775,-0.017241444513996895,0.0033105555443402324,0.1499999761581421,0.19999999999999996,0.0058736627553728216,-0.012499988079071045,-0.0008503595822452192,0.015060226904115348,-0.03636370926848953,-0.03561415753053809,0.023504302895125173,-0.006451715285959003,-0.018315018826859042,0.018425483648278895
2023-01-05,0.03937013565078695,0.0,-0.02564102564102566,0.0,-0.006264751332231477,0.03092780464424627,0.007594893985537032,-0.02173916649052099,0.02361118156054376,-0.030898847433671772,0.0,-0.0037640820277198284,-0.023938432706071655,-0.008195203717780819,-0.013985993837707711,0.0340235997705538,-0.014925205481969961,0.0,-0.005597024441225673,0.00369684681039284,-0.012681190562183198,-0.01315785004170178,0.026519311166851578,-0.050359664721725594,0.014218105143775306,0.11111111111111116,0.12149531241228306,-0.0031065629042422716,0.0065757645167894285,0.0029021261266657383,-0.030157036843665108,0.008146631995133324,0.08108106714865881,0.0,0.06177609696253805,0.003567003983295791,-0.006901271868529069,-0.04761907645273733,0.006349200101906982,0.014018677532314339,-0.06363637519605236,0.0,-0.011111091662324712,-0.017064751916645027,0.019230843295715117,-0.02063107779320683,0.0,-0.033268492730986976,-0.08771930118089977,-0.012915411949835032,0.0,-0.022752478575029378,0.008938539152060887,0.019849412670821076,0.011650474110381559,-0.04481122420749439,-0.03581270257368574,0.008097140560202831,-0.03159855380045751,0.0,-0.0065096921435443544,-0.0572640450029086,-0.010869554654186486,0.014178078110320458,-0.017449616232484533,-0.07692304557283591,-0.09122806988191001,0.0,0.04347832396711104,0.02777777777777768,-0.009732304769634048,0.0,-0.008510670763380968,0.04896148542279044,0.01886802001456611,0.0248961370569889,0.054279797693621346,-0.008657971811283915,-0.0037312864540238744,-0.011513107845822268
2023-01-06,0.06818175044926988,-0.019801991121220608,0.026315789473684292,-0.02096768412952066,0.02442871787765144,-0.004999995231628418,-0.005025029490312916,0.0,0.07191320801400258,-0.026087000389555248,0.0,0.0352645097972919,-0.016290868470645425,0.03709548313321909,0.0,0.02718169720198227,0.012366767495933795,0.0,0.007504743023833527,0.007366571394773258,0.06422025572821433,0.012799873329925715,0.007534951034623649,0.09090909090909083,0.002336329101767065,0.0,0.03124983105737167,-0.0031161224567374246,-0.0055277511167863835,0.11575026818580803,0.0005519141209366918,-0.006060552348919224,-0.02499997615814209,0.028554539815189628,-0.03272724151611328,-0.005924013458530331,-0.009729002083569527,-0.0999999841054281,0.009463713144399533,0.04147461336638236,0.012944971633281233,0.046979820667626404,0.004943673802688453,0.08749987707261808,-0.005660416741266161,0.0,0.015789458824326585,0.03950181307704037,0.03846159489197354,0.020560783997284116,-0.0015540028332856615,0.009388083645044398,0.044296853159814686,0.021476528182264865,-0.019193839520226796,0.02222214111412235,0.008571420397077256,0.024096488501345492,0.011516358899701151,0.03319160156612133,0.012792650214503931,0.04049489794987915,-0.009890113273056667,0.03534385995331557,-0.024248667184803674,0.05555550159250355,0.1389961951523333,0.01522819049618973,0.08333325054910778,0.0,0.0,0.037974646870400086,0.009442112785703172,0.0021216217993487163,0.0,-0.03805656690962078,0.041584164399093515,0.0,0.018726591225196376,-0.014975066416034966
2023-01-09,-0.0070921919858044635,0.0707070479690699,0.012820512820512775,0.009884669041635208,0.0,0.040200966493803225,-0.020201973892688407,0.0,0.0,0.011904821881092875,0.0,0.04987832531546954,-0.04167411503705187,-0.006102693750483668,0.014184376439177804,-0.016713076382739778,-0.043443081583885435,-0.04999995364083065,0.04283045316991618,0.01096888831581655,0.04310344685839129,-0.002764777113423156,0.006410301476228897,-0.02777783296726144,0.013985992996613739,0.0,0.010101118948735666,0.0,0.0,-0.01815500206695031,-0.03438756043579938,0.012195110131936637,0.38461537521031275,0.007932162747071203,-0.02255645836920439,0.0,-0.028771919116639233,0.037037001061669184,0.023437514551915006,0.008849549119871458,-0.02236418123493089,0.05128208067290285,-0.0022360344719779546,0.008940013998156582,0.026565439656981216,0.02230487137331938,0.0,0.025763235871325785,0.037037001061669184,0.0036632113473618055,0.0038910145298989285,0.005952349025990511,-0.029692542691841295,-0.003285234702332107,-0.05088066968464455,-0.024154567115350467,0.002832858511134795,-0.02352950993573666,-0.00948762138351622,-0.0037067412127813615,0.0006159399986971348,-0.019459492451435856,0.01775801599759519,-0.019071893138195906,0.008750437615345552,0.0,-0.03728818024961533,0.012249940517420566,0.019230843295715117,0.054054054054053946,-0.02211305918938533,-0.012195052453833122,0.06760204598818587,0.00564572500178695,0.01851850012202405,0.005892087585375405,-0.007604645807912647,0.03930130032322321,-0.03750001577769968,0.011824272621976162
2023-01-10,-0.007142850452539706,0.13207554883044836,0.012658227848101333,0.1048123836396786,0.00923076042762161,0.014492740269210325,0.002577304828032867,-0.0024690981264468004,-0.025316515714496446,0.04117643016432515,0.0,0.042873682578514316,0.018040300060034875,-0.0025583551004793037,0.020979121720552607,0.002832858511134795,0.02275033189540432,0.035087685053246886,0.032142913098240466,0.007233359937174555,0.04132231274684206,0.029703018661984437,-0.035031838750885114,0.057142888769811995,-0.004597694344633307,0.050000000000000044,0.010000010572054796,-0.007104134637740622,0.009600938520963664,-0.03773584754403014,0.013140345974871126,-0.004016060411629163,0.09259259095734862,0.0,-0.015384601277006582,-0.0023838785525174266,0.028901706222559387,0.10714284193759038,0.08549617198052517,0.0,0.022875779309294186,0.024390220854836775,0.015239815702912107,0.11392404005676049,0.00554532544445463,-0.01575758962920215,-0.015544027049267939,0.004646692455127166,-0.05357137839404824,-0.00912438235153934,-0.0031008560812619823,0.008505951597796546,0.041530068883429694,-0.001318384220549973,0.1525773737126257,0.0049504903750889895,0.00847456828052251,-0.012048125561621714,0.002682100002863841,-0.0024804101799247302,0.005234153454558799,0.017640557088818065,0.10141766105782835,0.018952619417834216,0.08396946918526704,0.026315807085398824,0.03873244254888619,0.0,0.07547162342173652,0.02564102564102555,-0.030150773516147478,-0.012345725525951368,0.05973715505931243,0.018947400544819137,0.018181800448205276,-0.0008369031758843626,0.007662919597304585,0.01680685467712828,0.040488901970441304,0.013355660033402383
2023-01-11,-0.007194237817389371,0.12499996130987223,0.10000000000000009,-0.01808784674633357,0.0007622125738615537,0.04761911790117157,0.0,0.0,-0.012337731042239453,-0.13841808328163108,0.0,0.025555504692925446,-0.020705321866930637,-0.004617077419888704,0.013698609051024047,-0.0014123943718128418,-0.0035558198363683235,0.03389834047197171,-0.005190320172774543,-0.007181414183527246,0.22222215494361297,-0.012820361478016462,0.03300332075896106,-0.027027000903735332,0.016166372093166848,-0.04761904761904767,0.0,-0.006296579439173389,0.012512520731046584,0.018039153285316134,-0.0075187728856815905,0.006048333213803492,0.11864403355090847,0.0,0.03125006402842834,0.0692953214811558,-0.009129221666462795,0.1935484391965694,0.06329111122571884,0.10964912418293271,-0.06709260464245015,0.07142857649699375,0.02649021336413715,0.0,0.023897079609102256,0.016009866536096373,0.01052630588288439,0.03249985264616306,0.07547162342173652,-0.0036833390678465694,0.005443279193207751,0.015034825949185704,0.026232949318462984,0.0013201246520604393,0.31305902544382525,0.0,-0.01960782480441492,-0.03658533948223819,-0.004967603029910839,-0.00580195965506114,0.0,0.007584035966438973,0.029702942250534603,-0.0024052157160655563,0.13924457148976566,0.0,0.0033898272208872093,-0.02025195077386921,-0.08771930118089977,-0.025000000000000022,0.010362734240704219,0.02499997615814209,-0.03682831368307937,-0.018595072262501566,0.0,0.019681966815490837,0.0038022775772321715,-0.004132263320172358,-0.012481650346722217,-0.008237263479545898
2023-01-12,-0.02173910977784832,-0.051851880383831706,0.0,0.022932281738908156,0.0068545431685795855,0.013636350336153846,0.010282717614378267,-0.004950513747167595,-0.0006574246617420121,-0.03278685449048113,0.0,0.03900331833216297,0.04266686643490325,0.007558992510114493,0.0067567043169547425,0.041018381161493034,0.012199249061852546,0.0491802798135097,0.029565230659816644,0.0018084755521761142,0.07272732902445922,0.0006491976000364552,0.060702840679824455,0.027777750183035854,0.013636342148466651,-0.050000000000000044,-0.003960381153499615,0.0,0.004448713155979167,0.0015410972216141072,0.018939332755801175,0.0020040539760575182,0.6060606870660015,0.0,0.030303000199675578,0.04357537754469876,0.018426664437146023,0.0,0.037037065069791986,0.03952574868853298,0.010273946206238005,0.15555554378179814,-0.01161299429711471,-0.017045441760248137,0.07719924866902939,-0.039999990752249026,0.005208328482694924,0.0,-0.052631530515153124,0.0443625804416834,-0.0023201486780553005,0.01661856400383188,0.014314963920783352,0.016479905248522053,0.04087189477672326,0.029556622475449545,-0.07428571156093056,-0.008438853817750891,0.0,-0.00041682028893685885,-0.0003063719543165977,0.009677435563663073,0.048076993614966756,0.018886229208713523,-0.042989569337937295,-0.025641042361154165,-0.07094595791912128,0.0,0.0,0.46153846153846145,-0.0056410569411057265,0.036585389964996606,0.015216594216439505,-0.0014035408956962758,0.14285711244661004,-0.005338833682886679,0.04166662527455389,0.0,0.014869874505675895,0.006644511956771071
2023-01-13,0.01481480042466754,0.17968750755666596,0.011363636363636465,-0.0624769905472331,0.0068078782730705,0.00896860123562826,0.012722574378312812,0.0,0.0,0.016949136104436047,0.0,0.03649629011746791,-0.011691685675979335,-0.011935247647241187,-0.026845598217812516,-0.013573402697589554,0.008198797307370498,0.046875018432426474,0.04054050135560283,0.007220085680125443,-0.008474654547075189,0.005451218468896624,-0.0622489842554691,0.10135133393582363,-0.02242148980761627,0.05263157894736836,0.0059641444364681995,-0.004608151198693178,-0.007874149359039517,0.04999993054816221,0.003717460332908873,0.0,0.0,0.0,0.011029401130226768,0.0010706103409532375,-0.0048712383703332085,0.14864863384545002,-0.05357143726015212,-0.003802368230680364,-0.013559309102721184,0.05769236941309597,0.0008703395038160977,-0.005780342409986372,-0.006666660308837891,-0.0075757502779744135,0.041450800564520884,-0.006053219702922941,0.05555550159250355,0.02477877261567163,-0.0031008560812619823,-0.005685969931433554,-0.01713710433331528,0.011024615421017625,0.06282722872536994,-0.03827747702939566,0.018518500803375026,0.0,0.0,0.001251066035369952,-0.001225410322818199,-0.003194961187284906,0.059632968826334176,0.014749883848529155,-0.0017616374301754334,0.0,0.10181817141446192,0.0,-0.03846150319251662,-0.19298245614035092,0.022692137591944217,0.07058828017290897,-0.023443528040736572,0.004919230551678089,0.07812502037268176,0.01156054858078348,0.039999961853027344,0.0020745538052455714,0.02051287138978375,-0.006600653833452097
2023-01-17,0.007299263086460783,-0.11920528443835621,0.022471910112359605,0.003528034174064665,0.0015025922959310822,0.06666670905219174,0.0025127530369608575,0.0,0.006052554643140695,-0.013333320617675781,0.0,0.001006059286116301,0.04177432192333619,-0.003451333918361721,0.01379308266429713,0.03442106099011433,-0.003903337019918407,0.0,0.03084414009434777,0.0,-0.0940170382833303,-0.01123021638113575,-0.029978557644199877,-0.018404890477013436,-0.0022936879225909923,-0.050000000000000044,-0.011857663590969736,-0.008969963061470243,0.013889204176473768,0.09890105785466874,-0.021296284121269937,-0.011999988555908225,-0.07547171339100844,-0.026981678518544272,-0.0036363601684570312,0.023529229491636716,-0.025874117526152873,-0.14117644814883956,0.012129400493597231,-0.01908395209933933,-0.006872878361431578,0.07727265190487231,0.0,0.011627898052223085,0.006711402952518153,0.0292620884435848,0.0,0.061144888284856425,-0.017543843505051004,-0.04490493955901542,-0.001555211417657465,-0.00964975757672959,-0.03384614602113378,-0.01988446422388135,0.06403946614438505,0.02487559828533148,-0.027272701657507614,-0.004255337076408461,0.00038391184314212623,0.0037484248453445446,0.00797549049658608,0.016025702746429227,0.0216450015388836,-0.03723287588939206,0.0170588773839615,0.07894742125619669,-0.023102288417082395,0.0,0.10000000000000009,0.08695652173913038,0.030761503413942348,-0.04395610499304026,-0.012987010062483817,0.0,0.08695652549493671,0.0134694943015643,0.02797208568497278,0.035196814312035585,0.012203881735076472,0.009966767935156495
