Date,FKWL,LIXT,BHRB,ISBA,DXR,IPM,LDWY,TOMZ,HFBL,SCWO
2022-01-03,0.05949667822584326,0.09243700980938208,0.0,0.009804088985651882,-0.025686444892195515,0.09859154220139099,-0.14731367546661245,0.048484875194735544,-0.03042170960854995,-0.06315783661818375
2022-01-04,0.019438319390005177,0.03846153846153855,0.0,0.0,0.017272689125754637,-0.016025626330215204,-0.09095532966310871,-0.08092484633026953,0.0,0.11985015883856054
2022-01-05,-0.027542322838653988,0.6370370652940538,-0.006818182365526226,0.0,0.009830260453664419,-0.0358305855009039,0.12465072809758126,-0.06918239748170008,0.0,0.036789262456513594
2022-01-06,0.0021785887929095527,0.004524904060796864,0.009153399645939864,0.0,0.017699097866309854,-0.020270250677801416,0.06262416843821628,-0.033783831676485354,0.02884603494130955,0.1129032754253041
2022-01-07,-0.01304343056943369,-0.03603608634755984,0.0022676537912917905,0.0,0.0,0.006896544920278691,0.09260998724538605,-0.013986001160915085,0.0,0.3536231918110613
2022-01-10,-0.015418498006043446,0.168224319889823,0.0,-0.007766925828239235,0.0,-0.04794524015282309,0.045376688281106636,-0.02127657595741339,-0.028529100074852876,-0.004282651092028522
2022-01-11,0.03132000936154733,-0.07999999999999996,-0.00452504634408557,0.0,0.0,0.039568393757721365,0.03890257002339981,-0.036231849629747126,0.0,-0.010752728969764092
2022-01-12,0.0,-0.06521739130434778,0.0,-0.0007827274670514361,0.001739170240319332,0.010380612560830782,-0.11430829444018797,0.02255636873816247,0.0,-0.010869503246587309
2022-01-13,-0.004338482527652898,-0.03255817502043967,0.0,-0.007050514337709535,-0.013020882486467267,-0.027397315080268658,-0.0008900111716138026,-0.09558823078252043,0.032911041705583566,0.017582400077467586
2022-01-14,0.004357386974909838,-0.05769225478877493,-0.004090764920378298,0.0,-0.001758971353619465,-0.014084494035883521,-0.1358575073834355,-0.040650464024575284,0.0,0.01511872421037097
2022-01-18,-0.04121485433039351,-0.06122452752980356,0.0041075680155242544,-0.012228625942190097,-0.00881060600077066,0.007142850452539706,0.17474233833278263,-0.050847411395418596,0.0,0.0
2022-01-19,-0.04524891895732397,-0.021739110153428554,0.004545615464725872,0.00039915164943638004,-0.022222222222222254,-0.0886524843681531,-0.12812636941600486,0.035714251502436234,0.0,0.042553254089081616
2022-01-20,0.007109035771332595,0.06111113230387377,-0.00859730036361639,0.00918167401690373,0.014545440673828125,0.046692656457094195,-0.06945148514490329,-0.008620681681899223,0.0049019513477452925,0.0
2022-01-21,-0.016470584244584252,-0.020942387986459976,0.001825666391608971,-0.009889406438884474,-0.007168452042999429,-0.10037173798631849,-0.04813409414091174,-0.08695654427396826,0.0,-0.03061226376490178
2022-01-24,0.004784671393128104,-0.02673796682355889,-0.00410024355253602,-0.0011983915841559112,-0.03068593456038282,0.0041322273338813,-0.08181821038900261,-0.028571402621105912,-0.01658512122941702,0.021052611501593432
2022-01-25,0.02619055192309583,0.021978000096834593,-0.004117205558118453,0.0,-0.021415227852689456,-0.02880665421330264,-0.051980207952935675,0.02941173720662249,0.01686482642010767,-0.010309219563065741
2022-01-26,-0.0649651775552218,0.03225808436366906,0.0,0.003999920426958958,0.0,0.05084751242024477,-0.09921667978902637,0.06666671964857551,0.0,0.0
2022-01-27,0.0,-0.08854170288476537,-0.003215401737817758,-0.00398398480475759,0.04281634628594233,-0.08064517989739162,-0.04855072949519046,-0.09821429806856474,0.0,0.0
2022-01-28,0.00992552103082911,0.0,0.025345622119815614,0.0,-0.005474490821885447,0.06578951633758101,0.08149274070815804,0.029702942250534603,-0.019607621937948738,-0.06250003725290154
2022-01-31,0.024570051259236392,0.10857140677315846,-0.011236034431370001,0.0,-0.03394494481725241,0.08641976641062987,0.007042280479784058,0.05769236941309597,0.0,0.0
2022-02-01,0.02398084077222329,0.030927855323080733,0.0,0.009999801067397174,0.03323840364153252,0.0,-0.07342658578530448,0.04545450112051319,0.0,0.06666670905219174
2022-02-02,-0.009367758722170105,-0.060000038146972634,0.0068182626427137905,0.009900885852491825,-0.011029401130226768,-0.04924246563453705,0.015094325227557492,-0.01739128812274282,0.0,0.0
2022-02-03,-0.01654845905986868,-0.005319067988256432,-0.004514672686230292,0.0,0.04089215344087638,-0.047808719527897,0.027509285561788888,-0.0442477455993574,0.006500031046609456,-0.025000074505802994
2022-02-04,-0.007211454045751853,0.04278070611879459,-0.0022676537912917905,0.0,-0.024999976583889194,0.054393251178351365,0.01374822997490921,0.01851850012202405,0.008444823321901662,-0.0064101995879434215
2022-02-07,-0.01937050315346489,0.020512800950270416,0.0,0.0,0.0,-0.019841251069335764,-0.16488225423826885,0.0,0.009359866859647958,0.0
2022-02-08,0.007407320394609451,-0.0552764021384925,0.011363717553064534,0.0,0.03296700129689234,0.05263152814434768,0.03418808365174786,-0.018181800448205276,0.0004877273990588904,-0.021505355393904968
2022-02-09,-0.01470582865849257,0.042553254089081616,-0.011236034431370001,0.0,0.0,0.03846159489197354,0.015702444164735097,0.08333325054910778,0.0,-0.02637370491557256
