Date,HFBL,SFBC,PRPH,AACG,INTZ,AMTX,IPM,SLNH,BHRB,LIXT,DXR,ISBA,BVFL,BYRN,CRVO,CZFS,TOMZ,LDWY,LINK,SCWO
2020-01-02,-0.005874213965040176,0.0,0.010152225447022989,-0.007352934086817808,0.0,0.08554221807846263,-0.1428572001004964,0.0,-0.0006035550396760181,0.2500000233743709,-0.011702091610770182,0.0,0.0,0.10526312157057616,0.0,0.0,0.09090907243657687,0.0,-0.0021049978197873465,0.0
2020-01-03,0.0,0.02527766470757098,-0.07035169669305219,0.08888889085118179,0.003636377507989952,-0.0011099297498747829,0.2254902189944814,0.014925373134328401,0.0,-0.11764705882352944,0.017222803882573468,0.0032908701987113265,-0.024927570184620218,0.142857240170853,-0.04347826086956519,0.0016258827597961378,0.08333331781129005,-0.013698663372291198,0.0,0.0
2020-01-06,-0.0011255216204119067,-0.024654457594939116,-0.016216269016195328,-0.027210938968575293,0.02173914395568488,-0.007777744075397441,0.0,0.4558823529411764,0.04921699300838722,0.0,0.01058205116276123,0.0,0.0,0.04166662527455389,0.0,0.0,-0.0769230636971937,0.09722227215556689,-0.139240801439384,0.0
2020-01-07,0.0,0.010555405901858439,0.0,0.0,0.028368766504145215,-0.04703246964668528,-0.3599999904632568,-0.19191919191919193,0.0,0.06666666666666665,-0.01989534348302424,-0.005739792916906072,-0.0011890764333366555,-0.039999961853027344,0.15909090909090917,0.0,-0.1666666356225801,-0.07594937800345958,0.05147094207347935,0.0
2020-01-08,0.0,0.0,-0.021977970294350335,0.05594408800680317,0.0,-0.01292601298652818,0.0,0.125,-0.02771861961769051,0.0,0.030982903043820897,0.005360801709347163,0.0059523731931334645,0.0,-0.07843137254901966,0.0,0.19999995529651704,0.041095896802363585,-0.04428932789855777,0.0
2020-01-09,0.0,0.01704217276970521,0.0,-0.03973506169436036,0.0,0.023809572804273094,0.0,0.0,0.01973693189429082,-0.0625,0.01554410136105644,-0.005332216752664931,0.0,0.0,-0.021276595744680882,0.00016254169885421277,0.0,0.013157836948407109,0.04878055641582524,0.0
2020-01-10,0.0,0.0,0.01685383481093905,0.02068963476083585,0.005172400638974839,0.03488368708227374,0.0,0.0,-0.021505417207869693,0.0,0.0,0.0,0.0059171520956198265,0.04166662527455389,0.04347826086956519,-0.0001625152833438781,0.08333331781129005,0.02597409031366782,-0.05813950369524212,0.0
2020-01-13,0.0,0.0,0.005524905425404514,0.02702700090373522,0.02915953319359188,-0.01123594452133514,0.3750000093132255,0.06666666666666665,0.0,-0.07999996609157989,0.0,0.0,0.0,-0.039999961853027344,0.08333333333333326,0.0,-0.0769230636971937,-0.025316516819373858,0.009876688583074333,0.0
2020-01-14,0.0,0.013513540226605114,0.005494548564231927,0.019736823530408287,0.016666666666666607,-0.02727271495771799,0.0,0.03125,-0.010988947897229817,0.0,-0.040816384124437,0.0004123369967161672,0.0,0.0,0.0,0.0032467976025176704,-0.1666666356225801,0.01298704515683391,0.0024447446973423492,0.0
2020-01-15,-0.010985879359893813,0.0,0.0,0.03870971860300254,-0.001639319247886739,-0.0070093251326812656,0.09090911061310525,-0.14141414141414144,-0.004444350347984294,0.0,0.026595745760156664,-0.0004121670449946935,0.0,0.04166662527455389,-0.05769230769230771,0.011326937712016871,0.0,-0.02564100100869393,0.0,0.0
