Date,FEX,FNX,EVRG,ACWI,ERIC,HBNC,POWI,TBBK,UAL,CVLT,SBUX,MELI,AMSF,FITB,INDY,OCFC,FORM,FAD,SBRA,HBAN
2019-01-03,-0.020137962208955584,-0.0162601905373857,-0.0037580363252468496,-0.016994120346055963,-0.03939765541606133,-0.0018806491473114528,-0.07855376945457893,-0.015776713355815652,-0.04965550356405468,-0.028899719482935793,-0.0433770659323921,-0.004764985675652866,-0.0009097565576204891,-0.0008267401838847332,-0.016813944068555742,0.003524401961058743,-0.08457708643881867,-0.025349623293223655,0.042314830632694145,-0.008237357664964806
2019-01-04,0.0342534939740089,0.03622283438416063,0.003951871438989896,0.03187945068725462,0.04825121152226419,0.03266353812850764,0.03798830754993876,0.04192357176093786,0.03350000381469731,0.04087491294174028,0.03315460782319768,0.06318483585341639,0.024581406369292624,0.023986980680316794,0.024927659469101915,0.015364178991174704,0.045807464856028046,0.04948476450914363,0.03223889741708219,0.028239354249109505
2019-01-07,0.010976325432835221,0.01578156525481189,0.0010735325193864664,0.006148405756187136,0.012658215004035966,-0.006690994599022115,0.010137246761365182,0.009467446806133317,0.006652189764486227,0.006889385148475924,0.0,0.043161184944970454,-0.017593894196219817,0.0056540848753907635,-0.011877888171212492,-0.0012966036765258426,0.0096510847708835,0.014000796619704436,0.0213996754833079,0.004038728194836194
2019-01-08,0.011231686964521703,0.01520204569773953,0.011796015978837282,0.0073325408865621,0.018181714945696648,0.007348232831398738,0.011396708055544824,0.0035170794354828505,-0.010212736624199747,0.025145419837913963,0.0007867270089401135,-0.0013680677439388278,-0.007055000682638535,0.00522089579580487,0.0025758926012748873,0.007359215191649948,0.0014705517300281912,0.014600764350702233,0.03227612013699388,0.009654230908089367
2019-01-09,0.006293944060079548,0.01151894526718511,-0.009715410181950546,0.00925086093755012,0.024553549315499357,0.003039422896701449,0.030945037672593934,0.01869157004308586,0.01675169857759662,0.009511091138355798,0.004086703880177733,0.03491735383632055,-0.009109240830135201,0.0007990277470077967,0.001427401913451476,-0.00816494331630746,0.0073421719757689186,0.004849077386409384,0.005485538122542488,0.007967727734105923
2019-01-10,0.004783120968725907,0.005856504037837773,0.014270331909467693,0.004658135505402727,-0.0392156285177071,-0.010302738707117287,0.020881118048995395,-0.021789051403590887,-0.028533898384592304,0.005123989641173887,0.004852840758970078,-0.0010883490013159358,0.004780481051020358,-0.005189434595212372,-0.003705796006413853,-0.004766440588404253,0.01967926376344198,0.009184302325758953,-0.0005455518708795681,-0.007114466387684537
2019-01-11,0.0014646057068596896,0.0008086617972491439,-0.006858922155352776,-0.0035894698509932876,-0.032879975542712714,0.0018370390200597164,0.016618466390036613,-0.0058616872567529565,-0.01597644104555984,0.004440066628287553,-0.007166166174057964,0.015783786115440845,0.0027446385052156685,0.0056175832239167,-0.005436554897689572,-0.01175444925114999,0.009292360011992074,0.0001540452314099383,-0.004912739442859637,0.0055731467458515205
2019-01-14,-0.006215853563278917,-0.0037168921035938274,-0.007614835413869203,-0.005704209613504707,-0.008206311692919077,-0.001222702365285544,-0.037409436223400316,-0.015330090540584873,-0.001998201989817039,-0.014407351698339621,-0.005648874944248594,-0.015016735787939162,-0.013686180090632494,0.012370304725464853,-0.012082731672858449,-0.007048137620583872,-0.018413614092712915,-0.010024354045068518,-0.009325163822015758,0.015835350214000288
2019-01-15,0.005886829288571205,0.007299273012841168,0.005531680623031221,0.00905805767375334,0.0035462796547620634,0.00428400684999275,0.024657021678664348,0.008383196601950083,0.016143076298524628,0.01461795775685415,0.01120396395469947,0.03040297090343702,0.01517119422409241,0.0035477321170427345,0.006988960870769612,0.006211175261679802,-0.021644967135047377,0.01199564568604905,0.008859139272699323,0.003897074356557173
2019-01-16,0.003291976604878677,0.007729387278774702,-0.0010646809366398058,0.0028426533206324933,-0.0011780313969531608,0.015844105355976135,-0.005259030061860459,0.016627119008812974,0.06354684551772105,0.007694783757633994,-0.004837625616783248,-0.014795751458083872,0.004738539197756131,0.03142189628196124,0.0086754902967896,0.013227296518028675,-0.0036873295861060695,0.0033866843995933316,0.024698146527553755,0.03027980791276308
2019-01-17,0.008567334649037583,0.009907311636723426,0.005507201316196975,0.007309989157558094,-0.003537638489573336,0.0017994959697049673,0.005447104350306153,-0.002336501960658488,0.00440015343599276,0.007798530433568374,0.007997275070634524,-0.007798916666718281,0.005623246947027205,0.005712108087283951,0.003153592081559742,0.005657301491760691,0.005921533852755179,0.009205067035899628,0.014461837546244638,0.00678196408795273
2019-01-18,0.014096965278134865,0.01534830809844645,0.0010601542678099207,0.010515614231823678,0.011834340520130882,0.0017966388541257317,0.0033460153022379924,0.0011709869937359674,-0.013258030368931473,0.008060615989676334,0.006533966619532761,0.024632534860065336,-0.0005413953753437006,0.022340022825526162,-0.0034294727069928976,0.010817686981481112,0.020603364961542914,0.01064181823205601,0.013199532735199027,0.017215520975723653
2019-01-22,-0.011406004985820006,-0.017453689584479792,0.002647270995095541,-0.013190613505213111,-0.019883041418150116,-0.005977331584092083,-0.03128480783620502,0.014035074021298666,-0.026288118895548163,0.0033584344037993485,0.01066462238476329,-0.05646500343285765,0.0,0.020740667536953472,-0.004875164471092486,0.004708878009131778,-0.03460703289090039,-0.015794318849479905,-0.0020843236659794373,-0.005150560762021805
2019-01-23,-0.000721232208631073,-0.001268678616316521,0.0019363292078953265,0.00252465412200209,0.00954641582557092,0.005411623353607231,0.010000002013112574,-0.00807378249229962,-0.005519547692414695,0.0007969275696992906,0.015904472959055838,-0.005984345512939915,0.021295708603402463,0.00036301891105861017,-0.00576384437898525,0.006391248827787743,-0.01418973332232698,0.0035149297368035626,0.010443828186017967,0.002958470228052734
2019-01-24,0.004690864459738986,0.007304842310252413,0.0038652617165391145,0.0017779094134358076,0.0070922813715847965,-0.010765365437204855,0.039928657420080116,0.038372082449798395,0.013875501496007692,0.00015923429506958797,-0.025440139574444465,0.03122716146070137,0.003887699459433902,0.0029015654792377,0.011304353073676943,-0.0008467546904489254,0.05378788245501487,0.004112564711149291,0.014987028914721812,-0.008112083324191222
