Date,FNX,FEX,FAD,EVRG,QCOM,FORM,TBBK,VCSH,IBKR,AVGO,VOD,ACWI,WTW,FWRD,ADP,AMKR,ADBE,EWBC,EXC,MSEX
2023-01-03,-0.003985150653059044,-0.005994638487082371,-0.013710040718482142,0.0,-0.024922718209353434,-0.013945095471252444,0.03347430553319963,0.0010636390472451573,-0.01340697911461719,-0.010104907112855832,0.02371528770388509,0.00023567151487835503,0.0024531955349476053,-0.0018114640416253547,-0.0050236605272437895,0.0621351990076191,0.0011589298126533087,0.001669262170252317,-0.0016190835720506502,0.017922813714186248
2023-01-04,0.015203242824195495,0.011056599427398117,0.00759196025497233,0.015254977530794855,0.04039190112651947,0.020073016994806903,0.004773248892349313,0.0017273841594522832,0.010367107884451165,0.012213609962960392,0.023166017359735003,0.01272072675694802,0.0053431037866245035,-0.030372508938980025,0.0047125103248855105,0.007852293608993755,0.01332657620630795,0.008180395039270927,0.013206575410716015,0.018731392324158547
2023-01-05,-0.011597642583415113,-0.00695902933070236,-0.00902041524513364,-0.014086739061297093,-0.01909806088178745,0.024150223320151376,-0.027146225167980376,-0.001989376721521663,-0.0038824107375086125,-0.009317436173991389,-0.001886744882311886,-0.010234749222716055,-0.00020289694240149814,0.00817571329943978,-0.0215679652245081,0.0066223777967828745,-0.03798951724197108,0.0006010985012756542,-0.021724351297911504,-0.04854155167922425
2023-01-06,0.023126128134796975,0.025028313503544064,0.021096557166654817,0.028417350375701034,0.054296121286509846,0.052401780913936546,0.03243809915245732,0.006245866089691576,0.025194782681344785,0.06019604676359824,0.016067873597884086,0.02314922468359626,0.028363858100637795,0.026770923471662655,0.027950327244497197,0.059984491389334815,0.013122632829606795,0.026430513720836046,0.02080413866713049,0.030919990240076967
2023-01-09,0.008128193790388094,-0.0004885006785376733,0.005768103372447264,-0.007718535176604591,-0.006329186075040072,0.012863048175747682,-0.020945974028484526,0.001188514048880096,0.016021755136579774,-0.019611505530271134,-0.0009300977422025403,0.0021819252423807,0.006431761894351684,0.00466269471704539,-0.0027067216581785347,0.08871870052757402,0.027738575466049964,-0.014776996327015457,0.010991849660619168,-0.0003749636992402827
2023-01-10,0.008504495052473082,0.008427994715492826,0.010948929503949989,-0.0015557418812019996,0.020068125080966448,0.027038093057672796,0.02449968954576809,-0.0005277513764615493,0.014299140061934335,-0.003397647097804324,0.0,0.005615463891611938,-0.006586676342325681,-0.020174353123583066,0.0053024920405786435,-0.016767366162210195,-0.009591200286346524,0.002821475231119086,-0.010419207437870504,0.015502243347954359
2023-01-11,0.015441936649453814,0.00823634555327346,0.012687039173076453,0.0035839237679986535,0.012659318127425934,-0.002393277489938339,0.014146179479254561,0.001979887592171714,-0.016996146044500393,0.00558334993931453,-0.006517861267561154,0.01048441340294648,0.014997301083622627,-0.004253166325658975,0.017734102275771546,0.0129603996762091,0.012488870139645725,0.0050350057550736516,0.010299908467610308,0.007386260094749186
2023-01-12,0.011647984218222884,0.00444505285555663,0.005194455000308018,-0.007607767953475952,0.027029312768846125,0.018792455379977646,0.004649597702110597,0.0035561491830526926,0.0032166468672796267,0.006572931770575385,0.05716988733691242,0.0069921968008404,-0.00952654921854712,-0.0024269584963636515,-0.0032238836948466076,0.012121277646723438,0.004694882056183403,0.01679671134996119,-0.017218009305051796,-0.0061103016513675
2023-01-13,-0.00309166571696895,0.0014351359248796491,0.008410320731416343,-0.016113854445389708,-0.011102763006274219,-0.01295133161831652,0.0006611721574767415,-0.0015750220506444146,0.03152968585517946,-0.0050521411347753675,-0.004432830762398421,0.004479742452772939,-0.00031402214070241907,-0.01099661268712071,0.0045034216474175714,0.03226880489245998,-0.0004643979164715706,0.0027531369134354833,0.0,0.00590198433098843
2023-01-17,-0.0034220003272475985,-0.0038218288125643207,-0.0023111371715240914,-0.005088158097671713,0.00033254148702965836,0.001988117104078979,0.0006607352976943925,0.0006575466537532826,-0.0002589185800495608,0.00041444930100720256,0.016919183053027753,-0.0006690090431382689,-0.009621074343988067,-0.009544407303414326,-0.03496884898715025,-0.012246178033314625,0.0,-0.010548992060761209,-0.005071388225523554,-0.006111695725595001
2023-01-18,-0.008691927479417272,-0.014866344080072036,-0.014603879822797983,-0.03276337793888995,0.014632461134402863,-0.004761937920647941,-0.0409376573452378,0.004072295597153053,0.04845181239715424,-0.008545627116332222,-0.021891494559448388,-0.010933780717665265,-0.0036081407771129115,-0.0011920631606304743,-0.010685119243383445,-0.026101134661412395,-0.008914592254748999,-0.03782704864341757,-0.02154782534769628,-0.006518393158456037
2023-01-19,-0.01114987855002525,-0.00888389130999323,-0.009505113365475437,-0.020984793828238923,-0.03654522244504854,-0.006778312472531467,-0.02581755661608376,-0.0005232471805176608,-0.02570109576755475,-0.019275874165369355,0.00358103759215056,-0.003947960695658059,0.0017111555575997084,0.000497285779654355,-0.003970097301448705,-0.031155854033946162,0.0035744667001549324,0.003036058676810116,-0.0044992394847591655,-0.011884034977673985
2023-01-20,0.02145610168073553,0.01719064879648524,0.013827245065523464,0.0065822106864092955,0.04524574004218995,0.03653150754662282,0.011660775003622614,-0.0009163293825162899,0.0008879565787365262,0.013422691620016192,0.021409450216274273,0.015515252442050098,0.005283680289729364,0.0056666239610070335,0.016500747871249777,0.003803647382158548,0.040434432466861514,0.030417457975190576,0.007136041485129585,0.01027312299348293
2023-01-23,0.011038328495464267,0.011830077709578557,0.013231565123660083,0.008383821772293354,0.0661513081344931,0.08171962181605008,0.011177143260673539,-0.0013103383551053005,0.01343114036221138,0.01900894668352615,-0.007860377736476187,0.008809885786806637,0.0021735082553948626,0.03291815564594924,0.015980157254282146,0.03858076850301417,0.024131561775873278,0.024526622467800907,-0.012281336069416171,0.019717250936108766
2023-01-24,-0.002331754728492008,-0.0020281099175407657,-0.004922196205002893,0.02011959617348813,-0.002518546921586262,-0.011099157270146431,-0.008290213200064511,0.0011806057123728841,-0.013253135637228297,0.0058458211652370196,-0.003521143847962427,-0.0013265407159828158,-0.0033912000630967887,0.004019586709869127,-0.007511593207221168,-0.018905417994214857,-0.010027956468680377,-0.020068874533352155,-0.007412822134709951,0.008269598721224902
2023-01-25,0.0021246474963274586,0.0033470486998998794,0.0015141813585735076,0.009454074872011553,0.0035960290341696677,0.008689346988623337,0.017415535212274458,0.00039344364877913485,-0.0034214315184578625,0.001111073219949743,0.017667930564826406,0.0023246401972580877,0.00328406177144136,0.004861175665991091,-0.046581606562503985,0.008789754025702923,-0.008718016806796514,0.007899240251742823,-0.0021681256341130606,0.03220341379972047
2023-01-26,0.00986018390141119,0.009174340530500702,0.010281208657376473,-0.008558109405188752,0.02127005299815443,0.032304364637948835,-0.0013693601312015913,-0.0003932889117547189,0.0031787041022832696,0.022025665230938962,-0.005208410272841801,0.008503530490326039,-0.000276112043124388,-0.007778400691791032,-0.011315310265541556,0.020777439277626097,0.021358554903222915,0.083019109517803,0.004345673233761671,0.00560859950371384
2023-01-27,0.00010510057743973178,0.0,-0.002593959468583873,0.005537615795797146,-0.004180287447267839,-0.007649489276900678,0.15975323080468073,-0.0007859933614066117,-0.017617357813046408,-0.012679999896217709,0.013089095028226971,0.0005476291979118475,-0.011400439356458847,0.009177733377566222,-0.020538558283166863,-0.02495087946528074,0.013367186137868803,0.01768943970057224,0.0021633324735250703,-0.001510490267390363
2023-01-30,-0.007558407154309776,-0.010507698096327567,-0.011203467339649276,-0.0008100483104827028,-0.013268280319351122,-0.03083395374512632,-0.03310678941654421,-0.0013113176013243022,0.002967339457030871,-0.01614245204525777,0.0008613047486960568,-0.012039065880572353,-0.003192350774730901,-0.017146535888734604,0.007019991134476822,-0.026935954812460805,-0.019664908406514137,-0.010402991892949354,0.0014393130595964365,-0.034213737288399826
2023-01-31,0.02506893072838623,0.015392031730022238,0.017804858612106456,0.015561751606847807,0.012003121300443453,0.01735356272177402,0.03729750091256512,0.004333388388570558,0.028299537981790968,0.006122674008478768,-0.003442357300536769,0.01085626170952625,0.017533585954294884,0.03951809714521026,0.01556098757984703,0.012456674933478018,0.019041281862514303,0.04484348315470399,0.010538872637907648,0.010483127686198523
2023-02-01,0.009080565733510015,0.006933100357058519,0.012921347365874247,0.0038307023520027794,0.03941162041586033,0.0369581001451591,0.00530504873435933,0.0026475272278541073,0.029146695563512237,0.03032428885786853,-0.01381678524247365,0.010191881947202663,-0.003776830067839465,0.024942039961389995,0.0040742325223321885,0.011961909057556008,0.03666905336752668,0.01770281634225146,0.0026071649354164617,0.030050025118392387
2023-02-02,0.017690832309962934,0.008752337534850163,0.0037286202256088252,0.005565341123757506,-0.018850179456704752,0.04078137496957268,0.025212565082469496,0.0007836208018130453,-0.016166066031363724,0.005010377780819697,0.017513006752271965,0.008136242959677853,0.006041973310418891,0.023068427328013508,0.009967810749929695,0.034447707756198875,0.021645127286801236,-0.012639367521674716,-0.00969256528448803,0.029520909123986527
