Date,FNX,FEX,EGBN,OSBC,HTBK,EVRG,NRIM,TBBK,VCSH,ACWI
2024-01-02,-0.00727628622986054,-0.0017745142634348898,-0.00962182018708535,-0.007124452134329329,-0.007056480509755159,0.023563253078395574,-0.006991753151041391,-0.004927449031105535,-0.0024555753895282306,-0.00854864341640793
2024-01-03,-0.025364171904723065,-0.012666920631746348,-0.05092124677550347,-0.016960151550991287,-0.023350149304501744,0.008234941129381168,-0.03362070137259909,-0.034923121967417536,-0.0006478680036384743,-0.007928692077020627
2024-01-04,-9.885471297366166e-05,-0.0013503784066044577,0.03318030088515522,0.02654288935982918,0.012473936058678081,-0.004826388335050558,-0.0071039824941407925,0.018903612908861778,-0.000777795642951884,-0.0010988504417982492
2024-01-05,0.004453378178655321,0.004733199536019805,-0.0006832040258129002,0.0019390914887444932,0.0,0.0016786710747784817,-0.0029352876071143674,-0.0029154681072398603,-0.0007787226889602872,0.0009001337998677528
2024-01-08,0.012216676157120077,0.010767024790651503,0.01094016479313531,-0.0006451761430167346,0.0010267607306337911,0.0040969622911883885,-0.021711120341785906,0.016746440350940084,0.0018181853293783856,0.011990365320404983
2024-01-09,-0.007105374283304489,-0.004327606935474182,-0.019952793604954167,-0.023240703032121113,-0.0143592506370529,0.005378278213461929,-0.010532039597228038,0.0023529451656965072,0.00038874340461481083,-0.004541801952878344
2024-01-10,0.003234959395961523,0.0013371982075971456,-0.014370737429817537,0.005948388853292297,0.005203252681254433,-0.0023980205705860236,0.008553399088739422,0.018257714140676784,0.0005182301727715277,0.0046617413800178475
2024-01-11,-0.005276417522827148,-0.001558068186718442,-0.014224735892769735,-0.015111720571843956,-0.013457657600445927,-0.013498560507649415,-0.011873355672708419,0.009733535976092389,0.0031080914805403648,-0.0004937076214666103
2024-01-12,-0.0037327725555990066,-0.0017835026958477052,-0.016594557931937315,0.0013343189274019895,-0.010493301977662517,0.009371988389353492,0.0015258679774223793,-0.022323624918664353,0.0023235525608302776,0.0020743026952338983
2024-01-16,-0.007197928421344035,-0.006030185295953894,-0.0168745841969713,-0.009993501552769679,-0.019087903427460473,-0.01838432029368542,-0.003618347500827901,-0.019200873401345908,-0.0027045626818450463,-0.008772810301275635
2024-01-17,-0.008143695488696423,-0.006403597233866409,-0.010447704783822287,0.002691852192747257,-0.0010810361459155926,-0.02024210521852088,0.0093654641508778,0.003968294415515272,-0.0021958737761517133,-0.007657000356052768
2024-01-18,0.009712454315715435,0.004748724271119054,0.008295586213265205,-0.0006710906011787587,0.007575788137965889,-0.017377830003841632,0.011172157267958616,0.003952508779080821,0.00038861783905597136,0.008718261614466982
2024-01-19,0.010412598349198277,0.011478787868132168,0.020568569607801956,0.019476145142452328,0.006444529174149727,-0.008842865339273032,0.0016852959450914806,0.026771666630288626,-0.0005175995056186933,0.010033695059055159
