,Ticker,Sector,Industry,Country
425,SRCE,Financial,Banks - Regional,USA
427,CHD,Consumer Defensive,Household & Personal Products,USA
428,SMP,Consumer Cyclical,Auto Parts,USA
431,BDL,Consumer Cyclical,Restaurants,USA
434,MO,Consumer Defensive,Tobacco,USA
435,CXT,Industrials,Specialty Industrial Machinery,USA
436,GAM,Financial,Closed-End Fund - Equity,USA
437,FRT,Real Estate,REIT - Retail,USA
440,LNT,Utilities,Utilities - Regulated Electric,USA
441,SIEB,Financial,Capital Markets,USA
445,GPC,Consumer Cyclical,Auto Parts,USA
446,MAT,Consumer Cyclical,Leisure,USA
453,TRV,Financial,Insurance - Property & Casualty,USA
455,GE,Industrials,Aerospace & Defense,USA
456,BKH,Utilities,Utilities - Regulated Gas,USA
457,CHE,Healthcare,Medical Care Facilities,USA
458,MCD,Consumer Cyclical,Restaurants,USA
459,TXT,Industrials,Aerospace & Defense,USA
461,CCK,Consumer Cyclical,Packaging & Containers,USA
462,APOG,Industrials,Building Products & Equipment,USA
464,OXY,Energy,Oil & Gas E&P,USA
467,SWX,Utilities,Utilities - Regulated Gas,USA
469,CMI,Industrials,Specialty Industrial Machinery,USA
470,SLB,Energy,Oil & Gas Equipment & Services,USA
471,AROW,Financial,Banks - Regional,USA
473,CWT,Utilities,Utilities - Regulated Water,USA
474,IDA,Utilities,Utilities - Regulated Electric,USA
475,FSS,Industrials,Pollution & Treatment Controls,USA
477,WMK,Consumer Defensive,Grocery Stores,USA
480,RJF,Financial,Asset Management,USA
483,DIS,Communication Services,Entertainment,USA
485,NI,Utilities,Utilities - Regulated Gas,USA
486,DRS,Industrials,Aerospace & Defense,USA
490,MCS,Communication Services,Entertainment,USA
492,OKE,Energy,Oil & Gas Midstream,USA
496,BELFA,Technology,Electronic Components,USA
497,ADI,Technology,Semiconductors,USA
498,IAF,Financial,Closed-End Fund - Equity,USA
500,TY,Financial,Closed-End Fund - Equity,USA
503,EBF,Industrials,Business Equipment & Supplies,USA
505,CNP,Utilities,Utilities - Regulated Electric,USA
507,MRSH,Financial,Insurance Brokers,USA
508,ESCA,Consumer Cyclical,Leisure,USA
509,MKC,Consumer Defensive,Packaged Foods,USA
514,GCO,Consumer Cyclical,Apparel Retail,USA
515,BOH,Financial,Banks - Regional,USA
518,CTS,Technology,Electronic Components,USA
519,EIX,Utilities,Utilities - Regulated Electric,USA
520,OMC,Communication Services,Advertising Agencies,USA
522,VLGEA,Consumer Defensive,Grocery Stores,USA
525,VLO,Energy,Oil & Gas Refining & Marketing,USA
527,IDCC,Technology,Software - Application,USA
529,ATRO,Industrials,Aerospace & Defense,USA
532,BMI,Technology,Scientific & Technical Instruments,USA
542,LZB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
544,NRT,Energy,Oil & Gas E&P,USA
546,PBI,Industrials,Integrated Freight & Logistics,USA
547,SO,Utilities,Utilities - Regulated Electric,USA
548,CTAS,Industrials,Specialty Business Services,USA
550,LOW,Consumer Cyclical,Home Improvement Retail,USA
552,PEO,Financial,Closed-End Fund - Equity,USA
556,VALU,Financial,Financial Data & Stock Exchanges,USA
557,DXC,Technology,Information Technology Services,USA
560,SF,Financial,Capital Markets,USA
561,BRO,Financial,Insurance Brokers,USA
567,COP,Energy,Oil & Gas E&P,USA
568,SEB,Industrials,Conglomerates,USA
570,SXI,Industrials,Specialty Industrial Machinery,USA
571,NYT,Communication Services,Publishing,USA
572,NC,Energy,Thermal Coal,USA
573,NNN,Real Estate,REIT - Retail,USA
575,STEW,Financial,Closed-End Fund - Equity,USA
578,USLM,Basic Materials,Building Materials,USA
580,AIR,Industrials,Aerospace & Defense,USA
584,LXU,Basic Materials,Chemicals,USA
585,CMS,Utilities,Utilities - Regulated Electric,USA
587,MOG-A,Industrials,Aerospace & Defense,USA
590,BPOP,Financial,Banks - Regional,USA
591,SOR,Financial,Closed-End Fund - Equity,USA
592,WABC,Financial,Banks - Regional,USA
596,CIA,Financial,Insurance - Life,USA
597,MUR,Energy,Oil & Gas E&P,USA
598,C,Financial,Banks - Diversified,USA
599,CL,Consumer Defensive,Household & Personal Products,USA
601,UG,Consumer Defensive,Household & Personal Products,USA
602,HPQ,Technology,Computer Hardware,USA
603,CMC,Industrials,Metal Fabrication,USA
610,PEBK,Financial,Banks - Regional,USA
614,REX,Basic Materials,Chemicals,USA
619,ORI,Financial,Insurance - Property & Casualty,USA
621,MU,Technology,Semiconductors,USA
630,FELE,Industrials,Specialty Industrial Machinery,USA
632,PRG,Industrials,Rental & Leasing Services,USA
639,USB,Financial,Banks - Regional,USA
640,PHM,Consumer Cyclical,Residential Construction,USA
642,MTZ,Industrials,Engineering & Construction,USA
649,CVBF,Financial,Banks - Regional,USA
650,ZION,Financial,Banks - Regional,USA
651,L,Financial,Insurance - Property & Casualty,USA
653,ASRV,Financial,Banks - Regional,USA
657,KEX,Industrials,Marine Shipping,USA
658,SKY,Consumer Cyclical,Residential Construction,USA
660,ED,Utilities,Utilities - Regulated Electric,USA
662,DTE,Utilities,Utilities - Regulated Electric,USA
664,JNJ,Healthcare,Drug Manufacturers - General,USA
