,lag_1d,lag_5d,lag_21d,lag_63d,lag_252d
2020-01-03,0.9999787207908705,0.9994806202575662,0.991614230888109,0.9417366023526856,
2020-01-06,0.9999787564294029,0.9994810343523048,0.9916718299290926,0.9411112002014275,
2020-01-07,0.9999789111940437,0.9994815052295685,0.9917454201521488,0.9404158995754208,
2020-01-08,0.999978984650192,0.9994824857631093,0.9918146280785399,0.939683853763366,
2020-01-09,0.9999789555459316,0.999482842325489,0.9918781462311457,0.9388648950473761,
2020-01-10,0.9999790066698014,0.9994845038275965,0.9919538488145823,0.9379731317822879,
2020-01-13,0.9999790129089189,0.9994866984810423,0.9920175578939572,0.9370049293265568,
2020-01-14,0.9999790545929694,0.9994885549034155,0.9920721578241547,0.935958946342182,
2020-01-15,0.9999790778688609,0.9994909885021115,0.9921153853063835,0.9348513161755592,
2020-01-16,0.9999792716298025,0.9994932591394066,0.992150500584401,0.9336632442504746,
2020-01-17,0.9999792679625199,0.9994953605688783,0.9921663576621275,0.9323956347041733,
2020-01-21,0.9999793449441958,0.9994993105347298,0.9921737852948467,0.9310886641358087,
2020-01-22,0.9999795210298815,0.999502917331579,0.9921631493483738,0.9297029250512051,
2020-01-23,0.9999796935898975,0.9995031058832563,0.9921353231205299,0.928258795285848,
2020-01-24,0.9999796018510674,0.9995002313038348,0.9920840192400979,0.9267390170353111,
2020-01-27,0.9999795424560912,0.9994990682060119,0.9920348783119588,0.9251797976488465,
2020-01-28,0.9999794303585332,0.9995019798280642,0.991993981910207,0.9235876445591192,
2020-01-29,0.9999794367575066,0.999506278991616,0.991952426983974,0.9219937835776397,
2020-01-30,0.9999795196965764,0.9995118747667362,0.9919191661633265,0.9203423745295651,
2020-01-31,0.9999795823690923,0.999512465869939,0.991876241046878,0.9186432143890634,
2020-02-03,0.9999795400994699,0.9995089328110359,0.991823309623202,0.9169018824434143,
2020-02-04,0.9999794280606666,0.9995087167729777,0.9917625086459515,0.9152079891692636,
2020-02-05,0.9999795636047583,0.9995026798738877,0.9916983248397103,0.9134805919268405,
2020-02-06,0.9999791578626173,0.9994960276429158,0.9916353577810235,0.9116411034997276,
2020-02-07,0.9999792098192206,0.9994899472673304,0.9915767452765876,0.9097873315591237,
2020-02-10,0.9999789377877494,0.9994822381871669,0.9915510530279031,0.9079015192135381,
2020-02-11,0.9999787736805414,0.9994787279986027,0.9915313968284454,0.9060304933433891,
2020-02-12,0.9999785707763582,0.9994748859585395,0.9914933554996499,0.9041316402991975,
2020-02-13,0.9999784485848779,0.99947157992243,0.991446073124771,0.9022313418657663,
2020-02-14,0.9999782837049438,0.9994671052349602,0.9913498355719648,0.9002723162836859,
2020-02-18,0.9999783229152976,0.9994648338960384,0.9911875164382453,0.8982022517444702,
2020-02-19,0.9999781754047463,0.9994654495813577,0.990963044085978,0.8960910083388212,
2020-02-20,0.999978204275034,0.9994698067403894,0.9906424539503909,0.89392141602965,
2020-02-21,0.9999780899590396,0.9994695229486089,0.9902400434506358,0.8917084549523598,
2020-02-24,0.9999780105246573,0.9994715214654821,0.989756594092986,0.8894494742856268,
2020-02-25,0.9999780881179571,0.999464188218314,0.9891970503437584,0.88714675380033,
2020-02-26,0.9999776755429326,0.9994471347315492,0.9885902231246732,0.884939948730776,
2020-02-27,0.9999773667463772,0.9994249452516629,0.9879447165785847,0.8828365995706073,
2020-02-28,0.9999765561939316,0.9993920385738282,0.9872227734190187,0.880695232193043,
2020-03-02,0.9999753256871213,0.9993653950120729,0.9865410071531729,0.8788279300202542,
2020-03-03,0.9999732981441514,0.9993465896008553,0.9858464969318663,0.8770425182825827,
2020-03-04,0.999973327521478,0.9993441890089028,0.9851527478902962,0.8753672643374684,
2020-03-05,0.9999730379924352,0.9993239879338466,0.9844032012805161,0.8736872413703003,
2020-03-06,0.9999725646925505,0.9992838711620153,0.9836410285814916,0.872124534792008,
2020-03-09,0.9999723680505662,0.9992175766845717,0.9828578177343766,0.8706384836504294,
2020-03-10,0.9999672118465073,0.9991127178024032,0.9820527979324787,0.8691765728931361,
2020-03-11,0.9999658176077637,0.999027313478272,0.9814557776524758,0.8683415842902812,
