portfolio,Ticker,momentum12mo_2020
central,AAPL,0.8665585604208674
central,ACGL,-0.17388247393043943
central,ACWI,0.1613886680222667
central,ACWX,0.10738970598349229
central,ADI,0.23357079736455888
central,AMKR,0.11819272408872972
central,AMZN,0.7986995465382791
central,AVGO,0.43124299437173264
central,BANR,-0.15215764028954237
central,CAC,-0.21457304259441767
central,CACC,-0.24038941324224938
central,CASY,0.13822414006769002
central,CHRW,0.2380004793271988
central,CME,-0.07273543509919023
central,CNXN,-0.0872841778318072
central,COLB,-0.11692420482990562
central,CVBF,-0.05980563234561331
central,DSGX,0.3889149139592143
central,DXPE,-0.44358270973485514
central,EGBN,-0.15385224989898028
central,ERIC,0.38827186797065294
central,ERIE,0.5018654152123752
central,EVRG,-0.12986865038446627
central,EWBC,0.05269481323827607
central,EXC,-0.04312340423170402
central,FAD,0.3438778001679772
central,FEX,0.13403769067055737
central,FITB,-0.06769984921406591
central,FNX,0.15344830858152902
central,FORM,0.6053435171187447
central,HBAN,-0.13015124397077493
central,HTBK,-0.26363483264390397
central,HTLD,-0.12698211985476304
central,HURC,-0.1973030436894675
central,IBKR,0.3323866682912353
central,JBLU,-0.2153927833508743
central,KDP,0.13341242934725095
central,KG,2.144736831373125
central,KRNY,-0.21634415585025846
central,LFUS,0.31218203048796633
central,LKQ,-0.010084138237715257
central,MANH,0.3031714604184108
central,MRVL,0.7628239566927848
central,NDSN,0.2155791608681048
central,NICE,0.8004625669544787
central,NSIT,0.044512880690114276
central,NVEC,
central,OCFC,-0.24198676233730299
central,ODFL,0.5509123112738723
central,PAYX,0.13432838886646858
central,PDFS,0.2748226712507664
central,PEY,-0.04555716700704193
central,PHO,0.19109113970098535
central,PIE,0.19434171906921915
central,PLAB,-0.31575647145538477
central,POWI,0.6122557687116468
central,QCOM,0.7221753959204058
central,QQQ,0.48316198729854754
central,QTEC,0.37796199144105525
central,RBCAA,-0.20627806474996668
central,ROP,0.18674830955172794
central,SBUX,0.23294362919293743
central,SIMO,-0.056715850678240254
central,TBBK,0.03000002640944266
central,UFPI,0.16593596172327896
central,WTW,0.04207178105825071
central,XRAY,-0.08266383516008757
central,ZBRA,0.4877022062764178
peripheral,ABVC,-0.00990099009900991
peripheral,ALRS,0.22569224992359782
peripheral,AMTX,2.1190475801897146
peripheral,ANIX,-0.09597521391608643
peripheral,ARKR,-0.169204281113696
peripheral,ARTW,0.5536723331265243
peripheral,ASRV,-0.21504056947799666
peripheral,ATLC,1.6897765891900627
peripheral,AVBH,-0.29959999084472655
peripheral,AWRE,0.03539819523470911
peripheral,BHRB,-0.18944024202614362
peripheral,BMRA,0.7212544439729609
peripheral,BVFL,-0.07246383925968103
peripheral,BYRN,6.842105160789806
peripheral,CELH,7.428864293601059
peripheral,CLWT,1.0510463178482214
peripheral,CODA,-0.28268547505675434
peripheral,CPSH,1.7058823941900663
peripheral,CREX,-0.07692305982294556
peripheral,CRVO,0.853658536585366
peripheral,CRWS,0.2422776554059094
peripheral,CYRX,1.633066929764321
peripheral,CZFS,-0.08844718932260187
peripheral,DRS,0.8175047212934685
peripheral,DXR,0.2923553548023017
peripheral,DYAI,0.03281854863467615
peripheral,EBMT,0.006780222077680698
peripheral,FIEE,2.064516129032258
peripheral,FKWL,9.65714296829001
peripheral,FLNT,1.1333333421636511
peripheral,FRAF,-0.23023297739925608
peripheral,GCBC,-0.08995506137313836
peripheral,GMAB,0.8004524990366164
peripheral,HFBL,-0.2087617972676461
peripheral,HGBL,2.311111220018366
peripheral,HROW,
peripheral,IBIO,3.3200000000000003
peripheral,ICCC,0.2755101792567083
peripheral,IDN,0.5062412758971846
peripheral,INTZ,2.1838233840094348
peripheral,IPM,0.5288462420187086
peripheral,ISBA,-0.1432607050058946
peripheral,KINS,-0.09500248369166764
peripheral,KOSS,1.308724855840767
peripheral,KRMD,-0.09822122411360656
peripheral,LDWY,0.3356730262498273
peripheral,LFMD,9.892307974459868
peripheral,LINK,0.7031582646885401
peripheral,LIXT,-0.2303921518212141
peripheral,LOAN,-0.08632687760939617
peripheral,LTRX,0.21910118605208417
peripheral,LWLG,0.32857146141480476
peripheral,MGYR,-0.2350117420825255
peripheral,MNSB,-0.2630199448894178
peripheral,MPB,-0.1494920824311533
peripheral,NAII,0.39350646857488236
peripheral,NECB,0.21045350863761203
peripheral,NOTV,1.1370143342714383
peripheral,OCC,-0.17522656608235632
peripheral,ORKA,-0.29203545424045596
peripheral,ORMP,-0.0947581451850752
peripheral,PRPH,3.7794119433593147
peripheral,RCAT,0.7791411680067717
peripheral,SCWO,8.5555562325466
peripheral,SFBC,-0.082054779773724
peripheral,SGLY,-0.14893617021276595
peripheral,SHIP,
peripheral,SLNH,5.567164179104478
peripheral,SMID,0.5416666666666667
peripheral,SSKN,-0.29302326468534245
peripheral,TACT,-0.3327014374809547
peripheral,TATT,-0.09542743519920749
peripheral,TAYD,-0.08067539108699195
peripheral,TOMZ,3.6931819736588105
peripheral,UONE,1.2058823941900663
peripheral,VIRC,-0.4265735238792787
peripheral,WFCF,-0.49448531846545685
peripheral,WKSP,0.7826086986568188
peripheral,WVVI,-0.07449856439907832
peripheral,ZYXI,0.6733669262409574
