,Ticker,beta_2019,momentum_2019,beta_2020,momentum_2020,beta_2021,momentum_2021,beta_2022,momentum_2022,beta_2023,momentum_2023,beta_2024,momentum_2024
0,AACG,0.005359530948187601,0.4680851050338468,0.17296795948199892,-0.11851849170051698,7.072602603240444,-0.11864406094746938,0.48302392746178324,0.06722682341118058,0.21474182380858867,-0.0793650988878909,0.39720374181872553,-0.12371134147315643
1,AAPL,1.5570221193960487,0.8737348411320738,1.1233509611863657,0.7962358895385186,1.309359999835813,0.3855076505080839,1.3057988766477995,-0.281995058172833,1.104514271629312,0.547982040656749,0.9450934383329858,0.3651988640492516
2,ACGL,0.780633690314477,0.6315386379263785,1.322388516380207,-0.18018435224367324,0.871570739638637,0.27020054358789847,0.6218339084478348,0.4092030649388212,0.5811442108149683,0.18908099463375638,0.4031638274367408,0.27908555655253053
3,ACIC,0.7377772216143442,-0.2186652729804932,1.0048528786153919,-0.5256464543918881,1.1538438276934373,-0.2226710740279848,0.42934882351791204,-0.7574668080127573,1.0134847629441508,8.460000073709777,0.7431823749065708,0.3676621517573444
4,ACIW,1.5400266156455689,0.38467216935119786,1.0719515480859878,0.007591646851711431,1.3516744600369626,-0.07946151138744506,1.0071992661800009,-0.34191703868605017,1.4057903195376962,0.32870167039178,1.1046946924741814,0.6948651448602448
5,ACNT,0.726939321263303,-0.17182566520139397,0.9732777615638715,-0.40566039433382517,0.4439058825500033,0.9874999523162842,0.7464635378741995,-0.46481483530987233,0.23299027855937626,0.06104330485717635,0.035915609667263794,0.14795916133103737
6,ACTG,0.6148358257910022,-0.13870962631193673,0.49454243200317927,0.5171102037708208,1.4694257925095813,0.37105265882206795,0.8542449495123476,-0.21161050227560263,0.7748627485948729,-0.01754384287606181,1.097527380200849,0.10459179577356847
7,ACWI,0.9214228001549871,0.26341545680470935,0.9176052287844357,0.1506916866003103,0.9253422711604774,0.19511080627756083,0.9216341216781136,-0.1881533956429734,0.9263326191157758,0.22245580156887979,0.8945824498915483,0.1878464028990463
8,ACWX,0.8255614994012984,0.20991439863470962,0.8487395820493502,0.09491295306186132,0.8360541829298936,0.07277126694549652,0.7744622041417156,-0.16549057914128484,0.8061981188287569,0.14874160791257207,0.6939426770034345,0.06568866546331109
9,ADBE,1.3389406583887744,0.462083028139443,1.0896540193920676,0.48745633795259646,1.3996253252281665,0.17552650430993033,1.4419477501547389,-0.4037067851039481,1.6629188931723833,0.7707466217761552,1.235504239697115,-0.23147209446428496
10,ADEA,1.3344180721250094,0.05240277966577689,0.9757234915614977,0.213157490749583,1.0951960978971522,-0.046613002043690344,0.8878782890378385,0.1467177508244879,1.346609437628633,0.2683550191023787,1.36173934388272,0.12414412843395328
11,ADI,1.6020938337205182,0.4118529515043492,1.1982150291314373,0.23884581549270623,1.3794148353071731,0.21691302453368788,1.2932822304062535,-0.056530012575620625,1.2531606572451512,0.24556030170891208,1.622413438363794,0.1166745216602263
12,ADP,1.0555197314408569,0.3299341701361973,1.1102853765316731,0.04531251018041327,0.86185580675717,0.480968436584732,0.9335613715984016,-0.0024722271012296293,0.8588175926177444,0.0025453989730606086,0.42534927560287566,0.2826754901857016
13,AEHL,1.9699847486712097,-0.6349206349206349,0.729617729550612,0.23943661971830976,1.9216004950420653,-0.33333333333333337,0.6390244736726879,-0.6380368098159509,0.2145913999224878,-0.6500000051549963,0.11214197113368418,-0.8954545476219871
14,AGNC,0.334467183697629,0.12919206806324746,0.7720782631118982,-0.025218255840112613,0.6190637741569243,0.07839588439236977,0.8692411445921068,-0.237338411095813,1.274504893855669,0.08979738362723877,0.6677315424151009,0.09626896084255465
15,AIA,0.9972498444570451,0.22853220279341624,0.7299275161616816,0.3073194450618839,0.9039619820276618,-0.11457182499004159,0.8008391731603627,-0.24457866113608062,0.9503122892443853,0.02910418386506719,0.9407745914356859,0.23380120990502173
16,AIFU,1.3106647861081007,0.17557325505600607,0.6086182954288831,-0.5122180083840153,0.521609608072413,-0.3992051982830329,0.3848588320054801,-0.017746897561423225,0.928259587074213,-0.07510433117216675,0.89147138237481,-0.8250000029802322
17,AIRT,-0.10956497117464119,0.30777309876311243,0.7630489648709562,0.010918174931418223,1.077685679969624,0.01157688320797634,0.688023722807608,-0.011595398355592423,0.49905819113172656,-0.31634303851293466,0.6584955257914121,0.2127410438224202
18,ALGN,1.6352276755968027,0.36369489185374504,1.408805868448599,0.8482798253716317,1.6446244795453056,0.2578732345559185,1.6467468754544052,-0.6745621512705589,1.9848122345206214,0.29074807601102415,1.4043561964345255,-0.23181618505099488
19,ALNT,1.3339032346691129,0.0587689341129376,1.3760946368763505,0.06909983460039637,1.5368246282085087,0.07444708805389832,1.1038630525990312,-0.1586693828033624,1.215347238614336,-0.13230232085228,1.3076276540288703,-0.18373328318505755
20,ALNY,1.358076337250951,0.5762781620961079,0.6126039872098026,0.13336784443214889,0.6338699307887172,0.33512873247710995,1.0805114279618377,0.3665113500786059,1.0188282735730734,-0.18057276996899907,0.5480286937133343,0.2107423350668325
21,ALOT,0.6487797500171419,-0.27774394248917256,1.308106472862538,-0.2412595798562316,0.08384103369846188,0.24542127165307903,0.140481087769198,-0.030257228753785004,0.3697949810361195,0.3049759373275245,0.5991394381890673,-0.23726711540300083
22,ALRS,0.07812500914815122,0.18479190748920526,0.5854174342677738,0.2780889387737573,1.1506650513692327,0.11996966571485101,0.7151240668114586,-0.1765744843970356,1.0841469437679154,0.03492760667734407,1.033959218731779,-0.10427647293699926
23,AMAT,1.7281191820045034,0.8532417199323448,1.4394986278505435,0.41725704025952126,2.174764402976493,0.8315078078083593,1.7250497380939622,-0.3854628029069719,1.6136536334396943,0.6910178772094604,2.216126681436185,0.068328065298912
24,AMGN,0.7226422542104366,0.29013419205664404,0.8010744188418306,-0.027700293061952763,0.6026082054708024,0.030072548115077202,0.3456804255604602,0.19518136689104537,0.5213629525178882,0.13893645490180773,0.6627605222230818,-0.1017354678338308
25,AMKR,1.5346473113639962,0.9895052917712079,1.481820053244841,0.1454993610189863,2.1464963234595427,0.6617797263652982,1.5942303110250953,-0.07706697820818564,1.7844381571116064,0.3211210406691638,2.320140470127641,-0.17335375861854496
26,AMSC,1.2809636415343613,-0.32936169238800694,1.163048285069543,1.9442331983946604,1.9726618936546578,-0.5303938364553102,1.6653952569379875,-0.6660617138028688,2.4998428904342083,2.1117320057902416,2.917185478165243,1.3247232848906672
27,AMSF,0.6054958840027863,0.2884010659166827,0.8672533436692,-0.06970658696676679,0.49404216131460993,0.018583549052659354,0.484782999510298,0.07003187129034849,0.514809615839348,-0.013543690690530075,0.42061411385757475,0.18623463273077867
28,AMTX,0.7229710426237728,0.31455395251086204,0.18343034657860857,1.8745836274975733,2.3267868932576774,3.3767608031113285,2.3971152685445025,-0.6979404926124428,2.8751102329287357,0.3435896520470436,1.745159661180966,-0.41213392898737844
29,AMZN,1.32709992492725,0.19995713227192424,0.6817056501831991,0.7312079511219653,1.0383936495179102,0.05845048659019492,1.638780901427789,-0.5070552576558551,1.538753630053014,0.7704498133500892,1.537935190331063,0.47602223612664285
30,ANDE,1.2174668422378085,-0.1689249054938572,0.9502314065064297,0.009192693438651034,1.3145423603389566,0.6230653193304285,0.5548508739781094,-0.0901757545955324,0.9514556953233346,0.7201179073568531,0.8580560193529473,-0.30190149387875254
31,ANIX,0.349865196537234,-0.18227848605532004,0.929615763485997,0.06333335240681959,1.2200031848123407,-0.07645259983431729,0.8315908743412609,0.4072847770999426,0.9749123183254775,-0.07398566552411634,0.9925205102857452,-0.3638676952840745
32,ARCC,0.6000129799916981,0.31422692410919195,1.100720548541112,-0.006216403560092676,0.5382812004668578,0.3782257761939041,0.7259965607141299,-0.030154980468250492,0.8155726696358051,0.19386602938682707,0.41820983201914425,0.20050129747043477
33,ARKR,0.2381097463633045,0.2849069962210511,1.166463879060532,-0.12453318426823434,0.9261184334384499,-0.0730897134374281,0.5276357892987306,0.014942983827608503,0.43734538085424157,-0.1405894747033517,0.7574971029703396,-0.19036347775997686
34,AROW,0.8489120886526027,0.22659563459562615,1.2681846596132593,-0.17462675319970566,0.7351510733093171,0.20526689075735804,0.5219730465156364,0.007600831574770206,0.9554331569486332,-0.13580497030379368,1.0379046620884533,0.05350232494365681
35,ARQ,0.6223475846696199,0.05100132932351431,1.2885082753398645,-0.4433157083489616,0.6614658587736326,0.20484169982771694,0.9079301649128353,-0.6389301545512123,0.9800898159900334,0.26271192861747417,1.1455340721644331,1.536842196844074
36,ARTW,-0.17114592588504643,-0.13658535507447211,0.41401687324898034,0.5277778182500685,0.34437743661706766,0.12662341381973197,0.13482200303675057,-0.4563380356417648,0.5098866990422276,0.08376961749607936,-0.355519801231716,0.6744184860221292
37,ASPS,1.1542805296108967,-0.1269195819064114,1.039625823088733,-0.3275243602438943,0.9087623834456224,-0.0745543002364556,0.2680907947213716,-0.18377912738554347,0.593037739896162,-0.5922107526402469,-0.5111672837777299,-0.7828746230325181
38,ASRT,2.0252006143609584,-0.6783919511294475,0.5854712789622798,-0.6806722864172952,1.7205342852153631,0.2443181419996514,1.3846116188881785,0.6226415094339623,1.8417652445956616,-0.743405284846894,1.4863508566348391,-0.22807020381302412
39,ASRV,0.1286059253602287,0.07412888008354157,0.5865574970820431,-0.22604468285841284,0.07903651001013326,0.27412691588635396,0.08355117790300456,0.04730405292492379,0.18412753995369277,-0.1432142184681271,0.2263468779349416,-0.15345373267493423
40,ASTE,1.2888697960902555,0.30182925977378683,0.889649093928896,0.3866043564239865,1.4117403934509214,0.20075012424037708,1.1372952765728785,-0.41061459200282824,1.0272794588834067,-0.08567300328952121,1.3541408593226973,-0.06256996879070631
41,ASYS,0.9846273977220033,0.4487704930046623,0.691560684906231,-0.10468322381842254,1.773431206110443,0.5377357747895151,1.165084691516812,-0.22210854160264915,0.7739868456103055,-0.47368423568590723,0.5561986220172428,0.27482680789563063
42,ATLC,0.297589983451075,1.5945122875339721,1.3103069287610458,1.6750546875855918,1.7167197788539732,2.203801880281414,1.5983167482480019,-0.6230215717562668,1.9717208632547223,0.4918980731142948,1.7185495305455702,0.5026538872959445
43,ATLO,0.6728498188788465,0.11418434997888194,1.2781520760831786,-0.11003702872633525,0.33195540902321574,0.09382242675740904,0.13373310023016763,0.017711741298432893,0.587748644893195,-0.04472631685756656,1.008535164689465,-0.189202753195442
44,ATRO,1.4590181846119101,-0.07925637042626688,1.6629861881192145,-0.5296852629071432,1.3864365818220294,-0.01400330078140799,0.9775761016366525,-0.14309485869593852,1.770063817747725,0.7179486673060234,1.7231297567853578,-0.08299474111975869
45,AVAV,1.1720687936228793,-0.08350366745552007,0.9343996687739117,0.3981260792255117,0.9735440946099517,-0.27615500358385325,1.1726414203144602,0.3655349001626278,0.7921257973737057,0.5033397712419134,1.0797196305718368,0.2559080263998297
46,AVBH,0.14407341780523714,0.19047619047619047,0.38027908866587345,-0.29292929292929293,0.1212571211524593,0.39444446563720703,0.2053501809877076,-0.18791679290660857,0.6420178314848676,0.032367152251196574,0.10058423796635259,0.07076169567882906
47,AVDL,-0.018446821454807596,1.604316491233186,0.8578331512292688,-0.09716596558947366,0.6218488669809762,0.20420430052712701,1.4962603284030827,-0.13630882022203705,0.9231127069472532,1.0171428407941545,0.4287557115820107,-0.26470586860331125
48,AVGO,1.4502255197768346,0.28395045359899207,1.235031459953006,0.41037845068627754,1.5116677360639608,0.6105293631001103,1.2978594556130336,-0.12996385566029645,1.4793534928771759,1.062686017161011,2.58308066614415,1.199718894702539
49,AWRE,0.2243663610420309,-0.07629426854740595,0.3573989285203289,0.005882347166332069,0.8259920780788476,-0.06451613579846482,0.6382991954139364,-0.46728971407299436,1.175486455299433,-0.029239807257405603,1.2308697464864653,-0.05294119462009894
50,AZN,0.22415336510003145,0.42465102953565403,0.3243769852669856,0.03934841529504651,0.37250417065442254,0.18660781384874459,0.2328111696493926,0.20438049237394096,0.19224211222809937,0.0059068417684431385,0.05969074653164737,0.0019032516473933558
51,BANF,0.9854396653186128,0.26784553351426466,1.2995812697014166,-0.03923114808309813,0.8604787268973366,0.2366726454296766,0.4817856529677478,0.24822314345611685,1.133971838983574,0.13746616497076936,1.1164491714465723,0.2512757247890349
52,BANR,1.0566916042255607,0.07953225763194083,1.4444393819073682,-0.1380403491057346,1.218462534930855,0.3630325339311693,0.7012387529232692,0.06115874283304956,1.426390604323785,-0.11530330183657578,1.1768370786338058,0.30869249173584
53,BCBP,0.7505266798819241,0.34630568099767944,1.0917128746818086,-0.14704374720756974,0.8285776223262362,0.45677232749244134,0.4652796341553727,0.2138203654595019,1.109312246145731,-0.24355248193546164,1.2190415778135812,-0.06027862241825144
54,BCRX,1.6405515749200879,-0.6211764672223259,1.1915546368301773,1.2058822910678444,1.7365851671036796,0.8685636514922612,1.3302009092863514,-0.1840796168276142,0.8485168339743566,-0.47685590647161735,1.391133471202995,0.24052718234888726
55,BELFB,2.069767901796776,0.08240210487959443,1.5353516146690114,-0.20161908387337535,1.3762885890437113,-0.16700652946997097,1.0675929818763994,1.5853503215199929,1.3891697203859794,1.0524868811154704,1.414532353306555,0.2605377109524154
56,BHRB,-0.008243097759555966,-0.21878612903434158,0.007644733327255293,-0.19307059321037556,0.11421842974891146,0.34071691250266634,0.1366910095310959,0.3333875544031555,0.5194326233828426,-0.08171425936404908,1.283018619382734,0.0366404055711016
57,BIIB,0.6943697556968818,-0.028487947114216428,0.8752718360024159,-0.17217234259343006,0.3385476665661767,-0.012142403726272288,0.9192993595061824,0.13426728155990908,0.7830786319847123,-0.05083818956427122,0.6088806001865857,-0.43898245401644564
58,BKR,1.1645111109918729,0.25643888480950117,1.4665534705405474,-0.13617190039763016,1.1510167599006487,0.17525661801075132,0.6689620447359941,0.21033349205363838,0.8414907584123871,0.21796031174347696,0.7581126933178794,0.23778899653721464
59,BLDP,1.1786409305149006,1.5719556059333324,1.3050666206330948,1.9449999332427979,2.099389071812811,-0.4380825804893903,1.9702213602587855,-0.6207442661559261,2.474247122583942,-0.21775897827406931,1.163682284596369,-0.5424657771367694
60,BMRA,0.8226392929208872,0.47938134067433125,-1.184414140508068,0.6769759348814155,0.8809794476362607,-0.22924898429443508,0.5404180339625093,-0.1947115318485969,0.28290685890212847,-0.6355685202123691,0.8979583092648858,-0.7539682502138672
61,BND,-0.09901995543290222,0.08731091437278993,0.0559597718914233,0.07427594636303869,0.00203729007183454,-0.017041841291735804,0.1072341253161753,-0.12523850284347338,0.08305622350134104,0.05098387682915306,0.06240535899177852,0.019816331384520325
62,BOOM,1.424379805891219,0.24362671770148236,0.8871394367101044,-0.02821674416445419,1.0411743302750733,-0.08980143433306753,1.4055132890311979,-0.5468531505219021,1.4460005699242808,0.060879365143192476,0.8025276755829347,-0.6085997715807988
63,BSET,1.1070880611541323,-0.17026969307667794,1.155789298142995,0.3263979878300276,1.5609161850287623,-0.10312243136261445,0.7020016630687553,0.1232537745342015,0.2848842733757806,0.019036358328014424,0.370383689111326,-0.11350998446171501
64,BVFL,0.10908295867523046,0.18965522622994002,0.030860835974644195,-0.07246383925968103,0.020609187426749765,0.18235296390972344,-0.054619020471121466,0.24378106634032837,0.3012927079581481,-0.13167349567454645,0.17968759706540072,0.2130342614337326
65,BYRN,-0.44290862236327716,0.2666666507720947,-0.022272562611619924,6.095238235802343,0.3151248913463478,-0.08698633045075477,1.0666529640760423,-0.42310521967912196,0.4186440229764341,-0.19113926717131324,1.5121071976547846,4.277486853483087
66,CAC,0.9762699653429517,0.3095443120340162,1.0920437899889135,-0.19920977521889704,0.8790282606355314,0.38218215219321094,0.43119944116410747,-0.12347052404676084,0.9856319494013714,-0.05346262195079332,1.04801782326329,0.1865588289057094
67,CACC,0.9802744621243052,0.1294606857348144,1.1347356609045562,-0.2291483026686012,0.3119219351590718,0.9910714285714286,1.3840260516659133,-0.26884906254071383,1.8482843100155018,0.1670390107940687,1.1656022825826768,-0.1405269222102613
68,CALM,0.5866933690945648,0.009433307867940721,0.41324077003452975,-0.1085198825042123,0.14793373733144327,-0.017101842042676174,0.2602438384130315,0.49017041249574467,0.45678003242266707,0.1233527013665976,0.2421999492733015,0.877035874284932
69,CASY,0.5778375116141176,0.2641943933383739,0.837757304378283,0.13354559525088905,0.622923022993447,0.11065639669538818,0.619178338301284,0.14529906941736614,0.3966819731880803,0.2517155877821673,0.7763942219879197,0.444205317168606
70,CBRL,0.4172730674419606,0.02046439357272334,1.2551391249777821,-0.11114639107543745,1.0202911854190118,0.0389532656244751,1.0208029429624494,-0.2440725718158594,0.9547498663521461,-0.13720722991116396,0.9546484897033001,-0.26605378760306064
71,CCEC,0.7858953568640268,-0.046226350428139384,0.9384606069461031,-0.36337876020690707,0.8320017448292711,0.9757888513267619,0.5285498394204917,-0.10759834587230432,0.4683240607974461,0.09336451911401689,0.14463035127262758,0.32241357583095076
72,CCOI,0.8808267409148577,0.5365968699404386,0.7447729179400782,-0.06501872888321436,0.9055457114141225,0.2916541628644902,0.679739292472281,-0.16618210749790252,0.6526524133727066,0.39617120607799294,0.577776392117048,0.05000487717296087
73,CCRN,0.9444343747937709,0.5346666971842449,1.1331897556032546,-0.20986540618572858,0.979990074036682,2.062983284987491,1.0946981467709478,-0.04424458906447015,0.4418705674204349,-0.16734097296945416,0.7722772377869789,-0.22555747417309235
74,CDNS,1.5449384388783227,0.6190145409413734,1.0880426093518447,0.8931970237673146,1.657094470993881,0.38663824113900525,1.3423762296958495,-0.12295263060818384,1.2665988761520195,0.7061513164528916,1.8365295897835368,0.14819320030269156
75,CELH,1.3257575779762,0.4057974484857776,1.1254048720266494,8.351581242527459,2.0726116065039855,0.48405334785906073,2.1861499726637224,0.38553732935688356,1.4161258258940719,0.627948573463901,1.3096412419111363,-0.5620870588508992
76,CENT,0.650253089561493,-0.10818543964135352,0.7287572800976883,0.2416392745366629,0.9188571433545134,0.3621313609961785,0.6216831142195068,-0.2905853310265004,0.712386365016223,0.359837146914193,0.8614133669588171,-0.022580582478695432
77,CENTA,0.7447053637918358,-0.07160883048243882,0.7246664072736315,0.24145155822683462,0.9425855106546002,0.321655141896215,0.6178704421888801,-0.2554076833658514,0.725184148934035,0.2504258127301302,0.8931365019714691,-0.07915357882509932
78,CENX,2.395408926248538,-0.017218557769104414,1.1658733450108894,0.39119171800541475,2.0999763370255673,0.4740144254351437,1.9917079853242763,-0.5084134251672827,2.4152888761241456,0.48957066399372606,1.7404525414328422,0.529362367915708
79,CFFI,1.031129247979335,0.03085115291076934,1.1946249755632894,-0.28713875577307735,0.28340403007363957,0.43906254656247024,0.09184345721159277,0.16653940262489697,0.3721754204988985,0.18212812638689768,1.2391947155682488,0.06287903124774719
80,CHI,0.6327346834267262,0.31627318497299517,1.0648094797893533,0.34691619189063827,0.7287099493166379,0.23595712169870797,0.7673105881252593,-0.23051311829277454,0.8225239594209353,0.08153771856576153,0.6042195082712101,0.30473975484804683
81,CHMG,1.0523038772617457,0.021040718492955968,1.5123634400529256,-0.1609272431008062,0.27865331675416644,0.3870083357981058,0.0932658343977475,0.03806380617457972,0.6529164815817987,0.12825985226522274,0.5273050790391404,0.008353618645156935
82,CHRW,0.8225346905765079,-0.04249605990787164,0.5424736839828713,0.2244384623672362,0.7689276372000456,0.18495830011640035,0.6598991930263748,-0.1331219402609316,0.8625631214316145,-0.017289400963571122,0.28827009268357934,0.22033266361959325
83,CLNE,1.5787900982582226,0.2777777851363761,1.7601173767579101,2.426777916694557,2.1347979405544066,-0.20051081866181097,1.751906985842775,-0.20489299088745228,1.9169554748805437,-0.24754424186828727,1.67404270157538,-0.3447368313731247
84,CLWT,1.1621455029272376,-0.16546778094408832,0.01724995391944084,0.78587344111349,1.6452851125766346,0.03370788755271836,0.958123689883962,-0.5499181810886988,0.2161854216568236,0.22388063595305518,-0.032530535508064215,-0.07626158625737234
85,CMCO,1.4413791795241067,0.3522208226933605,1.3549116934970171,0.006570952834174637,1.166279902097227,0.19864341556288867,1.1532783599003449,-0.2927261217440853,1.3503029950171999,0.2052182990240501,1.2617586491667465,-0.026254290954621506
86,CME,0.3797938360188059,0.10314180941345619,1.0068773337164576,-0.08940054989536139,0.723206393903567,0.3157051829352342,0.5100896894419834,-0.21862235562827603,0.3166907729435854,0.30705301485172165,-0.024638379894334428,0.1581658237811101
87,CNOB,1.0036293717469202,0.3735276959247311,1.2900630406708422,-0.21961902500829733,1.0359916252579482,0.6832712576362627,0.7182651153589711,-0.25084934390317937,1.4886204453377123,-0.01270513033310705,1.2646753749503623,0.019406139505624198
88,CNXN,1.0560955742262337,0.6740458515836323,0.751453892749213,-0.04737074668155683,1.2115717126503058,-0.047340905096108665,0.6956450026559486,0.08479668307191512,0.6380201872373111,0.345325809864367,1.2452168495356564,0.05933457526964658
89,CODA,1.487999126900203,0.41736228639843853,0.6458405897317955,-0.27080891149980324,0.3994192247785744,0.15284175892110285,0.275483119053204,-0.1623931031760384,0.6711024079476152,-0.09473685795580555,0.39846949783496766,0.29204270239234575
90,COLB,1.0507656678359965,0.15252852295807373,1.2639266887017482,-0.09249298629263591,1.215610336958534,-0.03596256391469477,0.8157153543250673,-0.062359342131188766,1.7758353368353763,-0.03056445312286238,1.2425206278892194,0.08175498548010363
91,COLM,0.9904041325576631,0.20432686500136255,1.0397787310893063,-0.1207615045489362,0.955773709737785,0.16457277555003724,1.1428742043339637,-0.09398862619578274,0.9118988631515947,-0.08858468611148962,0.43876728613523475,0.06791500770049685
