,Ticker,Country,Company,Sector,Industry,portfolio,year,mcap_2019,pe_2019,dy_2019,pscore_2019,azscore_2019,fcfyield_2019,roic_2019,rg_2019,ndebitda_2019,gpm_2019,epsdg_2019,beta_2019,momentum_2019,mcap_2019_cut,pe_2019_cut,dy_2019_cut,pscore_2019_cut,azscore_2019_cut,fcfyield_2019_cut,roic_2019_cut,rg_2019_cut,ndebitda_2019_cut,gpm_2019_cut,epsdg_2019_cut,beta_2019_cut,momentum_2019_cut,mcap_2020,pe_2020,dy_2020,pscore_2020,azscore_2020,fcfyield_2020,roic_2020,rg_2020,ndebitda_2020,gpm_2020,epsdg_2020,beta_2020,momentum_2020,mcap_2020_cut,pe_2020_cut,dy_2020_cut,pscore_2020_cut,azscore_2020_cut,fcfyield_2020_cut,roic_2020_cut,rg_2020_cut,ndebitda_2020_cut,gpm_2020_cut,epsdg_2020_cut,beta_2020_cut,momentum_2020_cut,mcap_2021,pe_2021,dy_2021,pscore_2021,azscore_2021,fcfyield_2021,roic_2021,rg_2021,ndebitda_2021,gpm_2021,epsdg_2021,beta_2021,momentum_2021,mcap_2021_cut,pe_2021_cut,dy_2021_cut,pscore_2021_cut,azscore_2021_cut,fcfyield_2021_cut,roic_2021_cut,rg_2021_cut,ndebitda_2021_cut,gpm_2021_cut,epsdg_2021_cut,beta_2021_cut,momentum_2021_cut,mcap_2022,pe_2022,dy_2022,pscore_2022,azscore_2022,fcfyield_2022,roic_2022,rg_2022,ndebitda_2022,gpm_2022,epsdg_2022,beta_2022,momentum_2022,mcap_2022_cut,pe_2022_cut,dy_2022_cut,pscore_2022_cut,azscore_2022_cut,fcfyield_2022_cut,roic_2022_cut,rg_2022_cut,ndebitda_2022_cut,gpm_2022_cut,epsdg_2022_cut,beta_2022_cut,momentum_2022_cut,mcap_2023,pe_2023,dy_2023,pscore_2023,azscore_2023,fcfyield_2023,roic_2023,rg_2023,ndebitda_2023,gpm_2023,epsdg_2023,beta_2023,momentum_2023,mcap_2023_cut,pe_2023_cut,dy_2023_cut,pscore_2023_cut,azscore_2023_cut,fcfyield_2023_cut,roic_2023_cut,rg_2023_cut,ndebitda_2023_cut,gpm_2023_cut,epsdg_2023_cut,beta_2023_cut,momentum_2023_cut,mcap_2024,pe_2024,dy_2024,pscore_2024,azscore_2024,fcfyield_2024,roic_2024,rg_2024,ndebitda_2024,gpm_2024,epsdg_2024,beta_2024,momentum_2024,mcap_2024_cut,pe_2024_cut,dy_2024_cut,pscore_2024_cut,azscore_2024_cut,fcfyield_2024_cut,roic_2024_cut,rg_2024_cut,ndebitda_2024_cut,gpm_2024_cut,epsdg_2024_cut,beta_2024_cut,momentum_2024_cut
10,ARCC,USA,Ares Capital Corp,Financial,Asset Management,central,2019,8019499999.0,10.04230769,0.08714706381,4.0,0.8691683259,0.08551462601,2.832142857,-0.003574620197,8.548825711,0.7390134529,-0.07462686567,0.6000129799916981,0.3142269241091919,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AVGO,USA,Broadcom Inc,Technology,Semiconductors,central,2019,125768000000.0,44.56314244,0.03488755252,8.0,12.18182252,0.07632424417,0.05433805084,0.08389293937,2.935456565,0.5524184626,-0.7746478873,1.4502255197768346,0.283950453598992,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CACC,USA,Credit Acceptance Corp,Financial,Credit Services,central,2019,8040619006.0,12.74218905,0.0,8.0,2.293880858,0.09395764164,0.08994601754,0.15578125,4.998736358,0.716371502,0.1762504253,0.9802744621243052,0.1294606857348144,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CDNS,USA,"Cadence Design Systems, Inc",Technology,Software - Application,central,2019,18968295360.0,19.16305305,0.0,7.0,13.88375656,0.03456099308,0.1831755706,0.09274787631,-0.4421772325,0.8859928803,1.869918699,1.5449384388783227,0.6190145409413734,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CENX,USA,Century Aluminum Co,Basic Materials,Aluminum,central,2019,671089500.0,-8.259059406,0.0,5.0,2.388421203,-0.06278733824,-0.05109329906,-0.02989647158,11.61842105,-0.01301317652,-0.1447368421,2.395408926248538,-0.0172185577691044,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CHI,USA,Calamos Convertible Opportunities and Income Fund,Financial,Closed-End Fund - Debt,central,2019,780161965.0,9.366052279,0.08957838592,5.0,2.294854404,0.01448430925,0.0,-0.3123255188,4.428513612,0.8782940382,3.75,0.6327346834267262,0.3162731849729951,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,COLB,USA,"Columbia Banking System, Inc",Financial,Banks - Regional,central,2019,8960589040.0,25.31974162,0.02064570422,6.0,0.1578471195,-0.01039027653,0.0556289133,0.09233412993,0.6597642667,0.8076300224,0.1188811189,1.0507656678359965,0.1525285229580737,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CPRT,USA,"Copart, Inc",Industrials,Specialty Business Services,central,2019,21163754160.0,30.19725986,0.0,6.0,27.65549327,0.01522417177,0.2651653343,0.1308426949,0.2668392502,0.4399416834,0.4418604651,0.8115550804576888,0.9056208059732014,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CSCO,USA,"Cisco Systems, Inc",Technology,Communication Equipment,central,2019,203446320000.0,21.06639704,0.02442276255,7.0,3.163942082,0.06095274508,0.1486818864,0.0521792013,0.7451251875,0.6293541924,115.0,1.2918763225662395,0.1393378389027788,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CSQ,USA,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt,central,2019,2104452943.0,7.791075641,0.07525594323,2.0,3.034765037,0.09758888057,0.08879434002,2.469043631,2.582819926,0.8881096853,2.479166667,0.9088175698916112,0.3733108222674324,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CTAS,USA,Cintas Corporation,Industrials,Specialty Business Services,central,2019,28050244600.0,26.59129089,0.009381124221,8.0,12.08691993,0.03361875469,0.1330833471,0.06418011707,1.760054161,0.4539249072,0.05208333333,0.987356371033022,0.6178154632847379,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CVBF,USA,CVB Financial Corp,Financial,Banks - Regional,central,2019,3001929060.0,14.51185871,0.03161584523,7.0,-0.4842665075,0.06719593919,0.0806305436,0.2493949539,0.8494905944,0.9465317092,0.184,0.9582307889079296,0.0858365536078082,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DRH,USA,Diamondrock Hospitality Co,Real Estate,REIT - Hotel & Motel,central,2019,2229382811.0,12.19851014,0.04559418203,8.0,0.9087542636,-0.002667240884,0.06135015791,0.0861255708,5.26724538,0.2636481962,1.11627907,0.8460022026826896,0.3106189103504333,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,EWBC,USA,"East West Bancorp, Inc",Financial,Banks - Regional,central,2019,7052441800.0,10.5123679,0.02189013289,6.0,0.5231982184,0.1024555937,0.107801548,0.1445164371,-2.24914912,0.7545066184,-0.04158004158,1.5244128278853908,0.1313991489214039,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FAD,USA,First Trust Multi Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund,central,2019,115307305.0,,,,,,,,,,,1.0809914331076542,0.2756315369891675,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FEX,USA,First Trust Large Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,central,2019,781842670.0,,,,,,,,,,,1.0263774384857651,0.2648892503128974,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FITB,USA,Fifth Third Bancorp,Financial,Banks - Regional,central,2019,21934711440.0,8.693766385,0.03448000938,8.0,0.5958743187,0.06960108135,0.06301108714,0.207253886,3.380783887,0.776360051,0.08823529412,1.0790455446312703,0.3064453157152074,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FNX,USA,First Trust Mid Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,central,2019,744181180.0,,,,,,,,,,,1.1356041397899608,0.2674455870662418,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FWRD,USA,Forward Air Corp,Industrials,Integrated Freight & Logistics,central,2019,1947827700.0,22.64366124,0.01039122896,3.0,1.052864217,0.06945959043,0.09467463475,-0.08002128874,0.7693419081,0.2088575668,-0.03492063492,1.0134817346404144,0.2784671977740136,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,GNTX,USA,Gentex Corp,Consumer Cyclical,Auto Parts,central,2019,7138060003.0,17.18028181,0.01594108719,6.0,9.385133474,0.05775433801,0.2060038331,0.01354026528,-0.4994965499,0.3702775456,0.02469135802,0.8099423699660437,0.4678619590607429,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,HBAN,USA,"Huntington Bancshares, Inc",Financial,Banks - Regional,central,2019,15351440000.0,11.10255648,0.0428324104,4.0,-0.492000939,0.09364403287,0.05293565935,0.07305502846,5.468459658,0.774535809,0.05833333333,1.1030785871279416,0.2901195035429462,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,HERZ,USA,Herzfeld Credit Income Fund Inc,Financial,Asset Management,central,2019,37292684.0,,,4.0,123.2940937,,,,,,,0.8704293519399324,0.4336229050078075,1.0,,,1.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,HST,USA,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,central,2019,13135255000.0,14.72507065,0.04598782098,8.0,1.842906337,0.05108117515,0.06428194321,-0.009956553222,1.519892473,0.5251417078,-0.1428571429,0.8857606451976822,0.1915076629703842,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,HURC,USA,"Hurco Companies, Inc",Industrials,Specialty Industrial Machinery,central,2019,260119160.0,13.44073221,0.01362134722,4.0,3.060122445,-0.04798303485,0.06860661021,-0.1240359064,-2.098816852,0.2931463264,-0.1955835962,0.8243351928941958,0.081863532054663,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,IBKR,USA,Interactive Brokers Group Inc,Financial,Capital Markets,central,2019,13885526896.0,22.05173963,0.008731582501,6.0,1.110214105,0.7300729627,0.1204042463,0.1104876996,0.511827957,0.7905169063,-0.07894736842,1.11513292694153,-0.1171284054130535,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ICLN,USA,iShares Global Clean Energy ETF,Financial,Exchange Traded Fund,central,2019,1831409567.0,,,,,,,,,,,0.775928334397949,0.4283597273242787,2.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,IEUS,USA,iShares MSCI Europe Small-Cap ETF,Financial,Exchange Traded Fund,central,2019,167280000.0,,,,,,,,,,,0.750203115494132,0.2897286799434606,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,IFGL,USA,iShares International Developed Real Estate ETF,Financial,Exchange Traded Fund,central,2019,153484010.0,,,,,,,,,,,0.4317977302006943,0.2102665618035615,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
