portfolio,Ticker,beta_2024
central,AAPL,0.9450946119237489
central,ACWI,0.8945820977208161
central,ADI,1.6224140483763259
central,AMAT,2.216125671905546
central,AMKR,2.3201399433896626
central,ANDE,0.8580571250869676
central,AROW,1.0379051965214707
central,AVGO,2.583080464173049
central,BANR,1.1768372724402796
central,BCBP,1.2190399521716848
central,CAC,1.0480174648348248
central,CDNS,1.8365295897835368
central,CENT,0.8614133669588171
central,CENTA,0.8931365019714691
central,CHRW,0.28826832966540566
central,CNOB,1.264674302664726
central,COST,0.8316248142085201
central,CPB,-0.13883394951750702
central,CVBF,1.2935345686508801
central,CVLT,1.3472284029099595
central,DSGX,1.0811438458583562
central,DXPE,1.4036945055361194
central,ECPG,0.8857906810360836
central,EEFT,0.9898556946371758
central,EGBN,1.314268837069107
central,EVRG,0.11982621085699141
central,EWBC,0.9830438598669032
central,FAD,1.1647896925947
central,FEX,0.8368399991314968
central,FNX,1.033133474729604
central,FORM,2.5244877948855677
central,FWRD,0.7959284789666994
central,GNTX,0.6652325958002371
central,HBAN,0.9659742775463924
central,HTBK,0.8440397958511119
central,INDY,0.42154131248202265
central,JKHY,0.3905109796682417
central,KELYA,0.6621524054679221
central,KRNY,1.2418023157024813
central,LBTYA,0.6655279835141357
central,LKQ,0.6476727786679314
central,MANH,1.034875532591035
central,MNST,0.21757461687514779
central,MRVL,2.643472392295971
central,MSEX,0.5603240750098601
central,MU,2.194028422233735
central,NICE,1.297479704824898
central,NRIM,1.2765079330461953
central,OSBC,0.844148437161767
central,PDFS,2.1942210845337655
central,PLAB,2.2971459779719674
central,POWI,1.7366558749525673
central,PTC,1.0537212367315676
central,QCOM,1.951886216679651
central,QTEC,1.6352613133446612
central,SATS,1.2182506506784825
central,SBRA,0.4251138524807394
central,SFNC,0.974843237694121
central,SIMO,1.548889575717774
central,TBBK,1.1173279147497162
central,TER,2.319314859241781
central,TLT,0.06271712284657942
central,UCTT,2.439592926921166
central,VRSK,0.2851290594694902
central,VRSN,0.5528879017503546
central,XRAY,0.6101032312279836
peripheral,AACG,0.39720374181872553
peripheral,ABVC,0.4104570099444637
peripheral,ACNT,0.035915609667263794
peripheral,AEHL,0.11214197113368418
peripheral,AIRT,0.6584955257914121
peripheral,AMTX,1.745159661180966
peripheral,ANIX,0.9925205102857452
peripheral,ARTW,-0.355519801231716
peripheral,AVDL,0.4303432399349285
peripheral,AWRE,1.2308697464864653
peripheral,AZN,0.2552238307206493
peripheral,BHRB,1.2830197779691301
peripheral,BMRA,0.8979583092648858
peripheral,BVFL,0.17968759706540072
peripheral,BYRN,1.5121071976547846
peripheral,CLWT,-0.032530535508064215
peripheral,CODA,0.39846949783496766
peripheral,CPSH,-0.043604802804901026
peripheral,CREX,1.3980505681367696
peripheral,CRVO,0.9825538077908664
peripheral,CZFS,1.6561075903488862
peripheral,DRS,1.3637667819883494
peripheral,DXR,-0.14642842664217007
peripheral,DYAI,-0.2068280914715133
peripheral,EBMT,0.46311064286066345
peripheral,FIEE,-0.1132956334408732
peripheral,FKWL,0.554998695663068
peripheral,FTEK,0.4042685783154335
peripheral,GIFI,1.0664221978185315
peripheral,GREE,2.322267646099013
peripheral,HFBL,0.06771181213496615
peripheral,HGBL,0.2253116980114166
peripheral,HNNA,0.24379164580303442
peripheral,IBIO,2.080957419761803
peripheral,ICCC,0.10815317432220715
peripheral,IMMR,1.2245796167133827
peripheral,INOD,2.8676072721882218
peripheral,INTZ,-3.196035947249891
peripheral,IPM,0.6188500554295178
peripheral,ISBA,0.280509037851971
peripheral,KINS,0.770408814835471
peripheral,KOSS,1.929644624351289
peripheral,KRMD,0.9366948745719688
peripheral,LDWY,-0.007205532504609663
peripheral,LFMD,1.8136625003101299
peripheral,LINK,0.3635010309585765
peripheral,LIXT,0.5769189712212126
peripheral,LOAN,-0.07820325983360873
peripheral,MGYR,0.02579355155593251
peripheral,NAII,0.09902401082754893
peripheral,NECB,0.7923801315269751
peripheral,NOTV,2.577236401493285
peripheral,OCC,0.5593379564427947
peripheral,OMCC,0.04394433081084828
peripheral,OMEX,-0.35590532514184164
peripheral,ORKA,1.3374037904761549
peripheral,PRPH,0.06200236691940543
peripheral,PRTS,0.906786453951751
peripheral,RCAT,0.3145437472495683
peripheral,SAVA,1.4224467122784692
peripheral,SBET,0.6236061534025594
peripheral,SCWO,2.145504328234627
peripheral,SFBC,0.01004466235963428
peripheral,SGLY,0.8739426905687253
peripheral,SHIP,0.7074633524842437
peripheral,SLNH,2.8918652735058403
peripheral,SSKN,-0.05551243583286483
peripheral,STRR,0.2918487811558079
peripheral,TAYD,1.4844395557656191
peripheral,TCRT,0.11034574512727671
peripheral,TOMZ,0.28095355554249235
peripheral,UONE,0.8289050706146158
peripheral,VIRC,1.5141412991399719
peripheral,WFCF,0.21155612277085362
peripheral,WKSP,1.113360416234346
peripheral,XOMA,1.058015267256177
peripheral,ZYXI,0.8885029036120935
