portfolio,Ticker,beta_2019
central fast,ABTC,0.2033105719310387
central fast,ABVC,-6.4798222748149605
central fast,ACB,1.1067939929677133
central fast,ACET,1.4430409685091903
central fast,ACTG,0.6148358257910022
central fast,AHG,0.8310235637671002
central fast,AIRT,-0.10956497117464119
central fast,AIXC,0.48150382344606446
central fast,AKRO,0.22673961732553813
central fast,ALDX,1.8623310841269434
central fast,ALM,-0.41556050026455776
central fast,ALOT,0.6487807666975581
central fast,ALRM,1.1021755277038474
central fast,ALT,0.35656407299617027
central fast,AMAT,1.7281171859977147
central fast,ANDE,1.2174671143968039
central fast,ANIX,0.349865196537234
central fast,AOSL,1.987134731809244
central fast,APLS,1.6636668561687669
central fast,ASMB,1.2179921178754234
central fast,ASRT,2.0252004717157317
central fast,ATLC,0.297589983451075
central fast,ATYR,1.231651602027053
central fast,AVDL,-0.03412635430793366
central fast,AXSM,2.0946744127649986
central fast,BEEM,-0.31938149622002104
central fast,BIIB,0.6943697556968818
central fast,BITF,-0.23254336540245954
central fast,BLRX,0.20271800591915393
central fast,BMRA,0.8226392929208872
central fast,BOOM,1.4243807286511163
central fast,BRTX,1.5162220103642803
central fast,BYRN,-0.44290862236327716
central fast,CDTX,1.3142110970685597
central fast,CENT,0.650253089561493
central fast,CENTA,0.7447053637918358
central fast,CGC,1.0886676138551497
central fast,CLGN,0.007339824766609821
central fast,CLWT,1.162145675872155
central fast,COMM,1.6534827690038252
central fast,CPRX,1.330010181344253
central fast,CPSH,0.9922194948137592
central fast,CRESY,0.932443968654111
central fast,CRMD,1.7421731671167804
central fast,CRNT,1.1593286993342111
central fast,CRNX,1.1180351857794886
central fast,CUE,1.32856460117546
central fast,CVV,0.3846266049846056
central fast,DDOG,2.836884527760087
central fast,DHC,0.5805087095467187
central fast,DUOT,-0.12189461532230655
central fast,ELTK,-1.0414411654225253
central fast,ELVA,-0.06338281768572206
central fast,ENPH,0.8749282088675797
central fast,ESPR,1.1187131173707865
central fast,EVER,1.5078228285693054
central fast,EVGN,0.6686847685401621
central fast,EZPW,1.1946309734351526
central fast,FGEN,1.7605389810295937
central fast,FIVN,1.4909780794376786
central fast,FKWL,-0.13781433568894502
central fast,FLNT,1.6604189415308606
central fast,FORTY,0.5310251586504147
central fast,FRPT,0.9552209313324066
central fast,GDC,1.2431792634870409
central fast,GIFI,0.43663804176599935
central fast,GWAV,1.0118497861844435
central fast,HALO,1.325105823652464
central fast,HBIO,1.4672932261802984
central fast,HIND,0.4196018646293008
central fast,HNRG,0.9893835990972517
central fast,IBIO,-0.23715205538399559
central fast,ICUI,0.4411555953414826
central fast,IFRX,0.9746032473339674
central fast,INO,1.7564315434283748
central fast,IPHA,0.9645204249105085
central fast,IROQ,0.3257742424330055
central fast,KALA,1.4529509799979337
central fast,KG,-0.05815782536584188
central fast,KLXE,1.8775094750154269
central fast,KMB,0.453185112379758
central fast,KPTI,1.9206766776095825
central fast,KRRO,0.555859622083247
central fast,LEGH,0.4779373557231331
central fast,LFMD,0.9679217724023007
central fast,LINK,0.5488719797233392
central fast,LIXT,0.514360729744456
central fast,MDWD,0.7104747949308626
central fast,MGIC,0.5431713147975691
central fast,MGYR,-0.013079793685124205
central fast,MLKN,1.1632847618303332
central fast,MOGO,-0.4809180889694516
central fast,MRSN,1.6715009331850204
central fast,MRUS,0.7733136473506692
central fast,NAII,0.20905703330352357
central fast,NMIH,1.259451573621697
central fast,NNDM,1.1733509872202676
central fast,NSPR,0.14634009073089219
central fast,OLB,0.6174480488311442
central fast,OTLK,0.5570690408620858
central fast,PACB,0.2403826785851938
central fast,PAVM,-0.1528479524404309
central fast,PEBK,1.0915882280142508
central fast,PERI,1.2167086702053167
central fast,PETS,0.8985677837331595
central fast,PRPH,-0.23090844256191284
central fast,PRQR,0.6697547054233968
central fast,PRTS,0.20328597715720534
central fast,PSIX,0.08156404889966037
central fast,PSNL,2.0959803082456507
central fast,PSTV,2.505274203494232
central fast,PTGX,1.3811075769587893
central fast,PTON,1.0988829871365875
central fast,PXLW,0.8265962501023172
central fast,QMCO,0.2831347364509736
central fast,QNST,1.4215700177131334
central fast,QRVO,1.6770046704880308
central fast,RCAT,2.1494353906468167
central fast,RNTX,1.3524108926580138
central fast,ROCK,0.6757426516918318
central fast,RVYL,1.232986455498716
central fast,SAVA,0.42685045428207574
central fast,SBET,0.4824752408348221
central fast,SGBX,1.168445551042235
central fast,SGLY,0.6539077288649409
central fast,SHIP,1.2305740256736497
central fast,SLNO,0.7284934128445788
central fast,SNBR,1.3854552549496404
central fast,SONM,2.105283501527775
central fast,SPWH,1.3073980495647501
central fast,STIM,1.2316608800629159
central fast,SURG,1.0425111724495149
central fast,TILE,1.333627617089191
central fast,TLSA,0.20792889307260837
central fast,TNXP,1.3734484087962138
central fast,TOMZ,0.8005516596122157
central fast,TRMD,0.29174569406191425
central fast,TRVG,0.9400011601863311
central fast,TRVI,0.8887068689276567
central fast,UNIT,1.3383067437133644
central fast,UONE,0.3641019386009475
central fast,UXIN,1.1610432700534052
central fast,VIR,0.14988381746483562
central fast,VIRC,0.5158402470678165
central fast,VKTX,2.182073714310488
central fast,VMD,1.0014364206122162
central fast,VRCA,2.2385951530577546
central fast,VRDN,1.9042716292528257
central fast,VTRS,1.8745715166835797
central fast,WKSP,4.666649995446057
central fast,WORX,2.008645467794466
central fast,WVE,1.5459970243984467
central fast,XBIO,1.4885232896923426
central fast,XOMA,0.9571897660736737
central fast,Z,1.4039100734382426
central fast,ZVRA,0.3305522202559267
central medium,ADEA,1.3344181291278014
central medium,ADP,1.0555226327159002
central medium,ADPT,1.2911427130776585
central medium,AGAE,0.07525153735488829
central medium,AGIO,1.8116894989561176
central medium,AHCO,-0.04054786707275129
central medium,ALGN,1.6352276755968027
central medium,ALNT,1.3339058303046194
central medium,ALNY,1.358076337250951
central medium,ANAB,1.4221709082679903
central medium,AQMS,1.5277599176195678
central medium,ARCT,1.460363921155444
central medium,ARQ,0.622347204279441
central medium,ASPS,1.1542805296108967
central medium,ATRO,1.4590181846119101
central medium,BAND,1.2764207184904224
central medium,BCRX,1.6405515749200879
central medium,BLDP,1.1786409305149006
central medium,BNC,-1.2704642702728828
central medium,BNTC,-0.50972288809165
central medium,BTCS,-0.8288922403697285
central medium,BYND,0.38488978625692755
central medium,CENN,0.4544211235868283
central medium,CENX,2.395408926248538
central medium,CHRW,0.8225390581503758
central medium,CNXN,1.0560943740053328
central medium,COLL,1.0948325002697317
central medium,CREX,0.645786262719512
central medium,CRSP,2.3619994870550114
central medium,CRVO,-0.012351872705462268
central medium,CRWS,-0.0204075563734427
central medium,CTRM,3.2611888602226107
central medium,CYPH,0.7896361858385048
central medium,DLTR,0.6386942498962975
central medium,DNTH,1.6424332450850092
central medium,DXLG,0.8032629825509321
central medium,DXR,0.14639352200169606
central medium,ECPG,1.3418093858625442
central medium,EDIT,2.3323837612156564
central medium,EDRY,-0.19704222650373293
central medium,ENTX,0.8287430154308919
central medium,FWRD,1.013480906731177
central medium,GGAL,1.9411547430181009
central medium,GIII,2.1811815710165803
central medium,GREE,0.36464329155012026
central medium,HAIN,0.8297431257869996
central medium,HFBL,-0.14606754736190297
central medium,HNNA,0.4672591952947701
central medium,HROW,0.8337147708243501
central medium,HURA,0.9830164224963209
central medium,HURC,0.8243317966569088
central medium,HYPD,0.6518685584546808
central medium,INTZ,0.23597130331650473
central medium,IOVA,1.7667949140400865
central medium,IPM,0.5046429352843442
central medium,ITIC,0.6313583010971512
central medium,KALU,1.2249168357405154
central medium,KALV,1.013689036736001
central medium,KELYA,0.9261931954197163
central medium,KHC,0.38936388969050184
central medium,KOSS,0.34258424494140094
central medium,KPRX,0.889600594867483
central medium,LASR,1.9804218209772266
central medium,LOCO,0.5371492080383365
central medium,LOOP,0.10986925752686215
central medium,LX,1.6448016122880897
central medium,MCHX,0.7948046325590047
central medium,MNRO,0.7942788205198452
central medium,MRNA,1.3172805576983986
central medium,NAAS,0.9499453650461156
central medium,NISN,0.18656422960536256
central medium,NIU,0.5999687608723795
central medium,NIXX,0.18580825963015526
central medium,NNBR,1.7393225127902026
central medium,NOTV,0.7038975652493629
central medium,NTLA,2.416131792637213
central medium,OCC,0.9021741552043917
central medium,OCGN,0.04997896791114559
central medium,OMCC,0.16688471020102588
central medium,OMEX,0.11279664880482496
central medium,OPRA,1.1363800751572881
central medium,ORMP,0.3072258647364469
central medium,OVBC,1.3540366551359082
central medium,OVID,1.455087086505102
central medium,PAHC,0.8557028338683011
central medium,PBYI,1.7236109963204747
central medium,PCSA,-0.727020136189886
central medium,PDFS,1.1247272426184205
central medium,POLA,0.2884677732659446
central medium,PPBT,1.138137084272541
central medium,PRTH,0.7786565144424571
central medium,QCLS,0.890504791660465
central medium,QNRX,-0.09061119188581845
central medium,QURE,1.3754366712557051
central medium,RDNW,0.5601741706483458
central medium,RFIL,0.46657852372000813
central medium,RGNX,2.106279306591751
central medium,RIGL,1.8460167217237355
central medium,RNAC,1.5221986619674617
central medium,RYAAY,0.6230377403378968
central medium,SFBC,0.20274600244681515
central medium,SGA,0.6097984255730005
central medium,SHEN,0.9778460221385392
central medium,SLGL,-0.2621711663156211
central medium,SMCI,0.8828382154705782
central medium,SSYS,1.6225265838107445
central medium,STAA,1.7492668161182714
central medium,TATT,-0.16500914850471196
central medium,TBBK,1.101915077685482
central medium,TBRG,0.6807026311553188
central medium,TCRT,1.6524090752140703
central medium,TECX,1.2154835212613462
central medium,TREE,1.3755621617651792
central medium,TRUP,1.5900120982140669
central medium,TTGT,1.3906148536801572
central medium,UFPI,1.1220982413075453
central medium,UOKA,0.26284466114755317
