portfolio,Ticker,momentum12mo_2019
central fast,ABTC,-0.1645193260654113
central fast,ABVC,-0.8786111089918348
central fast,ACB,-0.5645161174545263
central fast,ACET,-0.8271461670732453
central fast,ACTG,-0.10738252724652309
central fast,AHG,-0.6259999910990397
central fast,AIRT,0.23367354207514102
central fast,AIXC,-0.7183333333333333
central fast,AKRO,
central fast,ALDX,-0.30000002298010353
central fast,ALM,-0.30688935143286755
central fast,ALOT,-0.2545828345701405
central fast,ALRM,-0.1715827625689571
central fast,ALT,-0.08252425330423852
central fast,AMAT,0.898551685514595
central fast,ANDE,-0.1319877515378518
central fast,ANIX,-0.1675127097069884
central fast,AOSL,0.33660455803932043
central fast,APLS,1.3214557856978781
central fast,ASMB,-0.09549070857579467
central fast,ASRT,-0.6537396219455477
central fast,ATLC,1.4752747168173586
central fast,ATYR,-0.399481535709604
central fast,AVDL,1.926356749611692
central fast,AXSM,35.65248335360596
central fast,BEEM,-0.5220512977013221
central fast,BIIB,-0.013923973994546146
central fast,BITF,
central fast,BLRX,-0.6590909090909092
central fast,BMRA,0.7764705271869399
central fast,BOOM,
central fast,BRTX,-0.9944444444444445
central fast,BYRN,0.2666666507720947
central fast,CDTX,0.6340426181225067
central fast,CENT,-0.09811324623317386
central fast,CENTA,-0.060479965209960906
central fast,CGC,-0.21510984624002327
central fast,CLGN,0.35714287336180894
central fast,CLWT,-0.20701739654527773
central fast,COMM,-0.13422818128075154
central fast,CPRX,0.9531250436557466
central fast,CPSH,-0.17886180910464322
central fast,CRESY,-0.4205761009924899
central fast,CRMD,0.1286822364476592
central fast,CRNT,-0.4444444654690106
central fast,CRNX,-0.16338778445904534
central fast,CUE,2.3776597115398856
central fast,CVV,-0.09295772623623222
central fast,DDOG,
central fast,DHC,-0.21842032613583384
central fast,DUOT,-0.04400001253400532
central fast,ELTK,0.698113411646138
central fast,ELVA,0.5
central fast,ENPH,4.524312696701628
central fast,ESPR,0.2963043710459834
central fast,EVER,7.217703321718508
central fast,EVGN,-0.23232321237595732
central fast,EZPW,-0.11772313650280963
central fast,FGEN,-0.07324978392394121
central fast,FIVN,0.5
central fast,FKWL,0.05286345197716913
central fast,FLNT,-0.3055555678198856
central fast,FORTY,0.9440474603950237
central fast,FRPT,0.8373756353528969
central fast,GDC,-0.21568630058317495
central fast,GIFI,-0.2977838893362631
central fast,GWAV,-0.9152542372881356
central fast,HALO,0.21189332901887514
central fast,HBIO,-0.040880538274165934
central fast,HIND,-0.9082125603864735
central fast,HNRG,-0.3938747283677002
central fast,IBIO,-0.6666666666666667
central fast,ICUI,-0.18512393355266965
central fast,IFRX,-0.8911190499190439
central fast,INO,-0.17500003178914392
central fast,IPHA,
central fast,IROQ,0.15882226634152663
central fast,KALA,-0.245398773006135
central fast,KG,-0.5454545454545454
central fast,KLXE,-0.725373127821412
central fast,KMB,0.2457457695247185
central fast,KPTI,1.0458910106681243
central fast,KRRO,
central fast,LEGH,0.3948029307618075
central fast,LFMD,-0.14285709420028914
central fast,LINK,1.261905420293052
central fast,LIXT,-0.26881720797654574
central fast,MDWD,-0.23645317717503678
central fast,MGIC,0.30389230422341185
central fast,MGYR,0.004081575327180342
central fast,MLKN,0.4049864348443071
central fast,MOGO,0.10145928547279737
central fast,MRSN,0.40441176470588225
central fast,MRUS,0.005714280264718097
central fast,NAII,-0.1881993813826085
central fast,NMIH,0.8588235067838033
central fast,NNDM,-0.7720720824826874
central fast,NSPR,-0.8649999936421713
central fast,OLB,0.8518518518518519
central fast,OTLK,-0.8524999976158142
central fast,PACB,-0.3054054323994736
central fast,PAVM,0.24740126498852644
central fast,PEBK,0.3747514518640227
central fast,PERI,1.392307699361497
central fast,PETS,0.06522792925987342
central fast,PRPH,-0.2382476802182082
central fast,PRQR,-0.37198985962554443
central fast,PRTS,1.4175824003077957
central fast,PSIX,-0.14594593563595337
central fast,PSNL,
central fast,PSTV,-0.8344827586206897
central fast,PTGX,0.04754831660541825
central fast,PTON,
central fast,PXLW,0.3517241938738811
central fast,QMCO,2.709999847412109
central fast,QNST,-0.056685098494639985
central fast,QRVO,0.9138811828262616
central fast,RCAT,-0.5416666749450892
central fast,RNTX,-0.31785710960829183
central fast,ROCK,0.41725199242634137
central fast,RVYL,-0.7058823529411764
central fast,SAVA,5.117646662834205
central fast,SBET,-0.4147727260412263
central fast,SGBX,-0.9419963049425798
central fast,SGLY,-0.4155844155844156
central fast,SHIP,-0.9266666632126035
central fast,SLNO,0.7192982116951778
central fast,SNBR,0.551843756345556
central fast,SONM,
central fast,SPWH,0.8333332244664051
central fast,STIM,-0.7679586727337766
central fast,SURG,-0.21052631578947367
central fast,TILE,0.18465432686918515
central fast,TLSA,-0.2751677739633619
central fast,TNXP,-0.9468181818181818
central fast,TOMZ,-0.08333331781129005
central fast,TRMD,0.8419175481443602
central fast,TRVG,-0.534635885210911
central fast,TRVI,
central fast,UNIT,-0.4494384495670791
central fast,UONE,-0.03349276882140184
central fast,UXIN,-0.5349794238683128
central fast,VIR,
central fast,VIRC,0.06000000000000005
central fast,VKTX,0.048366059841005615
central fast,VMD,
central fast,VRCA,0.94969317664398
central fast,VRDN,-0.8415841652716514
central fast,VTRS,-0.2664233066923283
central fast,WKSP,-0.6333333333333333
central fast,WORX,-0.06757632782371059
central fast,WVE,-0.809229298689156
central fast,XBIO,-0.9268292713656965
central fast,XOMA,1.1581027715661203
central fast,Z,0.45471813608914413
central fast,ZVRA,-0.7870786437090109
central medium,ADEA,0.09954933261410748
central medium,ADP,0.3270774301293795
central medium,ADPT,
central medium,AGAE,-0.7410358650885194
central medium,AGIO,0.03556710839167199
central medium,AHCO,0.11698877186732548
central medium,ALGN,0.33237844770831826
central medium,ALNT,0.08875025427922156
central medium,ALNY,0.5796186035414788
central medium,ANAB,-0.7452578810663643
central medium,AQMS,-0.5851648351648351
central medium,ARCT,1.3995583624970647
central medium,ARQ,0.08348653905169234
central medium,ASPS,-0.14050688659722466
central medium,ATRO,-0.0821018041826369
central medium,BAND,0.5717792159940567
central medium,BCRX,-0.5724906842442126
central medium,BLDP,2.004183896731042
central medium,BNC,-0.05405403238139639
central medium,BNTC,-0.6599999920215482
central medium,BTCS,-0.8583333418242842
central medium,BYND,
central medium,CENN,-0.9813553244890642
central medium,CENX,0.02872777562117501
central medium,CHRW,-0.04709264592685869
central medium,CNXN,0.6807574626229564
central medium,COLL,0.1986022033931254
central medium,CREX,-0.3289473610828386
